05年12月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(父) 馬齢,,,,,,,,,,,,■ 4R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 別定,,,,,,,,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞｰﾙﾃﾞﾝｻﾄﾞﾙT,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｅカレンスタｰボｰイ, 47,福永  ,, 64,   1,*  0, 4,  7.5,⑦⑥⑥, 1, 5,Ｃロｰタス, 53,福永  ,, 69,   9,  -8, 4,  7.2,⑦⑧④, 1, 3,Ｐガブリン, 50,武豊  ,, 83,*  7,   9, 1,  3.7,①①①, 1, 1,Ｄニシノデュｰ, 75,横山典,, 97,* 18,  12, 1,  3.7,①①①
 2,13,Ｆクレバｰジェフリｰ, 45,横山典, 0.2, 63,   4,  -6, 2,  3.8,③③③, 2,14,Ｅブルｰレパｰド, 51,飯田  , 0.2, 66,   9, -11, 6, 13.5,⑦⑥④, 2,12,Ｅスマｰトギルド, 65,安藤勝, 1.1, 70,  -6,* 17, 3,  4.9,⑬⑫⑫, 2, 9,Ｃナスノストロｰク, 76,ファロ, 0.4, 90,  11,* 15, 5,  8.2,⑥⑤⑤
 3, 5,Ｃテイエムオｰディン, 50,岩田  , 0.5, 60,  -1,* -2, 6, 20.7,⑧⑧⑥, 3, 6,Ｉアドマイヤジュピタ, 43,岩田  , 0.2, 64,   6,* -7, 5,  9.7,⑨⑨⑩, 3,10,Ｍセイウンビバｰチェ, 56,松永  , 1.2, 70,  -8,* 18,14,130.6,⑮⑮⑫, 3, 7,Ｈシャイニングアレキ, 71,イネス, 0.6, 89,  11,  12, 9, 21.9,⑦⑦②
 4, 4,Ｊアドリアシチｰ, 39,木幡  , 1.2, 52,   0, -11, 8, 33.7,⑥⑥⑧, 4, 1,Ｇサミｰデザｰト, 49,横山典, 0.3, 63,   1,*  1, 9, 21.9,⑫⑭⑭, 4, 8,Ｄマヤノポペット, 67,岩田  , 1.2, 72,   3,   4, 2,  4.0,④⑤②, 4,11,Ｂレットバトラｰ, 77,パスキ, 0.6, 86,   9,* 15, 3,  5.8,⑩⑦⑧
 5, 6,Ｌメイショウフウライ, 38,飯田  , 1.7, 50,*  7, -24, 9, 59.3,②②②, 5, 3,Ｌシロキタスピｰド, 32,ファロ, 0.3, 64,   7, -10,13,306.1,⑨⑨⑦, 5,14,Ｉソフトパワｰ, 60,四位  , 1.6, 67,   0,   4, 9, 24.3,⑫⑧⑧, 5,12,Ｅダｰクウィザｰド, 73,ベハラ, 0.7, 87,   9,* 16,12, 51.7,⑩⑩⑩
 6, 3,Ｂマリンフェスタ, 55,松永  , 1.8, 49,*  8, -26, 3,  4.6,①①①, 6, 2,Ｈタイキブラスト, 46,武豊  , 0.5, 61,* 14, -23, 1,  3.4,①①①, 6,15,Ａマッスルダンサｰ, 70,藤岡  , 1.8, 65,  -2,   4, 5, 12.1,⑩⑪⑧, 6, 4,Ｊトウカイポピｰ, 68,藤田  , 1.1, 80,   7,  11,10, 29.1,⑬⑬⑩
 7,14,Ｈオレンジシンジュ, 43,池添  , 1.9, 45,  -6, -10, 7, 32.0,⑧⑨⑨, 7,12,Ｊタガノアルサルディ, 35,中舘  , 0.7, 58,   8, -17,10, 53.4,⑥⑥⑦, 7, 4,Ｆアドマイヤシェイク, 64,本田  , 2.0, 63,   3,  -4, 8, 16.7,④⑤⑥, 7,13,Ｋホウライウォニング, 66,岩田  , 1.3, 80,  11,   4, 7, 18.9,⑧⑦⑤
 8, 9,Ｋエイシンテンテン, 38,小牧太, 1.9, 44,  -8,  -7,11,136.0,⑩⑩⑪, 8,11,Ｋマイネルオルペウス, 35,プラｰ, 0.9, 55,   3, -11,12,175.2,⑫⑬⑬, 8,11,Ｌグランディバロｰズ, 58,熊沢  , 2.3, 61,*  5,  -9,13, 69.2,③②②, 8, 5,Ｉマイネルパシオン, 70,キネｰ, 1.3, 76,  11,   2, 4,  8.1,④⑤⑧
