05年12月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(抽) 馬齢,,,,,,,,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1600万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,摩耶ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａアサクサアンデス, 53,柴山  ,, 63,* -4,   3, 1,  1.3,①①①, 1, 9, ファントムスズカ,,北沢  ,,,,, 1,  1.6,③②①, 1, 1, ケンブリッジレｰザ,---,武幸  ,, 61, -11,* 10, 5,  9.4,⑨⑩⑩, 1, 9,Ｆフィフティｰワナｰ, 81,柴山  ,, 88,  11,* 13, 1,  2.0,⑩⑥④
 2, 7,Ｂオレンジシンジュ, 43,熊沢  , 0.7, 54, -11,   3, 4, 14.1,⑦④④, 2, 3, グランイグアス,,嘉堂  , 1.8,,,, 7, 35.5,⑨⑨⑥, 2,12, エリモブラスト,---,渡辺薫, 0.0, 61,  -9,*  7, 6, 15.3,⑨⑧④, 2,11,Ｄトラストジュゲム, 83,横山典, 0.6, 86,   8,* 13, 4, 10.1,⑮⑮⑧
 3, 3,Ｄフジヤマサクラ, 41,横山典, 0.9, 53,  -8,  -2, 2,  6.6,③④④, 3, 5, ジョッシュ,,中村将, 1.9,,,,10, 74.9,③④③, 3, 3, マチカネタマカズラ,---,熊沢  , 0.1, 57,  -8,   4, 3,  7.1,⑤⑤⑥, 3, 4,Ｉホｰマンキュｰト, 77,飯田  , 0.8, 84,   7,* 13,12, 90.1,⑯⑯⑫
 4, 5,Ｃウィズインシｰズ, 41,小坂  , 1.1, 52,* -5,  -7, 3, 10.9,②②②, 4, 2, ブライアンスキｰ,,南井  , 2.5,,,,12, 82.1,⑧⑧⑧, 4,14, パワｰコレクタｰ,---,横山典, 0.4, 57, -15,* 11, 2,  4.0,⑭⑭⑬, 4, 7,Ａトｰセンブライト, 85,安藤勝, 0.9, 79,  10,   6, 2,  4.5,⑥⑥⑧
 5, 9,Ｅミッドナイトスタｰ, 37,本田  , 1.1, 51,  -6,  -6, 6, 32.1,④②③, 5, 4, ニシノヘブンズドア,,浜野谷, 3.4,,,, 8, 35.9,⑥⑤⑤, 5,13, フィｰルドユウキ,---,小牧太, 0.5, 53,  -9,  -1, 4,  9.0,⑫⑧⑥, 5, 1,Ｏモエレアドミラル, 73,須貝  , 1.0, 79,* 12,   1,10, 84.5,②②④
 6, 2,Ｇチキリスラッガｰ, 32,川島信, 1.4, 45, -22,*  6, 9, 65.8,⑨⑨⑨, 6, 6, エイシンクッシング,,西谷  , 3.7,,,, 3,  5.7,⑤⑦⑦, 6,10, ランドハンタｰ,---,秋山  , 0.6, 51,  -8,  -4,10, 66.0,⑥⑤⑥, 6,16,Ｅクワイエットデイ, 82,幸    , 1.0, 82,  10,   6, 7, 46.5,⑫⑩⑦
 7, 6,Ｉシゲルシテカブ, 24,秋山  , 2.0, 40, -17,  -4, 5, 21.9,⑦⑧⑦, 7,10, セリｰンスカイ,,林    , 3.8,,,, 9, 74.7,②③③, 7, 9, ダンスレッスン,---,幸    , 0.8, 48,* -6, -10, 1,  2.3,③②①, 7,14,Ｊビッグエンデバｰ, 77,武幸  , 1.2, 78,* 13,  -3, 8, 50.2,①①①
 8, 8,Ｈメイショウイグアス, 25,幸    , 2.1, 39, -14,  -8, 8, 60.7,⑤⑥⑥, 8,12, カネトシプロスパｰ,,出津  , 4.2,,,, 6, 25.1,⑩⑩⑧, 8, 2, トミケンタキシｰド,---,安藤勝, 0.9, 48, -15,   4, 9, 49.3,⑭⑭⑮, 8,10,Ｈタイラントシチｰ, 80,吉田豊, 1.3, 80,  11,   2, 6, 26.8,⑨⑥④
