05年12月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 別定,,,,,,,,,,,,■10R  ダ1200m 3歳上1600万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱｸｱﾗｲﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａトｰヨｰハヤテ, 51,佐藤哲,, 64,  -3,*  7, 3,  6.9,⑨⑧⑥, 1, 6, グリｰンジュエリｰ,---,デザｰ,, 57, -15,*  9, 1,  2.5,⑨⑧⑧, 1, 5,Ｆナカヤマスナイパｰ, 61,後藤浩,, 73,  -2,* 12, 4,  5.7,④④②, 1,13,Ｇシルヴァｰゼット, 78,津村  ,, 86,*  8,  17, 6, 16.5,①①①
 2,15,Ｂラブランジェリ, 50,津村  , 0.5, 60,*  5,  -8, 1,  1.9,①②②, 2,12, キョクイチデュラ,---,佐藤哲, 0.1, 56,* -6,   0, 4, 10.0,①①①, 2,12,Ａチザルピｰノ, 67,蛯名  , 0.0, 71,* -1,* 10, 2,  3.9,③②①, 2, 4,Ｃマルカフレンチ, 81,長谷川, 0.0, 87,*  7,  18, 1,  2.2,③③②
 3, 7,Ｃエレガントキャット, 43,デザｰ, 0.6, 60,*  5,  -7, 7, 24.7,③③③, 3,15, リワｰドアロン,---,吉田隼, 0.1, 55, -16,*  6, 5, 11.3,⑩⑧④, 3, 2,Ｄリトルプリンス, 64,北村宏, 0.5, 71,  -3,* 13, 7, 22.7,⑩⑨⑨, 3, 1,Ｈビｰビｰバｰニング, 78,北村宏, 0.2, 85,   2,* 20, 8, 26.5,③⑦⑥
 4, 1,Ｅロウゼットライン, 38,蛯名  , 0.9, 57,   4,  -9, 8, 33.0,⑤④③, 4, 2, グレｰトモア,---,伊藤直, 0.7, 51, -11,  -1, 3,  7.0,⑦⑤④, 4, 6,Ｅシャコｰサクセス, 62,デザｰ, 1.0, 64,  -5,   8, 3,  5.5,⑫⑨⑦, 4, 8,Ｋシベリアンホビｰ, 77,デザｰ, 0.2, 85,   2,* 20, 3,  6.2,⑧⑦⑥
 5, 4,Ｄシゲルサンダｰアイ, 39,後藤浩, 1.3, 54,*  7, -16, 5, 22.3,①①①, 5, 8, タイインテンスリｰ,---,中谷  , 0.8, 49,* -8,  -5, 7, 47.8,④②②, 5, 4,Ｃロイヤルブリｰズ, 67,ペリエ, 1.2, 60,  -2,   2, 1,  3.1,⑥⑤⑤, 5, 5,Ｉリンガスロｰレル, 77,柴田善, 0.2, 87,   0,* 23,10, 32.2,⑫⑪⑨
 6, 3,Ｍラブリｰクレセント, 24,柴田善, 1.4, 50,   1, -11, 2,  4.2,③⑤⑤, 6, 4, グレｰトアドミラル,---,武士沢, 1.3, 44,* -9,  -9, 6, 16.0,③②④, 6, 1,Ｋドクタｰグリム, 58,柴田善, 1.3, 64,  -6,   9, 6, 12.6,⑭⑭⑪, 6, 3,Ｄタイキジリオン, 79,ペリエ, 0.3, 85,   6,  16, 2,  4.9,②⑤④
 7,12,Ｆヒロムｰンライト, 32,ボニヤ, 2.0, 42,  -9,  -8, 9, 39.0,⑬⑩⑩, 7,10, クレヨン,---,酒井忍, 1.5, 42,* -9, -11,11, 63.3,④②③, 7, 7,Ｈアネモスダダ, 60,武士沢, 1.3, 59,  -3,   2, 8, 33.6,⑦⑤⑤, 7,10,Ｏラガｰリｰダｰ, 73,田中剛, 0.5, 81,*  7,  13, 9, 30.8,⑥③④
 8,14,Ｈヨシノフロｰラ, 32,丹内  , 2.0, 40, -10,  -9,15,360.7,⑨⑩⑩, 8, 1, ナンヨｰノジョｰ,---,ボニヤ, 2.2, 35, -23,  -5,12, 86.5,⑬⑩⑨, 8,11,Ｇアンジェロファニｰ, 61,吉田豊, 1.6, 55,  -3,  -1, 5, 11.1,⑧⑤⑦, 8, 6,Ａタイキヴァンベｰル, 82,蛯名  , 0.6, 82,  -1,* 20, 4, 10.6,⑬⑬⑫
 9, 5,Ｊキュｰティパイ, 28,酒井忍, 2.2, 35, -22,*  2,12,286.8,⑯⑯⑯, 9, 9, カンファｰプレス,---,長谷川, 2.5, 31, -31,  -2, 9, 56.9,⑭⑬⑪, 9,13,Ｂカルストンキングオ, 67,佐藤哲, 1.6, 58,  -5,   5,10, 57.3,⑭⑬⑬, 9,16,Ｅジョウノデイリｰ, 79,吉田豊, 0.7, 80,   5,  13, 5, 15.8,⑥⑥⑥
10, 9,Ｉシャリｰク, 29,武士沢, 2.3, 36, -16,  -4,16,375.8,⑭⑭⑭,10,14, グランドビｰスト,---,二本柳, 2.5, 32, -12, -18, 8, 56.4,④⑦⑨,10, 3,Ｊオｰロブライト, 59,酒井忍, 1.9, 53,  -3,  -3, 9, 36.3,④⑧⑩,10, 9,Ｐツルマルバクシン, 69,酒井忍, 1.0, 76,*  8,   8,11, 35.1,③②②
11,11,Ｏラブシェンフォン, 22,吉田豊, 2.5, 39,   2, -23, 4,  9.3,⑤⑤⑦,11, 7, ワイルドインロｰズ,---,北村宏, 2.6, 31, -30,  -2,10, 58.0,⑪⑬⑪,11,10,Ｎオンワｰドスワン, 50,二本柳, 2.5, 49,  -5,  -6,14,251.5,⑧⑨⑪,11, 2,Ｍマサアンビション, 75,ボニヤ, 1.1, 74,   3,  12,16,268.0,⑧⑦⑨
12,13,Ｐイケグットフェロｰ, 17,石神  , 2.5, 35, -10, -12,14,307.0,⑪⑩⑫,12, 3, アミフジウラノス,---,大野  , 3.4, 20, -12, -29,15,207.5,②⑤④,12, 9,Ｐジャンボルビｰ, 46,吉田隼, 2.8, 45,  -7,  -7,15,298.0,⑬⑭⑭,12, 7,Ｌコンコルディア, 75,佐藤哲, 1.2, 74,  -4,  16, 7, 26.4,⑭⑭⑭
13, 2,Ｌカナハラグレｰス, 26,小野  , 2.7, 34, -11, -13,10, 91.5,⑪⑬⑬,13, 5, ベニノペガサス,---,津村  , 3.5, 19, -28, -15,13, 92.4,⑪⑪⑪,13, 8,Ｌタマモワラワラ, 57,津村  , 2.8, 47,  -8,  -5,11,129.4,⑯⑯⑮,13,12,Ｂコアレスデジタル, 81,江田照, 1.2, 75,  -3,  16,12, 48.5,⑮⑭⑭
14,16,Ｋヒカルファンタジｰ, 26,田面木, 3.5, 28,   1, -31, 6, 23.1,⑤⑤⑧,14,13, ヒカルヨゾラ,---,ペリエ, 3.9, 17, -29, -16, 2,  3.0,⑧⑫⑭,14,14,Ｍシェルクレｰル, 54,丹内  , 3.2, 38,* -2, -21,13,248.8,①②④,14,15,Ｊパラダイスリヴァｰ, 77,郷原  , 1.4, 72,  -4,  15,15,232.3,⑯⑭⑯
15,10,Ｇエプソムジェイド, 32,郷原  , 4.3, 15, -17, -23,13,300.5,⑭⑭⑮,15,11, シュレッタｰ,---,岩部  , 3.9, 17, -41,  -5,14,114.7,⑮⑮⑭,15,16,Ｉフォｰリングレイス, 60,南田  , 3.8, 32,* -2, -27,16,505.4,②①②,15,14,Ｎプリンセスアスカ, 73,丹内  , 1.9, 65,   2,   5,14, 75.5,⑩⑩⑫
16, 6,Ｎカルストンジュエリ, 23,江田照, 4.4, 18,  -5, -34,11,123.8,⑧⑨⑨,,,,,,,,,,,,,16,15,Ｏナンヨｰアルトラブ, 49,ボニヤ, 4.8, 28,  -5, -26,12,135.9,⑩⑫⑯,16,11,Ｆバンブｰミラン, 79,後藤浩, 1.9, 67,   1,   6,13, 69.2,⑩⑪⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+17 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-1),,,,,,,,,,,
単勝:690円 複勝:08=200円 15=120円 07=380円 枠連:410円,,,,,,,,,,,,単勝:250円 複勝:06=130円 12=270円 15=250円 枠連:260円,,,,,,,,,,,,単勝:570円 複勝:05=180円 12=150円 02=470円 枠連:410円,,,,,,,,,,,,"単勝:1,650円 複勝:13=510円 04=130円 01=550円 枠連:1,340円",,,,,,,,,,,
"馬連:650円 ワイド:08-15=340円 07-08=1,360円 07-15=700円",,,,,,,,,,,,"馬連:960円 ワイド:06-12=520円 06-15=590円 12-15=1,780円",,,,,,,,,,,,"馬連:910円 ワイド:05-12=370円 02-05=1,790円 02-12=1,200円",,,,,,,,,,,,"馬連:2,750円 ワイド:04-13=1,010円 01-13=4,950円 01-04=840円",,,,,,,,,,,
"馬単:1,960円 3連複:2,860円",,,,,,,,,,,,"馬単:1,330円 3連複:3,450円",,,,,,,,,,,,"馬単:2,200円 3連複:4,830円",,,,,,,,,,,,"馬単:7,720円 3連複:12,700円 3連単:87,390円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 5R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 8R  ダ1800m 3歳上1000万(混) 別定,,,,,,,,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(牝) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾀｰｺｲｽﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｎサクラオｰルイン, 30,ペリエ,, 64,  -9,* 12, 1,  2.3,⑩⑦⑥, 1, 7, ジェイケイテイオｰ,,平沢健,,,,, 1,  2.8,⑤②①, 1,10,Ａサウンドザビｰチ, 80,蛯名  ,, 81,*  6,* 14, 1,  2.1,②①①, 1, 9,Ｂマイネソｰサリス, 84,佐藤哲,, 87,   5,  22, 5,  9.9,⑩⑨⑦
 2, 1,Ｃサトノソニック, 48,北村宏, 0.2, 61, -10,* 10, 3,  5.2,⑧⑦⑦, 2, 2, メイスンボｰイ,,白浜  , 0.3,,,, 9, 71.1,⑨④③, 2,14,Ｇウザンホマレオｰ, 70,後藤浩, 0.7, 77,   4,* 11, 2,  3.5,⑦⑤②, 2, 5,Ｊコスモマｰベラス, 77,柴田善, 0.1, 85,   6,  21, 6, 13.9,⑥⑨⑪
 3, 6,Ｈビュｰティｰパｰル, 40,吉田隼, 0.2, 55,* -6,  -1, 9, 84.4,①①①, 3,12, グランツスワン,,西谷  , 1.2,,,, 3,  4.4,⑪⑨⑦, 3, 4,Ｈヤマノサップ, 70,柴田善, 0.7, 77,   5,* 11, 4,  9.4,⑥⑤⑤, 3, 7,Ｅウイングレット, 82,北村宏, 0.2, 84,* 11,  15, 2,  4.9,③③④
 4,12,Ｅセタガヤフラッグ, 46,ボニヤ, 0.2, 60,* -6,   4, 6, 18.5,③③②, 4, 5, チアズボニｰト,,横山義, 1.3,,,, 2,  3.0,⑥④④, 4, 1,Ｋマイネルマリク, 65,池田  , 1.5, 70,   3,   6,11,123.6,⑫⑨⑨, 4,15,Ｉペニｰホイッスル, 78,後藤浩, 0.2, 84,   9,  16, 4,  8.2,⑤③②
 5, 4,Ｊリワｰドティアン, 38,江田照, 0.6, 53,* -6,  -2,11,142.2,④③④, 5, 9, リネンピｰス,,柴田未, 2.0,,,,13,263.5,④⑥⑥, 5, 6,Ｃウインレガｰト, 74,ボニヤ, 1.6, 72,   3,   6, 3,  6.8,⑩⑨⑤, 5, 2,Ｄサイレントアスク, 83,武士沢, 0.2, 81,   5,  17,13, 57.2,⑥⑥④
 6,15,Ａパｰプルプロｰズ, 58,柴田善, 0.9, 50,  -7,  -5, 4,  8.8,⑧⑤④, 6, 3, アドメニカ,,浜野谷, 2.4,,,, 5, 14.0,②①②, 6, 3,Ｂシベリアンライオン, 76,吉田隼, 1.6, 66,   1,   4, 7, 28.5,⑦⑨⑨, 6, 3,Ｈメジロトンキニｰズ, 79,吉田豊, 0.2, 91,  -1,* 29, 8, 24.9,⑮⑭⑬
 7, 7,Ｄマックスイマｰジュ, 47,津村  , 1.0, 48, -14,   1, 7, 25.8,⑥⑫⑫, 7, 4, ラガｰルｰジュ,,出津  , 2.6,,,,10,108.5,⑦③⑤, 7, 8,Ｅシャコｰミリオン, 73,ペリエ, 1.9, 66,   5,  -2, 5, 11.9,④②②, 7, 4,Ｃシャイニンルビｰ, 84,デザｰ, 0.2, 85,   8,  20, 3,  6.9,⑨⑥⑩
 8,16,Ｋエプソムメサイア, 36,後藤浩, 1.0, 51, -11,   0,12,148.2,⑫⑩⑦, 8,13, ナニワビクトリｰ,,嘉堂  , 4.2,,,, 4,  8.8,⑧⑪⑨, 8, 7,Ｄハウンドコップ, 73,丹内  , 2.5, 60,   3,  -6, 6, 25.2,⑦⑤⑧, 8,11,Ｆエリモファイナル, 80,丹内  , 0.4, 85,   0,* 25,14, 62.8,⑬⑭⑮
 9,10,Ｉシンハルカジョウ, 38,吉永  , 1.3, 48, -15,   1,14,428.6,⑬⑬⑫, 9, 8, アｰトレｰタ,,山本  , 4.3,,,, 7, 23.6,③⑦⑦, 9,13,Ｊナイキアカウント, 66,二本柳, 2.8, 61,   2,  -3,13,457.3,⑩⑫⑫, 9, 8,Ｏジェダイト, 71,津村  , 0.6, 74,* 11,   3, 9, 25.8,①①①
10,13,Ｆビッグユニット, 43,蛯名  , 1.3, 44,* -5, -14, 8, 29.9,④②②,10, 1, スリｰエリシオ,,林    , 5.5,,,,11,125.9,⑩⑩⑩,10,12,Ｎダンシングホｰク, 60,柴田未, 2.8, 61,   0,   0,14,701.0,⑫⑬⑬,10, 6,Ｌアドマイヤメガミ, 77,高田  , 0.6, 77,   3,  17, 7, 23.7,⑫⑫⑫
11, 2,Ｇエイトダンサｰ, 41,佐藤哲, 1.4, 45, -12,  -5,10,132.7,⑪⑩⑩,11,10, ゴｰストスズカ,,北沢  ,12.0,,,, 6, 21.0,①⑦⑩,11, 9,Ｍナナツボシ, 63,大野  , 3.5, 51,   4, -19,10, 77.3,①②⑤,11, 1,Ｋマイネヌｰヴェル, 77,ボニヤ, 0.6, 82,   4,  21,12, 52.4,⑬⑫⑬
12, 9,Ｍチェイスバニヤン, 32,吉田豊, 1.4, 42,  -7, -13, 5, 13.4,②⑤⑦,12,11, ミヤコインザムｰン,,難波  ,15.3,,,,12,252.0,⑫⑫⑫,12, 2,Ｌビリｰザキッド, 64,津村  , 4.0, 47,   3, -20,12,167.8,⑤⑤⑨,12,16,Ｍマルタｰズヒｰト, 76,蛯名  , 0.7, 72,* 10,   2,16,263.3,②②②
13, 8,Ｂバルバロ, 53,デザｰ, 1.5, 42, -10, -10, 2,  3.7,⑥⑦⑩,,,,,,,,,,,,,13,11,Ｉウィッチズブルｰム, 68,田中剛, 4.5, 48,*  6, -27, 8, 39.5,②②④,13,13,Ａヤマニンアラバスタ, 93,江田照, 0.8, 80,   8,  13, 1,  2.6,⑪⑨⑦
14,14,Ｏトｰアキンボシ, 18,二本柳, 1.6, 44, -14,  -3,15,598.3,⑭⑬⑫,,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｇカネトシディザイア, 80,二本柳, 0.8, 74,   7,   9,11, 48.6,⑥⑥⑦
15,11,Ｐレオユウキ, 18,南田  , 2.8, 23, -17, -22,16,709.6,⑭⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｎレンドフェリｰチェ, 76,長谷川, 1.0, 70,   8,   3,10, 38.7,③③④
16, 3,Ｌネガイヲコメテ, 36,高山太, 5.5, -5, -24, -48,13,305.2,⑯⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16,10, テンセイフジ,---,酒井忍, 1.3, 74,  -3,  19,15,189.6,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,
"単勝:230円 複勝:05=130円 01=180円 06=1,150円 枠連:620円",,,,,,,,,,,,"単勝:280円 複勝:07=140円 02=950円 12=170円 枠連:9,300円",,,,,,,,,,,,単勝:210円 複勝:10=110円 14=130円 04=140円 枠連:430円,,,,,,,,,,,,"単勝:990円 複勝:09=290円 05=350円 07=190円 枠連:3,390円",,,,,,,,,,,
"馬連:570円 ワイド:01-05=340円 05-06=2,400円 01-06=5,120円",,,,,,,,,,,,"馬連:7,710円 ワイド:02-07=2,400円 07-12=350円 02-12=3,250円",,,,,,,,,,,,馬連:460円 ワイド:10-14=200円 04-10=240円 04-14=300円,,,,,,,,,,,,"馬連:4,610円 ワイド:05-09=1,290円 07-09=880円 05-07=950円",,,,,,,,,,,
"馬単:1,040円 3連複:15,410円",,,,,,,,,,,,"馬単:14,560円 3連複:11,160円",,,,,,,,,,,,馬単:650円 3連複:690円,,,,,,,,,,,,"馬単:9,360円 3連複:6,510円 3連単:53,320円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 6R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  ダ1200m 3歳上1000万 別定,,,,,,,,,,,,■12R  芝2500m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,美浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａマイネルスケルツィ, 71,柴田善,, 54,*-12,   9, 1,  1.1,③⑤⑤, 1, 4, アラメダキング,---,柴田善,, 35,*-36,   6, 3,  4.6,①①①, 1, 6,Ｂタイキコナン, 77,蛯名  ,, 84,  -1,* 22, 2,  3.7,⑬⑪⑦, 1, 7,Ｅトウカイワイルド, 72,柴田善,, 73,*  0,  17, 2,  4.0,①①①
 2,15,Ｄコスモスコヴィル, 47,二本柳, 0.2, 51, -12,   7,10,112.5,⑥⑤⑤, 2, 6, マｰカッシン,---,北村宏, 0.2, 40, -39,* 10, 1,  3.0,⑦⑦⑦, 2, 2,Ａクリアエンデバｰ, 80,吉田豊, 0.3, 81,   1,  18, 1,  3.4,⑨⑥⑤, 2,10,Ａリキアイサイレンス, 83,後藤浩, 0.1, 81,  -2,* 24, 1,  1.9,⑤⑥⑤
 3, 7,Ｅケイジｰウィザｰド, 42,南田  , 0.2, 53, -17,* 11,16,421.7,⑩⑩⑩, 3, 2, トウカイチｰフ,---,ボニヤ, 0.3, 33,*-38,   6, 5,  9.5,④④④, 3, 3,Ｅバｰズアイ, 75,後藤浩, 0.4, 81,*  7,  12,10, 20.7,④③③, 3, 5,Ｂフィヨルドクルｰズ, 81,吉田豊, 0.1, 84,  -2,* 27, 3,  5.8,⑤⑦⑥
 4, 3,Ｇミヤコタイガｰ, 40,北村宏, 0.4, 55, -15,  12, 7, 68.6,⑩⑫⑧, 4, 9, ステラディクオｰレ,---,デザｰ, 0.4, 32, -39,   6, 2,  3.3,⑤④④, 4, 8,Ｊツタンカｰメン, 70,デザｰ, 0.5, 77,  -2,* 19, 3,  5.9,⑦⑫⑮, 4, 9,Ｆエプソムアルテマ, 70,デザｰ, 0.3, 75,  -1,  19, 7, 40.3,⑦③②
 5, 1,Ｋバｰチャルフォトン, 33,ボニヤ, 0.4, 56, -16,* 13, 4, 21.9,⑭⑬⑪, 5, 8, キャプテンシラユリ,---,吉田豊, 0.6, 23,*-38,   1, 4,  7.8,⑤④④, 5, 4,Ｈブルｰチェイサｰ, 71,大野  , 0.5, 75,   3,  11,13, 73.5,⑤④④, 5, 2,Ｃウォｰライクトニｰ, 80,ボニヤ, 0.5, 75,  -1,  20, 4,  8.5,⑨⑦⑧
 6, 2,Ｈマイネルスバル, 38,佐藤哲, 0.4, 64, -19,* 21, 8, 94.2,⑯⑯⑭, 6, 1, コスモハンブルグ,---,佐藤哲, 0.7, 34, -42,*  9, 6, 13.8,⑪⑫⑫, 6, 1,Ｌフルブラスト, 64,ペリエ, 1.0, 77,* 13,   0, 7, 17.9,①①①, 6, 6,Ｊライトスタッフ, 46,蛯名  , 0.5, 69,  -2,  16, 9, 61.6,④③②
 7,12,Ｐコウジンクラマ, 19,吉永  , 0.5, 43,*-10,  -4,12,280.5,①①①, 7,12, スナｰクキララ,---,高山太, 0.9, 23, -41,   3,11,188.8,⑩⑧⑩, 7, 5,Ｉジョリｰズジョｰ, 71,北村宏, 1.1, 72,  -2,  13, 6, 14.7,⑫⑫⑫, 7, 4,Ｇリンドｰロ, 69,二本柳, 0.7, 78,  -2,  23, 5, 15.7,⑧⑨⑧
 8, 9,Ｏグラスエルフ, 24,柄崎  , 0.7, 43, -13,   1,11,262.2,⑥⑦⑦, 8, 7, サｰストンアリコ,---,後藤浩, 0.9, 12,*-37,  -7, 7, 21.1,①②②, 8,10,Ｄマリットチャｰジ, 75,南田  , 1.4, 66,   0,   5, 4,  8.9,⑨⑥⑦, 8, 1,Ｉメジロガンバス, 58,郷原  , 1.8, 48,*  0,  -9, 6, 17.3,②②②
 9,10,Ｃニシノバニｰガｰル, 51,蛯名  , 0.8, 42, -13,   1, 5, 22.5,⑧⑦⑧, 9,11, ココロノキズナ,---,吉田隼, 0.9, 10,*-39,  -7,10, 83.1,①②③, 9,13,Ｃヒシサンダｰ, 75,津村  , 1.5, 63, -18,* 21,11, 43.2,⑯⑯⑯, 9, 8,Ｈトレジャｰハンタｰ, 66,津村  , 2.6, 41,   0, -16, 8, 43.0,③③⑥
10,14,Ｆロｰレルハンバｰバ, 42,丹内  , 0.9, 35,*-12, -10, 3, 15.6,③②③,10, 5, アイオブザジャガｰ,---,二本柳, 1.3, 11, -40,  -5, 8, 64.7,⑨⑧⑧,10,16,Ｆナゲットニュｰズ, 73,柴田善, 1.5, 68,  -3,  10,12, 69.9,⑬⑫⑫,,,,,,,,,,,,
11,17,Ｍパシスタ, 33,吉田豊, 1.2, 33,*-10, -14, 9,104.7,②②②,11,10, シｰスケｰプ,---,五十雄, 1.4,  8, -40,  -7, 9, 73.3,⑪⑧⑧,11, 7,Ｋフジマサミラクル, 69,佐藤哲, 1.6, 69,*  9,  -2, 8, 18.4,②②②,,,,,,,,,,,,
