05年11月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年11月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 別定,,,,,,,,,,,,■10R  芝1200m 3歳上1600万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京洛ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａナリタジュｰン, 61,松永  ,, 52, -13,   2, 2,  2.8,④④④, 1,12, アドマイヤホｰプ,,北沢  ,,,,, 1,  1.9,③③②, 1,10,Ｂスタｰマｰケット, 70,岩田  ,, 71,  -5,* 13, 2,  3.3,④④④, 1, 8,Ｃクリノワｰルド, 81,上村  ,, 87,  13,  10, 3,  9.6,③③③
 2, 7,Ｂニシノマｰメイド, 61,太宰  , 0.1, 50,*-11,  -1, 1,  2.2,②②②, 2, 7, メルシｰエイタイム,,出津  , 0.3,,,, 5, 19.5,⑤④③, 2, 5,Ａウインプログレス, 71,四位  , 0.1, 74,  -7,* 16, 4,  6.3,⑩⑩⑩, 2, 7,Ｄヒュｰマ, 81,岩田  , 0.2, 82,   3,* 19, 4, 11.5,⑧⑨⑨
 3, 2,Ｅスズカフロｰラ, 45,武豊  , 0.1, 49,*-11,  -2, 3,  4.9,①①①, 3, 6, グランドスナイパｰ,,林    , 0.7,,,, 8, 28.4,②①①, 3, 6,Ｆソリッドシチｰ, 66,武英  , 0.6, 60,  -5,   6, 5, 12.4,④④④, 3, 1,Ｊトップパシコ, 71,高山太, 0.2, 86,* 17,   4,10, 33.5,①②②
 4, 4,Ｆトｰホウヒミコ, 44,岩田  , 0.1, 51, -14,   2, 7, 37.3,⑦⑦⑦, 4, 2, サフランブリザｰド,,金折  , 0.9,,,, 2,  5.5,①②③, 4, 2,Ｊタニノコザック, 62,池添  , 0.6, 69,  -8,* 14, 9, 34.9,⑫⑪⑪, 4, 2,Ｆブルｰショットガン, 78,松永  , 0.2, 84,   9,  12, 9, 27.8,④④④
 5, 6,Ｃオナｰリｰブ, 53,小牧太, 0.1, 53, -16,*  5, 4, 12.8,⑧⑧⑦, 5,13, テンプテｰション,,村山  , 2.4,,,, 3,  6.2,③⑤⑤, 5, 8,Ｃニシノウラシマ, 69,太宰  , 0.9, 56,  -5,   2, 6, 12.6,③②③, 5, 5,Ｅスイｰトルｰム, 79,和田  , 0.2, 88,* 22,   0, 5, 12.9,①①①
 6, 8,Ｄジュエリｰクイｰン, 51,武幸  , 0.4, 46,*-11,  -4, 6, 17.6,②②②, 6, 4, ロビン,,難波  , 3.6,,,, 4,  7.0,⑥⑥⑥, 6, 4,Ｌホッコｰサクセス, 53,橋本美, 1.1, 57,  -6,   4,11,135.3,⑧⑦⑦, 6, 3,Ａツルマルオトメ, 89,赤木  , 0.3, 79,   5,  13, 1,  1.7,⑥⑦⑧
 7, 5,Ｈミッドナイトスタｰ, 36,本田  , 1.4, 34, -13, -12, 8, 99.2,⑥④⑥, 7, 5, カレンパパ,,高田  , 4.7,,,,10, 54.7,⑥⑦⑦, 7, 3,Ｉメイショウウｰキｰ, 64,安田  , 1.2, 54,* -4,  -1, 3,  5.1,②②②, 7,10,Ｂスピニングノアｰル, 83,武幸  , 0.3, 81,   5,  13, 2,  7.8,⑨⑨⑥
 8, 3,Ｇファンドリドｰタｰ, 40,和田  , 1.5, 33, -12, -14, 5, 16.6,④④④, 8,10, ナムラエルゲルｰジ,,植野  , 4.9,,,, 6, 24.4,⑧⑧⑨, 8,11,Ｈサンライズタイム, 65,武豊  , 1.3, 54,  -7,   2, 1,  3.3,⑧⑦⑦, 8, 9,Ｈタイキヘリオス, 74,ペリエ, 0.6, 77,  11,   4, 7, 16.2,④④⑥
 9, 1,Ｉプリティヒビキ, 27,小原  , 1.5, 36, -19,  -6, 9,131.4,⑧⑨⑨, 9,14, ニシノサチヒメ,,高橋康, 5.2,,,, 9, 48.0,⑪⑪⑧, 9, 7,Ｇハｰドオブプレイ, 65,上野翔, 1.3, 50,  -7,  -1,10, 41.7,④④⑥, 9, 6,Ｇキョウワハピネス, 74,渡辺薫, 0.8, 72,   2,   8, 8, 23.8,⑪⑪⑨
10, 9,Ｊシュンカ, 25,安部幸, 1.5, 37, -20,  -4,10,191.7,⑩⑩⑨,10, 8, ライブリトレジャｰ,,菊地昇, 5.2,,,, 7, 25.8,⑨⑨⑩,10,12,Ｋランドブラザｰ, 54,秋山  , 1.5, 53,  -6,   1, 8, 29.3,⑦⑦⑦,10,11,Ｉシルクブラボｰ, 73,小牧太, 0.8, 75,  11,   1, 6, 13.6,⑥④④
,,,,,,,,,,,,11,11, コネチカットダｰク,,南井  , 7.7,,,,13,111.4,⑩⑨⑪,11, 9,Ｅダイタクバンクス, 66,小牧太, 1.9, 50,  -8,   0,12,137.8,⑩⑪⑪,11, 4,Ｋショｰストッパｰ, 65,小林慎, 1.3, 64,   6,  -2,11,163.6,⑨⑦⑨
,,,,,,,,,,,,12, 9, ヤマカツアイガｰ,,宇田  ,18.7,,,,14,179.7,⑬⑬⑫,12, 1,Ｄリキパイレｰツ, 69,幸    , 2.3, 41,* -4, -14, 7, 28.1,①①①,,,,,,,,,,,,
,,,,,,,,,,,,13, 1, テイエムタツマキ,,白坂  ,18.9,,,,11, 77.5,⑭⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 3, サイトライン,,小坂  ,25.3,,,,12, 99.7,⑫⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-9),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,
単勝:280円 複勝:10=100円 07=100円 02=130円 枠連:250円,,,,,,,,,,,,"単勝:190円 複勝:12=150円 07=450円 06=600円 枠連:1,150円",,,,,,,,,,,,単勝:330円 複勝:10=150円 05=180円 06=310円 枠連:640円,,,,,,,,,,,,"単勝:960円 複勝:08=290円 07=360円 01=1,030円 枠連:2,070円",,,,,,,,,,,
馬連:260円 ワイド:07-10=130円 02-10=220円 02-07=220円,,,,,,,,,,,,"馬連:1,760円 ワイド:07-12=600円 06-12=1,080円 06-07=2,540円",,,,,,,,,,,,馬連:930円 ワイド:05-10=330円 06-10=600円 05-06=780円,,,,,,,,,,,,"馬連:4,580円 ワイド:07-08=1,450円 01-08=3,480円 01-07=3,380円",,,,,,,,,,,
馬単:620円 3連複:360円,,,,,,,,,,,,"馬単:2,600円 3連複:7,790円",,,,,,,,,,,,"馬単:1,840円 3連複:3,300円",,,,,,,,,,,,"馬単:9,050円 3連複:37,860円 3連単:185,410円",,,,,,,,,,,
■ 2R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 5R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上1000万(混) 別定,,,,,,,,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,北大路特別,,,,,,,,,,,,ｶｼｵﾍﾟｱｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｅアグネスヨジゲン, 61,上村  ,, 61,  -4,*  6, 3,  6.7,⑫⑪⑪, 1, 3, エアラホｰヤ,---,福永  ,, 77,*  9,   1, 1,  1.6,①①①, 1, 6,Ａメイショウオウテ, 84,武豊  ,, 81,   9,*  8, 1,  1.5,⑥⑥⑥, 1,12,Ｂアサカディフィｰト, 86,秋山  ,, 98,  -9,* 38,12, 45.5,⑫⑩⑩
 2, 1,Ｌマコトタイセイ, 34,福永  , 0.0, 61,  -1,  -2, 4, 10.8,⑥④③, 2,10, ダマスクロｰズ,---,ペリエ, 0.4, 70,*  9,  -5, 2,  3.4,②②②, 2, 9,Ｅマイネルエクセラン, 72,池添  , 0.2, 79,   8,*  8, 6, 31.3,⑧⑧⑧, 2,10,Ｆエリモハリアｰ, 82,北村浩, 0.1, 83,* -4,  27, 2,  5.0,③②②
 3, 6,Ｆセレｰノカント, 61,川田  , 0.0, 56,*  5, -22, 9, 42.1,①①①, 3, 1, ガチャガチャ,---,佐藤哲, 0.7, 62,  -1,  -1, 5, 16.6,⑤⑤③, 3, 3,Ｂストラタジェム, 82,福永  , 0.2, 80,   8,* 10, 3,  5.6,⑧⑧⑧, 3, 1,Ａハイアｰゲｰム, 90,武豊  , 0.1, 77,* -5,  24, 1,  4.2,⑤①①
 4, 4,Ｉマイネルヴェステン, 39,岩田  , 0.1, 59,*  1,  -8, 5, 19.2,②②②, 4, 4, エルベッタ,---,川田  , 1.4, 46,  -4, -11,10, 74.7,⑥⑤⑤, 4, 4,Ｈチョウキセキ, 67,太宰  , 0.3, 78,  11,   0, 8, 82.0,⑤⑤④, 4,11,Ｅグレイトジャｰニｰ, 84,幸    , 0.2, 90, -11,* 35, 3,  5.6,⑪⑩⑩
 5,14,Ｂキングエンペラｰ, 65,武豊  , 0.3, 59,  -3,  -2, 2,  6.6,⑩⑨⑦, 5, 7, メイショウイゴッソ,---,飯田  , 1.5, 42, -25,* 11, 3, 14.3,⑩⑪⑩, 5, 8,Ｇダンシングオン, 68,ルメｰ, 0.4, 79,  11,   3, 5, 18.8,⑥⑥⑥, 5, 2,Ｉスズノマｰチ, 80,北村宏, 0.2, 88,  -7,  32, 5,  8.6,⑤⑦⑦
 6, 9,Ｊミスタｰシｰザ, 39,荻野  , 0.3, 58,  -4,*  1,15,600.9,⑩⑪⑫, 6, 9, ホクザンワンダフル,---,幸    , 1.5, 45,  -7,  -7,13,155.6,⑧⑧⑨, 6, 2,Ｄエムティｰダイオｰ, 73,川田  , 0.7, 74,* 14, -12, 4, 11.8,②②②, 6, 3,Ｊレンドフェリｰチェ, 79,小牧太, 0.5, 69,* -6,  21,10, 35.5,①②④
 7, 5,Ｇサンレイキング, 48,渡辺薫, 0.5, 55,  -2,  -7,12, 95.8,⑦⑥⑦, 7, 6, ハマノビジン,---,酒井学, 1.8, 43,   1, -20, 6, 36.1,③③③, 7, 5,Ｃマルブツシルヴァｰ, 74,佐藤哲, 0.8, 72,  12, -11, 2,  5.2,③③②, 7, 8,Ｌエイシンチャンプ, 74,岩田  , 0.6, 79,  -6,  26,11, 40.9,⑧⑦⑦
 8,13,Ｄオハコ, 62,本田  , 0.7, 54,  -1, -13, 8, 26.0,⑤⑥③, 8, 5, テイエムアプロｰズ,---,和田  , 2.4, 33,  -7, -21, 7, 43.6,⑧⑧⑤, 8, 7,Ｆスプリングゲント, 69,秋山  , 0.9, 74,  13,  -9, 9,111.6,④④④, 8, 5,Ｃエイシンニｰザン, 85,福永  , 0.6, 63,* -7,  16, 4,  7.2,①②②
 9,12,Ｍタニノバロン, 15,松永  , 1.0, 50,  -1, -18, 6, 20.0,③④③, 9, 8, オメガトレンディ,---,岩田  , 2.4, 31,  -4, -24, 4, 14.9,⑥⑤⑧, 9, 1,Ｉトウカイチャンス, 55,幸    , 1.9, 61,* 16, -33, 7, 60.9,①①①, 9, 7,Ｄボｰンキング, 84,ルメｰ, 0.6, 75,  -8,  25, 7,  9.7,⑧⑦⑦
10, 8,Ａミスズエリコン, 68,小牧太, 1.5, 44,  -1, -26, 7, 21.9,⑨⑥⑥,10, 2, フミノフリｰダム,---,本田  , 2.6, 24, -23,  -8, 8, 46.0,⑪⑩⑩,,,,,,,,,,,,,10, 4,Ｇシルクネクサス, 82,池添  , 1.0, 58,* -9,  13, 9, 23.6,③⑤④
11, 3,Ｏアロンダイト,  2,幸    , 1.7, 43, -10,  -7,11, 74.1,⑮⑮⑮,11,13, アサヒダケ,---,菊地昇, 2.7, 27,  -1, -32, 9, 66.6,③③⑤,,,,,,,,,,,,,11, 9,Ｈチアズメッセｰジ, 82,本田  , 1.3, 60,* -4,  11, 6,  9.4,⑤⑤④
12, 2,Ｎマイネアトリｰチェ, 14,ルメｰ, 1.9, 40,  -3, -27,10, 62.9,⑧⑨⑦,12,11, メイショウスペｰド,---,池添  , 2.9, 14, -42,*  6,12,118.7,⑭⑬⑫,,,,,,,,,,,,,12, 6,Ｋイングランディｰレ, 76,ペリエ, 2.4, 55,  -4,   7, 8, 15.8,⑩⑩⑩
13, 7,Ｃタニノベリｰニ, 63,ペリエ, 1.9, 41,  -5, -21, 1,  1.7,⑬⑬⑫,13,12, ジンガロシチｰ,---,鮫島良, 3.2,  6, -39,  -6,11,110.6,⑫⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
14,16,Ｈミラクルゲッタｰ, 41,和田  , 1.9, 40,  -5, -21,13,181.5,⑬⑬⑭,14,14, バトルペルリｰヌ,---,太宰  , 3.7,  2, -41,  -9,14,314.7,⑬⑬⑫,,,,,,,,,,,,,,,,,,,,,,,,
15,10,Ｐクリノゴｰルド,-30,中村将, 4.1,  8,  -2, -70,14,496.4,③③⑦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:89 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:良(指数:-6),,,,,,,,,,,
"単勝:670円 複勝:15=250円 01=330円 06=940円 枠連:3,730円",,,,,,,,,,,,単勝:160円 複勝:03=110円 10=120円 01=240円 枠連:220円,,,,,,,,,,,,単勝:150円 複勝:06=110円 09=320円 03=150円 枠連:580円,,,,,,,,,,,,"単勝:4,550円 複勝:12=750円 10=180円 01=190円 枠連:610円",,,,,,,,,,,
"馬連:4,100円 ワイド:01-15=1,300円 06-15=5,800円 01-06=6,760円",,,,,,,,,,,,馬連:220円 ワイド:03-10=140円 01-03=410円 01-10=470円,,,,,,,,,,,,"馬連:1,620円 ワイド:06-09=540円 03-06=170円 03-09=1,090円",,,,,,,,,,,,"馬連:9,230円 ワイド:10-12=2,610円 01-12=2,950円 01-10=590円",,,,,,,,,,,
"馬単:8,770円 3連複:78,920円",,,,,,,,,,,,馬単:330円 3連複:910円,,,,,,,,,,,,"馬単:1,880円 3連複:1,680円",,,,,,,,,,,,"馬単:25,580円 3連複:20,770円 3連単:169,610円",,,,,,,,,,,
■ 3R  芝1600m 2 歳新馬(父) 馬齢,,,,,,,,,,,,■ 6R  芝1400m 2 歳500万(混) 馬齢,,,,,,,,,,,,■ 9R  ダ1400m 3歳上500万(混) 別定,,,,,,,,,,,,■12R  ダ1400m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
