05年11月 5日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年11月 5日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 別定,,,,,,,,,,,,■10R  芝1800m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,立冬特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａアナナス, 55,江田照,, 57,* -1,* -5, 1,  1.3,①①①, 1, 4, シｰクレットコｰド,---,横山典,, 59, -29,* 22, 4,  6.7,⑤③⑦, 1, 5,Ｂヒカルジェイエ, 66,横山典,, 72,* -8,* 18, 2,  3.3,①②②, 1, 1,Ａマチカネオｰラ, 81,藤田  ,, 78,* -1,* 19, 2,  2.9,③②③
 2, 9,Ｃマシｰン, 40,吉田豊, 0.1, 56,* -2,* -5, 2,  4.4,②②②, 2,11, ペンタコｰド,---,ボニヤ, 0.4, 46, -27,  13, 5,  9.2,⑨⑥④, 2, 9,Ｄアドマイヤドゴｰル, 65,ボニヤ, 0.1, 71,* -8,* 17, 1,  2.9,①①①, 2, 2,Ｃコンドルクエスト, 80,田中勝, 0.3, 70,*  1,  12, 3,  5.6,①①①
 3, 1,Ｂセルジュｰク, 44,藤田  , 1.2, 43, -10,  -7, 3,  9.3,⑦⑧⑨, 3, 2, クルミチャン,---,柴田善, 0.5, 37,*-24,   6,10, 38.9,①①①, 3, 3,Ｆオンワｰドマリオン, 63,藤田  , 0.7, 64, -11,  14, 5,  9.7,③④③, 3, 7,Ｇスイｰトアリッサム, 62,熊沢  , 0.6, 72,  -5,* 17, 7, 48.3,⑧⑧⑧
 4, 4,Ｄパットマンフィルド, 39,蛯名  , 1.3, 44,  -7, -11, 5, 33.0,⑨⑨⑦, 4,12, ウエスタンビｰナス,---,蛯名  , 0.6, 37,*-25,   6, 6, 11.7,⑥③②, 4,14,Ｊアルバレスト, 61,後藤浩, 0.9, 61, -11,  12, 3,  7.6,⑤④③, 4, 3,Ｆロｰドグランディス, 69,後藤浩, 0.6, 71,  -1,  14, 6, 20.0,⑤⑤⑤
 5, 7,Ｆスズウグイス, 30,後藤浩, 1.6, 41,  -4, -18, 4, 28.1,④③③, 5,10, ユキノマｰメイド,---,小野  , 0.7, 51, -34,* 20, 9, 29.6,⑬⑬⑬, 5,12,Ｃレックレスラン, 66,小野  , 1.1, 59,  -9,  10, 7, 16.1,③③③, 5, 5,Ｈストレッチランナｰ, 56,ボニヤ, 0.7, 68,  -1,  13, 8, 87.6,⑥⑤⑤
 6, 8,Ｅカンセイルｰセント, 35,ボニヤ, 1.8, 40,  -5, -18, 7, 70.8,⑦⑦④, 6, 1, セシルブルｰス,---,田中勝, 0.8, 35, -27,   6, 7, 14.3,④⑥④, 6,10,Ａヒカルマチェンドラ, 72,水出  , 1.2, 57, -16,  12, 4,  7.7,⑥⑨⑨, 6, 4,Ｄキャッスルブラウン, 75,蛯名  , 0.7, 66,*  2,   6, 5, 17.6,②②②
 7, 3,Ｇオンワｰドビギン, 18,田中勝, 2.1, 37,  -5, -21, 8,126.6,⑥⑤④, 7,14, シャラポワ,---,藤田  , 0.8, 38, -29,  10, 1,  3.2,⑦⑥⑦, 7, 2,Ｈウリエル, 62,吉田豊, 1.2, 57, -12,  11,10, 62.2,⑥⑥⑥, 7, 8,Ｂメガトンカフェ, 81,柴田善, 0.8, 63,* -1,   6, 1,  2.2,④④③
 8, 5,Ｈユキノスバル, -1,田中剛, 2.2, 34,  -5, -21, 9,158.6,②③④, 8, 8, ソノフェリｰチェ,---,熊沢  , 1.0, 36, -30,  10,13,142.3,⑪⑩⑩, 8,13,Ｋミリオンナイト, 58,小林淳, 1.4, 57, -15,  12,12,156.8,⑩⑩⑨, 8, 6,Ｅダｰクフラッシュ, 73,松岡  , 1.0, 61,  -3,   6, 4,  7.6,⑦⑦⑤
