05年11月19日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年11月19日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(抽) 馬齢,,,,,,,,,,,,■ 4R  芝3100m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 別定,,,,,,,,,,,,■10R  芝1400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,相模湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｆエｰピｰレジェンド, 42,ボニヤ,, 49,*  1,*-15, 3,  9.4,②②②, 1, 4, マイネルマルカｰト,,横山義,,,,, 1,  2.2,①①①, 1,12,Ｂアティｰナラビット, 68,柴山  ,, 80,* -1,* 17, 3,  4.6,②②②, 1, 8,Ａシンボリエスケｰプ, 83,蛯名  ,, 84, -13,* 31, 2,  3.0,⑥⑥⑥
 2, 9,Ｅインザリピｰト, 43,菊沢徳, 0.2, 46,  -9,* -4,12, 31.7,⑬⑭⑬, 2, 3, マダンテ,,出津  , 0.0,,,, 7, 26.9,①②②, 2, 6,Ａヒカルエンジェル, 69,後藤浩, 0.9, 67,*  1,   6, 4,  4.9,①①①, 2, 5,Ｐスペシャルバッハ, 67,伊藤直, 0.3, 58,* -7,   8,13,114.0,①②②
 3, 2,Ｇザンテツケン, 42,田中勝, 0.5, 45,*  0, -19, 4, 12.3,④⑤③, 3, 1, ビジネスサイクル,,宗像  , 1.9,,,, 5, 10.6,⑦⑤⑤, 3,10,Ｅウイングスオブヒロ, 62,横山典, 1.1, 72, -10,* 18, 2,  4.0,⑬⑮⑮, 3,15,Ｋイブロン, 73,藤田  , 0.4, 70, -16,  24, 1,  2.6,⑥⑥⑥
 4,11,Ａマシｰン, 54,吉田豊, 0.7, 43,*  0, -21, 1,  1.9,②③③, 4, 8, ポテンシャライズ,,山本  , 2.4,,,, 8, 30.6,⑩④④, 4, 9,Ｆテンジンノジョオｰ, 61,塚田  , 1.2, 63,  -4,   6, 6, 22.7,④④④, 4, 9,Ｆゴｰルドクラウン, 75,柴田善, 0.4, 63, -13,  20, 5, 12.5,②④④
 5,14,Ｊフジヤマホｰク, 37,松岡  , 1.0, 37,  -7, -17, 6, 16.9,⑨⑨⑪, 5,11, リキアイガイセン,,五十雄, 2.6,,,, 6, 26.1,⑥⑧⑧, 5, 2,Ｄウエスタンルｰジュ, 65,田中勝, 1.5, 64,  -4,   7, 5, 13.8,⑩⑦⑥, 5,11,Ｄヨイチサウス, 79,江田照, 0.5, 65, -10,  18, 9, 27.3,②③③
 6,12,Ｂロマンスオｰラ, 48,小林淳, 1.4, 36,  -2, -25,10, 28.4,⑤⑤⑥, 6,10, サムライワｰルド,,浜野谷, 3.6,,,, 4, 10.6,④⑤⑥, 6, 3,Ｈフサイチシルヴィ, 55,福永  , 1.5, 64,  -6,   9, 7, 37.3,⑩⑫⑩, 6, 6,Ｅヤナギムシ, 76,穂苅  , 0.7, 64, -19,  22,12,104.6,⑥⑧⑧
 7, 3,Ｐラインウィット,  5,小野  , 1.6, 35,  -2, -27,15,233.3,⑫⑧⑥, 7, 5, ホリディオンワｰド,,平沢健, 3.7,,,, 9, 50.3,③③③, 7, 1,Ｉミスソヴリン, 54,吉田隼, 2.1, 53,  -6,   0,10, 83.8,⑥⑦⑧, 7, 4,Ｈスノｰスタイル, 74,赤木  , 0.7, 70, -24,* 29,15,135.5,②⑧⑫
 8, 4,Ｃタネノエンプレス, 48,蛯名  , 1.6, 34,  -5, -23, 8, 23.3,⑨⑨⑧, 8, 7, ブレｰヴホｰラｰ,,嘉堂  , 4.3,,,, 2,  3.2,⑦⑩⑩, 8, 7,Ｋゴｰルデンキス, 52,南田  , 2.3, 53, -10,   3,11, 95.1,⑬⑭⑬, 8, 7,Ｉサンドクリｰク, 74,西田  , 0.7, 66, -22,* 25, 7, 24.4,⑬⑪⑩
