05年11月 5日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年11月 5日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝2000m 3歳上500万 別定,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 別定,,,,,,,,,,,,■10R  芝1800m 3歳上500万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二本松特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂプリンセスヨコハマ, 48,吉永  ,, 58,*  4,* -7, 4, 16.9,①①①, 1, 4,Ａトウカイワイルド, 82,長谷川,, 61,*-13,* 15, 1,  3.2,②②①, 1, 8,Ｂピサノペガサス, 67,塚田  ,, 72,*-12,* 24, 1,  1.4,③③②, 1, 4,Ｃグレｰトバルサｰ, 69,大西  ,, 81, -30,* 37, 3,  5.0,⑧⑧⑤
 2, 4,Ｍユトリロシチｰ,  7,武士沢, 0.2, 53,  -1,* -5,10, 71.6,④④④, 2, 8,Ｆユウタｰジャック, 61,中舘  , 0.1, 63,*-13,* 16, 5,  7.1,⑨③②, 2, 6,Ｋシルクヒｰロｰ, 56,武士沢, 0.2, 71,*-11,* 24, 9, 46.5,④④④, 2, 7,Ａダンツクインビｰ, 73,木幡  , 0.2, 58,*-26,  24, 1,  2.4,②②②
 3, 6,Ａダイワダイハｰド, 58,中舘  , 0.8, 49,*  3, -14, 1,  1.4,③②②, 3, 1,Ｂワンダフルボｰイ, 68,村田  , 0.5, 61, -15,* 17, 3,  4.9,⑥⑨⑤, 3, 5,Ａユｰスフルデイズ, 68,石橋脩, 1.0, 59, -12,  16, 2,  5.4,⑧⑥④, 3, 5,Ｂフジマサチャンプ, 70,中舘  , 0.2, 69, -27,  30, 2,  3.2,④⑤④
 4, 3,Ｅコスモライトニング, 35,池田  , 1.1, 42, -11,* -5,12,204.8,⑨⑨⑦, 4, 5,Ｈインタｰメルボルン, 59,津村  , 0.6, 55, -16,  14, 7, 18.4,⑥⑨⑦, 4, 9,Ｎワンダｰストライカ, 53,高野和, 1.0, 55,*-11,  13,14,420.7,①②②, 4, 2,Ｉスリｰハイシャトル, 46,千田  , 0.7, 37,*-25,  17, 5, 18.2,①①①
 5, 8,Ｇトｰセンビビッド, 32,木幡  , 1.6, 38,  -3, -17, 2,  6.1,⑤⑤⑤, 5, 9,Ｄスペシャルシチｰ, 65,丹内  , 1.0, 37,*-14,   0, 6, 18.0,①①②, 5, 4,Ｉオｰスミダンスイン, 59,木幡  , 1.1, 65, -15,  22, 5, 24.1,⑪⑪⑧, 5, 1,Ｅスマｰティアイダホ, 61,吉田隼, 0.8, 38, -28,  19, 7, 30.6,④⑤⑦
 6,11,Ｄエイシンテンテン, 37,野元  , 1.6, 36, -10, -11, 7, 27.8,⑦⑦⑦, 6, 6,Ｋサマｰオブキングス, 53,武士沢, 1.1, 43, -13,   7, 8, 25.7,⑥⑥⑨, 6, 7,Ｇナスケンウインド, 63,二本柳, 1.2, 56, -12,  15, 4, 16.4,⑧⑥⑦, 6,10,Ｄタイキブラック, 63,武士沢, 0.8, 60, -30,  27,10, 77.6,⑨⑨⑦
 7, 5,Ｉグレｰトセイウン, 29,畑端  , 1.6, 41,*  3, -22, 6, 27.5,②②②, 7,10,Ｅジェネビアン, 62,内田浩, 1.1, 43, -15,   5, 4,  6.5,⑤⑥⑦, 7,13,Ｃバンダムロッシ, 67,大野  , 1.2, 53,*-12,  13, 7, 33.9,④④⑥, 7, 8,Ｇミヤコザムライ, 60,柴田大, 1.0, 32,*-26,  12, 8, 47.5,③②③
 8, 7,Ｋシゲルドッポダカ, 19,長谷川, 2.1, 29, -14, -14,11,148.6,⑪⑩⑩, 8, 2,Ｇクロノセンリツ, 60,柴田大, 1.1, 42, -14,   2, 9, 43.6,③⑤④, 8,15,Ｈマッキｰタイガｰ, 59,野元  , 1.3, 54,*-10,  11,10, 50.1,①①①, 8, 3,Ｈカムパネルラ, 49,菊沢徳, 1.1, 51, -31,  23, 9, 62.2,⑩⑨⑦
