05年10月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年10月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 別定,,,,,,,,,,,,■10R  芝2000m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,精進湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂアリマエクセレント, 53,田中勝,, 58, -10,   7, 4, 17.4,③④②, 1,11, バルトフォンテン,,横山義,,,,, 1,  2.3,④④③, 1,15,Ｄユノナゲット, 66,四位  ,, 74,  -5,* 16, 2,  6.0,⑥⑥⑤, 1, 7,Ｄマチカネキララ, 78,北村宏,, 78,  -9,* 26, 1,  1.6,⑦④⑤
 2, 3,Ａシベリアンヒｰト, 55,蛯名  , 0.0, 57,* -7,   4, 1,  1.1,①①①, 2, 1, ダンシンリボルバｰ,,金子光, 0.7,,,, 5, 10.9,②②①, 2, 2,Ｈレコンパンス, 62,ペリエ, 0.2, 68,* -3,  11, 3,  8.5,①①①, 2,10,Ａヴンダｰ, 82,横山典, 0.3, 65,* -7,  17, 2,  5.2,①①①
 3, 4,Ｃエヒテンヴィｰゼ, 30,後藤浩, 0.2, 62, -19,* 17, 6, 48.1,⑩⑩⑩, 3, 2, スマｰトフェアリｰ,,田中剛, 1.4,,,, 3,  6.8,④⑤⑤, 3,11,Ｃストロングパイソン, 69,武豊  , 0.2, 73,  -6,* 16, 5,  8.7,⑧⑧⑦, 3, 2,Ｈヒカルドウキセイ, 73,後藤浩, 0.3, 72,  -9,  24, 7, 25.7,⑥⑦⑦
 4, 6,Ｊサトノアリオン,-22,柴田善, 0.7, 51, -14,   5, 5, 25.1,⑧⑦⑦, 4,14, ジェイケイテイオｰ,,平沢健, 1.7,,,, 2,  4.0,⑥⑦⑦, 4,13,Ｂトｰセンディバイン, 69,内田博, 0.5, 65,* -4,   9, 1,  1.7,④④②, 4, 1,Ｂマイネルアンセム, 80,佐藤哲, 0.5, 64,  -8,  17, 6, 22.2,③④③
 5, 7,Ｄヒカルマイハｰト, 29,横山典, 1.4, 41,*-10,  -8, 2, 12.7,②②②, 5,10, スｰパｰヒｰロｰ,,山本  , 2.4,,,, 9, 36.1,⑥⑧⑧, 5,12,Ｊソブリンブライト, 59,石神  , 0.8, 66,  -8,* 13,14,284.0,⑩⑩⑨, 5, 8,Ｇルｰベンスメモリｰ, 76,蛯名  , 0.5, 63,* -6,  17, 3,  5.7,⑤②②
 6,10,Ｆミッキｰスマイル, 24,内田博, 1.5, 41, -10,  -8, 3, 14.9,④②②, 6, 8, セイウンバンチョｰ,,林    , 3.6,,,, 6, 11.1,①①②, 6, 1,Ｆウルフボｰイ, 64,横山典, 0.8, 62,  -6,   9, 4,  8.6,②④⑥, 6, 4,Ｉウェルシュステラ, 73,内田博, 0.6, 73, -10,  24, 4, 18.9,⑪⑩⑩
 7, 2,Ｅレプリゼント, 28,江田照, 2.7, 28, -12, -16, 9,249.1,⑥⑤⑤, 7,12, ツｰドックス,,柴田未, 3.7,,,,11,157.6,⑫⑩⑩, 7, 9,Ａバブルサウンド, 70,蓑島  , 1.0, 59,* -4,   4,11, 64.9,④②②, 7, 9,Ｃメジロベネット, 78,高橋智, 0.6, 61,  -7,  16, 8, 35.0,②②③
 8, 8,Ｇカナハラグレｰス,  5,勝浦  , 2.9, 26, -15, -16, 7, 72.3,④⑧⑦, 8, 9, エンタルピｰ,,穂苅  , 3.7,,,, 8, 33.5,⑧⑤⑤, 8, 4,Ｇヴァクストゥｰム, 62,北村宏, 1.4, 56,* -3,   1, 9, 50.3,③②②, 8, 6,Ｅアグネスパウエル, 78,勝浦  , 1.1, 61, -11,  18,10,105.4,⑨⑪⑩
