05年10月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年10月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(抽) 馬齢,,,,,,,,,,,,■ 4R  芝2910m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 別定,,,,,,,,,,,,■10R  芝1400m 3歳上1000万(牝) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,久多特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａメイショウブルドｰ, 63,武豊  ,, 53,*  2, -14, 1,  1.1,②②②, 1, 7, ナイストップボｰイ,,熊沢  ,,,,, 3,  6.8,①①①, 1, 4,Ａセトノシェｰバｰ, 71,佐藤哲,, 79,   4,* 12, 3,  5.8,③③③, 1,17,Ａチリエｰジェ, 82,河北  ,, 73,* -5,  18, 3,  6.9,②②②
 2, 1,Ｄマイネルサイファｰ, 47,川島信, 0.1, 51,  -4,* -8, 3, 17.4,⑩⑧⑦, 2, 4, ファントムスズカ,,北沢  , 0.9,,,, 1,  2.5,②④②, 2, 6,Ｄブレッチングスキｰ, 69,安藤勝, 0.5, 75,*  5,*  5, 2,  5.2,①②②, 2,10,Ｈミルフィオリ, 75,安藤勝, 0.0, 79,  -7,  21, 5,  8.1,⑧⑥④
 3, 9,Ｊシゲルハンドウダカ, 27,小原  , 0.2, 50,  -3,* -9, 9,170.3,⑧⑧⑦, 3,11, ブルｰアルパイン,,今村  , 2.0,,,, 8, 44.4,⑩③③, 3,14,Ｆサンクスアロット, 67,武豊  , 1.7, 62,   0,  -1, 1,  1.6,⑤⑥⑦, 3,14,Ｐダｰビｰゾｰン, 69,難波  , 0.1, 73,* -6,  18, 8, 41.8,②③④
 4,11,Ｂオナｰリｰブ, 58,小牧太, 0.9, 43,  -3, -18, 2,  5.8,⑦⑥⑤, 4, 6, ロビン,,リデル, 2.4,,,, 2,  3.5,②④④, 4,10,Ｃフジヤマヘイザン, 69,田嶋翔, 1.7, 62,  -4,   4, 8, 45.5,⑬⑬⑫, 4, 6,Ｂブリリアントグレイ, 82,本田  , 0.1, 79,  -9,* 23, 1,  2.2,⑤⑪⑪
 5, 4,Ｃステラゴｰルド, 49,上野翔, 1.6, 33, -12, -16, 5, 35.3,⑪⑪⑩, 5, 3, ユウワンプラテクト,,高橋康, 3.1,,,, 4,  8.7,⑨⑦⑤, 5, 7,Ｋタガノコマンダｰ, 55,飯田  , 1.7, 63,  -1,   1, 4, 16.8,⑨⑨⑧, 5, 3,Ｌダブルタイトル, 73,小林徹, 0.1, 80,  -9,* 23,13, 96.8,⑪⑪⑧
 6, 7,Ｇウィズインシｰズ, 37,小坂  , 1.9, 35,*  2, -33, 6, 48.5,②②②, 6,10, ライブリトレジャｰ,,菊地昇, 3.2,,,, 6, 18.8,⑦④⑧, 6,11,Ｊパｰプルコブラ, 60,畑端  , 2.0, 60,  -3,   1, 9, 51.7,⑬⑬⑫, 6, 4,Ｃグレイシアブルｰ, 79,武豊  , 0.2, 82, -16,* 28, 2,  5.2,⑰⑰⑬
 7, 5,Ｈアスカノヒミコ, 35,渡辺薫, 1.9, 33,  -7, -23,10,175.7,⑧⑩⑨, 7, 8, ニシノサチヒメ,,林    , 3.5,,,,10, 48.1,⑧⑧⑥, 7, 3,Ｍデンコウタｰビン, 53,佐久間, 2.1, 57,*  4, -12,12,169.5,①①①, 7, 9,Ｉジョウノオｰロラ, 75,四位  , 0.3, 69,  -8,  16,10, 57.4,⑪⑥④
 8, 8,Ｆリキアイファイト, 38,安田  , 1.9, 35,   1, -33, 7,116.4,④④②, 8,14, ホワイトタスク,,高野容, 3.7,,,, 7, 31.5,⑤⑨⑨, 8,12,Ｂアドマイヤシェイク, 69,本田  , 2.4, 55,  -1,  -6, 7, 32.0,⑪⑨⑪, 8,12,Ｎジョｰフュｰジョン, 70,和田  , 0.4, 69,  -7,  15,16,123.9,⑥⑤④
