05年11月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年11月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上1000万(混) 別定,,,,,,,,,,,,■10R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｾﾚﾌﾞﾚｲｼｮﾝ賞,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｈゴｰファイトウィン, 40,横山典,, 61,  -4,*  6, 3,  4.7,⑭⑭⑫, 1,16, ダノンブリエ,---,デット,, 65,* -8,* 10, 2,  3.4,④②②, 1, 6,Ｍヴィフォルテ, 64,安藤勝,, 80,  -5,* 23,11, 52.4,④⑥⑥, 1,14, アルカセット,---,デット,,101,  22,* 15, 3, 10.6,⑫⑨⑨
 2, 5,Ｂインテレット, 52,デザｰ, 0.0, 61,   0,* -1, 2,  4.1,⑤⑥⑤, 2, 7, エイダイタカラブネ,---,二本柳, 0.5, 53,* -5,  -1, 5, 15.5,①①①, 2, 8,Ｄゲイリｰリボルバｰ, 74,北村宏, 0.2, 80,  -6,* 23, 2,  3.9,⑦⑨⑦, 2,16,Ｂハｰツクライ,100,ルメｰ, 0.0, 99,  19,* 20, 2,  7.2,⑯⑮⑬
 3,10,Ｄトウショウアラジン, 46,伊藤直, 1.0, 52,  -1, -10, 4,  6.9,⑦⑥⑦, 3,10, ヒカルルｰジュ,---,ボニヤ, 0.5, 56,*-10,   6, 7, 29.6,③④③, 3,15,Ａチョウカイロイヤル, 81,村田  , 0.3, 76,  -5,  21, 4,  7.5,⑨⑦⑦, 3, 8,Ａゼンノロブロイ,102,デザｰ, 0.3, 98,  20,* 16, 1,  2.1,⑬⑬⑬
 4,11,Ｐアルスボヘミアン, -1,菊沢徳, 1.0, 53,  -1,  -9, 6, 16.4,⑪⑩⑧, 4, 5, バウンシングボマｰ,---,武豊  , 0.6, 61, -19,* 17, 3,  4.6,⑩⑩⑨, 4, 4,Ｇポジティヴトライ, 70,菊沢徳, 0.5, 74,  -6,  22,10, 48.5,⑥⑧⑩, 4, 5,Ｃリンカｰン, 97,武豊  , 0.3, 97,  21,  12, 9, 20.5,⑦⑨⑨
 5, 8,Ｃハイエンドクォｰツ, 47,佐藤哲, 1.1, 52,  -3,  -8, 5, 10.3,⑫⑫⑩, 5,11, ビｰビｰイリュｰム,---,蛯名  , 0.9, 49,* -9,  -2, 4,  7.4,④③③, 5,13,Ｂスタｰボイジャｰ, 76,柴田善, 0.5, 78, -10,* 25, 1,  3.5,⑭⑬⑬, 5, 6, ウィジャボｰド,---,ファロ, 0.3, 97,  22,   6, 5, 12.8,⑩⑦④
 6,16,Ｅグランドタイガｰ, 44,吉永  , 1.3, 50,  -3, -10, 8, 22.0,⑩⑪⑩, 6,13, サトノソニック,---,デザｰ, 1.0, 48, -13,   2, 1,  2.9,④④⑤, 6, 7,Ｃカネスベネフィット, 74,ボニヤ, 0.5, 72,  -4,  17, 8, 38.1,⑦⑤④, 6,13,Ｇサンライズペガサス, 89,蛯名  , 0.5, 96,  19,* 16,15, 71.9,⑮⑮⑯
 7, 3,Ｎロックリヴァｰ, 22,松岡  , 1.9, 44,*  1, -23,12,142.5,②②②, 7, 1, メジロクロフォｰド,---,小野  , 1.1, 46, -15,   2,10, 70.9,②⑥⑥, 7, 9,Ｅヘイアンワイルド, 71,横山典, 0.8, 67,* -2,  11, 3,  4.8,②②②, 7,10,Ｄヘヴンリｰロマンス, 96,松永  , 0.6, 95,  22,   4, 8, 19.5,⑧⑦⑥
 8, 9,Ｆメジログリフィｰ, 43,ファロ, 2.1, 44,*  2, -24, 1,  3.2,④②①, 8, 3, ロイバｰベナｰル,---,松岡  , 1.7, 36, -16,  -6, 8, 33.0,⑦⑥⑦, 8,10,Ｐコウジンアルス, 56,吉永  , 1.0, 65,  -3,  11,14, 94.4,④③④, 8,12, バゴ,---,ジレ  , 0.7, 92,  20,   6, 6, 12.9,⑩⑪⑪
 9, 4,Ｍスナｰクオリオン, 26,大庭  , 2.5, 40,  -1, -23,15,336.1,⑨⑧⑧, 9, 9, ディスイズザライフ,---,吉田豊, 1.9, 40, -26,   6,14,137.7,⑭⑭⑬, 9,11,Ｊニシノイワイザケ, 69,大庭  , 1.0, 72, -11,  23,12, 57.3,⑫⑭⑮, 9,17,Ｅスズカマンボ, 92,安藤勝, 0.8, 92,  18,  12,10, 26.3,⑰⑰⑰
10,13,Ａブルｰポラリス, 52,吉田豊, 2.6, 39,   1, -28, 7, 17.9,⑤②②,10,15, ミサトテイオｰ,---,佐藤哲, 2.3, 34, -30,   4, 9, 51.9,⑮⑮⑮,10, 3,Ｋクｰルキャスケｰド, 68,江田照, 1.1, 67,  -5,  14, 9, 45.5,⑪⑨⑦,10, 2,Ｆタップダンスシチｰ, 91,佐藤哲, 1.0, 87,* 29, -24, 7, 17.2,①①①
11, 2,Ｋトッチンコボ, 36,岩部  , 3.4, 31, -14, -12,13,199.1,⑮⑮⑮,11,18, テアドｰロ,---,ルメｰ, 2.3, 30, -19, -10,13,125.5,⑩⑩⑨,11, 1,Ｎカミノヤマボｰイ, 63,本田  , 1.1, 66,  -8,  16,13, 77.3,⑩⑨⑪,11, 4,Ｉアドマイヤジャパン, 88,横山典, 1.1, 85,  21,  -5, 4, 11.9,⑤⑤⑥
12,15,Ｏブラックナイト, 20,江田照, 3.7, 29,  -6, -28,14,320.3,⑬⑫⑭,12, 6, ヤマニンブルズアイ,---,江田照, 2.4, 30, -28,   1,12,122.3,⑮⑮⑮,12,12,Ｌタマモハイテンポ, 68,松岡  , 1.2, 68, -10,  19, 7, 19.9,⑯⑭⑬,12, 7, ベタｰトｰクナウ,---,ドミン, 1.3, 89,  20,   1,11, 33.5,⑬⑬⑬
13, 7,Ｇエフテｰラヴ, 41,丹内  , 4.2, 23, -15, -20,16,440.9,⑯⑯⑮,13,12, バイカルリッチ,---,藤田  , 2.6, 26, -24,  -9,17,208.3,⑫⑫⑫,13, 2,Ｆハリｰコマンド, 71,デザｰ, 1.6, 59,* -2,   5, 5,  9.0,③③②,13, 3,Ｍウォｰサン, 70,スペン, 1.3, 88,  20,  -1,16, 97.3,⑧⑪⑪
14, 1,Ｉダノンクラフト, 37,四位  , 5.0, 17,   0, -51,10, 51.8,①①⑤,14, 2, ピュアウインド,---,柄崎  , 2.6, 30, -34,   6,18,302.9,⑰⑱⑰,14, 5,Ｏジョｰジアンキング, 60,田中勝, 2.0, 53,*  1,  -3,16,168.7,①①①,14,11,Ｈコスモバルク, 89,ボニヤ, 1.4, 84,* 23, -14,12, 50.1,④④③
15,14,Ｌキングダム, 33,藤田  , 5.1, 17,  -4, -44,11, 94.4,⑧⑧⑫,15,14, ジェシｰ,---,土谷  , 2.8, 20, -17, -21,15,167.8,⑦⑥⑦,15,16,Ｉソブリンブライト, 69,石神  , 2.1, 56, -12,  11,15,149.6,⑫⑭⑮,15, 1,Ｌマイソｰルサウンド, 74,本田  , 1.9, 83,  16,   2,18,137.4,⑱⑱⑱
16, 6,Ｊトｰホウヘッド, 37,蛯名  , 5.4, 16,*  2, -57, 9, 27.2,②②②,16,17, エアイｰリス,---,田中勝, 2.8, 19, -19, -18,16,194.2,⑦⑥⑨,16,14,Ｈシトラスブリｰズ, 70,藤田  , 2.2, 54,  -8,   7, 6, 14.0,⑮⑨⑪,16,15, キングスドラマ,---,プラｰ, 2.9, 72,  22, -31,13, 59.8,⑥⑤⑥
,,,,,,,,,,,,17, 4, シルクプレアデス,---,横山典, 3.3, 17, -34,  -5, 6, 22.9,⑰⑰⑰,,,,,,,,,,,,,17,18,Ｋビッグゴｰルド, 74,和田  , 3.5, 64,  23, -44,17,135.1,③③④
,,,,,,,,,,,,18, 8, ムッシュデアマンテ,---,ペリエ, 4.8,-12, -26, -40,11,109.6,⑬⑫⑬,,,,,,,,,,,,,18, 9,Ｊストｰミｰカフェ, 77,四位  , 3.6, 60,* 25, -56,14, 70.6,②②②
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+23 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:100 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-6),,,,,,,,,,,
単勝:470円 複勝:12=180円 05=170円 10=200円 枠連:600円,,,,,,,,,,,,"単勝:340円 複勝:16=170円 07=400円 10=530円 枠連:2,670円",,,,,,,,,,,,"単勝:5,240円 複勝:06=1,160円 08=180円 15=290円 枠連:5,800円",,,,,,,,,,,,"単勝:1,060円 複勝:14=260円 16=180円 08=110円 枠連:2,020円",,,,,,,,,,,
馬連:980円 ワイド:05-12=350円 10-12=520円 05-10=520円,,,,,,,,,,,,"馬連:2,630円 ワイド:07-16=760円 10-16=1,400円 07-10=3,040円",,,,,,,,,,,,"馬連:10,970円 ワイド:06-08=3,110円 06-15=5,490円 08-15=680円",,,,,,,,,,,,"馬連:3,310円 ワイド:14-16=1,130円 08-14=450円 08-16=310円",,,,,,,,,,,
"馬単:2,140円 3連複:2,140円",,,,,,,,,,,,"馬単:4,010円 3連複:14,070円",,,,,,,,,,,,"馬単:32,810円 3連複:27,580円",,,,,,,,,,,,"馬単:6,330円 3連複:1,850円 3連単:15,450円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 5R  ダ1600m 2 歳500万(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1600m 3歳上1600万(混) 別定,,,,,,,,,,,,■11R  芝1600m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｳｪﾙｶﾑｽﾃｰｸｽ,,,,,,,,,,,,ｱﾌﾟﾛｰｽﾞ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
