05年11月 6日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年11月 6日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝2600m 3歳上500万 別定,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万 別定,,,,,,,,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福島2歳ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｆダンツバクシンオｰ, 31,津村  ,, 45,* -4, -11, 3,  7.1,②①①, 1, 6,Ｂマキハタサイボｰグ, 70,芹沢  ,, 61,*-14,  19, 8, 21.4,⑥⑤③, 1,10,Ｂペガサスファイト, 72,長谷川,, 67,*-18,* 24, 1,  2.7,②②②, 1, 1,Ｂプラチナロｰズ, 60,武士沢,, 65, -16,* 20, 3,  6.3,⑥⑤⑤
 2, 2,Ｊミヤギシンザン, 14,大野  , 0.2, 41, -10,*-10, 9,123.2,④③③, 2,10,Ａパｰプルファルコン, 73,中舘  , 0.0, 64,*-13,  21, 1,  2.5,⑧⑤③, 2, 5,Ａテイエムハヤブサ, 74,高井  , 0.1, 60,*-18,  20, 4,  6.0,①①①, 2, 4, スピンオフ,---,古川吉, 0.2, 62, -19,* 20,11,131.6,⑦⑦⑦
 3, 1,Ｅアイノヤマト, 31,柴田大, 0.4, 42,  -8, -11, 7, 54.0,④③③, 3, 5,Ｆナリタルｰキｰ, 61,長谷川, 0.3, 52,*-15,  14, 6, 17.7,⑥⑤⑥, 3, 2,Ｅブラックアルタイル, 63,中舘  , 0.2, 67,*-18,* 25, 2,  3.9,⑥③③, 3, 8,Ａコスモルビｰ, 64,大西  , 0.3, 61, -21,* 20, 1,  2.2,⑨⑨⑦
 4, 8,Ａトップキララ, 50,高井  , 0.5, 37, -18,* -7, 4, 14.3,⑩⑧⑨, 4, 2,Ｅメジロハスラｰ, 64,赤木  , 0.4, 45,*-13,   9, 3,  6.8,①①①, 4, 4,Ｈモンブランカフェ, 57,小島一, 0.2, 66, -20,* 25, 6, 16.7,③③④, 4, 6,Ｃケイアイデジタル, 58,二本柳, 0.6, 52, -11,   6, 4,  8.5,③③③
 5, 9,Ｃファウンテンビｰト, 32,石橋脩, 0.5, 39,* -4, -18, 6, 44.2,①②②, 5,11,Ｋハイエストフォｰス, 53,石橋脩, 0.4, 63, -18,* 23, 5, 16.2,⑪⑪⑩, 5, 3,Ｃマイネルガルニエ, 66,津村  , 0.6, 60, -21,  22, 3,  5.5,⑤⑦⑤, 5,10,Ｈハンナフレグランス, 31,中舘  , 0.7, 50,* -8,   1, 8, 19.6,②②②
 6, 4,Ｂディｰプパｰトナｰ, 45,大西  , 0.5, 40,  -9, -11, 1,  1.3,③③⑤, 6, 1,Ｉビッグフリｰダム, 54,土谷  , 0.4, 49,*-13,  11, 9, 23.2,④③③, 6, 6,Ｄヤマニンビジュｰ, 65,武士沢, 0.9, 52, -18,  19,10, 48.1,⑥⑤⑤, 6, 2,Ｄイサミサクラサクラ, 57,赤木  , 0.9, 47, -13,   3, 5, 11.0,③④③
 7, 7,Ｋイケグットフェロｰ,  7,吉田隼, 1.2, 26, -19, -16,10,172.1,⑧⑧⑨, 7, 3,Ｃマチカネウマジルシ, 68,松田  , 0.4, 48,*-12,  10, 2,  3.2,②②②, 7, 7,Ｉフュｰチャギャング, 57,二本柳, 1.1, 52, -20,  20, 8, 33.0,⑧⑧⑦, 7, 9, ビｰビｰカルネ,---,菊沢徳, 0.9, 45,* -6,  -3, 9, 74.4,①①①
 8,11,Ｇカシノロイヤル, 30,田面木, 1.2, 30, -11, -20, 5, 21.3,④⑥⑥, 8, 7,Ｈプレミアシスタｰズ, 59,中村将, 1.1, 38, -17,   6,11, 74.3,⑨⑨⑦, 8, 8,Ｇキャピタルゲイン, 58,松田  , 1.3, 52, -22,  22, 5, 11.6,⑩⑩⑪, 8, 3, コンゴウマドンナ,---,長谷川, 1.2, 44, -24,   9,10,115.1,⑩⑪⑩
