05年12月11日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月11日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 別定,,,,,,,,,,,,■10R  芝1200m 2 歳500万(混) 馬齢,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,つわぶき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａレッドバラｰド, 56,小林徹,, 63,*  9,  -9, 1,  1.4,①①①, 1, 4, ナックルボｰル,---,小林徹,, 46, -23,* 10, 1,  2.8,⑥⑥⑥, 1,11,Ａペルソナｰジュ, 63,池田  ,, 69,   3,*  4, 1,  1.8,⑪⑦⑥, 1, 7,Ａマルカアイチャン, 70,赤木  ,, 76,   2,* 14, 1,  2.9,⑨⑪⑨
 2,12,Ｂクリノファイトオｰ, 45,佐藤哲, 0.0, 57,   1,* -4, 2,  5.4,④④⑤, 2,10, サンレイコマンド,---,大西  , 0.1, 39, -21,   4, 3,  4.3,④④③, 2, 2,Ｍナリタルｰキｰ, 52,河北  , 0.3, 64,   3,* -1, 3,  7.4,⑦③④, 2, 8,Ｉイサミサクラサクラ, 55,津村  , 0.2, 77,* 15,  -1, 6, 14.5,②②②
 3, 3,Ｈグレｰトセイウン, 37,畑端  , 0.6, 52,*  4, -12, 3, 10.2,①②②, 3, 6, キシュウレジェンド,---,安部幸, 0.1, 51, -27,* 16, 9, 53.2,⑩⑩⑨, 3, 1,Ｆニｰマルファイタｰ, 59,柴田大, 0.6, 63,   2,* -1, 8, 30.9,⑦⑨⑦, 3,17,Ｇアナナス, 55,中舘  , 0.3, 77,* 17,  -4, 7, 14.9,①①①
 4,14,Ｇナムラフウウンジ, 39,松田  , 0.7, 44,  -9,* -5, 8, 50.5,⑩⑩⑫, 4, 3, インスパイアリング,---,中舘  , 0.3, 31,*-18,  -5, 2,  3.0,②②②, 4, 7,Ｃニシノガルｰダ, 61,田辺  , 0.8, 63,   4,  -5, 5, 10.7,⑩③②, 4, 6,Ｂスピンオフ, 62,古川吉, 0.4, 71,   7,   3, 2,  5.2,⑧⑤④
 5, 4,Ｆアロｰラヴィｰン, 41,中舘  , 0.8, 50,*  4, -14, 4, 13.5,①②③, 5, 5, ホｰマンブレｰク,---,佐藤哲, 0.5, 31, -21,  -2, 4,  8.2,④④③, 5,10,Ｊウォｰクドントラン, 58,赤木  , 1.2, 58,*  4, -11, 4, 10.2,③②②, 5, 5,Ｃラララウィンパル, 60,北村浩, 0.4, 71,   9,   2,11, 34.4,⑤⑤④
 6, 6,Ｅタマモヘヴン, 41,塚田  , 0.8, 45,   0, -14, 9,126.9,⑤④③, 6, 8, チェリｰリキオｰ,---,高橋亮, 0.6, 28, -20,  -7, 6, 19.8,③③③, 6, 4,Ｌスリｰセレブル, 53,小林徹, 1.5, 57,   0,  -7, 9, 48.0,⑫⑫⑨, 6,15,Ｌヤマニンエマイユ, 54,武士沢, 0.6, 66,   1,*  6, 5, 13.7,⑮⑪⑫
 7, 5,Ｃソニックオｰ, 43,佐藤聖, 0.8, 41, -13,* -6, 6, 22.5,⑬⑫⑩, 7, 1, サンライズタイタン,---,西田  , 0.8, 31, -26,   3,10, 76.8,⑨⑨⑨, 7, 9,Ｄアスキットアジュ, 60,佐藤聖, 1.5, 52,*  3, -17,13, 95.9,①①①, 7,13,Ｅツアｰデフォｰス, 58,太宰  , 0.6, 69,   9,  -1, 8, 16.6,⑤⑤④
 8, 7,Ｋプリヴェｰリング, 31,池田  , 1.2, 41,  -5, -12,12,324.6,⑪⑧⑦, 8, 7, ヒカリネオジュｰム,---,柴原  , 1.2, 22, -23,  -8, 5, 10.7,⑧⑥⑦, 8, 6,Ｋマイネルスペリオル, 57,東川  , 1.7, 54,   3, -14, 6, 16.1,③⑥④, 8,12,Ｎホッカイカフェ, 51,小島一, 1.0, 60,   1,   0,15, 74.7,⑭⑪⑫
 9, 1,Ｏラｰジフルタテヤマ,  8,田嶋翔, 1.2, 41,  -4, -13, 7, 45.0,⑥⑥⑤, 9, 2, ハクタカ,---,小池  , 1.3, 15,*-17, -22, 7, 39.8,①①①, 9,13,Ｏシルクエピソｰド, 49,西田  , 1.9, 53,  -2,  -8,14,229.9,⑮⑬⑫, 9,14,Ｏテイエムミゴテカ, 48,小池  , 1.0, 61,   4,  -3,13, 71.7,⑨⑨⑨
10,11,Ｊミヤコサンサン, 32,柴田大, 1.3, 40,  -5, -13,13,488.0,⑧⑧⑦,10, 9, トウショウノｰティ,---,菊沢徳, 1.5, 17, -23, -13, 8, 51.9,⑥⑥⑦,10,14,Ｅグラスイｰグル, 60,武士沢, 1.9, 52,   2, -14,12, 54.6,③⑦⑦,10, 9,Ｈロングフラワｰ, 55,長谷川, 1.2, 61,* 13, -15, 3,  5.9,②②③
11,13,Ｍリュウスパイク, 22,小島一, 1.3, 34, -18,* -8,15,533.9,⑮⑮⑬,,,,,,,,,,,,,11,15,Ｂマイネルヴェンティ, 62,水出  , 1.9, 50,  -3,  -9,11, 49.5,⑭⑬⑫,11, 4,Ｐシンボリカッシｰニ, 43,西田  , 1.2, 55,  -6,   3,17,160.3,⑮⑯⑮
