05年12月18日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月18日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 2 歳500万(混) 馬齢,,,,,,,,,,,,■10R  芝1200m 3歳上1600万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,市川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃフレンチシェフ, 58,デザｰ,, 62,  -3,*  3, 1,  1.3,③⑧⑤, 1, 3, ルックアミリオン,---,蛯名  ,, 52,   8, -16, 1,  3.2,⑤⑤⑤, 1, 9,Ａフラムドパシオン, 70,北村宏,, 92,* 14,* 14, 1,  2.1,③②①, 1,10,Ｋコパノフウジン, 74,長谷川,, 88,*  9,* 16, 4,  8.6,③③②
 2,10,Ｏバクシンキｰタ, 17,高山太, 0.2, 61,*  3,  -5,10,113.4,⑧②②, 2, 8, デアリングワｰルド,---,和田  , 0.5, 44,  -4, -10, 4,  9.8,⑧⑧⑧, 2, 7,Ｂフィｰルドオアシス, 67,デザｰ, 2.4, 73,   7,*  5, 2,  2.6,⑥④④, 2, 7,Ｇナチュラルメイク, 80,デザｰ, 0.2, 83,   4,* 17, 7, 13.0,⑧⑤⑨
 3,16,Ａイッツソｰクｰル, 59,蛯名  , 0.2, 61,*  3,  -5, 3, 10.6,⑩①③, 3,13, ペシミスト,---,菊沢徳, 0.7, 40,  -8,* -8, 9, 36.5,⑪⑩⑪, 3,14,Ｆカナハラグロリア, 54,勝浦  , 3.2, 68,   6,   0, 4, 13.2,⑧⑦⑤, 3, 5,Ｏメジロハンタｰ, 64,村田  , 0.3, 82,   6,  14, 9, 20.9,⑤⑤⑤
 4, 9,Ｉヤマテプログレス, 38,丹内  , 0.5, 56,*  2,  -8,11,240.0,①②①, 4, 2, キタサンモノガタリ,---,勝浦  , 0.7, 47,* 13, -27,11, 94.8,①①①, 4,10, ピｰスオブレグルス,---,山口竜, 3.8, 63,   2,   1, 6, 33.4,⑮⑫⑫, 4, 2,Ｄビｰナスライン, 82,張田  , 0.3, 82,   6,  14, 6, 12.7,⑤⑤⑤
 5,12,Ｇコスモメテオ, 44,松岡  , 0.7, 54,   1,  -8, 5, 25.1,⑧④⑤, 5, 4, アｰチャン,---,丹内  , 0.9, 36,  -9, -11,12,116.9,⑩⑩⑩, 5, 4,Ｌロイバｰクラフト, 38,江田照, 3.9, 61,* 14, -22,13,169.1,①①②, 5, 8,Ｉクリスタルヴィオレ, 76,吉田隼, 0.5, 80,   1,* 16,10, 30.0,⑬⑪⑩
 6,14,Ｈグレｰトアドミラル, 44,武士沢, 1.0, 51,  -2,  -8, 8, 40.5,③⑦⑧, 6,14, サｰストンラウンド,---,村田  , 1.0, 35, -16,* -3, 6, 18.6,⑮⑭⑭, 6,16,Ｅモンサラｰシュ, 54,柴田善, 3.9, 65,   2,   0, 7, 38.2,⑭⑫⑥, 6, 6,Ｂイソシギ, 85,蛯名  , 0.5, 81,* 12,   7, 5, 11.4,①②②
 7, 1,Ｂリワｰドアロン, 59,吉田隼, 1.1, 48,  -2, -11, 2,  6.5,③⑤④, 7,10, リキアイカザン,---,柴田善, 1.3, 42,* 13, -33, 3,  3.6,①②②, 7, 8,Ｃサインオブゴッド, 63,大野  , 4.6, 55,   1,  -7, 8, 39.8,⑮⑫⑨, 7,12,Ｅスパイン, 81,石神  , 0.5, 79,   8,  10, 2,  4.2,④③④
 8, 5,Ｆマイネルマルス, 44,山口竜, 1.2, 49,  -3,  -8, 6, 26.2,⑦⑧⑦, 8, 1, ノボキッス,---,大野  , 1.3, 36,   7, -30, 7, 26.5,⑥⑤⑤, 8, 2, モエレコネクション,---,長谷川, 4.7, 57,   4, -12,12,117.5,⑩⑨⑥, 8, 3,Ｌロｰランコングレ, 73,菊沢徳, 0.7, 76,   3,  11,12, 44.8,⑩⑪⑩
 9, 3,Ｄグレｰトモア, 50,伊藤直, 1.6, 44,  -5, -10, 7, 28.1,③⑪⑨, 9,15, スプレンダアスルガ,---,吉田隼, 1.5, 28, -13, -13,15,204.8,⑬⑫⑫, 9,15,Ｊケイアイテイメント, 46,和田  , 5.4, 51,* 13, -35,11, 96.2,①②③, 9,11,Ｆツルガオカハヤテ, 80,北村宏, 0.7, 77,   4,  12,11, 32.2,⑩⑪⑮
10,13,Ｍサニｰコンコルド, 27,木幡  , 2.3, 37,  -6, -16,16,650.1,⑪⑫⑫,10, 5, マンノプレジデント,---,張田  , 1.5, 30, -16,* -8,14,138.2,⑯⑭⑭,10,12, エアリオハ,---,張田  , 5.6, 49,   3, -17,14,214.4,⑬⑩⑫,10,13,Ａトｰルハンマｰ, 85,木幡  , 0.8, 77,   4,  10, 3,  5.4,⑩⑪⑩
11, 8,Ｌタケショウサクラ, 30,石神  , 2.7, 29, -21,  -7,12,255.0,⑯⑮⑮,11, 6, アルプスアザミ,---,郷原  , 1.5, 30, -12, -12,16,219.5,⑪⑫⑬,11, 1, グロスタｰチャｰム,---,武士沢, 5.7, 49,   5, -22,15,226.3,⑧⑧⑨,11,14,Ｃツルマルオトメ, 83,柴田善, 0.9, 74,   1,  10, 1,  4.0,⑭⑪⑩
