05年12月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  芝1800m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 別定,,,,,,,,,,,,■10R  芝1600m 2 歳500万(混) 馬齢,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ひいらぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａゴｰルドオアシス, 59,吉田豊,, 60,  -7,*  5, 1,  1.1,⑧⑧⑦, 1,12,Ａジョウテンロマン, 62,柴田善,, 68,   2,*  5, 1,  1.6,⑤③②, 1, 5,Ｇハルクバニヤン, 65,デザｰ,, 80,*  3,* 16, 1,  2.0,③④④, 1, 1,Ｂマッチレスバロｰ, 67,柴田善,, 78,  -2,* 22, 1,  1.9,⑭⑬⑩
 2, 8,Ｂカシノアスワン, 55,小島一, 0.7, 53,* -1, -10, 6, 27.9,①①①, 2, 4,Ｆナチュラルウィン, 42,ボニヤ, 0.2, 65,   2,   2, 6, 16.0,③③④, 2,11,Ａトゥインクリング, 71,横山典, 0.5, 76,   2,* 14, 2,  4.4,⑤⑥⑥, 2,11,Ｇダンスフォｰウィン, 62,田中勝, 0.2, 76,   0,* 14, 2,  6.4,⑨⑩⑤
 3,15,Ｃウエルアウェイ, 45,デザｰ, 0.9, 52,  -6,  -5, 4, 18.0,⑦④②, 3, 9,Ｂビｰビｰイリュｰム, 49,横山典, 0.7, 60,  -1,   1, 5, 14.8,⑤⑧⑦, 3, 7,Ｋエスユｰプリサイス, 62,柴田善, 1.1, 71,   2,   8, 3,  6.2,⑦⑥⑥, 3, 2,Ｆリザｰブカｰド, 62,蛯名  , 0.4, 71,   2,   8, 3,  7.2,②②②
 4, 7,Ｅスペシャルプレイス, 41,田中勝, 1.3, 48,  -6,  -9, 3, 14.7,⑤④②, 4,13,Ｇアドバンテｰジ, 40,内田博, 0.7, 60,  -6,* 10, 7, 18.2,⑬⑫⑫, 4, 6,Ｍセイシンクルｰズ, 57,二本柳, 1.1, 71,*  4,   5,12,101.7,②②②, 4,10,Ｅマイネジャｰダ, 63,吉田豊, 0.7, 68,   1,   5, 4,  9.3,⑫⑦⑤
 5,13,Ｎシｰスケｰプ,  7,五十雄, 1.4, 44, -10,  -6, 9,200.1,⑨⑨⑨, 5, 6,Ｃトｰセンシャレｰド, 46,藤田  , 0.8, 60,  -3,   2, 4, 14.5,⑫⑨⑦, 5, 2,Ｄマイネルレオン, 67,岩部  , 1.3, 71,  -1,* 13,11, 81.5,⑭⑬⑬, 5, 6, チェリｰムｰン,---,内田博, 0.7, 68,   1,   5,13,132.7,⑥⑦⑤
 6, 6,Ｊエプソムバクシン, 31,二本柳, 2.0, 41,* -2, -20, 7, 29.6,②②②, 6, 7,Ｈマｰカッシン, 40,北村宏, 1.0, 58,  -3,  -1, 3,  8.9,⑩⑨⑦, 6,12,Ｌユメノシルシ, 58,吉田豊, 1.3, 69,*  3,   3, 6, 17.8,③③③, 6,16,Ｃマジカルスタｰ, 65,石神  , 0.8, 66,  -6,* 16,12, 99.2,⑭⑮⑮
 7,11,Ｍフラワｰマミｰ, 15,丹内  , 2.1, 34, -17,  -8,16,792.4,⑩⑩⑩, 7, 8,Ｉレセパセ, 39,松岡  , 1.3, 50,   1, -15,12,178.2,⑤③⑤, 7, 3,Ｉフロｰリッシュ, 63,内田博, 1.4, 68,*  4,   2, 5, 15.4,①①①, 7,13,Ｄシベリアンヒｰト, 64,北村宏, 1.0, 64,   2,  -1, 5,  9.3,⑥②②
 8, 2,Ｈロｰランゲニアｰル, 33,北村宏, 2.3, 33, -19,  -7,13,348.3,⑩⑪⑩, 8, 2,Ｋステラディクオｰレ, 32,デザｰ, 1.3, 53,*  3, -18, 2,  6.1,③②①, 8,15,Ｆカルストンキングオ, 65,吉田隼, 1.8, 63,  -6,* 11,14,168.3,⑯⑯⑮, 8,12,Ａコスモラバンジン, 67,デザｰ, 1.1, 63,  -2,   5, 6, 13.7,⑫⑬⑩
 9,12,Ｄラストプルｰフ, 44,木幡  , 2.3, 36,  -6, -19, 5, 22.6,⑤④⑤, 9,14,Ｎバイカルリッチ, 25,吉田豊, 1.6, 50,  -4,  -9,16,882.3,⑨⑪⑩, 9, 4,Ｎホｰネットアｰミｰ, 57,丹内  , 2.0, 62,  -1,   1,13,161.9,⑧⑨⑧, 9, 3,Ｏコスモスペシャリｰ, 37,木幡  , 1.2, 60,*  4,  -7,10, 58.3,①①①
10, 4,Ｇケイアイベロｰナ, 34,柴田善, 2.4, 32, -21,  -6, 2, 11.8,⑫⑫⑫,10,11,Ｏキャプテンシラユリ, 23,勝浦  , 1.6, 48,*  4, -24,10, 65.7,①①②,10,13,Ｂリトルプリンス, 67,北村宏, 2.2, 63,   3,  -3, 4, 14.4,⑧④④,10, 4,Ｌクラシックスタイル, 48,藤田  , 1.6, 56,*  3, -12, 7, 39.9,③②②
11, 1,Ｉコアレスボニｰタ, 32,内田博, 2.4, 34,  -6, -20, 8,113.2,③④⑦,10,16,Ｅプリンセスデザｰト, 42,木幡  , 1.6, 50,   0, -16,11, 83.4,⑧⑦⑤,11,14,Ｅメジロハックマン, 65,小林淳, 2.2, 61,   1,   0, 7, 19.9,⑧⑨⑪,11, 7,Ｈマイネサンサン, 61,勝浦  , 1.6, 56,   0,  -7,11, 58.4,⑨⑩⑩
12,14,Ｏグラスインパクト,-16,松岡  , 3.2, 21, -25, -10,11,266.7,⑭⑭⑭,12,10,Ｌヤクモキャット, 30,石崎隆, 2.3, 41, -13,   1, 9, 62.4,⑮⑮⑯,12, 1,Ｈサンデｰコバン, 63,藤田  , 2.8, 58,   0,  -5, 9, 46.5,⑫⑨⑨,12, 5,Ｎビｰボｰン, 40,石崎駿, 2.0, 52,  -1, -10,16,622.8,⑪⑫⑩
13, 9,Ｆオエドニホンバシ, 36,勝浦  , 3.3, 22, -23, -13,10,215.0,⑬⑬⑬,13, 5,Ｄクｰルカリッジ, 45,蛯名  , 2.3, 42,  -7, -12, 8, 21.5,⑩⑬⑬,13,10,Ｊタマモブシドウ, 63,松岡  , 3.0, 54,  -2,  -4,10, 80.3,⑫⑬⑯,13, 9,Ｊゼンノソルジャｰ, 55,松岡  , 2.3, 46,   1, -19, 9, 55.7,⑥⑦⑩
14, 5,Ｌジェシｰ, 19,土谷  , 3.4, 26,* -4, -31,12,301.5,③③⑤,14,15,Ｊピｰスリング, 36,田中勝, 2.6, 38,  -7, -16,14,416.5,⑬⑬⑬,14,16,Ｃコングレス, 67,ボニヤ, 3.1, 55,   2,  -9, 8, 20.8,⑤⑥⑨,14,15,Ｍスｰパｰキャノン, 46,村田  , 3.8, 27,*  3, -45,15,435.4,④②⑤
15,16,Ｋテイエムソロン, 19,高野和, 3.5, 17, -26, -14,14,638.2,⑭⑭⑭,15, 3,Ｐステラハンタｰ, -4,丹内  , 2.7, 35, -14,  -8,13,304.7,⑯⑮⑮,15, 9,Ｏダイワフレグランス, 50,田中勝, 3.3, 55,  -3,  -3,15,202.2,⑭⑮⑭,15, 8,Ｋアリマエクセレント, 49,二本柳, 3.9, 26,*  3, -47,14,183.0,④②⑤
16, 3,Ｐヤクモコンドル,-121,石崎駿, 3.8, 15, -25, -16,15,704.0,⑭⑭⑯,16, 1,Ｍトップロｰド, 27,吉永  , 3.3, 28,   1, -44,15,567.6,②⑥⑩,16, 8,Ｐケイツｰバｰク, 46,五十雄, 3.4, 54,   0, -10,16,586.1,⑧⑫⑪,16,14,Ｉマダムメガミ, 59,横山典, 4.5, 20, -10, -35, 8, 41.3,⑯⑯⑯
