05年11月26日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年11月26日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  ダ1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 別定,,,,,,,,,,,,■10R  ダ1600m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｼｬﾝｸﾞﾘﾗ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄニシノインピッシュ, 51,柴田善,, 57,* -5,   0, 8, 26.6,①①①, 1, 9, ロックアウト,---,後藤浩,, 45,   1, -22, 1,  1.7,③③③, 1, 4,Ｂキャピタルフライト, 71,田中勝,, 71,   4,*  6, 1,  2.0,⑩⑨⑦, 1,10,Ａサンデｰストリｰム, 80,デザｰ,, 82,   6,* 15, 1,  1.9,⑧⑤⑤
 2,12,Ｃクｰデュパン, 53,内田博, 0.0, 58,* -6,*  2, 3,  6.8,③③②, 2, 6, ラフィｰク,---,吉田隼, 0.0, 42,  -5,*-16, 2,  5.3,⑩⑩⑧, 2,11,Ａスマｰトストリｰム, 71,武豊  , 0.0, 71,   3,*  7, 2,  3.2,⑨⑨⑦, 2, 4,Ｆユノナゲット, 75,四位  , 0.4, 79,   4,* 15, 5, 12.2,⑪⑧⑧
 3,13,Ｅアルカライズ, 46,菊沢徳, 0.0, 58,  -7,*  3, 4,  8.4,⑥⑤④, 3, 5, クリノビスケット,---,田辺  , 0.1, 44,  -1, -19,10,109.8,⑥⑥⑥, 3,12, マイピッカリン,---,横山典, 0.1, 69,   2,*  7,11,137.1,⑫⑪⑪, 3, 8,Ｎカタナ, 63,デット, 0.4, 79,*  9,   7, 3,  8.4,①②①
 4, 7,Ｂエヒテンヴィｰゼ, 57,後藤浩, 0.3, 57,  -8,   1, 1,  2.9,⑫⑨④, 4,14, パスクア,---,伊藤直, 0.2, 43,*  3, -27, 3,  8.2,①①①, 4, 5,Ｈカウンタック, 61,津村  , 0.8, 62,  -1,*  3, 7, 26.4,⑮⑬⑫, 4, 2,Ｄケイアイカｰルトン, 76,横山典, 0.5, 77,*  9,   6, 4,  9.7,①①②
 5,15,Ｇケントルネｰド, 44,横山典, 0.4, 55, -13,*  6, 6, 11.9,⑬⑬⑫, 5, 3, アイキョウムゲン,---,デザｰ, 0.2, 42,  -5,*-14, 6, 15.0,⑫⑫⑪, 5,10,Ｇオンワｰドマリオン, 63,藤田  , 0.9, 63,   5,  -5, 3,  7.1,⑥⑥⑤, 5, 3,Ｅリッチスマイル, 76,村田  , 0.5, 77,   6,  11,11, 47.2,⑥⑤⑤
 6, 3,Ｍバンダムトレジャｰ, 23,加藤士, 0.6, 49,  -8,  -4,12, 64.6,③③④, 6,10, ロトペガシス,---,勝浦  , 0.3, 42,*  2, -27, 5, 13.6,②②②, 6, 2,Ｆスタｰダストカフェ, 63,小島一, 1.7, 52,  -3,  -5,12,179.3,⑭⑬⑮, 6, 6,Ｂウインジェネシス, 77,蛯名  , 0.5, 77,*  8,   8, 2,  7.3,③③③
 7, 5,Ａパｰプルカフェ, 60,小島一, 1.2, 45, -15,  -2, 2,  3.5,⑨⑫⑬, 7, 1, ブルｰチェビオット,---,内田博, 0.4, 41,  -2, -21, 7, 19.4,⑥⑦⑦, 7, 3,Ｍコスモライライ, 49,横山義, 2.0, 53,   4, -14,15,571.1,⑥⑥⑦, 7,13,Ｉウインレガｰト, 71,田中勝, 0.6, 78,   3,* 17,10, 42.5,⑬⑬⑬
 8,10,Ｏラスカルシチｰ, 20,丹内  , 1.2, 44,* -7, -11,11, 63.1,①②②, 8,11, ウォルトンオウジュ,---,四位  , 0.6, 40,  -3, -21, 8, 49.1,⑪⑩⑧, 8, 6,Ｊマイネルスペリオル, 57,安藤勝, 2.1, 53,   3, -14,10, 88.4,⑥⑥⑦, 8, 7,Ｋドラマチックテナｰ, 69,安藤勝, 0.7, 76,   2,* 15, 6, 15.1,⑫⑬⑬
 9, 2,Ｌサクラレスタｰ, 25,ボニヤ, 1.4, 46,  -9,  -7, 7, 21.9,⑩⑨⑦, 9, 8, ジャスミンフレイズ,---,大野  , 1.6, 29,  -1, -37, 9, 82.1,③③④, 9,13,Ｅグランデゴｰル, 67,内田博, 2.3, 52,   0, -11, 5, 16.5,⑫⑬⑫, 9, 1,Ｇトウキュウトップ, 74,武豊  , 1.3, 71,   4,   6, 8, 20.1,⑧⑧⑧
10,11,Ｉレプリゼント, 28,石崎隆, 2.3, 37, -13, -11,15,379.9,⑬⑬⑬,10, 2, コアレスウォルデン,---,二本柳, 2.2, 27,  -5, -34,12,126.6,⑬⑬⑪,10,15,Ｋシルバｰデュｰク, 53,郷原  , 2.5, 51,*  6, -23,14,239.9,⑤④③,10, 9,Ｈスパｰクルキャット, 71,内田博, 1.5, 70,   3,   5,12, 64.3,⑬⑪⑩
11,16,Ｊミスタｰドトウ, 26,松岡  , 2.3, 36, -15, -11,10, 61.5,⑬⑬⑬,11,12, フラワｰマミｰ,---,丹内  , 3.2, 14,  -6, -44,14,306.8,⑧⑦⑪,11,16,Ｏディｰエスブレイズ, 39,勝浦  , 2.7, 48,   4, -22,13,188.2,③④⑤,11,14,Ｃプリティロｰズ, 77,勝浦  , 1.7, 70,   4,   4, 7, 17.9,⑧⑪⑩
12, 9,Ｆカシノモムチャン, 45,二本柳, 3.0, 29, -11, -21, 5,  9.9,③⑤⑨,12, 7, オリオンガｰネット,---,吉田豊, 3.4, 16, -10, -38,13,196.0,⑭⑭⑭,12, 7,Ｉレオマジック, 60,江田照, 2.7, 47,*  6, -25, 6, 21.2,②②③,12,16,Ｍグランドハリケｰン, 64,吉永  , 1.9, 66,  -1,   8,13,172.7,⑮⑮⑮
13,14,Ｈパットマンフィルド, 43,蛯名  , 3.1, 31, -10, -23, 9, 44.6,⑩⑨⑦,13,13, ダブルエイト,---,佐藤哲, 3.4, 16,  -3, -49,11,121.0,⑧⑦⑧,13, 8,Ｎスペシャルグリｰン, 42,デザｰ, 2.9, 46,   0, -17, 9, 85.0,⑩⑪⑫,13,12,Ｊミヤビペルセウス, 70,藤田  , 1.9, 67,   4,   2, 9, 29.6,⑦⑧⑩
14, 1,Ｋオンワｰドアリア, 26,郷原  , 3.2, 27, -12, -22,14,198.5,⑥⑤⑨,14, 4, ベルグベラミ,---,田中勝, 4.1, 10,   1, -61, 4, 12.3,③③④,14, 1,Ｃヴァルパライソ, 69,ボニヤ, 2.9, 47,*  7, -28, 4,  9.7,④②②,14,15,Ｐカフェフロリデアン, 54,柴田善, 2.1, 66,*  8,  -7,14,253.2,④④③
15, 4,Ｐシルバｰホｰプ, 13,高野和, 3.8, 19, -13, -29,16,581.9,⑥⑤⑨,,,,,,,,,,,,,15,14,Ｌピサノシャムロック, 53,塚田  , 3.0, 43,*  6, -32, 8, 64.9,①①①,15,11,Ｌアロハスピリッツ, 65,石崎隆, 2.2, 65,   0,   6,16,331.7,⑯⑮⑮
