05年10月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年10月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  ダ1600m 3歳上500万(牝) 別定,,,,,,,,,,,,■ 7R  芝1400m 2 歳500万(混) 馬齢,,,,,,,,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ 定量,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,紅葉特別,,,,,,,,,,,,多摩川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｅドリｰムパラソル, 51,横山典,, 57, -15,* 10, 2,  4.9,⑬⑬⑬, 1, 6,Ｈメジロガンバス, 64,小野  ,, 43,* -8,  -1, 7, 31.5,①①①, 1, 9,Ｃホッコｰパドゥシャ, 76,上村  ,, 76,  -6,* 22, 5, 13.1,⑤④④, 1, 1,Ｊシベリアンホビｰ, 71,松岡  ,, 78,  -9,* 25, 6, 11.8,⑤⑥⑦
 2,11,Ｈフレッシュブラッド, 47,武豊  , 0.2, 47,* -6,  -8, 3,  5.7,①①①, 2, 5,Ｅディアエイジ, 66,藤田  , 0.5, 57, -16,  19, 8, 33.4,②②②, 2, 7,Ｅキラリダイヤモンド, 75,田中勝, 0.3, 68,  -4,  16, 3,  7.9,④④④, 2,10,Ｂナムラモンスタｰ, 81,安藤勝, 0.1, 76,* -6,  22, 3,  5.5,②②②
 3, 8,Ｂショウナンアルス, 58,柴田善, 0.3, 46,* -6, -10, 1,  2.7,②②②, 3, 2,Ａジャッキｰテｰスト, 76,安藤勝, 0.5, 83, -22,* 39, 1,  2.2,⑫⑫⑫, 3,11,Ａファインセラ, 81,横山典, 0.4, 74, -10,* 24, 2,  2.7,⑩⑦⑧, 3, 4,Ｋクリアｰザコｰスト, 71,ペリエ, 0.3, 78, -12,* 26, 9, 29.8,⑫⑪⑬
 4, 5,Ｃコアレスキャスト, 52,田中勝, 0.5, 47, -14,   1, 8, 23.6,⑩⑩⑪, 4,11,Ｂグレｰトボヤｰジュ, 71,武豊  , 0.6, 64, -18,  25, 3,  5.6,⑧⑦⑦, 4, 1,Ｇイブロン, 73,武豊  , 0.4, 73,  -9,* 22, 1,  2.5,⑦⑦⑧, 4, 2,Ｍゲイリｰリボルバｰ, 69,池添  , 0.5, 78, -13,* 27,14, 95.4,⑮⑭⑮
 5, 3,Ｎダンスオｰルナイト, 16,藤田  , 0.5, 46, -12,  -4, 4,  8.0,⑦⑩⑦, 5, 7,Ｆシルクバッカス, 65,田中勝, 0.9, 54, -19,  19, 2,  3.7,⑥⑦⑦, 5, 6,Ｄサンドクリｰク, 75,佐藤哲, 0.6, 60,* -2,   6, 7, 24.3,②②②, 5,13,Ｄスタｰボイジャｰ, 78,柴田善, 0.5, 73, -10,  21, 5,  9.0,⑩⑪⑨
 6, 9,Ｆマイラヴユアラヴ, 48,村田  , 0.5, 44,  -9,  -8, 7, 17.6,⑦④④, 6,10,Ｄモリノミヤコ, 67,後藤浩, 1.1, 41, -17,  10, 4,  9.4,③③②, 6, 4,Ｊブレｰブティック, 63,松岡  , 0.6, 59,*  0,   3, 9, 43.1,①①①, 6,16,Ａアドマイヤベッカム, 82,横山典, 0.5, 67,* -5,  15, 1,  3.1,①①①
 7, 7,Ｊプリンセスデザｰト, 42,幸    , 0.5, 46, -13,   0,12,103.6,②⑦⑨, 7, 3,Ｇドリｰムパｰトナｰ, 65,蛯名  , 1.2, 53, -18,  18, 5, 12.0,⑨⑨⑨, 7,10,Ｂサムソンハッピｰ, 76,蛯名  , 1.1, 58,  -5,   8, 4,  8.1,⑥⑥⑥, 7, 3,Ｆタイキコナン, 74,小林淳, 0.6, 67,* -8,  17,10, 38.2,③②③
 8,14,Ｇバトルディヤマンテ, 47,南田  , 0.6, 40, -14,  -5,10, 53.7,⑩⑦⑨, 8, 8,Ｉマイネルアルクス, 64,福永  , 1.2, 53, -21,  19, 6, 14.9,⑩⑨⑩, 8, 3,Ｆユメノジェネラス, 73,江田照, 1.2, 53, -11,   8,10,130.7,⑦⑦⑧, 8, 5,Ｎツタンカｰメン, 66,ルメｰ, 0.9, 64,  -8,  17,11, 52.7,④④⑦
 9,12,Ａメジロルバｰト, 58,池添  , 0.7, 41, -10, -10, 5, 10.6,②④④, 9, 1,Ｃシルキｰパフュｰム, 71,佐藤哲, 1.3, 55, -20,  20, 9, 48.9,⑪⑪⑩, 9, 5,Ｈシンボリデビル, 70,北村宏, 1.2, 57,  -6,   8, 8, 25.5,⑨⑦⑥, 9, 7,Ｅグリｰンヴィガｰ, 75,福永  , 0.9, 66, -10,  19, 7, 18.3,⑦⑨⑪
10, 4,Ｉロレットチャペル, 42,北村宏, 0.8, 39,  -9, -13, 6, 11.3,②④④,10, 4,Ｋサンワｰドロデム, 62,幸    , 1.5, 35, -18,   5,11,185.9,③③④,10, 8,Ｉトゥｰエニワン, 70,柴田善, 1.2, 52,  -2,  -1, 6, 21.0,③③③,10,12,Ｌダイワインディアナ, 70,田中勝, 0.9, 66, -10,  17,12, 54.7,⑩⑨⑨
11,15,Ｏカムイスズラン, 11,大庭  , 0.8, 46, -19,*  4,14,267.9,⑭⑭⑭,11, 9,Ｌトミケンサンデｰ, 44,北村宏, 1.6, 36, -18,   6,12,220.8,⑤⑤④,11, 2,Ｋアイアドベンチャｰ, 53,郷原  , 1.8, 43, -13,   1,11,235.8,⑪⑪⑪,11,11,Ｇクｰルキャスケｰド, 73,江田照, 1.0, 67, -11,  19,13, 62.5,⑬⑬⑪
12,13,Ｄタネノエンプレス, 51,蛯名  , 0.9, 39, -12, -10, 9, 23.7,⑦⑦⑦,12,12,Ｊマイネルプログレス, 62,勝浦  , 1.8, 35, -17,   3,10,125.2,⑥⑤④,,,,,,,,,,,,,12,15,Ｏジョｰジアンキング, 66,北村宏, 1.3, 62, -12,  17,16,140.9,⑭⑭⑬
13, 1,Ｋロイバｰフェイム, 35,福永  , 1.2, 36, -14, -10,11, 83.6,⑫⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,,13, 8,Ｉインタｰコウキ, 72,上村  , 2.1, 51,  -8,   4, 8, 18.6,⑥④③
14, 2,Ｍセｰゴｰルド, 31,鈴木慶, 1.6, 30, -24,  -5,15,299.5,⑮⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｐテンイムホウ, 64,柄崎  , 2.2, 51,  -9,   2,15,120.5,⑦⑦③
15,10,Ｌニｰニャロカ, 31,ルメｰ, 1.7, 26,  -8, -28,13,121.6,②②③,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｈカラメルアｰト, 73,武豊  , 2.4, 50,  -8,   1, 4,  8.9,⑨⑦③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+21 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-18 ﾚｰｽｱｶﾞﾘ指数:+24 馬場:良(指数:-1),,,,,,,,,,,
"単勝:490円 複勝:06=150円 11=150円 08=130円 枠連:1,310円",,,,,,,,,,,,"単勝:3,150円 複勝:06=670円 05=720円 02=130円 枠連:23,510円",,,,,,,,,,,,"単勝:1,310円 複勝:09=290円 07=220円 11=140円 枠連:1,820円",,,,,,,,,,,,"単勝:1,180円 複勝:01=370円 10=210円 04=710円 枠連:3,750円",,,,,,,,,,,
"馬連:1,360円 ワイド:06-11=460円 06-08=270円 08-11=280円",,,,,,,,,,,,"馬連:33,150円 ワイド:05-06=5,550円 02-06=1,260円 02-05=1,340円",,,,,,,,,,,,"馬連:3,250円 ワイド:07-09=970円 09-11=570円 07-11=410円",,,,,,,,,,,,"馬連:3,900円 ワイド:01-10=1,440円 01-04=4,820円 04-10=2,660円",,,,,,,,,,,
"馬単:2,530円 3連複:1,090円",,,,,,,,,,,,"馬単:97,630円 3連複:29,130円",,,,,,,,,,,,"馬単:8,640円 3連複:2,760円 3連単:29,710円",,,,,,,,,,,,"馬単:8,360円 3連複:43,770円 3連単:210,540円",,,,,,,,,,,
■ 3R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 6R  ダ1300m 3歳上500万(混) 別定,,,,,,,,,,,,■ 9R  芝1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,白秋ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1, カイシュウタキオン,---,蛯名  ,, 41,*-18,   2, 2,  5.0,①①①, 1, 7,Ｇバントライン, 64,北村宏,, 70,  -2,* 10, 1,  3.4,⑨⑦⑥, 1, 3,Ｂヴリル, 85,蛯名  ,, 82,   8,  14, 3,  5.3,②②③,,,,,,,,,,,,
 2,10, ヒカルダイチ,---,後藤浩, 0.3, 46, -26,* 10, 5,  9.1,⑩⑨⑨, 2,15,Ｉドゥｰウィズウイン, 63,沢    , 0.3, 69,  -5,* 10,15,131.9,⑫⑬⑨, 2, 8,Ｃマルタｰズホビｰ, 81,横山典, 0.1, 77,*  9,   8, 7, 16.1,①①①,,,,,,,,,,,,
 3,13, プロセッション,---,武豊  , 0.5, 41, -26,*  6, 3,  6.4,⑩⑨⑨, 3,11,Ｆメルボルンシチｰ, 65,蛯名  , 0.3, 67,  -1,   5, 8, 20.3,⑦⑤③, 3,13,Ｌシンボリロッキｰ, 73,松岡  , 0.2, 80,  -2,* 20,10, 72.9,⑩⑪⑪,,,,,,,,,,,,
 4, 7, コッパミジン,---,ペリエ, 0.6, 34, -23,   0, 4,  6.6,④⑤④, 4, 9,Ｄザダイヤモンド, 67,柴田善, 0.5, 62,*  2,  -1, 2,  4.4,①①①, 4,12,Ｎワイルドワンダｰ, 33,池添  , 0.4, 78,  -7,* 23, 8, 18.1,⑫⑫⑫,,,,,,,,,,,,
 5, 6, アドバンテｰジ,---,幸    , 0.7, 41, -28,*  8,10, 65.3,⑬⑬⑫, 5,10,Ｋソフトパワｰ, 62,藤田  , 0.5, 64,  -7,*  9, 9, 21.6,⑮⑮⑭, 5, 2,Ｄタイキヘリオス, 80,ペリエ, 0.5, 74,   0,  14, 9, 45.8,⑩⑩⑨,,,,,,,,,,,,
 6, 8, シュウザンジャンプ,---,田中勝, 0.8, 38, -28,*  6, 7, 32.6,⑫⑫⑫, 6, 6,Ｌドリｰムスペクタｰ, 62,田中勝, 0.7, 65,  -2,   3, 6, 13.1,⑨⑨⑥, 6, 7,Ｆトニｰビｰバｰ, 79,小林淳, 0.5, 70,  -1,  11,11,111.3,⑧⑧⑨,,,,,,,,,,,,
 7,11, ピサノバンキッシュ,---,横山典, 1.0, 26,*-20, -11, 1,  2.1,③③②, 7, 4,Ｂフｰバｰダム, 67,ペリエ, 0.8, 60,  -2,   0, 3,  7.0,③⑤⑥, 7, 1,Ｅセイウンニムカウ, 80,藤田  , 0.5, 74,   4,  11, 4,  6.0,④⑤⑥,,,,,,,,,,,,
 8, 9, マイネルプロメッサ,---,ルメｰ, 1.0, 27, -23,  -6, 6, 20.2,⑥⑤④, 8, 1,Ｐアイファｰユウホウ, 47,幸    , 0.9, 59,  -6,   4,16,281.2,⑦⑪⑬, 8,11,Ｈタイキラファエロ, 77,田中勝, 0.6, 72,   2,   9, 2,  5.1,⑨⑧⑦,,,,,,,,,,,,
 9,12, ミヤコノアドミラル,---,北村宏, 1.1, 26, -23,  -8,11,106.0,⑥⑤④, 9,12,Ｍザップトウショウ, 61,小林淳, 0.9, 60,*  0,  -2,10, 33.3,④③③, 9, 6,Ｍマイネルゼスト, 69,幸    , 0.8, 70, -10,* 19,13,176.5,⑬⑬⑬,,,,,,,,,,,,
10,15, オンワｰドジョイ,---,石神  , 1.2, 25, -27,  -3,15,306.9,⑧⑨⑪,10, 3,Ｎアタゴタイヨウ, 54,江田照, 1.1, 58,  -7,   4,14, 92.5,⑫⑬⑭,10, 9,Ｊチアフルワｰルド, 76,後藤浩, 0.8, 66,*  7,  -2, 6, 12.3,③②②,,,,,,,,,,,,
11, 5, スナｰクオリオン,---,江田照, 1.3, 26, -28,  -1,14,264.3,⑬⑬⑫,11, 8,Ｅストｰミングパワｰ, 65,後藤浩, 1.3, 55,*  0,  -7, 5,  9.4,②③③,11, 5,Ｋトラストセレビｰ, 76,ルメｰ, 0.8, 69,   3,   7, 5, 11.6,④⑤⑦,,,,,,,,,,,,
12, 3, ハセノビリｰブ,---,柴田善, 1.4, 20, -25,  -9,13,124.6,⑧⑤⑧,12, 2,Ｏコアレスカントリｰ, 53,ルメｰ, 1.3, 57,  -4,  -1,13, 86.6,④⑦⑨,12, 4,Ａパリブレスト, 87,四位  , 1.0, 68,   5,   1, 1,  2.8,④⑤④,,,,,,,,,,,,
13,14, キクノポロロッカ,---,岩部  , 1.4, 27, -31,   2, 9, 60.6,⑮⑮⑮,13, 5,Ｈハギノセレクション, 63,佐藤哲, 1.3, 56,  -5,  -1,12, 48.7,⑨⑨⑨,13,10,Ｇシベリアンメドウ, 79,福永  , 1.2, 59,   4,  -6,12,115.6,④④④,,,,,,,,,,,,
14, 4, コパノリゾｰト,---,藤田  , 3.0,-10,*-21, -42,12,120.7,①②②,14,13,Ｃダスティサマｰ, 67,武豊  , 1.3, 57,  -5,  -1, 4,  7.2,⑫⑪⑨,,,,,,,,,,,,,,,,,,,,,,,,
15, 2, マイネルサルウェｰ,---,佐藤哲, 3.7,-20, -22, -49, 8, 42.2,④③④,15,14,Ａビュｰティフォｰム, 74,勝浦  , 1.4, 55,*  1,  -8, 7, 13.5,④②②,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,16,Ｊネイチャｰストｰム, 63,松岡  , 1.9, 50,  -7,  -5,11, 47.2,⑮⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-6),,,,,,,,,,,,,,,,,,,,,,,
単勝:500円 複勝:01=170円 10=210円 13=190円 枠連:430円,,,,,,,,,,,,"単勝:340円 複勝:07=160円 15=1,770円 11=470円 枠連:4,670円",,,,,,,,,,,,"単勝:530円 複勝:03=220円 08=440円 13=1,340円 枠連:970円",,,,,,,,,,,,,,,,,,,,,,,
"馬連:1,620円 ワイド:01-10=610円 01-13=470円 10-13=740円",,,,,,,,,,,,"馬連:24,510円 ワイド:07-15=4,070円 07-11=1,230円 11-15=12,160円",,,,,,,,,,,,"馬連:3,420円 ワイド:03-08=1,310円 03-13=5,510円 08-13=8,450円",,,,,,,,,,,,,,,,,,,,,,,
"馬単:3,030円 3連複:3,330円",,,,,,,,,,,,"馬単:32,450円 3連複:82,130円",,,,,,,,,,,,"馬単:6,040円 3連複:72,030円 3連単:311,870円",,,,,,,,,,,,,,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
