05年11月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年11月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 別定,,,,,,,,,,,,■10R  ダ1200m 3歳上1600万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,貴船ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａプリティタヤス, 62,池添  ,, 68,  -6,* 13, 1,  1.8,⑭⑬⑪, 1,12, メルシｰエイタイム,,出津  ,,,,, 1,  2.3,⑤②③, 1, 3,Ｈルタンティｰル, 68,塚田  ,, 72, -16,* 24, 7, 30.6,⑩⑦⑧, 1, 9,Ｃケイアイメルヘン, 81,柴山  ,, 82,   2,* 16, 4,  5.9,⑩⑫⑫
 2,16,Ｇヴィヴァキセキ, 47,柴山  , 0.5, 62,   4,  -7, 2,  3.6,⑧⑥⑤, 2,14, ニシノサチヒメ,,林    , 0.9,,,, 7, 39.3,②⑤②, 2, 1,Ｃアグネスラズベリ, 76,上村  , 0.2, 68,*-10,  19, 1,  1.8,③④④, 2,10,Ｄコパノフウジン, 77,藤岡  , 0.0, 85,   4,  14, 3,  5.4,⑧⑪⑥
 3,14,Ｅオｰスミシルク, 51,長谷川, 0.7, 56,  -2,  -5, 9,106.9,⑨⑨⑧, 3, 5, エンタルピｰ,,浜野谷, 1.0,,,, 4, 15.2,①①①, 3, 5,Ｌアｰバンエスケｰプ, 64,川島信, 0.2, 71, -14,  23,10, 54.1,⑨⑦⑧, 3, 4,Ａスリｰジェム, 87,柴原  , 0.2, 80,   4,  12, 2,  3.4,⑧⑧⑨
 4, 8,Ｆマリンフェスタ, 50,小林慎, 0.8, 58,*  7, -16, 4,  9.3,③②①, 4, 2, ノボリハウツｰ,,西谷  , 1.1,,,, 2,  2.4,⑤⑥④, 4,10,Ｂエイシンマルカム, 77,渡辺薫, 0.5, 67, -15,  22, 3,  5.9,⑩⑪⑫, 4,11,Ｆジョウノデイリｰ, 74,赤木  , 0.3, 81,   0,* 16,11, 69.7,⑩⑭⑬
 5, 7,Ｃテイエムプレジャｰ, 53,中舘  , 0.8, 55,  -5,* -1, 5, 17.2,⑬⑬⑬, 5, 4, ロマニスタ,,今村  , 1.6,,,, 3,  6.8,⑦⑥⑤, 5,12,Ａシンボリプレオ, 77,熊沢  , 0.5, 63, -14,  19, 2,  4.7,⑥⑦⑪, 5, 7,Ｏホｰマンアピｰル, 65,川田  , 0.4, 79,  -2,* 17,15,262.4,⑯⑯⑯
 6, 5,Ｍロイバｰフェイム, 37,藤岡  , 0.9, 53,  -3,  -6,12,187.2,⑨⑨⑨, 6, 7, シンワロバリｰ,,高野容, 2.4,,,, 9, 78.4,⑩⑨⑧, 6,14,Ｅプリティプリンセス, 70,藤岡  , 0.5, 77, -23,* 32, 4, 13.6,⑱⑱⑱, 6,15,Ｇジョｰマリコ, 74,川島信, 0.8, 76,   8,   4, 9, 39.4,⑤④④
 7,15,Ｊラブメッセンジャｰ, 41,福永  , 1.1, 53,   2, -15, 6, 33.2,⑤⑥⑤, 7, 6, ジョッシュ,,横山義, 2.7,,,, 6, 26.5,②②⑥, 7, 9,Ｇウォｰタｰヘンリｰ, 69,武幸  , 0.7, 65, -17,  22, 8, 40.5,⑯⑮⑫, 7,12,Ｊキョウワハピネス, 71,渡辺薫, 0.9, 73,  -1,  10,10, 44.8,⑮⑭⑬
 8, 4,Ｉモｰニングドレス, 43,岡部誠, 1.4, 48,   4, -21,11,140.6,⑤⑤⑤, 8, 8, ブイロッキｰ,,白浜  , 3.9,,,, 5, 19.8,④②⑥, 8, 2,Ｏフジヤマビュティｰ, 58,福永  , 0.8, 54, -12,  11, 5, 19.9,⑥④⑥, 8, 6,Ｐドロｰアウタｰ, 62,太宰  , 1.1, 72,   1,   7,13,115.9,⑭⑫⑬
 9, 2,Ｂエプソムベガ, 59,上野翔, 1.7, 41,*  5, -32, 3,  7.3,③②②, 9,11, マルタカフェｰト,,宇田  , 4.7,,,,14,236.9,⑧⑧⑨, 9,18,Ｉロｰランプレイス, 65,柴山  , 1.1, 57, -19,  19,13,117.6,⑭⑮⑰, 9,16,Ｋメイショウセブン, 71,福永  , 1.1, 72,   7,   2, 8, 30.9,⑥⑥⑥
10,18,Ｈホクザンワンダフル, 45,小牧太, 1.8, 41,  -3, -18,10,126.1,⑪⑪⑪,10, 3, シゲルドントコイ,,沢    , 6.9,,,,12,123.7,⑪⑩⑩,10, 8,Ｋベルディマンシェ, 64,柴原  , 1.1, 54, -16,  14,11, 69.4,⑭⑮⑫,10, 5,Ｈラガｰリｰダｰ, 72,古川吉, 1.1, 72,   6,   3, 6, 24.7,⑩⑧⑨
11, 3,Ｄトップキララ, 51,鮫島良, 1.9, 35, -11, -14, 7, 46.7,⑭⑯⑯,11, 9, バｰリトゥｰド,,仲田  , 7.1,,,, 8, 48.4,⑫⑫⑪,11,11,Ｎミスズワｰルド, 63,長谷川, 1.1, 50, -17,  13,16,334.4,⑫⑪⑯,11,13,Ｍスイｰトルｰム, 70,松田  , 1.3, 71,* 13,  -6,12, 71.8,①①①
12,10,Ｌサンエムバラｰド, 37,菊地昇, 2.0, 38,  -6, -18,14,295.2,⑭⑬⑬,12,13, クリノエマニエル,,金子光,11.7,,,,11,102.3,⑨⑪⑫,12,15,Ｄイｰグルドライバｰ, 71,鮫島良, 1.3, 43, -17,   6,14,129.2,⑫⑪⑫,12, 2,Ｂゲイリｰスノｰマン, 82,池添  , 1.4, 69,* 10,  -5, 1,  2.9,②②②
13, 6,Ｋロングコジｰン, 39,安田  , 2.2, 33, -19,  -4,15,307.9,⑱⑱⑱,13, 1, サイトライン,,高井  ,30.8,,,,13,201.5,⑬⑬⑬,13,17,Ｍトウショウアスロン, 63,佐久間, 1.4, 41, -16,   3,18,516.1,⑧⑦⑧,13, 8,Ｅツルマルバクシン, 75,小牧太, 1.4, 69,   7,  -1, 5, 18.2,⑥⑥⑥
14,12,Ｎコウエイブロッサム, 27,川田  , 2.3, 31, -15, -12,17,579.8,⑰⑰⑰,,,,,,,,,,,,,14,13,Ｊシャンパンスノｰ, 65,小牧太, 1.6, 42, -11,  -1,12, 84.3,③④⑥,14, 1,Ｉケイアイフウジン, 72,生野  , 1.6, 67,* 10,  -7, 7, 29.0,②②②
