05年11月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年11月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 別定,,,,,,,,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾄﾞﾝｶｽﾀｰｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａアロットオブラブ, 63,武豊  ,, 57, -12,*  3, 1,  1.5,①②②, 1, 6, セイウンワキタツ,---,松永  ,, 62, -10,* 10, 1,  2.6,④⑥⑥, 1, 5,Ｃゼンノコｰラル, 70,四位  ,, 70,  -7,* 15, 4,  6.1,⑩⑧⑥, 1,14,Ｅサムライハｰト, 78,武豊  ,, 85,*  8,  14, 1,  1.5,③③③
 2, 1,Ｅヒシカツフォレスト, 43,角田  , 0.8, 46, -13,  -4, 5, 46.7,⑤③③, 2,15, カイテキネオ,---,荻野  , 0.6, 57,* -6,  -1, 7, 26.4,②②②, 2,14,Ｊチｰフシャトｰ, 65,岩田  , 0.1, 65,* -6,  10, 5,  8.9,④③②, 2,12,Ｂシンメイセレリティ, 80,ペリエ, 0.0, 88,   7,  18, 2,  5.9,⑧④④
 3, 5,Ｂガチャガチャ, 61,佐藤哲, 1.0, 45, -15,  -4, 2,  4.2,④⑤③, 3,10, セレスダイナミック,---,福永  , 0.7, 56, -10,   3, 5, 12.8,⑥⑥⑥, 3, 9,Ｇテイエムヘネシｰ, 66,松永  , 0.3, 66,  -8,  13, 7, 15.7,⑪⑧⑧, 3, 8,Ａサンレイジャスパｰ, 81,佐藤哲, 0.2, 86,   2,* 21, 3,  7.6,⑥⑨⑨
 4, 7,Ｆダンスパｰク, 40,岩田  , 1.1, 43, -17,  -3, 6, 85.1,⑤⑥⑥, 4,11, サンライズバクシン,---,佐藤哲, 1.0, 53,* -8,  -3, 4,  7.3,③④③, 4, 8,Ｆセレスクラブ, 68,ペリエ, 0.3, 61,* -5,   6, 8, 27.2,①②①, 4, 7,Ｌレットバトラｰ, 70,ルメｰ, 0.2, 86,   4,  18, 7, 28.6,⑧⑦⑥
 5, 2,Ｇブラックカイザｰ, 18,川島信, 1.1, 41,*-10, -10, 7,107.5,①①①, 5, 3, フォレストジャガｰ,---,幸    , 1.2, 51,* -6,  -7, 3,  4.8,①①①, 5, 4,Ｌコスモアブソルｰト, 63,武豊  , 0.3, 69, -10,* 15, 3,  5.2,⑬⑫⑩, 5, 4,Ｋタガノデンジャラス, 73,安田  , 0.2, 89,  -1,* 29, 5, 23.0,⑫⑫⑬
 6, 4,Ｃスｰパｰペガサス, 55,ルメｰ, 1.2, 41, -14,  -7, 3,  4.4,③③③, 6,14, エイシンコテング,---,ルメｰ, 1.4, 49,* -7,  -8, 8, 33.1,⑤③③, 6,10,Ｂレディキラｰ, 70,上村  , 0.4, 62,  -7,   9, 1,  3.8,⑥⑥⑥, 6, 2,Ｊマルイチクエスト, 74,幸    , 0.5, 76,*  7,   3, 8, 56.8,②②①
 7, 6,Ｄパｰフェクトラン, 52,小原  , 1.7, 35, -16, -10, 4, 17.8,⑤⑥⑥, 7, 7, マイネルウェルス,---,小牧太, 1.8, 45, -13,  -4,10, 36.5,⑩⑧⑧, 7, 1,Ｈシュアリｰゴｰルド, 66,佐藤哲, 0.5, 59,* -6,   7, 9, 27.3,④③⑤, 7,11,Ｉニシノデュｰ, 74,武幸  , 0.7, 79,   7,   7, 4, 13.9,③④④
 8, 8,Ｈキｰプオンドリｰム, 16,酒井学, 2.7, 23, -19, -17, 8,163.0,⑧⑧⑧, 8, 4, アドマイヤジュピタ,---,武豊  , 2.0, 43, -27,* 12, 2,  4.6,⑮⑮⑮, 8, 2,Ｉマルノユビキタス, 65,渡辺薫, 0.5, 61,  -7,   9, 2,  4.2,⑦⑥⑧, 8, 9,Ｏウィングドフォｰス, 65,松永  , 0.9, 76,  -1,  14,12, 93.2,⑩⑩⑩
