05年10月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年10月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 別定,,,,,,,,,,,,■10R  ダ1400m 3歳上1600万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,太秦ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃアグネストラベル, 49,川田  ,, 67,* -5,*  8, 3,  4.8,②②②, 1, 7, ダｰクメッセｰジ,---,佐藤哲,, 46,*-46,* 25, 1,  2.0,⑤⑤④, 1, 2,Ｇゼンノパルテノン, 62,福永  ,, 68,* -4,*  9, 1,  2.3,③②②, 1, 7,Ｃゲイリｰスノｰマン, 82,秋山  ,, 82,*  5,* 14, 7, 12.1,①①①
 2, 6,Ａレッドバラｰド, 52,福永  , 0.9, 58,* -3,  -2, 2,  3.7,①①①, 2, 2, アンテヴォルテ,---,横山典, 0.0, 51, -49,* 29, 3,  5.8,⑦⑦⑦, 2, 5,Ｂマヤノポペット, 70,岩田  , 0.1, 67,  -5,* 10, 3,  5.5,②③③, 2, 6,Ｏコパノフウジン, 74,佐藤哲, 0.3, 78,   3,  13, 5,  9.9,③③③
 3, 1,Ｆヒシアｰバン, 39,渡辺薫, 1.2, 56, -12,*  5, 6, 31.1,③④④, 3, 8, マイネルヴェステン,---,岩田  , 0.0, 39,*-44,  20, 4,  7.5,①①①, 3, 8,Ｅアグネスレプトン, 64,石橋脩, 0.4, 63,  -6,   7, 5, 21.0,⑤⑤⑤, 3, 1,Ｂワキノカイザｰ, 82,岩田  , 0.5, 78,   2,  14, 2,  5.3,⑥⑦⑨
 4,13,Ｂレッドスポｰツカｰ, 51,安藤勝, 1.6, 53,* -7,  -4, 1,  1.6,⑦③③, 4, 6, シゲルダイショウ,---,渡辺薫, 0.3, 36,*-46,  20, 9, 75.6,③③④, 4,12,Ａエイシンマルカム, 74,渡辺薫, 0.5, 63,  -5,   6, 2,  2.9,③③③, 4,12,Ｆツルマルバクシン, 78,安藤勝, 0.8, 74,*  4,   8,12, 36.2,②②②
 5, 3,Ｄノｰメイク, 45,角田  , 2.2, 45, -19,   0, 5, 26.4,⑨⑧⑧, 5, 4, ダイゴピリカ,---,小原  , 0.3, 30,*-46,  16, 6, 18.1,②②②, 5, 1,Ｄパントマイミスト, 65,藤田  , 0.7, 59,* -3,   1, 9, 35.0,①①①, 5,13,Ｍマルカフレンチ, 75,小牧太, 0.8, 74,   1,  10, 3,  5.4,⑥⑦⑥
 6, 5,Ｉスパイラルライフ, 33,上野翔, 3.1, 34, -17, -12,11,234.3,⑧⑥⑤, 6, 9, マイネアトリｰチェ,---,安藤勝, 0.7, 15,*-46,  12, 5,  8.6,③③③, 6,10,Ｈイノセントワｰルド, 61,横山典, 0.9, 59,  -9,   7, 6, 24.5,⑨⑦⑦, 6, 4,Ｊメイショウフクヒメ, 77,安田  , 0.9, 78,  -4,* 17,11, 33.3,⑭⑬⑬
 7, 4,Ｊチャｰムクロス, 26,小原  , 3.5, 32, -22, -10, 8,176.0,⑬⑫⑩, 7, 1, ブルｰマタドｰル,---,松岡  , 1.0, 10, -48,  10, 7, 41.6,⑤⑤⑥, 7, 7,Ｉスリｰスウィｰプ, 59,本田  , 0.9, 61, -10,   9, 7, 33.4,⑨⑩⑨, 7, 5,Ｐモガリブエ, 69,高田  , 1.0, 73,   0,  11,16,152.8,⑩⑩⑪
 8, 2,Ｍシュンカ, 15,松岡  , 3.7, 28, -20, -15,10,206.5,⑨⑧⑧, 8, 5, アロンダイト,---,幸    , 1.5,  3, -48,   6, 2,  4.8,⑦⑦⑦, 8, 3,Ｋアドマイヤコング, 43,安藤勝, 1.4, 55, -14,   7, 8, 34.0,⑪⑪⑪, 8, 2,Ｅサワノブレイブ, 81,福永  , 1.1, 71,  -1,  10, 1,  4.7,⑪⑪⑪
