05年11月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年11月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝3170m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 別定,,,,,,,,,,,,■10R  芝1200m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鞍馬特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂビッグムサシ, 58,長谷川,, 56,*  0,* -9, 2,  3.9,②①①, 1, 5, ナイストップボｰイ,,熊沢  ,,,,, 1,  2.1,①①①, 1,13,Ｅサンデｰサンライズ, 63,ルメｰ,, 69,*-10,* 14, 3,  4.0,①①①, 1,13,Ｄイソシギ, 82,ルメｰ,, 87,   8,  14, 2,  4.8,①③③
 2,10,Ａパレストップガン, 60,田嶋翔, 1.1, 47,  -3, -14, 1,  1.8,⑥④②, 2,12, テイエムマッチョ,,菊地昇, 0.8,,,, 3,  5.1,③②②, 2,14,Ｂプリンセスルシｰタ, 68,鮫島良, 0.3, 63,*-12,  11, 4,  5.9,③②②, 2, 3,Ｂマルブツブリザｰド, 84,上村  , 0.1, 84,* 14,   6, 6,  8.8,③①①
 3, 5,Ｃトｰホウヒミコ, 49,岩崎  , 1.3, 44,  -3, -16, 3,  5.8,⑤④④, 3,13, ノムラテンメイ,,仲田  , 1.2,,,, 9, 48.5,④⑥⑧, 3, 3,Ｏビクトリアメｰク, 45,小林徹, 0.8, 65, -18,* 16,15,304.2,⑬⑬⑨, 3, 1,Ｃスピニングノアｰル, 82,中舘  , 0.2, 83,  -5,* 23, 4,  7.8,⑮⑫⑪
 4, 2,Ｈオブジディアン, 38,北村浩, 1.5, 42,  -6, -17, 7, 27.9,⑧⑦④, 4, 3, ラストコンテスト,,高田  , 1.3,,,, 6, 28.3,⑨⑧⑤, 4,15,Ａサヨウナラ, 71,柴山  , 1.1, 55, -11,   5, 5, 12.9,⑦④②, 4, 4,Ｋコスモシンドラｰ, 73,武幸  , 0.3, 79,   2,  13, 1,  4.6,⑦⑤⑤
 5, 4,Ｏナリタベガ, 15,川田  , 1.5, 41,  -6, -16, 4, 12.9,⑧⑦⑦, 5,11, ヤシャボサツ,,白浜  , 1.5,,,, 2,  3.9,⑥⑤④, 5,10,Ｆガラディナｰ, 63,福永  , 1.1, 55, -13,   7, 6, 22.1,⑦⑦⑥, 5,14,Ｈボストンゴｰルド, 76,和田  , 0.5, 77,  -2,  15, 8, 21.1,⑩⑦⑨
 6, 9,Ｌマｰムリップス, 34,中村将, 1.6, 39, -12,*-12,13,326.2,⑬⑪⑧, 6, 6, ウインマジェスティ,,西谷  , 2.7,,,, 4,  9.5,⑤③③, 6, 9,Ｃノｰストピア, 66,赤木  , 1.4, 50, -12,   3, 1,  3.5,④④⑥, 6, 2,Ｅロｰランジェネルｰ, 81,柴山  , 0.5, 78,   0,  14, 5,  8.1,⑦⑦⑦
 7,13,Ｄケイアイシュンライ, 43,佐久間, 1.9, 36, -12, -14, 5, 20.4,⑬⑭⑪, 7, 2, プレイメｰカｰ,,白坂  , 2.8,,,,13,110.9,⑫⑪⑨, 7, 6,Ｇシルクホｰムラン, 60,安田  , 1.4, 53, -15,   7, 8, 38.9,⑫⑩⑧, 7, 8,Ｉリｰピングキャット, 75,小牧太, 0.5, 80,  -3,  18, 7, 15.5,⑦⑩⑨
 8,12,Ｍコンスタントレイン, 27,藤岡  , 2.0, 35, -13,*-12,12,147.2,⑮⑮⑭, 8, 4, ダイゴシラギク,,小坂  , 3.1,,,,14,121.1,⑪⑫⑫, 8, 4,Ｉキｰツヨイ, 58,上野翔, 1.4, 55, -22,* 13,13,111.9,⑮⑮⑭, 8,11,Ｐダｰビｰゾｰン, 68,難波  , 0.5, 79,   0,  14,10, 25.9,④⑦⑦
