05年11月 6日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年11月 6日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(牝) 別定,,,,,,,,,,,,■10R  芝1600m 3歳上1600万(牝) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾕｰﾄﾋﾟｱｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃスズカイエロｰ, 43,柴山  ,, 51,* -7,  -3, 3,  6.4,②②②, 1,14, トウカイブレｰン,,大庭  ,,,,, 6, 19.4,⑤②②, 1, 8,Ｂホワイトピクシイ, 66,柴田善,, 72,  -4,* 16, 2,  3.6,⑧⑧⑦, 1, 3,Ａカネトシディザイア, 81,田中勝,, 77, -10,  28, 3,  5.1,②②②
 2, 9,Ｅグランレｰヴ, 35,田中勝, 0.2, 51, -12,*  2, 4,  6.7,⑨⑦⑧, 2,12, チアズボニｰト,,横山義, 0.0,,,, 3,  7.4,④③③, 2, 4,Ｆニュｰグランジ, 60,田中勝, 0.3, 69,  -2,  10, 5, 12.4,⑥⑥⑥, 2, 1,Ｉスルｰレｰト, 59,吉田豊, 0.0, 57,*  8,  -4, 7, 11.6,①①①
 3, 5,Ｈスマｰトスナイパｰ, 24,柴田善, 0.8, 44,* -7, -11, 2,  5.2,①①①, 3,10, レオスタｰライト,,田中剛, 0.3,,,, 4,  8.9,⑧③⑤, 3, 1,Ａピンクガｰタｰ, 68,村田  , 0.5, 66,*  1,   4, 1,  2.4,②②②, 3, 5,Ｄモンロｰブロンド, 77,秋山  , 0.1, 89, -19,* 39, 1,  3.5,④⑤⑤
 4, 2,Ｆケントルネｰド, 32,松岡  , 0.8, 45, -11,  -6, 6, 17.6,⑧⑦⑥, 4,13, ノボリハウツｰ,,西谷  , 0.5,,,, 2,  3.1,③①①, 4,10,Ｄエプソムデザイアｰ, 63,大庭  , 0.5, 68,  -6,* 14,10, 62.1,⑨⑨⑩, 4, 2,Ｅクリスタルヴィオレ, 76,柴田善, 0.3, 74, -14,  29, 8, 12.3,③③③
 5, 3,Ｂアポロコマンダｰ, 44,勝浦  , 0.9, 44,  -9,  -9, 5, 17.5,④④④, 5, 8, グランツスワン,,白浜  , 1.5,,,, 1,  2.7,⑭⑩⑧, 5,12,Ｇレインボｰロマンス, 59,石神  , 0.7, 66,  -5,  11, 6, 14.2,⑨⑨⑨, 5, 9,Ｆシルキｰステラ, 76,横山典, 0.3, 78, -16,  32, 2,  4.9,④④④
 6, 1,Ｄマルタｰズドッキ, 40,ペリエ, 1.0, 44, -10,  -9, 7, 30.9,⑥⑤④, 6, 2, モエレタマモクロス,,矢原  , 1.6,,,,11, 54.0,①⑦⑥, 6,13,Ｃスノｰティアラ, 64,ペリエ, 0.9, 62,*  1,  -2, 3,  5.6,①①①, 6, 8,Ｃナチュラルメイク, 80,ペリエ, 0.6, 79, -21,* 35, 5,  8.0,⑨⑨⑧
 7, 6,Ｇクリゼイア, 29,小野  , 1.0, 44, -13,  -3, 9, 69.5,⑦⑦⑨, 7, 9, サクラアクｰト,,浜野谷, 2.4,,,, 9, 38.2,⑦⑦⑥, 7,11,Ｉミヨノインパクト, 55,郷原  , 1.0, 65,  -7,  10,11, 71.2,⑫⑫⑩, 7, 6,Ｈラドランファｰマ, 73,ボニヤ, 0.9, 60, -18,  25, 4,  6.4,⑥⑤⑤
 8, 7,Ｉコウジンクラマ, 14,吉永  , 1.1, 42,* -8, -13, 8, 64.9,③③③, 8, 6, コウセイバクシン,,沢    , 2.5,,,,12, 57.7,⑧③④, 8, 7,Ｈレディフェザｰ, 58,小林淳, 1.2, 63,  -8,  10,12, 98.6,⑬⑬⑬, 8, 4,Ｇロｰレルアンジュ, 74,北村宏, 1.1, 68, -21,  29, 9, 40.7,⑥⑧⑨
