05年10月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年10月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(抽) 馬齢,,,,,,,,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 別定,,,,,,,,,,,,■10R  ダ1400m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,藤森特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａアドマイヤメイン, 54,武豊  ,, 78,* -7,* 19, 1,  1.1,①①①, 1, 6,Ｃキｰステｰジ, 51,上野翔,, 62,  -9,*  9, 3,  5.4,②②②, 1, 8,Ａテイエムヤマトオｰ, 71,武豊  ,, 69,  -1,*  6, 1,  1.3,③③②, 1, 5,Ｄゲイリｰスノｰマン, 72,池添  ,, 85,*  5,* 17, 1,  2.3,①①①
 2, 2,Ｇシゲルシテカブ, 35,佐久間, 1.0, 55, -12,   7, 8,157.4,②②②, 2, 9,Ａコｰリンヴァリウス, 65,川田  , 0.3, 61,  -9,*  7, 1,  1.8,③②②, 2, 1,Ｆタマモコンチェルト, 62,上村  , 0.0, 68,  -2,*  7, 6, 29.1,⑤⑤⑤, 2, 7,Ａエアオｰサム, 77,福永  , 0.2, 87,   0,* 21, 3,  6.5,⑨⑧⑧
 3, 7,Ｅマイネルアンツｰク, 42,佐藤哲, 1.3, 55, -12,   7, 4, 21.1,⑤⑤⑤, 3, 5,Ｂクリノダイマオｰ, 54,上村  , 1.0, 59, -11,   7, 2,  5.0,⑥⑨⑤, 3,12,Ｋダンツスプリング, 51,生野  , 0.7, 59,*  0,  -6, 9, 86.9,①①①, 3, 4,Ｅリｰドオフマン, 72,佐藤哲, 0.7, 82,  -4,* 20, 5,  8.6,⑫⑫⑩
 4, 3,Ｆユキノボｰイ, 38,幸    , 1.4, 52, -10,   3, 6, 39.5,④②②, 4, 1,Ｈホッジポッジ, 40,長谷川, 1.0, 55,  -9,   2, 8, 45.3,④④④, 4,10,Ｊブラックヘリオス, 52,安田  , 0.8, 64,  -5,*  6,12,397.8,⑪⑪⑩, 4,10,Ｂルックミｰナウ, 75,幸    , 0.9, 76,*  5,   9, 7, 28.1,③②②
 5, 1,Ｂユメノオｰラ, 53,川田  , 1.6, 48, -16,   5, 2, 12.4,⑥⑦⑦, 5,10,Ｆジリオンスタｰ, 45,小牧太, 1.3, 51,* -3, -12, 5, 11.4,①①①, 5, 3,Ｅアグネスヘルメス, 63,池添  , 1.0, 61,  -4,   2, 3, 10.5,⑧⑨⑧, 5, 2,Ｇエイシンアスワン, 67,武豊  , 1.1, 73,   2,   9, 4,  6.6,③⑤④
 6, 9,Ｈアスカノヒミコ, 35,渡辺薫, 1.7, 47, -12,   0, 7,111.6,⑦⑤⑤, 6, 7,Ｄインカム, 48,川島信, 2.8, 43, -11, -11, 7, 32.4,⑩⑥⑤, 6, 5,Ｌホッコｰサクセス, 41,橋本美, 1.1, 59,  -3,  -2,11,356.9,⑦⑥⑧, 6, 3,Ｈサダムアオイツキ, 66,秋山  , 1.2, 74,   2,   9, 8, 76.6,⑤⑤⑤
 7, 4,Ｄアドラｰブルキス, 43,石橋守, 1.8, 47, -15,   3, 5, 26.8,⑧⑧⑦, 7, 4,Ｅファニｰサンライズ, 47,幸    , 2.9, 40,  -9, -15, 6, 19.5,⑥④⑤, 7,11,Ｂワンダｰゼネラス, 66,安藤勝, 1.2, 60,  -5,   1, 2,  6.8,⑪⑪⑩, 7, 6,Ｊテンエイゴｰルド, 64,赤木  , 1.4, 71,*  5,   4, 9,109.6,②②②
 8,10,Ｃステラゴｰルド, 46,福永  , 2.2, 39,* -9, -11, 3, 17.2,②②②, 8, 8,Ｊゴッドブレスユｰ, 33,生野  , 3.0, 39, -13, -12,10,241.5,⑨⑩⑨, 8, 9,Ｃホッカイアムレット, 64,佐久間, 1.2, 56,  -4,  -3, 7, 51.4,⑧⑥⑥, 8, 1,Ｃインタｰコウキ, 73,上村  , 1.8, 69,   2,   5, 2,  4.1,⑦⑧⑥
 9, 5,Ｊシロウストレイタス, 17,畑端  , 3.0, 30, -17, -10, 9,162.3,⑩⑨⑩, 9, 2,Ｇサワノプリマベｰラ, 40,福永  , 3.1, 38, -10, -16, 4, 10.5,④⑥⑧, 9, 2,Ｇフサイチミラクル, 61,鮫島良, 1.5, 54,  -4,  -7, 4, 13.1,⑥⑥⑥, 9, 9,Ｋスタｰエフェクト, 58,藤岡  , 2.2, 63,  -2,   4,11,143.5,⑧⑩⑩
10, 6,Ｉウインドコンコルド, 19,小牧太, 3.2, 27, -17, -13,10,166.7,⑨⑨⑨,10, 3,Ｉエプソムフォクシｰ, 37,野元  , 5.2, 21, -11, -34, 9,101.7,⑧⑥⑩,10, 6,Ｈグレｰトザラン, 54,赤木  , 1.8, 53,* -1, -12, 8, 58.7,③③②,10, 8,Ｆダンディズム, 71,安藤勝, 3.1, 48,   2, -11, 6, 16.2,⑪②⑥
,,,,,,,,,,,,,,,,,,,,,,,,11, 4,Ｉビジュアルメｰク, 53,小林徹, 2.3, 49,  -3, -13,10,135.6,⑩⑨⑩,11,11,Ｉキコウシ, 65,小牧太, 3.2, 53,  -2,  -5,12,186.1,⑩⑪⑩
,,,,,,,,,,,,,,,,,,,,,,,,12, 7,Ｄセンタｰベステ, 63,飯田  , 2.6, 47,*  0, -21, 5, 17.2,②②②,12,12,Ｌマイネルマリク, 57,熊沢  , 3.3, 47,   2, -12,10,110.6,⑥⑤⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:稍重(指数:-5),,,,,,,,,,,
"単勝:110円 複勝:08=100円 02=1,440円 07=220円 枠連:4,550円",,,,,,,,,,,,単勝:540円 複勝:06=150円 09=110円 05=120円 枠連:500円,,,,,,,,,,,,"単勝:130円 複勝:08=110円 01=480円 12=1,290円 枠連:1,970円",,,,,,,,,,,,単勝:230円 複勝:05=110円 07=180円 04=230円 枠連:570円,,,,,,,,,,,
"馬連:5,640円 ワイド:02-08=2,240円 07-08=240円 02-07=7,600円",,,,,,,,,,,,馬連:490円 ワイド:06-09=220円 05-06=300円 05-09=180円,,,,,,,,,,,,"馬連:1,600円 ワイド:01-08=730円 08-12=1,770円 01-12=12,820円",,,,,,,,,,,,馬連:780円 ワイド:05-07=330円 04-05=420円 04-07=570円,,,,,,,,,,,
"馬単:6,330円 3連複:10,340円",,,,,,,,,,,,"馬単:1,410円 3連複:570円",,,,,,,,,,,,"馬単:1,880円 3連複:23,660円",,,,,,,,,,,,"馬単:1,310円 3連複:1,590円 3連単:7,380円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 5R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上500万(混) 別定,,,,,,,,,,,,■11R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大原ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｇポｰトエレガント, 39,武豊  ,, 63,*-15,* 12, 4,  8.3,②②②, 1, 5, ロジック,---,武豊  ,, 57, -21,* 14, 1,  2.3,⑤⑤⑤, 1, 6,Ｎサムライハｰト, 55,武豊  ,, 77,   1,  17, 1,  1.5,⑦⑦⑥, 1, 2,Ａグレイトジャｰニｰ, 87,幸    ,, 78,   2,* 10, 6, 11.5,⑧⑦⑦
