05年10月29日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年10月29日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝2000m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■10R  芝2000m 3歳上500万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,奥只見特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａジェネシス, 70,大西  ,, 63,   0,*  5, 2,  3.2,⑦⑤③, 1,12,Ｃワンダｰスピｰド, 55,赤木  ,, 56,  -1,  -2, 3,  4.6,④④⑤, 1,15,Ｃソルジャｰズソング, 61,中舘  ,, 66,  -1,*  7, 1,  3.6,⑤⑤③, 1,12,Ｇマイネルモンシェリ, 58,大西  ,, 72,*-11,* 25, 4,  7.0,②②②
 2, 4,Ｇキタサンメッセｰジ, 36,北村浩, 0.4, 54,*  1,  -8, 7, 65.3,①②②, 2,13,Ｂキングベガロｰド, 55,大西  , 0.0, 57,  -2,* -1, 2,  4.2,⑧⑤④, 2, 8,Ｆシンメイアタック, 57,長谷川, 0.4, 57,  -6,*  3, 5, 10.4,⑩⑥③, 2, 2,Ｆトウショウパワｰズ, 64,長谷川, 0.1, 70, -13,* 25, 2,  6.3,③③③
 3, 6,Ｄオルクリスト, 58,赤木  , 0.5, 58,   0,  -2, 4, 10.2,⑦⑤⑤, 3,11,Ａサカイヤベンケイ, 57,鮫島良, 0.2, 53,  -5,* -2, 4,  7.6,⑪⑦⑥, 3, 1,Ａトウヨウソニック, 69,吉田隼, 0.6, 52,*  0,  -8, 3,  4.8,①①①, 3, 4,Ｃゲイリｰザスカイ, 72,北村浩, 0.2, 59,*-10,  16, 7, 37.3,①①①
 4, 3,Ｃサｰチエネミｰ, 62,鮫島良, 0.8, 49,  -2, -11, 5, 16.0,②④⑤, 4, 1,Ｄキンシベガ, 50,吉田隼, 0.3, 50,  -5,* -2, 5,  8.1,⑨⑦⑨, 4, 7,Ｅゼンノキャンベラ, 57,鮫島良, 0.8, 48,* -3, -10, 6, 16.0,④②②, 4,11,Ａケイエスジェネラス, 74,柴山  , 0.5, 64, -12,  20, 3,  6.7,⑥③③
 5, 5,Ｅヤマニンランスタン, 56,中舘  , 1.1, 51,   0, -11, 3,  3.7,⑤⑤⑤, 5, 3,Ｉニシノカリブ, 38,大野  , 0.3, 52,  -5,* -2,13,172.0,⑫⑦⑦, 5, 3,Ｉアラクリティ, 52,北村浩, 0.8, 48,  -6,  -4,11, 41.9,⑧⑥⑦, 5, 3,Ｂチョウノゾミ, 72,鮫島良, 0.7, 61, -15,  19, 1,  1.8,⑥⑦⑥
 6, 8,Ｆオイカゼ, 50,柴山  , 1.2, 50,*  2, -17, 6, 24.2,②③③, 6, 7,Ｅカンファｰマックス, 48,古川吉, 0.4, 54,*  1,  -9, 7, 17.8,②②①, 6,11,Ｋマイネメリアン, 51,池田  , 0.8, 52,  -6,  -1, 7, 27.9,⑧⑨⑧, 6, 1,Ｈミヤコザムライ, 58,村田  , 0.7, 60, -15,  19,10, 68.1,⑥⑦⑥
 7, 7,Ｈシルクデラックス, 35,大野  , 2.1, 36,  -3, -27, 8,108.5,⑥⑧⑧, 7,10,Ｆニホンピロコテツ, 46,柴山  , 0.6, 53,*  0,  -9, 1,  2.9,③③②, 7,13,Ｂクノッソス, 63,石橋脩, 0.8, 50,  -9,   0, 4,  5.5,⑪⑩⑩, 7, 7,Ｄシルクグリフィン, 68,田面木, 0.8, 62, -16,  21, 5,  9.3,⑨⑨⑨
 8, 2,Ｂハｰトオブオｰク, 70,長谷川, 2.3, 37,*  2, -36, 1,  2.3,②①①, 8, 2,Ｋマヤノトップスコア, 35,石橋脩, 1.6, 42,  -3, -16, 9, 48.3,⑤⑤⑦, 8, 5,Ｄゼロキャット, 58,柴山  , 1.0, 45, -19,*  8, 2,  4.1,⑬⑭⑭, 8, 5,Ｅアイアイボタン, 64,池田  , 1.0, 49, -13,  12, 8, 41.6,⑤③③
