05年12月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年12月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  ダ1700m 3歳上500万(牝) 別定,,,,,,,,,,,,■ 7R  芝1800m 2 歳未勝利(牝) 馬齢,,,,,,,,,,,,■10R  ダ1700m 3歳上1000万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,矢作川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｇブロｰドチャンネル, 39,大西  ,, 60,*  2,  -5, 3,  5.8,②①①, 1,11,Ｉシンシンマｰキｰ, 59,大西  ,, 70,  -4,* 13,11, 29.5,⑧⑧⑤, 1, 3,Ｈソリッドプラチナム, 42,川田  ,, 55,  -6,*  1, 2,  6.4,⑧⑥⑥, 1,11,Ｆゼンノトレヴィ, 73,田島裕,, 74,* -4,  17, 2,  3.7,③③③
 2,10,Ａツルミトゥインクル, 52,松田  , 0.1, 55,  -6,* -1, 2,  3.4,⑦⑥③, 2, 3,Ｄコスモキャンディス, 66,佐藤聖, 0.2, 65,  -3,   6, 2,  4.4,④④③, 2, 1,Ｂサンキンレタｰ, 57,鮫島良, 0.7, 44,* -1, -23, 5,  7.3,①①①, 2, 7,Ｊトラストスタｰ, 69,和田  , 0.1, 71,* -4,  16,10, 25.7,②②②
 3, 5,Ｂクリノファイトオｰ, 50,柴山  , 0.1, 59,*  2,  -6, 1,  2.6,②②②, 3,15,Ｃメグミロマンス, 67,武幸  , 0.4, 68,  -4,* 10, 1,  3.7,⑩⑩⑨, 3,10,Ｃミルキｰウェイ, 53,小林徹, 0.7, 49,  -8,* -3, 7, 16.2,⑬⑫⑩, 3,10,Ｅゲイリｰリボルバｰ, 75,津村  , 0.5, 76,  -9,* 22, 5, 11.5,⑮⑬⑭
 4, 6,Ｅアイノグレゴリｰ, 42,川田  , 0.8, 47,  -1, -12, 4,  8.3,④③③, 4, 5,Ｇベネザプレ, 62,柴山  , 0.6, 64,  -3,   6, 3,  6.4,⑥⑤⑤, 4, 5,Ａステラマドレｰド, 60,柴山  , 0.8, 47,  -5, -10, 1,  2.9,⑦⑥⑥, 4,13,Ｃポジティヴトライ, 75,菊沢徳, 0.5, 78,  -8,* 23, 8, 20.2,⑭⑬⑩
 5, 2,Ｎワンダｰグロｰリｰ, 24,野元  , 1.0, 43,  -7,  -9,10, 42.7,⑧⑦⑦, 5,12,Ｊアミュレット, 59,高橋智, 0.6, 64,  -4,   7, 6, 12.4,⑩⑧⑨, 5, 2,Ｄギブミｰアチャンス, 52,和田  , 1.0, 44,  -7,  -9, 6, 13.9,⑩⑩⑪, 5, 2,Ａスリｰアベニュｰ, 78,河北  , 0.5, 67,  -5,  15, 1,  3.6,④④⑤
 6, 4,Ｋフレアリングクイン, 30,高山太, 1.1, 39, -17,* -4,12,138.0,⑭⑬⑬, 6,13,Ｆスリｰブルｰ, 62,河北  , 0.7, 62,*  1,   0, 7, 17.3,②②②, 6, 4,Ｊマヤノモノノケヒメ, 36,内田浩, 1.2, 42,* -1, -24,11, 50.3,③③③, 6,16,Ｉゴッドセンド, 70,北村浩, 0.7, 66,  -6,  14, 7, 16.2,⑧⑥⑤
 7,16,Ｈカシノカオリ, 37,中村将, 1.2, 37, -13, -10,14,242.5,⑪⑩⑩, 7, 4,Ｋムゼッタ, 56,二本柳, 1.1, 62,  -5,   6,14,142.4,⑮⑪⑪, 7,13,Ｐオホｰツクリッチ, 14,村田  , 1.3, 41, -10,  -9,14,221.8,⑬⑭⑭, 7, 6,Ｈバンドマスタｰ, 70,西田  , 0.9, 62,* -5,  10,12, 37.1,④④③
 8,14,Ｄカンドｰレ, 42,津村  , 1.2, 39,  -8, -12, 6, 16.2,①⑦⑦, 8,14,Ｍイルドゥボｰテ, 51,赤木  , 1.2, 60,  -3,   1,13, 97.7,⑥⑤⑤, 8,15,Ｆタイセイラン, 45,赤木  , 1.3, 41,*  1, -30, 4,  6.7,①②②, 8, 1,Ｂワｰルドサンボｰイ, 77,武幸  , 0.9, 65,  -7,  14, 3,  5.7,⑧⑨⑧
 9, 8,Ｐトｰホウヘッド, 17,嘉藤  , 1.3, 42,  -2, -16,11, 50.8,④③③, 9, 9,Ａオンワｰドサマンサ, 70,丹内  , 1.4, 57,  -6,   3,10, 28.3,⑫⑪⑪, 9,12,Ｇユメキコウ, 43,津村  , 1.4, 39, -11, -12, 8, 19.0,⑮⑭⑪, 9, 8,Ｄスズカジョリｰズ, 75,小林徹, 1.0, 62,  -6,  12,11, 29.2,⑥⑥⑧
10, 1,Ｆメイショウマボンヌ, 41,酒井学, 1.3, 38, -14,  -8, 9, 38.0,⑪⑫⑩,10, 7,Ｌピサノアリュメｰル, 56,塚田  , 1.5, 55,  -7,   1, 5,  8.3,⑬⑪⑪,10, 6,Ｌフラワｰパス, 25,石橋脩, 1.5, 37,  -4, -25,12, 67.0,④④④,10,15,Ｎミヤビアゼリア, 67,石橋脩, 1.1, 67, -10,  17,13, 96.1,⑯⑯⑯
11,11,Ｊケイタッチ, 33,小林徹, 1.5, 37,  -9, -14, 8, 34.3,⑧⑦⑦,11,10,Ｅテイエムカッサイ, 63,橋本美, 1.7, 56,  -6,   1, 4,  6.9,⑯⑭⑭,11, 9,Ｏコスモオキシジェン, 15,丹内  , 1.7, 35, -10, -18,13,190.5,⑫⑫⑪,11,14,Ｇヤマノサップ, 72,柴山  , 1.1, 62,  -7,  13, 6, 15.2,⑩⑨⑩
12, 9,Ｌマルノアサシン, 28,長谷川, 1.7, 29, -19, -10,13,222.8,⑬⑬⑭,12,16,Ｂニシノブラッサム, 67,菊沢徳, 2.0, 49,*  7, -25, 9, 20.2,①①①,12, 8,Ｍラガｰフラッシュ, 23,中村将, 2.9, 19,  -5, -47,15,287.3,④④④,12, 3,Ｌアッチッチ, 69,生野  , 1.2, 62,  -9,  14, 9, 25.5,⑫⑬⑭
13, 7,Ｏアミフジウラノス, 23,大野  , 1.8, 29, -13, -16,16,364.5,⑩⑩⑩,13, 1,Ｈバレンソｰル, 60,武士沢, 2.7, 44,  -3, -16, 8, 20.1,④⑤⑧,13, 7,Ｉアサヒオンステｰジ, 37,武幸  , 3.1, 20,  -4, -47, 9, 24.4,⑥⑥⑥,13, 9,Ｍミラクルザヘッド, 68,川田  , 1.2, 61,  -5,   9,14,129.3,⑥⑥⑤
14,13,Ｉキングルｰキｰ, 35,石橋脩, 1.8, 25, -27,  -6, 7, 31.9,⑮⑮⑮,14, 6,Ｎロジエｰル, 49,長谷川, 3.1, 41,*  0, -25,12, 75.0,②②③,14,11,Ｋスズカリｰガル, 29,千田  , 3.6, 15,  -5, -53,10, 24.8,⑨⑥⑥,14,12,Ｏダンシングホｰク, 62,池田  , 1.6, 58,  -8,   9,16,397.5,⑫⑪⑩
15,12,Ｃグレｰトセイウン, 49,畑端  , 2.0, 34,  -2, -23, 5, 14.6,④③③,15, 8,Ｏタケデンビリｰブ, 43,伊藤直, 3.3, 42,  -8, -13,16,355.6,⑬⑮⑮,,,,,,,,,,,,,15, 5,Ｐメイテツ, 60,横山義, 1.6, 58,  -8,   9,15,244.1,⑩⑪⑩
16,15,Ｍヒミノエリカ, 26,赤木  , 2.8, 12, -33, -11,15,307.5,⑮⑯⑯,16, 2,Ｐネクサス, 32,西田  , 7.8,  7, -10, -53,15,235.6,⑧⑯⑯,,,,,,,,,,,,,16, 4,Ｋマルブツブリザｰド, 69,松田  , 2.2, 46,* -3,  -6, 4,  9.9,①①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:稍重(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:稍重(指数:-11),,,,,,,,,,,
"単勝:580円 複勝:03=160円 10=130円 05=110円 枠連:1,020円",,,,,,,,,,,,"単勝:2,950円 複勝:11=580円 03=180円 15=150円 枠連:2,870円",,,,,,,,,,,,"単勝:640円 複勝:03=230円 01=260円 10=440円 枠連:1,250円",,,,,,,,,,,,"単勝:370円 複勝:11=170円 07=700円 10=370円 枠連:2,500円",,,,,,,,,,,
"馬連:1,210円 ワイド:03-10=410円 03-05=370円 05-10=200円",,,,,,,,,,,,"馬連:6,330円 ワイド:03-11=1,820円 11-15=1,630円 03-15=400円",,,,,,,,,,,,"馬連:1,790円 ワイド:01-03=660円 03-10=1,870円 01-10=1,990円",,,,,,,,,,,,"馬連:4,360円 ワイド:07-11=2,000円 10-11=950円 07-10=3,750円",,,,,,,,,,,
"馬単:2,920円 3連複:980円",,,,,,,,,,,,"馬単:14,500円 3連複:8,090円",,,,,,,,,,,,"馬単:3,650円 3連複:12,370円",,,,,,,,,,,,"馬単:7,380円 3連複:18,250円 3連単:89,770円",,,,,,,,,,,
■ 2R  ダ1700m 3歳上500万 別定,,,,,,,,,,,,■ 5R  ダ1000m 3歳上500万(混) 別定,,,,,,,,,,,,■ 8R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■11R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中京日経賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｆアサクサムスタング, 69,長谷川,, 66,  -5,* 10, 2,  3.1,⑬⑭⑫, 1, 9,Ａモンテオｰシャン, 81,柴山  ,, 67,*  1,   4, 2,  7.4,②②②, 1, 1, ランヘランバ,---,田島裕,, 49,* -7,  -5, 3,  4.3,②②②, 1, 8,Ｃプリティメイズ, 81,西田  ,, 75,  -7,  21, 4,  8.0,②④⑤
 2,13,Ｅトｰセンマウンテン, 70,加藤士, 0.1, 63,  -4,*  6, 7, 13.0,⑬⑪⑫, 2,13,Ｂマヤノサムサラ, 78,鮫島良, 0.1, 62,  -7,*  5, 1,  1.6,③⑦⑦, 2,14, ヒシワンスモア,---,武幸  , 0.2, 47, -17,*  2, 1,  3.0,⑨⑦⑥, 2, 7,Ｂコスモシンドラｰ, 81,武幸  , 0.0, 77, -10,* 24, 1,  4.5,⑦⑦⑦
 3, 9,Ｂジｰティｰアトラス, 74,生野  , 0.2, 60,  -2,   1, 8, 36.7,④④④, 3, 5,Ｄメルボルンシチｰ, 68,二本柳, 0.4, 61,  -4,   3, 4, 11.3,③③③, 3,15, バンロｰゼ,---,内田浩, 0.5, 40,* -6, -14,11, 55.7,①①①, 3, 5,Ｈシャドロンガｰル, 76,柴山  , 0.1, 75,  -4,  18, 3,  7.1,②④②
 4, 2,Ａアグネスレプトン, 78,石橋脩, 0.2, 61,  -2,   2, 1,  2.7,④④④, 4,11,Ｉエンドジョｰカｰ, 61,鹿戸  , 0.4, 62, -11,*  7,11, 55.6,⑬⑪⑨, 4,12, ランティランナｰ,---,河北  , 0.7, 39, -20,  -3, 6, 19.3,⑩⑩⑨, 4,16,Ｋワイルドシャウト, 75,石橋脩, 0.1, 73,*  2,  13, 8, 13.7,①①①
