05年11月13日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,05年11月13日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝1800m 3歳上500万 別定,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万 別定,,,,,,,,,,,,■10R  芝1800m 3歳上500万(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高湯温泉特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｐスリｰセブンスピン, 25,中舘  ,, 58,* -5,   5, 2,  4.6,①②②, 1, 9,Ｄマイネルソユｰズ, 71,大西  ,, 75,   0,* 18, 2,  5.0,⑨⑪⑪, 1,10,Ｄトットコヒｰロｰ, 68,赤木  ,, 75,   5,  12,10, 36.5,④③②, 1,13,Ｄゲットマイウェイ, 68,柴山  ,, 75,   2,  14, 3,  5.2,②②②
 2, 1,Ｃトップディアマンテ, 53,古川吉, 0.0, 61,  -9,*  9, 4,  6.6,⑨④③, 2, 7,Ｃミラクルレイザｰ, 71,柴山  , 0.0, 74,*  3,* 12, 3,  5.1,⑤④②, 2, 8,Ｍハイタイド, 56,古川吉, 0.1, 75,   3,  15,14,152.5,③④④, 2,11,Ａリキッドノｰツ, 75,勝浦  , 0.1, 76,   2,  16, 1,  2.4,⑥⑥③
 3, 7,Ｄサクラモサ, 51,小島一, 0.1, 52,* -7,   1, 3,  5.8,②①①, 3, 6,Ａピアチェヴォｰレ, 75,木幡  , 0.1, 73,*  2,* 12, 1,  2.4,⑤⑥⑤, 3,16,Ｉブラックアルタイル, 66,木幡  , 0.2, 76,  -2,* 25, 2,  4.2,⑬⑫⑪, 3, 1,Ｂシンボリプレオ, 74,中舘  , 0.2, 76,   0,* 17, 2,  2.6,⑦⑧⑥
 4,14,Ｈテイエムオｰディン, 44,和田  , 0.1, 60, -16,* 14,12, 50.2,⑫⑪⑫, 4,10,Ｊレイゴｰルド, 57,和田  , 0.4, 68,*  3,   4,12, 82.2,④②②, 4, 4,Ｃシャドｰウィップ, 69,吉田隼, 0.3, 74,  -3,* 23, 6, 16.6,⑩⑫⑩, 4,10,Ｆフラップジャック, 59,石橋脩, 0.6, 73,  -5,* 20, 9, 64.3,⑬⑬⑨
 5,15,Ｎキングオブパンサｰ, 29,勝浦  , 0.6, 52, -21,* 11,14, 93.7,⑮⑭⑭, 5,12,Ｉアｰトレｰタ, 59,横山典, 0.5, 65,*  6,  -1, 7, 18.4,①①①, 5, 5,Ｆエアサバス, 67,横山典, 0.5, 72,  -1,  18, 1,  2.4,⑧⑦⑤, 5, 8,Ｅレッドハヤブサ, 67,木幡  , 0.8, 71,   0,  11, 4, 12.9,⑩⑨⑥
 6,16,Ｏペンデュラｰ, 26,吉田隼, 0.7, 44, -13,  -2,10, 39.8,④④⑤, 6, 5,Ｅツルマルダンスオｰ, 69,赤木  , 0.6, 65,   0,   5, 4,  8.7,⑫⑦⑥, 6, 2,Ｋマイネルスピンドル, 63,中舘  , 0.6, 71,  -1,  18, 3,  6.9,⑩⑩⑧, 6,12,Ｃワンダｰガジ, 68,長谷川, 1.2, 63,  -3,   6, 5, 15.4,⑩⑪⑫
 7, 8,Ｌソニックオｰ, 36,佐藤聖, 0.7, 46, -19,   4, 9, 28.0,⑩⑫⑤, 7,13,Ｈアウトゥリｰチェ, 60,土谷  , 0.9, 63,   0,   3, 9, 39.1,⑬⑦⑧, 7, 3,Ｂケイエスジェネラス, 71,柴山  , 0.7, 71,   0,  15, 5, 13.8,⑦⑦⑥, 7, 2,Ｎノボファイタｰ, 42,赤木  , 1.2, 60,   1,  -1, 7, 54.7,⑤⑥⑧
 8, 2,Ｊスプリングザスパ, 39,柄崎  , 0.7, 49, -11,   0,13, 60.1,⑤④④, 8,11,Ｋマイネルゴｰシュ, 52,佐藤聖, 1.1, 55,  -1,  -4,10, 50.0,⑨⑦⑧, 8,14,Ｇタイセイスパｰク, 66,千田  , 0.7, 70,   0,  15,11, 37.2,⑧⑦⑧, 8, 4,Ｌサカイヤゲッカモン, 48,武英  , 1.3, 61,   3,  -3,14,222.2,⑦③③
 9, 3,Ｇハッスルガｰル, 45,津村  , 0.9, 44, -25,*  8,15, 94.3,⑬⑮⑯, 9, 4,Ｆメイショウハヤボシ, 67,長谷川, 1.3, 56,   0,  -5, 5, 11.8,⑤⑦⑧, 9,11,Ａクルワザｰド, 77,丹内  , 0.9, 61,*  8, -13, 8, 22.2,②②②, 9, 9,Ｋパワｰポリティクス, 50,津村  , 1.9, 53,* 10, -25,11,122.0,①①①
10,13,Ｋスプリングピオリア, 38,熊沢  , 0.9, 45, -13,  -1, 6, 14.2,⑧⑧⑧,10, 8,Ｇシルクトラベラｰ, 63,本田  , 1.7, 51,*  3, -16, 6, 15.2,②②④,10, 7,Ｌエイコｰオｰカン, 57,石橋脩, 1.0, 66,  -6,* 20,15,161.1,⑮⑮⑮,10, 3,Ｈニホンピロブレイブ, 55,熊沢  , 1.9, 52,  -1,  -7, 6, 27.1,⑦⑨⑪
11,11,Ａクリノジャンファン, 59,塚田  , 1.1, 37, -16,  -5, 8, 27.3,⑩⑧⑪,11, 2,Ｂカネショウハヤテ, 75,吉田隼, 2.4, 37,*  0, -26, 8, 22.5,②④⑥,11, 9,Ｅサクラトラスト, 67,津村  , 1.3, 59,  -2,   3, 9, 25.4,⑤⑤⑥,11, 7,Ｊサンベイリｰズ, 51,松田  , 2.1, 56,  -5,   2,12,134.6,⑭⑭⑬
