14年11月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  ダ1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,西陣ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａメイショウヒマワリ, 63,川田将,, 62,*  3,* -6, 2,  4.3, ②②, 1, 7, アドマイヤスタｰ,---,福永祐,, 53,  -5,* -6, 2,  2.6,⑧⑦⑦, 1, 2,Ｅロングリバイバル, 72,義英真,, 80,*  2,   5, 2,  4.2,①①①, 1, 3,Ａナンチンノン, 86,川島信,, 82,  11,   6, 1,  3.2, ③③
 2, 5,Ｂエイシンチャｰタｰ, 62,藤岡佑, 0.0, 61,*  2,* -4, 1,  1.9, ③③, 2, 4, クルｰガｰ,---,ブドｰ, 0.0, 52,  -4,* -8, 1,  2.2,⑥⑥⑥, 2, 6,Ｄヤマイチパｰトナｰ, 74,秋山真, 0.1, 82,   0,* 13, 3,  5.5,⑦⑦⑤, 2, 2,Ｏエｰシングリズリｰ, 73,太宰啓, 0.0, 82,  10,   8, 8, 28.2, ⑤⑤
 3,10,Ｉタキオンレディｰ, 46,花田大, 0.9, 53,  -6,* -2,10, 63.4, ⑪⑪, 3, 3, モｰグリ,---,松山弘, 1.1, 44,* -2, -21, 8, 26.7,①①①, 3, 9,Ｃペプチドアマゾン, 75,藤岡康, 0.2, 79,*  1,   6, 1,  2.0,②②②, 3,12,Ｃビナスイｰト, 81,松山弘, 0.1, 82,* 14,   2,11, 37.9, ①①
 4, 7,Ｅタマノベレッツァ, 51,浜中俊, 1.2, 52,  -1, -10, 6, 21.3, ⑨⑥, 4, 8, ダイナミックショｰ,---,池添謙, 1.2, 42,* -3, -20, 7, 23.6,③③③, 4, 4,Ａファルスタｰ, 78,ブドｰ, 0.3, 83,  -2,* 14, 5, 11.0,⑧⑧⑧, 4,13,Ｂロスヴァイセ, 81,藤岡佑, 0.2, 77,   3,* 13, 7, 23.9, ⑭⑮
 5, 1,Ｇサンマルメジャｰル, 49,和田竜, 1.3, 53,*  4, -18, 8, 29.4, ①①, 5, 1, シゲルテンジンサン,---,酒井学, 1.9, 39,  -4, -25, 6, 22.3,⑤④④, 5, 1,Ｂアドマイヤカｰリン, 77,川田将, 0.4, 77,*  1,   4, 4,  6.5,⑤④③, 5,11,Ｉヘアｰオブザドッグ, 77,ブドｰ, 0.4, 75,   1,* 12,10, 30.6, ⑮⑭
 6,16,Ｃジョウショｰエガオ, 58,国分恭, 1.6, 48,   1, -17, 3,  6.2, ⑤④, 6,11, カノｰヴァ,---,川田将, 2.0, 39,  -4, -25, 3,  6.1,④⑤⑤, 6, 8,Ｇクロニクルスカイ, 69,和田竜, 0.5, 77,   0,   4, 6, 14.3,③③④, 6, 4,Ｅゴｰイングパワｰ, 79,和田竜, 0.5, 78,* 13,  -1, 4,  6.1, ②②
 7, 8,Ｊダンツストｰン, 44,池添謙, 2.2, 42,  -9,  -9, 5, 13.7, ⑭⑮, 7, 6, ムイビエン,---,藤岡佑, 2.0, 37,  -6, -22,10,164.0,⑨⑨⑧, 7, 5,Ｆテｰオｰダンシング, 71,難波剛, 1.1, 69,   0,  -5, 8, 72.5,⑥⑤⑥, 7, 9,Ｆロｰドガルｰダ, 79,藤岡康, 0.5, 76,   6,   6, 3,  6.1, ⑨⑨
 8, 4,Ｌタイガｰメノｰ, 34,岡田祥, 2.4, 42, -11,  -9,14,277.7, ⑯⑭, 8,10, プリュクベル,---,義英真, 2.1, 37,  -8, -18, 4, 14.9,⑪⑩⑪, 8, 3,Ｈイグゼキュティヴ, 69,柴田未, 1.4, 67,  -2,  -5, 7, 47.7,④⑥⑦, 8, 8,Ｍブルｰストｰン, 75,池添謙, 0.5, 77,  12,   1, 6, 20.2, ④④
