14年 9月 7日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 9月 7日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:17,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,すずらん賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｌシゲルヤブサメ, 40,藤岡康,, 63,* -5,*  0, 7, 27.2,⑨①①, 1, 3,Ｊリムショット, 61,横山和,, 71,   7,*  1,11, 49.1,⑨⑥③, 1, 8,Ｃタカミツスズラン, 71,勝浦正,, 75,  -3,* 12, 4, 10.2, ⑯⑯, 1,15,Ｋペイシャオブロｰ, 44,丹内祐,, 71,* 11,  -8,12, 67.7, ④④
 2,11,Ｇトｰセンルンバ, 50,吉田隼, 0.3, 61,  -9,*  1, 5, 25.0,⑦⑤③, 2,12,Ｄコスモカウピリ, 67,丹内祐, 0.3, 68,*  9,  -5, 5, 11.7,①①①, 2, 9,Ｇエクスパｰシヴ, 69,菱田裕, 0.3, 72,   1,*  5,10, 28.5, ⑩⑩, 2,14,Ｆヤマカツエｰス, 53,池添謙, 0.0, 66,   3,*  0, 5,  9.4, ⑨⑧
 3, 4,Ｂヴェルステルキング, 60,福永祐, 0.4, 61, -10,*  3, 2,  5.7,⑥⑧⑦, 3,11,Ａクリュｰサオｰル, 69,小崎綾, 0.4, 68,   7,  -2, 1,  2.2,⑧⑧⑦, 3,13,Ｅスｰパｰアｰス, 70,黛弘人, 0.4, 73,*  6,  -2, 9, 20.9, ②②, 3, 8,Ｉトロピカルガｰデン, 49,三浦皇, 0.1, 70,* 11,  -9, 7, 26.8, ③②
 4, 5,Ｅクリノテツマン, 53,小崎綾, 0.7, 55,* -7,  -6, 4, 20.5,①②②, 4, 4,Ｃホッコｰゴウケン, 67,勝浦正, 0.4, 68,   6,*  0, 2,  5.8,⑩⑨⑧, 4,16,Ｍケイアイヴァｰゲ, 67,吉田隼, 0.5, 71,*  6,  -3, 7, 16.4, ③③, 4, 4, サダムリスペクト,---,阪野学, 0.4, 64,   5,* -6, 9, 33.8, ⑧⑤
 5, 3,Ｃディｰプフォルツァ, 58,勝浦正, 0.9, 56, -10,  -3, 1,  1.3,⑤⑦⑤, 5, 8,Ｋマルカブラン, 60,藤田伸, 0.6, 69,   5,*  0,10, 37.5,⑫⑪⑩, 5, 6,Ｂメイショウライナｰ, 71,藤岡康, 0.5, 70,   1,   2, 2,  4.2, ⑪⑪, 5, 5,Ａシンフォニア, 63,四位洋, 0.6, 64,* 14, -18, 1,  1.8, ①①
 6, 2,Ｍパレスヘイロｰ, 37,秋山真, 1.1, 52, -10,  -6,11,145.8,④⑥④, 6, 1,Ｂハヤブサゴッド, 67,吉田隼, 0.6, 66,   7,  -4, 4,  7.6,⑥⑤④, 6, 7,Ｌボンセジュｰル, 67,秋山真, 0.6, 70,   4,  -1, 8, 20.1, ⑤⑤, 6, 1,Ｃブライトギャル, 59,佐々木, 0.7, 59,   2,  -8,11, 46.7, ⑩⑨
 7,14,Ｄライゼリｰト, 55,菱田裕, 1.6, 49, -11,  -9, 9, 52.6,⑪⑫⑫, 7, 5,Ｇドリｰムエルダｰ, 63,丸山元, 0.7, 66,*  9,  -7, 7, 16.2,②②②, 7, 3,Ｄヒルノクオリア, 71,四位洋, 0.6, 68,  -2,   4, 5, 10.8, ⑭⑬, 7,12,Ｇテイエムダンシング, 52,小林徹, 0.8, 59,   7, -14, 8, 29.1, ⑦⑦
 8,13,Ａタマモホットポット, 63,津村明, 1.6, 48, -12,  -8, 3, 11.2,⑬⑪⑪, 8, 2,Ｈキングラナキラ, 63,長岡禎, 0.8, 66,   6,  -4, 9, 30.3,⑦⑦⑥, 8, 5,Ｋプライマリｰコｰド, 67,小崎綾, 0.6, 69,   5,  -3, 3,  7.9, ⑦⑦, 8, 3,Ｈティｰズアライズ, 49,松井伸, 0.8, 57,   2,  -9,14,109.2, ⑪⑪
