14年 8月30日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 8月30日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,稲妻ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｆアポロノシンザン, 47,蛯名正,, 52,  -4,* -1, 3,  5.0, ⑤⑤, 1,12, プレミアムウォｰズ,,江田勇,,,,, 4,  8.7,②①①, 1,13,Ｉアルファアリエス, 65,田辺裕,, 76,*  9,*  9, 8, 27.8,②②①, 1, 6,Ｃフギン, 76,内田博,, 79,*  9,  14, 1,  1.6,   
 2, 1,Ｄコスモカンプ, 48,柴田大, 0.3, 49,  -6,  -3, 4,  8.7, ⑨⑧, 2, 1, カシノデュｰク,,蓑島靖,185.6,,,, 2,  3.3,④④③, 2, 7,Ｂビッグバンドジャズ, 74,北村宏, 0.4, 75,*  8,   7, 2,  4.4,④③②, 2, 4,Ｄサカジロロイヤル, 73,戸崎圭, 0.0, 79,   5,* 17, 3,  5.7,   
 3,10,Ｅピックアンドポップ, 48,大野拓, 0.4, 46,* -1, -11, 5, 13.1, ①①, 3, 9, ニシノジャブラニ,,五十嵐,185.7,,,, 5, 17.2,⑥⑥⑥, 3,12,Ｃベリｰトゥベリｰ, 74,田中勝, 0.8, 74,   5,* 10, 3,  4.5,⑧⑨⑨, 3, 2,Ｂアンヴァルト, 77,福永祐, 0.2, 76,   5,  14, 4,  8.5,   
 4, 7,Ａカシシ, 54,田辺裕, 0.5, 48, -11,*  5, 2,  4.5, ⑯⑯, 4,11, メイショウアラワシ,,植野貴,186.3,,,, 8, 31.5,⑪⑧⑦, 4,14,Ｄキョウエイマグマ, 74,蛯名正, 1.0, 71,   6,   6, 4,  5.9,⑨⑦⑦, 4, 9,Ｇバｰトラムガｰデン, 66,宮崎北, 0.3, 75,   3,  14, 7, 30.1,   
 5,13,Ｃニシノオタケビ, 52,福永祐, 0.6, 44,  -7,  -4, 1,  2.6, ⑩⑩, 5,13, コウエイロックオン,,平沢健,186.5,,,, 1,  2.7,③②②, 5, 2,Ａマドリｰドカフェ, 75,エスポ, 1.0, 71,   7,   3, 5,  7.9,⑤⑤④, 5, 7,Ａロｰブドヴルｰル, 79,蛯名正, 0.5, 71,   1,  12, 2,  5.0,   
 6, 5,Ｇフクノグリュック, 45,木幡初, 0.8, 41,  -6, -10,11, 70.7, ⑥⑥, 6,10, オｰパルス,,山本康,186.5,,,,10, 46.1,⑤⑤⑤, 6, 4,Ｇレオネプチュｰン, 71,岩部純, 1.6, 67,   6,   0, 9, 43.5,⑦⑥⑥, 6, 5,Ｆアイムヒアｰ, 70,熊沢重, 0.7, 69,  -1,  11, 6, 23.2,   
 7,14,Ｊスプリｰムゴｰルド, 39,田中勝, 0.8, 45,  -6,  -6, 6, 14.4, ⑪⑬, 7, 3, アスタｰコリント,,林満明,187.2,,,, 3,  5.1,⑦⑦⑧, 7, 6,Ｅトｰセンハリケｰン, 73,戸崎圭, 1.7, 66,   1,*  7, 1,  3.9,⑬⑭⑭, 7, 3,Ｈサザンブレイズ, 66,江田照, 0.8, 65,*  9,   3, 8, 61.1,   
 8, 8,Ｍナリノパシオン, 34,北村宏, 0.8, 44, -10,  -3, 9, 31.4, ⑮⑮, 8, 5, グラスリｰド,,原田和,187.2,,,, 9, 37.1,⑩⑨⑨, 8,15,Ｈセイントチャンス, 67,内田博, 1.9, 66,   6,  -2,11, 55.4,⑫⑧⑧, 8, 8,Ｉファンファｰレ, 60,二本柳, 1.0, 65,  -4,   8, 5, 16.9,   
 9,17,Ｎオｰラクィｰン, 33,横山典, 0.9, 42, -11,* -1,12, 92.6, ⑱⑰, 9,14, リベラルアｰツ,,高野和,187.2,,,, 6, 17.4,⑧⑩⑩, 9,11,Ｋロバｰストナカヤマ, 64,木幡初, 2.5, 62,   2,  -1,10, 54.3,⑩⑬⑬, 9, 1,Ｅプロスペラスマム, 70,原田和, 1.5, 54,  -1,   0, 9,140.9,   
10,18,Ｂレッドラヴァルス, 53,江田照, 1.2, 38,  -5, -14, 7, 22.9, ⑧⑨,10, 2, ウメジマダイオｰ,,上野翔,187.3,,,,12,166.3,⑫⑫⑫,10, 9,Ｌファイアキング, 63,伴啓太, 3.2, 56,   4,  -9,15,464.7,⑭⑩⑩,,,,,,,,,,,,
11,11,Ｋトｰセンヌｰヴォｰ, 36,吉田豊, 1.3, 38,* -1, -23,14,111.1, ②②,11, 4, モンモン,,浜野谷,187.5,,,,11, 81.0,①③④,11, 5,Ｍレアンデル, 61,宮崎北, 3.3, 56,   7, -16,13,102.1,③④⑤,,,,,,,,,,,,
12, 9,Ｒゴｰルドクェスト, 24,木幡初, 1.4, 37, -10, -11,10, 54.0, ⑭⑭,12, 8, ドンクｰガｰ,,難波剛,188.1,,,, 7, 18.0,⑨⑪⑪,12, 3,Ｆトウショウマナｰズ, 72,福永祐, 3.5, 55,   0,  -4, 6, 11.9,⑮⑮⑮,,,,,,,,,,,,
13, 4,Ｑホワイトトラップ, 26,杉原誠, 1.5, 35,  -8, -16,16,230.4, ⑬⑫,13, 6, ヤギリヒマワリ,,大江原,197.1,,,,14,195.5,⑭⑬⑬,13, 8,Ｎセンノイギダｰ, 56,西田雄, 4.5, 49,   3, -20,14,360.5,⑪⑫⑫,,,,,,,,,,,,
14, 2,Ｌタマモカチュｰシャ, 36,戸崎圭, 1.7, 33,  -8, -18,13,111.0, ⑫⑪,14, 7, シンチノクリチャン,,鈴木慶,206.7,,,,13,175.4,⑬⑭⑭,14, 1,Ｊシゲルトオトウミ, 65,江田照, 4.6, 47,   4, -20, 7, 18.9,⑥⑪⑪,,,,,,,,,,,,
