14年11月16日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月16日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝2800m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1150m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福島2歳ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｇアルタｰ, 51,柴山雄,, 60,  -3,*  6, 1,  3.0,⑫⑥⑥, 1, 6, テイエムスラッガｰ,,難波剛,,,,, 5, 12.6,⑧⑥③, 1, 5,Ｂタッチシタイ, 74,松若風,, 72,  -1,*  9, 1,  1.6, ⑤④, 1,12,Ｃペイシャオブロｰ, 66,柴山雄,, 66,   4,*  5, 7, 11.9, ⑦⑦
 2,10,Ａテイケイネクサス, 64,黛弘人, 0.5, 60,* -2,   0, 2,  3.9,⑤③②, 2,11, ヘリオスフィア,,五十嵐,184.4,,,, 3,  6.9,①①①, 2,16,Ａチェリｰミルズ, 74,小崎綾, 0.1, 70,*  0,*  7, 2,  4.6, ④③, 2, 3,Ｌヴァリアントアロｰ, 46,田辺裕, 0.1, 64,   2,*  5, 5,  8.6, ⑧⑧
 3, 8,Ｄソワンドタイガｰ, 54,松岡正, 0.7, 55,* -2,  -2, 8, 18.1,①①①, 3,10, ヤマニンルポ,,中村将,184.7,,,, 4, 10.8,③⑤④, 3, 4,Ｅクインズパｰル, 70,藤懸貴, 0.4, 67,  -6,*  9, 3,  9.3, ⑧⑦, 3, 5,Ｄアルマクレヨン, 65,松田大, 0.2, 67,  12,  -6, 8, 14.3, ④④
 4,13,Ｊテップシｰ, 46,丸山元, 0.7, 58,  -5,   3, 7, 14.6,⑭⑨⑨, 4, 7, エルインペレイタｰ,,浜野谷,184.8,,,, 9, 39.6,④④⑤, 4,12,Ｃサｰシスリｰフ, 70,岩崎翼, 0.5, 67,  -2,   6, 4, 14.7, ⑥⑥, 4, 8,Ａトロピカルガｰデン, 67,津村明, 0.2, 64,   6,   0, 4,  7.3, ⑥⑥
 5,11,Ｏハイヴォルテｰジ,-57,木幡初, 0.9, 56,  -5,   1,11,103.4,⑦⑧⑧, 5, 5, ウメジマダイオｰ,,石神深,184.8,,,, 2,  3.8,⑦⑦⑧, 5, 7,Ｆエルウェｰオｰジャ, 68,城戸義, 0.8, 63,  -4,   5, 7, 33.3, ⑨⑧, 5, 1,Ｆアミｰキティア, 57,丸田恭, 0.3, 60,  -1,*  6, 6,  9.1, ⑫⑫
 6, 9,Ｋオルグ, 42,伴啓太, 1.0, 56,  -7,   3,12,138.6,⑪⑪⑩, 6,13, プロフェッサｰ,,北沢伸,185.0,,,, 1,  2.1,⑤⑧⑦, 6,13,Ｊアワｰズヒロイン, 63,花田大, 0.9, 63,  -3,   3,13,138.4, ⑦⑨, 6, 6,Ｂリッパｰザウィン, 66,菱田裕, 0.4, 60,   1,   2, 1,  4.5, ⑨⑨
 7, 2,Ｅプレｰケストｰレン, 54,丸田恭, 1.0, 54,  -8,*  5, 3,  5.7,⑩⑬⑪, 7, 9, テイエムオドロキ,,小坂忠,185.7,,,, 7, 35.5,⑥③⑥, 7,14,Ｉミシックトウショウ, 64,西村太, 1.0, 62,  -8,   7, 9, 43.1, ⑬⑫, 7,15,Ｉグランドポピｰ, 56,和田竜, 0.6, 61,   9,  -8, 3,  6.4, ⑤⑤
 8, 5,Ｂディｰプブルｰ, 59,松若風, 1.1, 56,  -3,  -3, 4,  9.3,②④③, 8,14, クラバウタｰマン,,草野太,189.4,,,,14,224.5,⑩⑨⑨, 8, 9,Ｄポロタン, 70,森一馬, 1.1, 61,  -5,   3,12, 58.6, ⑩⑩, 8, 9,Ｇノｰブルヴィｰナス, 56,丸山元, 0.8, 55,   3,  -4, 9, 21.8, ⑩⑩
