14年12月21日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年12月21日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,桑名特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｅビスカリア, 49,松若風,, 61,   0,*  2, 4,  7.4,⑦⑧⑥, 1, 5, ヤマニンルポ,,中村将,,,,, 1,  2.5,⑦④④, 1, 6,Ｆダブルファンタジｰ, 72,古川吉,, 71,   5,   6, 3,  5.2, ⑦⑧, 1, 7,Ｇアドマイヤサブリナ, 66,藤岡康,, 67,  -2,* -2, 3,  7.1, ⑧⑦
 2, 9,Ｋバイレ, 43,松山弘, 0.1, 59,*  2,* -2, 3,  5.9,③②②, 2,10, ニシノゲイナｰ,,横山義,205.6,,,, 6, 26.2,⑥③②, 2, 2,Ｇミニョネット, 71,藤岡康, 0.0, 71,   6,   5, 6, 11.5, ⑤③, 2,16,Ｄトウシンムサシ, 68,松山弘, 0.1, 65,  -6,*  1, 2,  4.7, ⑩⑩
 3,12,Ｈゲルズ, 47,横山和, 0.3, 58,   0,*  0, 6, 11.0,⑧⑦⑧, 3,13, パスティ,,山本康,206.2,,,, 5,  8.8,①①①, 3, 5,Ａラヴァズアゲイン, 76,小崎綾, 0.0, 71,   1,* 11, 1,  3.1, ⑫⑪, 3,18,Ｃハイマウンテン, 69,国分優, 0.3, 62, -10,*  2, 6, 10.9, ⑯⑭
 4, 4,Ａカズノネネヒメ, 55,杉原誠, 0.4, 56,   0,*  0, 1,  3.6,⑥⑥⑦, 4, 7, ハヤブサゴッド,,草野太,207.8,,,, 7, 26.9,⑤⑥⑥, 4, 9,Ｅヒナアラレ, 72,国分恭, 0.1, 70,   1,* 11, 4,  7.0, ⑬⑫, 4,10,Ｅダラニ, 67,小崎綾, 0.3, 63,*  0,  -8, 7, 11.7, ③③
 5, 1,Ｊティンバレス, 44,吉田隼, 1.3, 50,   1, -11, 2,  5.2,②④④, 5,14, ラステラ,,浜野谷,207.8,,,,14,208.5,③②③, 5,13,Ｃセトノミッシｰ, 73,松山弘, 0.4, 69,   4,   6, 2,  4.6, ⑩⑩, 5, 5,Ｈメイショウジェｰン, 65,岩崎翼, 0.4, 62,  -3,  -6,10, 29.0, ⑦⑥
 6, 7,Ｄジョリｰアップ, 49,小崎綾, 1.4, 49,*  3, -15, 8, 13.7,①①①, 6, 4, クレバｰアポロ,,鈴木慶,208.0,,,, 8, 35.3,⑪⑩⑧, 6,15,Ｍスパイスシャワｰ, 58,中谷雄, 0.7, 65,*  8,  -3, 9, 34.7, ②②, 6,12,Ｍクｰルジョジョ, 61,松田大, 0.7, 57,  -6,  -7,15, 76.2, ⑨⑨
 7, 2,Ｂトウケイワイルド, 49,藤岡康, 1.5, 49,   1, -12, 9, 18.0,④⑤⑤, 7,12, テイエムオドロキ,,小坂忠,208.3,,,, 9, 37.3,⑨⑦⑤, 7,10,Ｂタニノセレナｰデ, 75,義英真, 0.8, 65,  -1,   7,11, 44.8, ⑮⑮, 7, 9,Ｉサフランスカイ, 63,酒井学, 0.8, 55,  -9,  -6, 5,  9.8, ⑭⑬
 8,13,Ｐシャンディキｰル, 29,長岡禎, 1.6, 51,  -2,  -9,15,249.6,⑩⑩⑩, 8, 3, メイショウセイウン,,植野貴,208.9,,,,10, 37.9,⑧⑨⑩, 8, 7,Ｊメテオレイン, 66,松田大, 0.8, 65,   3,   1,16,187.3, ⑧⑥, 8,11,Ｏザゲｰムイズオン, 59,鮫島良, 1.0, 56,* -1, -16,16, 92.4, ④④
