14年12月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年12月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1800m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,美浦ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃノｰモアベット, 57,戸崎圭,, 63,   6,  -6, 4,  5.7, ③③, 1, 9,Ａボルゲｰゼ, 57,北村宏,, 64,   2,* -6, 2,  2.9,⑫⑩⑥, 1, 2,Ｃイｰデンホｰル, 69,吉田豊,, 71,   3,  12, 3,  5.9,⑤⑥⑥, 1, 1,Ｅマイネルミラノ, 80,戸崎圭,, 80,* 25, -16, 1,  2.0,①①①
 2, 7,Ｄリンガスヴィグラス, 53,柴田善, 0.3, 58,   5,  -8, 2,  3.9, ⑤⑤, 2, 2,Ｂウイングチップ, 55,田中勝, 0.4, 59,   3,*-15, 3,  5.0,⑤⑤⑨, 2, 6,Ｂノンコノユメ, 70,石川裕, 0.2, 72,   0,* 16, 6,  9.7,⑭⑭⑬, 2,10,Ｎシベリアンスパｰブ, 71,松岡正, 0.2, 83,  15,   2, 8, 36.0,⑤⑤⑤
 3,14,Ａトゥルｰムｰン, 60,木幡初, 0.4, 62,*  9, -14, 3,  4.1, ②②, 3,13,Ｃグランシルク, 52,戸崎圭, 0.4, 58,   3, -16, 1,  2.6,⑦⑥⑤, 3,10,Ｄマイネルオフィｰル, 68,柴田大, 0.3, 71,   3,   9, 1,  3.5,⑥⑤④, 3, 2,Ｍサムソンズプライド, 72,吉田豊, 0.4, 80,* 18,  -6, 3,  8.7,②②②
 4, 6,Ｂカイマノア, 58,北村宏, 0.9, 56,*  8, -17, 1,  2.8, ①①, 4, 3,Ｄアキタノユキ, 52,柴田大, 0.6, 58,*  5, -20, 6, 15.3,③②②, 4, 1,Ｅスピリッツセカンド, 67,丸山元, 0.3, 71,   1,  12, 2,  5.3,⑦⑨⑦, 4, 4,Ｆジェントルマン, 79,田中勝, 0.6, 78,  13,   3, 4,  9.9,⑥⑥⑥
 5, 4,Ｉナンゴクオｰジ, 46,武士沢, 1.0, 49, -11,* -1,15,187.9, ⑭⑬, 5, 1,Ｋサウスポｰルツアｰ, 43,森泰斗, 0.9, 55,   2, -18,13,227.0,⑧⑧⑪, 5, 9,Ｌパワｰポケット, 62,内田博, 0.5, 70,   0,  12, 8, 18.1,⑩⑩⑪, 5, 7,Ｄミエノワンダｰ, 81,北村宏, 0.7, 79,   6,* 14, 2,  3.7,⑪⑪⑨
 6, 8,Ｌネイチャｰシュシュ, 38,丸山元, 1.1, 49,  -5,* -6,14,127.6, ⑩⑧, 6, 7,Ｉメイショウスタｰク, 48,柴田善, 1.0, 53,*  6, -29, 9, 46.9,①①①, 6,12,Ｆノｰスヒｰロｰ, 66,丸田恭, 0.5, 66,*  5,   4,12, 83.4,①①①, 6,11,Ｇブリッジクライム, 78,柴田善, 0.8, 76,  10,   4, 6, 16.5,⑧⑧⑦
 7,13,Ｇケイツｰミネルバ, 50,津村明, 1.2, 51,   0, -10,11,114.9, ⑨⑨, 7,10,Ｊイアペトス, 47,二本柳, 1.1, 54,  -1, -16,10, 64.1,⑩⑪⑮, 7, 7,Ｈワトソンクリック, 65,戸崎圭, 0.6, 68,  -1,* 13, 9, 19.9,⑫⑫⑩, 7, 3,Ｂオメガブレイン, 81,後藤浩, 0.9, 72,  15,  -7,10, 46.5,④④③
 8, 9,Ｆレｰスノワエ, 50,三浦皇, 1.2, 50,  -1, -11, 5, 21.2, ⑧⑥, 8,12,Ｅマイネルヘルック, 52,丹内祐, 1.1, 53,   2, -23, 5, 14.8,⑥⑦⑩, 8, 8,Ａクロフネビｰムス, 72,的場勇, 0.8, 66,*  4,   3, 5,  8.8,②②②, 8, 8,Ａラロメリア, 84,御神本, 1.0, 77,   5,* 14, 7, 27.3,⑫⑫⑪
