14年12月13日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年12月13日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長良川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｈリアルプロジェクト, 44,藤岡康,, 58,* -1,*  4, 2,  4.8, ③③, 1, 3, タマモプラネット,,小坂忠,,,,, 1,  1.7,①①①, 1, 7,Ｄゼンノコリオリ, 74,武幸四,, 77,   5,* 13, 4,  6.6, ⑩⑩, 1,16,Ｃエイシンアロンジｰ, 77,松山弘,, 87,  18,*  4, 1,  2.1,⑮⑪⑩
 2, 2,Ｃダイメイコンドル, 52,小崎綾, 0.1, 56,  -2,*  4, 1,  2.2, ④④, 2, 4, ヒラボクインパクト,,五十嵐,198.9,,,, 2,  5.5,⑦⑥④, 2, 2,Ｆスズカチャンプ, 72,松若風, 0.1, 75,   5,* 12, 5,  8.8, ⑨⑦, 2,11,Ａカムイミンタラ, 80,勝浦正, 0.1, 86,  15,*  8, 2,  5.6,⑬⑭⑭
 3, 5,Ｄオランジュバトｰ, 51,川須栄, 0.9, 51,  -2,  -3, 8, 40.0, ⑤⑤, 3, 1, リッシュレｰヴ,,金子光,199.2,,,, 4, 13.0,③②②, 3,12,Ｈキングズウェザｰ, 71,川島信, 0.1, 75,* 10,   7, 2,  4.6, ③③, 3,15,Ｅサイモンラムセス, 77,藤岡康, 0.3, 84,  18,*  0, 3,  6.6,⑧⑩⑨
 4,14,Ｆカツカモ, 47,中井裕, 1.0, 51,  -2,  -3, 4,  6.1, ⑦⑦, 4,11, ウメジマダイオｰ,,石神深,199.5,,,, 3,  6.9,⑧⑧⑧, 4, 5,Ｂドレッシｰスタイル, 75,木幡初, 0.7, 69,   8,   3, 1,  2.8, ⑥⑤, 4,18,Ｂフロリダパンサｰ, 78,太宰啓, 0.7, 78,* 21, -14, 5, 10.7,④②①
 5,15,Ｂゼトス, 56,勝浦正, 1.0, 49,  -4,  -1, 3,  5.2, ⑩⑩, 5,10, キｰプトライン,,横山義,200.5,,,, 5, 13.5,⑤⑤⑥, 5, 6,Ｌサマｰラヴ, 61,長岡禎, 1.1, 69,   5,   5,15,200.5, ⑫⑫, 5,10,Ｄマイネルクレイズ, 77,津村明, 0.8, 77,* 19, -13, 8, 35.3,⑩⑤③
 6,12,Ｊハｰドアスリｰト, 41,西田雄, 1.0, 51,  -6,*  2,12,103.7, ⑬⑫, 6,12, ワンダｰバライル,,黒岩悠,200.8,,,, 9, 53.9,⑨⑦⑦, 6, 4,Ｃビバハイタッチ, 74,義英真, 1.1, 66,   8,   0, 7, 18.8, ⑤④, 6, 5,Ｆウインリバティ, 75,中井裕, 1.1, 78,  14,*  0, 6, 15.1,⑱⑰⑰
 7, 3,Ｉクレアｰフォンテン, 44,津村明, 1.3, 48,  -5,  -1,16,231.4, ⑪⑪, 7, 8, クリノキングムｰン,,平沢健,201.1,,,,12,112.9,⑥④③, 7,15,Ａブルｰフラッシュ, 78,岩崎翼, 1.2, 66,   9,  -2, 3,  6.4, ④⑥, 7,13,Ｋウインステｰジ, 70,黛弘人, 1.1, 78,  17,  -6,13, 82.8,⑪⑫⑫
 8, 8,Ａパルミエ, 57,杉原誠, 1.4, 46,  -7,   0, 7, 33.6, ⑭⑮, 8, 9, シゲルシモウサ,,高野和,201.6,,,,11, 66.1,②③⑤, 8,13,Ｅセルリアンラビット, 73,古川吉, 1.3, 68,  -6,* 17, 8, 22.1, ⑯⑯, 8, 9,Ｈエリンジュｰム, 74,小崎綾, 1.5, 71,  18, -20,10, 62.4,⑥⑦⑥
 9, 6,Ｌシゲルエイサｰ, 38,鮫島良, 1.5, 48,  -8,   0, 6, 19.9, ⑯⑯, 9, 6, プレミアムカｰド,,草野太,203.7,,,,10, 65.2,⑪⑩⑩, 9, 3,Ｍスペシャルリッチ, 60,太宰啓, 1.3, 66,   3,   4,14,107.3, ⑪⑪, 9, 3,Ｉマイネルアクロス, 74,川須栄, 1.5, 72,  18, -20, 7, 27.5,⑨⑧⑦
10, 7,Ｅスカイルピナス, 49,木幡初, 1.7, 44,  -3,  -9, 9, 61.3, ⑥⑥,10,13, ダイワズｰム,,浜野谷,207.4,,,, 6, 13.8,⑩⑪⑪,10,14,Ｐレッドジャイヴ, 48,松田大, 1.5, 65,   7,  -2,11, 81.7, ⑧⑨,10,17, ヒルノデイバロｰ,---,鮫島良, 1.6, 73,  16, -16, 4,  7.2,⑭⑬⑬
11,16,Ｐビップフライト, 25,長岡禎, 1.9, 43,*  0, -14,11,100.4, ②②,11, 7, ロｰドメビウス,,中村将,210.4,,,, 7, 40.7,⑫⑫⑫,11,16,Ｏタカラジャンヌ, 51,黛弘人, 1.6, 66,   3,   4,12, 82.6, ⑬⑬,11, 1,Ｑセｰノｰクイン, 58,松若風, 1.9, 68,  18, -26,18,299.8,①④⑤
