14年 6月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 6月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,灘ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂケルンウィナｰ, 65,福永祐,, 68,*  3,*  5, 2,  5.5,②①①, 1,14,Ｄコスモミレディｰ, 64,和田竜,, 66,  -4,*  2, 1,  3.9,③④⑤, 1,11,Ａフギン, 77,福永祐,, 84,* 15,  -1, 1,  2.3, ①①, 1, 2,Ａクリノヒマラヤオｰ, 88,川田将,, 86,  12,* 14, 1,  2.5,③③④
 2,16,Ｉシｰリｰヴェｰル, 55,藤岡佑, 0.8, 64,*  1,   0, 4,  7.7,④②②, 2, 2,Ｃエｰデルグランツ, 65,福永祐, 0.0, 62,* -3,  -3, 5,  9.4,②②②, 2, 6,Ｉフルｰルシチｰ, 63,義英真, 0.0, 83,  10,   4, 3,  8.5, ④③, 2,11,Ｂメイショウコンカｰ, 87,福永祐, 0.1, 82,* 15,   9, 2,  4.8,①①①
 3,13,Ａアラｰトミノル, 69,岩崎翼, 1.0, 62,   0,   0, 1,  2.1,⑤③③, 3,17,Ｆマルクナッテ, 61,義英真, 0.3, 62,  -4,* -1,10, 31.6,⑩⑩⑧, 3,12,Ｄサフランスカイ, 71,松若風, 0.3, 77,   1,*  9, 5,  8.8, ⑩⑨, 3, 9,Ｉコルｰジャ, 83,川須栄, 0.5, 85,   9,* 17, 4,  7.6,⑫⑪⑪
 4, 1,Ｄメイショウキホｰテ, 60,森一馬, 1.5, 62,  -3,*  3, 8, 40.0,⑨⑩⑪, 4, 1,Ｈアデヤカコマチ, 60,川須栄, 0.4, 59,  -4,  -6, 4,  8.1,④⑤④, 4, 9,Ｆトウシンムサシ, 68,和田竜, 0.5, 75,  -2,*  9, 2,  7.7, ⑫⑫, 4, 1,Ｌミッキｰヘネシｰ, 76,小牧太, 0.5, 84,  11,  12, 7, 30.5,⑦⑦⑥
 5,11,Ｃゴルゴネイオン, 60,浜中俊, 1.5, 61,   0,  -3, 3,  6.4,③⑤④, 5, 6,Ｅマイネルフレスコ, 62,幸英明, 0.5, 59,  -7,*  1, 3,  6.0,⑮⑯⑭, 5, 7,Ｅフィボナッチ, 69,川田将, 0.7, 72,  -2,   7, 8, 19.1, ⑪⑩, 5,12,Ｄサンライズスマｰト, 86,和田竜, 0.6, 81,  12,  10, 5,  7.6,⑥⑥③
 6,15,Ｌカフジファルコン, 49,中井裕, 1.7, 61,  -3,   1,13,164.7,⑩⑨⑦, 6,18,Ｉゴｰルデンクロス, 57,小牧太, 0.5, 58,* -3,  -9, 7, 13.2,⑤③③, 6,14,Ｂチェネレントラ, 75,藤岡佑, 0.7, 74,   9,  -4, 4,  8.7, ⑦⑤, 6, 6,Ｃワンダｰアシャｰド, 87,岡田祥, 0.7, 85,  10,  12, 3,  5.6,⑨⑨⑨
 7, 8,Ｋロｰドスパｰク, 49,和田竜, 2.2, 57,  -7,*  4, 7, 26.1,⑮⑭⑬, 7, 5,Ｂカレンヴィットリア, 66,川田将, 0.6, 57,  -4,  -6, 2,  3.9,⑥⑦⑦, 7, 4,Ｋタイセイゼニス, 63,菱田裕, 0.7, 76,* 14,  -9,11, 63.6, ②②, 7,10,Ｇトｰセンケイトゥｰ, 84,中井裕, 1.3, 78,   9,   9,10, 51.3,⑩⑩⑩
 8, 2,Ｆウインボナンザ, 57,国分恭, 2.6, 52,  -3,  -8, 6, 16.2,⑧⑧⑧, 8, 3,Ｍクロニクルスカイ, 50,田中健, 0.6, 57,  -6,  -3,11, 66.4,⑨⑪⑫, 8,10,Ｇフェブノヘア, 67,高倉稜, 0.8, 72,   7,  -4, 7, 12.3, ⑥⑥, 8, 3,Ｈアドマイヤジャコモ, 83,菱田裕, 1.3, 74,  11,   4, 8, 30.6,④④⑤
