14年 1月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 1月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1900m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山科ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｋスズカシルバｰ, 51,秋山真,, 65,   4,* -2, 4, 10.7,⑤⑤⑤, 1, 4,Ｃオメガヴェンデッタ, 66,川田将,, 70,*  2,   6, 1,  1.2, ①①, 1, 3,Ａタガノビリｰヴィン, 83,川田将,, 73,  -2,* 12, 1,  1.5,④④③, 1, 8,Ａポアゾンブラック, 85,上村洋,, 88,* 17,   5, 3,  5.6, ②②
 2, 1,Ｈフォロｰハｰト, 52,小牧太, 0.3, 64,*  6,  -9, 2,  6.3,①①①, 2, 6,Ｈヒナアラレ, 62,小牧太, 0.2, 68,  -3,* 11, 4, 15.1, ⑦⑦, 2, 7,Ｈマノワｰル, 62,小牧太, 0.5, 73,  -4,* 15, 4,  9.9,⑨⑨⑨, 2,11,Ｅカフェシュプリｰム, 82,川田将, 0.0, 88,  15,   6, 1,  3.4, ③③
 3, 2,Ｆクイｰンズシアタｰ, 53,川田将, 0.7, 62,   4,  -9, 3, 10.6,③④④, 3, 7,Ｇケンブリッジギルド, 63,藤岡康, 0.3, 67,   0,   6, 6, 26.8, ③③, 3, 5,Ｄトウケイウイン, 71,川島信, 0.5, 69,  -2,  10, 5, 16.2,③⑤④, 3, 3,Ｆタｰルタン, 81,和田竜, 0.5, 80,   7,* 10, 2,  4.8, ⑧⑨
 4,13,Ａエリｰザベスト, 60,藤岡佑, 0.8, 57,*  5, -11, 1,  1.6,⑧③③, 4, 8,Ａレディカリビアン, 68,菱田裕, 0.7, 63,   0,   4, 3, 14.1, ④⑥, 4, 8,Ｃジェラルド, 73,藤岡康, 0.6, 68,*  0,   4, 3,  7.4,⑧①①, 4, 7,Ｃヤマノサファイア, 83,国分優, 1.0, 75,   5,   8, 4,  6.4, ⑩⑩
 5, 4,Ｅアカイツバサ, 54,小坂忠, 0.8, 60,   2,* -7, 7, 28.2,⑨⑦⑥, 5, 9,Ｆチョウエンペラｰ, 64,藤田伸, 0.7, 64,*  2,   1, 8, 67.8, ②②, 5, 9,Ｂポレイア, 79,菱田裕, 0.6, 66,  -3,   8, 2,  5.0,⑥⑥⑤, 5,10,Ｉアフリカンハンタｰ, 78,藤田伸, 1.0, 75,   7,   6, 9, 26.8, ⑨⑧
 6, 9,Ｂウインクルミラクル, 59,藤岡康, 1.3, 58,   2,  -9,11, 76.2,⑩⑩⑧, 6, 2,Ｄダンツキャッチ, 65,北村友, 1.3, 59,  -5,   4, 5, 17.9, ⑨⑨, 6, 1,Ｆアザゼル, 66,和田竜, 0.7, 67,* -1,   4, 7, 64.0,①②②, 6, 1,Ｂタイセイマスタング, 85,菱田裕, 1.0, 75,   9,   3, 5,  8.4, ⑥⑦
 7, 5,Ｃエヴォリュｰション, 58,鮫島良, 1.6, 58,   2, -14, 9, 40.2,⑦⑥⑦, 7, 5,Ｅバカニシナイデヨ, 65,森一馬, 1.4, 58,  -1,  -1, 7, 33.2, ⑥⑤, 7, 2,Ｇドンクｰガｰ, 64,国分優, 1.7, 59,* -1,  -4, 6, 25.9,②③⑥, 7, 4,Ｇミッキｰホワイト, 80,北村友, 1.3, 74,  12,  -2, 6,  9.3, ⑤④
 8, 6,Ｄツキミチャン, 56,川島信, 1.6, 54,*  5, -19, 6, 19.0,②②②, 8, 1,Ｉクリノプリムラ, 54,国分優, 1.7, 56,  -4,   0, 9,219.8, ⑧⑧, 8, 4,Ｅスカイグラフィティ, 69,北村友, 1.7, 60,  -4,   1, 8, 68.0,⑦⑦⑦, 8, 9,Ｋワンダｰスピンドル, 76,武幸四, 1.4, 72,   1,   8,11, 64.5, ⑪⑪
 9,11,Ｉメイショウクロｰバ, 52,武幸四, 3.4, 48,  -5, -15,12,119.4,⑮⑬⑬, 9, 3,Ｂイイデフュｰチャｰ, 68,和田竜, 1.8, 56,  -1,  -5, 2,  6.9, ⑤④, 9, 6,Ｉスズカアイキュｰ, 59,森一馬, 2.9, 52,  -4,  -9, 9,231.9,⑤⑧⑧, 9, 6,Ｊオｰラレガｰレ, 77,藤岡康, 1.5, 76,* 18,  -9,10, 59.0, ①①
10, 3,Ｎキンメダル, 44,北村友, 3.7, 42,  -3, -21, 8, 30.2,⑬⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,10, 2,Ｈシルヴァｰグレイス, 78,秋山真, 1.8, 69,  10,  -4, 8, 16.9, ⑦⑥
11,10,Ｌスプリングカンナ, 51,国分恭, 4.4, 37,  -6, -21,16,328.3,⑯⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,11, 5,Ｄルチャドルアスｰル, 83,平野優, 1.9, 68,  11,  -7, 7, 14.1, ④⑤
12, 8,Ｏララサンタフェｰズ, 22,荻野琢, 4.9, 35,  -5, -27,15,224.6,⑭⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15,Ｇメイショウバロｰダ, 53,国分優, 5.2, 33,   1, -42,14,176.6,⑪⑪⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Ｊウォｰタｰテランガ, 52,菱田裕, 6.5, 27,   2, -54, 5, 17.3,⑥⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,Ｐフェアリｰミラクル, 16,森一馬, 6.8, 27,   2, -56,13,139.1,④⑧⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,Ｍエレメンタリｰ, 46,和田竜,44.2,44.2---,  -8, ---,10, 51.8,⑫⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:1),,,,,,,,,,,
"単勝:1,070円 複勝:07=610円 01=440円 02=590円 枠連:1,770円",,,,,,,,,,,,単勝:120円 複勝:04=110円 06=310円 07=380円 枠連:870円,,,,,,,,,,,,単勝:150円 複勝:03=110円 07=240円 05=240円 枠連:600円,,,,,,,,,,,,単勝:560円 複勝:08=180円 11=140円 03=160円 枠連:630円,,,,,,,,,,,
"馬連:2,930円 ワイド:01-07=950円 02-07=1,300円 01-02=830円",,,,,,,,,,,,"馬連:810円 ワイド:04-06=410円 04-07=420円 06-07=2,190円",,,,,,,,,,,,"馬連:750円 ワイド:03-07=300円 03-05=270円 05-07=1,060円",,,,,,,,,,,,馬連:990円 ワイド:08-11=410円 03-08=520円 03-11=340円,,,,,,,,,,,
"馬単:6,800円 3連複:7,360円 3連単:40,140円",,,,,,,,,,,,"馬単:990円 3連複:3,990円 3連単:7,730円",,,,,,,,,,,,"馬単:930円 3連複:1,880円 3連単:4,960円",,,,,,,,,,,,"馬単:2,230円 3連複:1,600円 3連単:7,710円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,石清水ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
