14年10月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,観月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 1,Ｌスリｰファイヤｰ, 20,古川吉, 1.8, 34, -17,  -4,10,260.6, ⑪⑪,12, 8, ペｰジェントリｰ,---,田中博, 1.4, 50, -29,*  7,13, 93.1, ⑱⑱,12,15,Ｉヴィルジニア, 72,松山弘, 0.7, 77,  -1,* 25,12, 40.5,⑮⑮⑭,12, 9,Ｍマンボダンサｰ, 80,川須栄, 2.0, 79,  12,   3,14,155.7,⑥⑧⑧
,,,,,,,,,,,,13, 9, キクノサｰジ,---,松田大, 1.8, 37, -10, -21,11, 70.9, ⑥⑤,13,10,Ｊスリｰヴェロｰチェ, 71,藤田伸, 0.9, 69,   3,   9,14,154.4,⑪⑨⑩,13, 8,Ｏスズカルｰセント, 78,森一馬, 2.2, 76,  11,   1,13,122.6,⑧⑥⑪
,,,,,,,,,,,,14,13, メイショウヒグラシ,---,森一馬, 2.0, 37, -18, -15,17,224.6, ⑨⑩,14,13,Ｎコスモミレディｰ, 65,和田竜, 1.1, 67,   5,   5,13, 59.4,⑥⑧⑧,14,12,Ｅシンゼンレンジャｰ, 83,川島信, 2.3, 78,   8,   7,10, 96.8,⑯⑯⑭
,,,,,,,,,,,,15, 3, ジョｰプラｰナ,---,太宰啓, 2.2, 34, -20, -15,12, 88.7, ⑫⑫,15, 5,Ｏデンコウウンリュウ, 55,幸英明, 1.4, 67,   0,  11,15,170.3,⑭⑭⑮,15,13,Ｎアムｰルポエジｰ, 79,池添謙, 3.0, 70,   9,  -1, 9, 45.3,⑩⑭⑯
,,,,,,,,,,,,16, 5, カレンナスマイル,---,武幸四, 2.7, 30, -22, -17,15,154.7, ⑮⑮,,,,,,,,,,,,,16, 1,Ｋブルｰタンザナイト, 81,松田大, 3.7, 65,  11, -12,16,179.1,⑦⑨⑩
,,,,,,,,,,,,17,18, シゲルヤマガサ,---,幸英明, 3.1, 23, -10, -39,16,200.8, ④⑥,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 1, グレｰスレディ,---,花田大, 3.3, 21, -22, -25,10, 37.4, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,
単勝:130円 複勝:09=100円 05=110円 06=130円 枠連:150円,,,,,,,,,,,,"単勝:370円 複勝:02=160円 04=630円 07=270円 枠連:3,670円",,,,,,,,,,,,単勝:380円 複勝:04=170円 06=310円 01=280円 枠連:480円,,,,,,,,,,,,単勝:620円 複勝:04=190円 06=130円 10=220円 枠連:850円,,,,,,,,,,,
馬連:340円 ワイド:05-09=130円 06-09=190円 05-06=340円,,,,,,,,,,,,"馬連:5,310円 ワイド:02-04=1,580円 02-07=680円 04-07=3,190円",,,,,,,,,,,,"馬連:2,450円 ワイド:04-06=1,180円 01-04=980円 01-06=1,610円",,,,,,,,,,,,馬連:810円 ワイド:04-06=320円 04-10=840円 06-10=500円,,,,,,,,,,,
