14年11月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,2014ﾌﾟﾛﾐﾈﾝﾄ ｼﾞｮｯｷｰｽﾞ ﾄﾛ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 3,Ｋブラウンウィナｰ, 43,伊藤工, 2.5, 44,  -5,  -7,13,123.2, ⑯⑭,12, 1, スガノジャジャウマ,---,松岡正, 2.1, 25,*-19, -30,12, 75.7, ⑥④,12,13,Ｋハナズプルメリア, 57,パｰト, 2.1, 55,   7, -27,12, 93.3, ⑧⑧,12, 9,Ｏサムソンズプライド, 73,コント, 1.1, 67,   6, -18, 6, 13.1,④⑤④
13, 2,Ｉシゲルナマハゲ, 51,柴山雄, 2.5, 47,  -4,  -5,15,221.3, ⑭⑯,13, 5, アポロフリュｰゲル,---,西田雄, 2.1, 24, -22, -26, 8, 17.6, ⑧⑧,13,10,Ｃマイネルエスパス, 65,ムｰア, 8.1,-25,  -1, ---, 5, 12.6, ⑪⑬,13,11,Ｋロンギングダンサｰ, 77,北村宏, 1.4, 68,   3, -14, 3,  5.8,⑯⑯⑮
14,15,Ｍファインサム, 38,武士沢, 3.5, 39,  -5, -13,16,286.5, ⑮⑮,14,10, エタンスラント,---,丹内祐, 2.3, 24, -21, -29,15,213.2, ⑦⑦,,,,,,,,,,,,,14,15,Ｊサフランディライト, 78,岩田康, 1.6, 62,   6, -24, 2,  5.3,⑥⑨⑥
15, 9,Ｄアンティキティラ, 61,大野拓, 4.3, 34,  -1, -28, 4, 19.5, ⑦⑨,15, 2, ショウナンワグナｰ,---,大野拓, 2.5, 21, -28, -23,11, 54.9, ⑮⑮,,,,,,,,,,,,,15, 8,Ｆメイショウリョウマ, 81,デフリ, 1.7, 62,   4, -21,14, 66.1,⑪⑪⑩
16, 1,Ｐシンフォニｰタクト,  8,ブドｰ, 4.4, 33,   1, -31, 9, 47.3, ⑥⑥,16,14, ルｰズソックス,---,江田照, 2.6, 20, -26, -27,13, 75.9, ⑭⑭,,,,,,,,,,,,,16,16,Ｎアップルジャック, 75,スミヨ, 2.8, 51,*  8, -47,12, 35.6,①①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:1),,,,,,,,,,,
"単勝:160円 複勝:08=110円 14=2,550円 13=830円 枠連:3,090円",,,,,,,,,,,,単勝:310円 複勝:16=150円 04=350円 09=240円 枠連:620円,,,,,,,,,,,,単勝:230円 複勝:11=110円 06=130円 03=160円 枠連:230円,,,,,,,,,,,,"単勝:1,400円 複勝:10=420円 06=780円 04=280円 枠連:3,380円",,,,,,,,,,,
"馬連:14,080円 ワイド:08-14=5,180円 08-13=1,280円 13-14=31,470円",,,,,,,,,,,,"馬連:2,850円 ワイド:04-16=1,040円 09-16=760円 04-09=1,750円",,,,,,,,,,,,馬連:440円 ワイド:06-11=210円 03-11=370円 03-06=410円,,,,,,,,,,,,"馬連:20,500円 ワイド:06-10=4,800円 04-10=1,620円 04-06=2,680円",,,,,,,,,,,
"馬単:16,440円 3連複:73,460円 3連単:291,900円",,,,,,,,,,,,"馬単:4,410円 3連複:8,770円 3連単:43,560円",,,,,,,,,,,,"馬単:720円 3連複:990円 3連単:2,890円",,,,,,,,,,,,"馬単:38,810円 3連複:41,700円 3連単:260,480円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,2014ﾏｰｳﾞｪﾗｽ ｼﾞｮｯｷｰｽﾞ ﾄﾛ,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄアキトフォルテ, 62,パｰト,, 70,   6,   3, 2,  5.1, ⑥⑤, 1, 1, タケルラムセス,---,北村宏,, 55, -13,*  4, 1,  2.2,⑥⑤⑤, 1, 6,Ｄスノｰモンキｰ, 79,戸崎圭,, 81,   6,* 13, 1,  3.3, ⑩⑪, 1, 4,Ｄエピファネイア, 92,スミヨ,,102,* 26,*  4, 4,  8.9,②③④
 2,12,Ｍカネｰタ, 31,石川裕, 0.3, 68,*  7,  -3,10, 78.6, ③③, 2, 6, オケアノス,---,小野寺, 0.4, 44,*  4, -47,10, 55.3,①①①, 2,14,Ｅヴィンテｰジイヤｰ, 78,浜中俊, 0.2, 80,*  8,   7,11, 39.1, ⑥③, 2, 1,Ｃジャスタウェイ, 93,福永祐, 0.7, 96,  23,   2, 3,  6.7,⑧⑧⑨
 3, 1,Ｂジェットコルサ, 64,ムｰア, 0.4, 66,   0,*  6, 1,  2.7, ⑫⑪, 3, 3, サンタフェチｰフ,---,戸崎圭, 0.6, 47, -12,  -6, 2,  5.1,④④④, 3, 7,Ｇリッカルド, 78,蛯名正, 0.5, 77,*  8,   3, 3,  6.5, ②②, 3,15,Ｂスピルバｰグ, 93,北村宏, 0.8, 96,  20,*  6, 6, 11.3,⑯⑮⑭
 4,13,Ｅスｰルキｰトス, 57,木幡初, 0.6, 64,   2,   2, 9, 20.6, ⑨⑨, 4, 4, モンセラｰ,---,ブドｰ, 0.8, 44, -12, -11, 6, 13.8,③③③, 4,13,Ｍオｰタムラヴ, 73,福永祐, 0.6, 77,   6,   8, 8, 24.5, ⑫⑫, 4, 3,Ｆジェンティルドンナ, 91,ムｰア, 0.9, 93,  23,  -4, 1,  3.6,⑦⑥⑤
 5,15,Ｈロックフォｰル, 55,ブノワ, 0.8, 64,   4,  -1, 7, 16.3, ⑦⑦, 5,10, ナイスイタリアン,---,ブノワ, 1.0, 42, -12, -15, 9, 23.4,②②②, 5,16,Ｆサルバドｰルハクイ, 78,コント, 0.7, 76,   7,   6, 6, 13.0, ⑪⑧, 5, 6,Ａハｰプスタｰ, 93,川田将, 0.9, 95,  22,*  3, 2,  4.1,⑬⑫⑫
 6,10,Ａスズカリバｰ, 67,岩田康, 0.9, 61,  -1,   4, 3,  6.1, ⑬⑬, 6, 2, トランスオｰシャン,---,柴田大, 1.7, 39, -17,  -9, 8, 19.6,⑩⑧⑦, 6,15,Ｃカネトシビバｰチェ, 80,ヒュｰ, 0.7, 76,   7,   5, 7, 15.7, ⑦⑦, 6, 2, アイヴァンホウ,---,ミナリ, 1.0, 93,  22,  -1,12, 71.8,⑪⑩⑧
 7,14,Ｋアサマ, 52,横山和, 1.2, 57, -11,* 14, 8, 18.2, ⑯⑯, 7, 9, トｰセンルミナス,---,武士沢, 2.0, 37, -17, -15, 7, 15.3,⑤⑦⑧, 7,10,Ｎオペラハット, 72,北村宏, 0.7, 77,   4,*  9, 9, 26.3, ⑭⑭, 7,10,Ｋワンアンドオンリｰ, 87,横山典, 1.1, 91,  22,  -2, 8, 14.3,⑫⑪⑩
 8,16,Ｇトｰセンテレマｰク, 56,菅原隆, 1.9, 54,   1,  -9,12, 88.7, ⑩⑩, 8, 5, アメリカンゴｰルド,---,福永祐, 2.5, 29, -16, -24, 5, 12.5,⑦⑥⑥, 8,12,Ｐナスケンリュウジン, 69,デフリ, 0.7, 76,   5,   8,14, 86.4, ⑬⑬, 8,16,Ｊフェノｰメノ, 87,岩田康, 1.1, 93,  22,  -1, 9, 18.2,⑭⑭⑪
 9,11,Ｊゴウキ, 53,大野拓, 2.0, 54,   6, -16, 4,  8.3, ⑤⑥, 9, 7, ビッグスペンダｰ,---,武豊  , 3.0, 25, -18, -25, 4,  9.4,⑧⑨⑨, 9, 1,Ａハコダテナイト, 82,田辺裕, 0.7, 75,   6,   4, 2,  3.8, ③④, 9, 9,Ｈイスラボニｰタ, 90,蛯名正, 1.3, 91,  23,  -9, 5,  9.5,⑨⑨⑦
10, 5,Ｎエクセルワンダｰ, 31,丹内祐, 2.3, 50,  -7,  -1,16,318.5, ⑭⑮,10, 8, ティマイオス,---,蛯名正, 3.2, 25, -20, -27, 3,  5.4,⑨⑩⑩,10, 5,Ｂゴｰルデンスピン, 81,岩田康, 0.8, 74,   5,   5, 4, 10.0, ⑧⑨,10,12,Ｌタマモベストプレイ, 83,津村明, 1.5, 88,* 26, -21,13,127.8,③②②
11, 6,Ｆシグナルアロｰ, 56,戸崎圭, 2.5, 48,  -3,  -8, 5,  9.0, ⑮⑭,,,,,,,,,,,,,11, 4,Ｋラブリｰスタｰ, 74,スミヨ, 1.0, 73,   6,   3,12, 54.6, ⑨⑩,11, 8,Ｅデニムアンドルビｰ, 92,浜中俊, 1.7, 89,  21,  -3, 7, 13.0,⑱⑱⑯
12, 8,Ｉシｰセクション, 54,松岡正, 2.7, 49,   6, -22,11, 84.8, ④④,,,,,,,,,,,,,12, 9,Ｈショウナンラムジ, 77,赤岡修, 1.1, 72,   6,   1, 5, 10.0, ⑤⑥,12, 5,Ｇヒットザタｰゲット, 91,武豊  , 2.1, 84,  20, -11,10, 45.5,⑮⑯⑬
13, 3,Ｃスレッジハンマｰ, 62,田辺裕, 2.7, 49,*  9, -26, 6, 12.3, ①①,,,,,,,,,,,,,13,11,Ｊバサラヴォｰグ, 75,ムｰア, 1.4, 71,   4,   3,13, 71.2, ⑮⑮,13,17,Ｎアンコイルド, 81,戸崎圭, 2.5, 80,* 26, -34,17,259.9,④④③
