14年11月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,2014ﾌﾟﾛﾐﾈﾝﾄ ｼﾞｮｯｷｰｽﾞ ﾄﾛ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 9, 6,Ｂマウントミッチェル, 61,伊藤工, 0.7, 58, -15,   2, 8, 22.4,⑩⑪⑪, 9, 5,Ｈシャンパンルｰジュ, 69,ブノワ, 1.0, 67,   5,  -3, 7, 14.0, ⑥⑤, 9,13,Ｉキングズオブザサン, 80,蛯名正, 0.5, 76,   7,   3, 3,  7.0, ⑫⑪,,,,,,,,,,,,
10,12,Ｆコルヌコピア, 54,横山典, 0.8, 61, -19,*  8,10, 27.0,⑱⑱⑰,10,14,Ｎウラノスガッキ, 59,松岡正, 1.1, 66,*  6,  -5,12, 91.0, ③③,10, 2,Ｌクラリティシチｰ, 78,戸崎圭, 0.6, 74,   6,*  6, 6, 10.3, ⑬⑬,,,,,,,,,,,,
11,13,Ｃレッドライジェル, 57,北村宏, 0.9, 59, -18,*  3, 1,  2.7,⑰⑰⑮,11,11,Ｄダイチヴュルデ, 72,武士沢, 1.3, 65,   1,   1, 5,  9.4, ⑬⑭,11,12,Ｈトｰセンレｰヴ, 80,ブドｰ, 0.7, 72,  11,  -7,10, 26.9, ③⑤,,,,,,,,,,,,
12,18,Ｏキｰフォｰサクセス, 44,後藤浩, 0.9, 53, -13,  -5,14, 50.2,⑭⑨⑨,12, 8,Ｇセトノブロッサム, 69,柴山雄, 2.0, 58,   0,  -5,14,132.9, ⑭⑬,12, 9,Ｋカネトシディオス, 78,柴山雄, 0.8, 72,   8,  -1,16,193.0, ⑧⑩,,,,,,,,,,,,
13, 9,Ｄオフビｰト, 55,西田雄, 0.9, 52,*-11, -10, 7, 17.4,④④④,13,15,Ｍヤマトツバキ, 59,伴啓太, 2.1, 57,  -2,  -3,16,261.6, ⑯⑯,13,14,Ｎタガノブルグ, 77,田辺裕, 1.0, 71,   6,   1,14, 48.7, ⑭⑭,,,,,,,,,,,,
14,17,Ｊベルメｰル, 50,吉田豊, 1.2, 55, -18,  -1, 9, 26.2,⑯⑯⑯,14, 3,Ｏバシニアティヴ, 49,嘉藤貴, 2.5, 54,   4, -14,15,171.3, ⑤⑧,14, 1,Ｍランリョウオｰ, 78,スミヨ, 1.1, 67,* 14, -17,13, 46.7, ①①,,,,,,,,,,,,
15,15,Ｇマリｰズラン, 53,二本柳, 1.4, 52, -15,  -8,13, 49.6,⑫⑬⑬,15,12,Ｅファイブタブレット, 71,柴田大, 2.6, 55,   5, -17, 6, 13.4, ⑧⑥,15, 3,Ｐレオアクティブ, 76,吉田豊, 1.3, 69,   5,  -3,15,123.6, ⑮⑮,,,,,,,,,,,,
16, 8,Ｌサトノファンタス, 48,ブノワ, 1.5, 51, -16,  -6,11, 33.2,⑮⑭⑭,16, 7,Ｐグッドラックミｰ, 48,石川裕, 3.0, 50,   3, -18,11, 86.2, ⑦⑩,16, 7,Ｅヒストリカル, 83,横山典, 1.4, 65,   3,  -2, 9, 19.3, ⑯⑯,,,,,,,,,,,,
17,16,Ｐアポロセイバｰ, 36,横山和, 1.8, 46, -19,  -6,17,260.5,⑬⑮⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11,Ｒコスモレプリカ, 27,黛弘人, 2.0, 41, -15, -17,18,347.0,⑪⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,
単勝:450円 複勝:14=180円 03=300円 04=360円 枠連:550円,,,,,,,,,,,,単勝:780円 複勝:09=260円 02=150円 01=130円 枠連:380円,,,,,,,,,,,,"単勝:880円 複勝:04=260円 10=150円 16=390円 枠連:1,640円",,,,,,,,,,,,,,,,,,,,,,,
"馬連:2,880円 ワイド:03-14=1,030円 04-14=1,160円 03-04=2,000円",,,,,,,,,,,,"馬連:1,760円 ワイド:02-09=630円 01-09=500円 01-02=190円",,,,,,,,,,,,"馬連:1,570円 ワイド:04-10=680円 04-16=2,190円 10-16=1,010円",,,,,,,,,,,,,,,,,,,,,,,
"馬単:5,010円 3連複:9,650円 3連単:43,490円",,,,,,,,,,,,"馬単:3,880円 3連複:1,590円 3連単:13,550円",,,,,,,,,,,,"馬単:4,010円 3連複:7,420円 3連単:38,870円",,,,,,,,,,,,,,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
