14年 7月27日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 7月27日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝1500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿寒湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｆノットフォｰマル, 37,黛弘人,, 67,* 11,* -4, 4,  9.9, ②②, 1, 8,Ｋアリュｰジョン, 49,岩田康,, 70,* 12,  -2, 6, 17.2, ①①, 1,10,Ｅグランデアモｰレ, 67,福永祐,, 71,*  7,   5, 5,  9.0,②②②, 1, 1,Ｅシャンパｰニュ, 75,岩田康,, 68,   9, -18, 1,  2.8,⑥⑤③
 2, 8,Ｄタイセイボニｰタ, 44,小崎綾, 0.8, 55,   8, -12, 7, 35.2, ④⑤, 2, 4,Ａベストコレクション, 63,松岡正, 0.4, 60,   2,*  4, 2,  5.4, ⑪⑩, 2, 7,Ｃウインレｰベン, 69,岩田康, 0.0, 72,*  8,   3, 1,  2.3,①①①, 2, 5,Ｂヤマイチパｰトナｰ, 76,秋山真, 0.0, 67,   9,*-15, 5,  8.5,⑤⑥④
 3, 5,Ａネミッサ, 56,津村明, 1.0, 56,* 13, -18, 1,  1.7, ①①, 3, 6,Ｍホｰプフルハｰト, 43,城戸義, 0.5, 62,* 10,  -6,14, 92.6, ③⑤, 3,11,Ｊシュンドルボン, 62,小崎綾, 0.0, 73,   0,* 15, 3,  8.1,⑭⑬⑬, 3, 6,Ｄテイエムダイパワｰ, 75,古川吉, 0.2, 66,* 10, -22, 2,  3.3,③④②
 4, 6,Ｉカンタベリｰキッズ, 35,井上敏, 1.1, 50,   2,  -9,10,107.9, ⑨⑨, 4, 7,Ｂランドロワ, 61,津村明, 0.7, 58,   7,  -5, 3,  5.8, ⑥④, 4, 9,Ｄリバｰソウル, 69,吉田隼, 0.0, 72,   3,* 11, 7, 14.5,⑨⑨⑧, 4, 3,Ｆヒルノドンカルロ, 74,藤田伸, 0.2, 67,* 11, -28, 3,  4.1,①①①
 5, 9,Ｃペパｰミント, 51,古川吉, 1.4, 47,   5, -15, 3,  5.3, ⑦⑥, 5, 5,Ｄサンメンフィス, 57,井上敏, 0.7, 59,   9,  -7, 8, 24.6, ④③, 5, 6,Ａタガノリバレンス, 80,秋山真, 0.2, 69,   4,   6, 2,  5.3,④⑤④, 5, 7,Ｃアドマイヤネアルコ, 75,丸山元, 0.6, 64,* 10, -31, 6, 20.2,②②⑤
 6,11,Ｊプロセルピナ, 30,長岡禎, 1.7, 42,   5, -20,11,211.9, ⑧⑧, 6,12,Ｏスズプリンセス, 40,丸田恭, 0.8, 53,  -2,*  2,16,126.5, ⑭⑮, 6,12,Ｍストライクルｰト, 57,田辺裕, 0.3, 70,   3,   8,10, 45.8,⑪⑩⑩, 6, 4,Ｇダブルオｰセブン, 70,勝浦正, 1.7, 58,   8, -36, 7, 26.6,④⑦⑦
 7, 1,Ｂプリンセスルビｰ, 51,城戸義, 2.0, 41,   9, -27, 2,  4.7, ③③, 7,16,Ｆセクシイガｰル, 56,勝浦正, 0.8, 57,   6,  -5, 4,  6.6, ⑧⑦, 7, 8,Ｈスマｰトマｰチ, 65,城戸義, 0.5, 67,   4,   3,12,150.7,⑥⑧⑨, 7, 2,Ａランフォｰジン, 77,菱田裕, 2.8, 56,* 11, -60, 4,  6.1,⑦③⑥
 8,10,Ｋデンコウコハク, 22,幸英明, 2.2, 37,   7, -29, 5, 17.3, ⑤④, 8,10,Ｅボｰンレジェンド, 57,荻野琢, 0.9, 52,  -3,*  2, 1,  2.8, ⑯⑭, 8,13,Ｂダンツアトラス, 71,藤田伸, 0.7, 65,   4,   0, 4,  8.5,⑦⑥⑥,,,,,,,,,,,,
