14年 9月14日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 9月14日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上越ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｍタイセイアニマｰト, 19,田辺裕,, 48,  -3,*  5, 6, 10.3,⑨⑨⑨, 1, 7,Ｌダｰクファンタジｰ, 48,北村宏,, 71,  -2,*  7,10, 23.9, ⑯⑯, 1,12,Ｂハニｰバニｰ, 72,横山典,, 68,  -9,* 15, 2,  3.7, ⑧⑥, 1, 4,Ｌモグモグパクパク, 78,柴田善,, 77,  -5,* 21, 4,  6.9, ⑭⑭
 2,14,Ａワトソンクリック, 51,武士沢, 0.3, 46,  -3,   1, 3,  8.4,⑪⑧⑦, 2,12,Ｊサンソヴｰル, 57,エスポ, 0.0, 71,*  2,*  3, 1,  4.8, ⑧⑧, 2, 4,Ｆラヴァｰサクラ, 69,大野拓, 0.2, 68,* -4,   9, 3,  6.9, ①①, 2,15,Ｃタガノトネｰル, 83,柴田大, 0.1, 78,   7,   8, 2,  6.2, ⑤⑤
 3, 9,Ｆトｰセンアスリｰト, 37,菅原隆, 0.3, 49,  -8,* 10,10, 43.2,⑭⑮⑮, 3,17,Ｃブルｰホｰル, 62,横山典, 0.2, 66,*  3,  -4, 4,  6.8, ②②, 3,11,Ｉパイメイメイ, 65,原田和, 0.4, 66,  -7,   9, 8, 21.5, ⑤④, 3, 9,Ｏコウユｰサムライ, 77,エスポ, 0.2, 76,  -2,  15,11, 49.6, ⑫⑫
 4, 6,Ｅドラゴンパイロ, 38,吉田豊, 0.4, 44,  -3,   0, 4,  8.8,⑥⑥⑤, 4,13,Ａプラチナジュエリｰ, 69,大野拓, 0.3, 68,  -1,   2, 3,  6.4, ⑪⑪, 4, 6,Ｇカゼノサファイア, 66,田辺裕, 0.5, 64, -10,* 12, 9, 21.6, ⑩⑨, 4,10,Ｅラピダメンテ, 81,横山典, 0.2, 75,   1,  12, 3,  6.4, ⑩⑩
 5,10,Ｃヘウレｰカ, 47,三浦皇, 0.7, 44,  -5,   1, 1,  2.6,⑧⑩⑩, 5,14,Ｆアクアプリンセス, 61,木幡初, 0.5, 63,*  1,  -6,12, 34.3, ④④, 5,13,Ｈスノｰレパｰド, 66,伴啓太, 0.5, 65,* -6,   8, 5, 12.1, ④③, 5, 1,Ａマルヴァｰンヒルズ, 84,蛯名正, 0.5, 73,   7,   4, 1,  2.3, ④④
 6, 7,Ｌナニスンネン, 29,的場勇, 0.8, 42,* -2,  -6,12, 53.4,③③①, 6,18,Ｅハゴロモジャスミン, 61,石川裕, 0.6, 63,  -3,   0,13, 34.9, ⑭⑬, 6, 5,Ｄキｰプレイヤｰ, 70,嶋田純, 0.5, 64,* -5,   7,10, 25.9, ②②, 6,13,Ｍリックムファサ, 77,津村明, 0.6, 73,   1,   9, 6, 19.2, ⑪⑪
 7,15,Ｇベルウッドツルギ, 34,江田照, 1.2, 40,* -1,  -8,14,140.0,⑤④④, 7, 1,Ｈイエロｰサブマリン, 59,田辺裕, 0.6, 64,  -6,*  4, 6, 10.5, ⑮⑭, 7, 2,Ｃシャンパンルｰジュ, 71,石橋脩, 0.7, 63, -14,* 14, 7, 18.4, ⑬⑫, 7, 6,Ｄホクセツキングオｰ, 82,三浦皇, 0.6, 72,   5,   5, 8, 25.2, ⑥⑥
 8, 5,Ｏクリノトイトイ, -6,井上敏, 1.7, 39,  -7,  -2,15,166.4,⑬⑬⑬, 8,15,Ｇジョニｰ, 60,柴田善, 0.6, 64,  -3,   1, 2,  5.1, ⑰⑰, 8, 8,Ａホワイトプラネット, 75,大庭和, 1.0, 61, -11,   9, 1,  2.9, ⑪⑪, 8, 3,Ｉイチエイクリッパｰ, 80,武士沢, 0.7, 71, -10,* 17,15,311.8, ⑮⑮
