14年 8月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 8月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,豊栄特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｅスマｰトプラネット, 45,内田博,, 62,*  8,* -4, 1,  2.3, ③③, 1,12, エムエムベレッタ,,浜野谷,,,,, 9, 59.7,③②②, 1,11,Ｃハｰトフルデイズ, 62,内田博,, 70,   2,*  2, 2,  5.9, ⑬⑬, 1,13,Ｅミナレット, 75,嘉藤貴,, 77,   6,   4, 6, 10.8, ⑥⑥
 2, 8,Ｇメジャｰフォルム, 43,江田照, 0.1, 61,*  9,* -6, 3,  5.4, ②②, 2, 3, ホクレア,,山本康,187.5,,,, 4,  6.6,②③③, 2, 6,Ｍメイブルｰラグｰン, 48,江田照, 0.2, 65,*  7, -11,16,201.5, ③③, 2, 4,Ｂマンボネフュｰ, 79,エスポ, 0.0, 78,   4,*  8, 2,  4.8, ⑧⑧
 3, 3,Ａクインズミラｰグロ, 54,エスポ, 0.6, 52,   2,* -2, 2,  4.1, ⑪⑬, 3, 4, レアｰレスパｰダ,,蓑島靖,188.0,,,, 5, 10.9,①①①, 3,14,Ａディｰプラヴ, 66,田辺裕, 0.4, 64,   4,* -7, 1,  1.6, ⑪⑪, 3,15,Ｉマイネノンノ, 73,柴田大, 0.1, 77,   8,   0,12, 38.3, ③④
 4, 9,Ｂエイプリルラヴ, 52,西田雄, 1.2, 48,   7, -16, 5, 14.9, ⑤⑤, 4,11, グリｰティングワン,,上野翔,188.1,,,,11, 72.2,④④④, 4, 2,Ｄハｰトオブジュン, 58,木幡初, 0.4, 63,   5, -11, 7, 20.3, ④④, 4, 2,Ｋアルマディヴァン, 73,大野拓, 0.1, 77,   4,   5, 1,  4.7, ⑦⑦
 5, 2,Ｉハッピｰノリチャン, 39,木幡初, 1.4, 46,* 10, -24,10, 43.2, ①①, 5, 2, トモロポケット,,江田勇,188.3,,,, 7, 20.4,⑤⑦⑦, 5, 1,Ｇジェイケイカルミア, 55,北村宏, 0.6, 63,   5, -12, 4, 15.8, ⑨⑨, 5, 6,Ｍザラストロ, 71,西田雄, 0.3, 75,  -1,* 11,10, 31.1, ⑫⑭
 6, 1,Ｊエレガントソング, 38,北村宏, 1.5, 41,   0, -13, 7, 20.0, ⑩⑩, 6, 5, トウケイギムレット,,佐久間,188.3,,,,10, 68.6,⑧⑥⑤, 6,18,Ｉマニエｰテ, 54,大野拓, 0.8, 62,   1,* -6,14,125.4, ⑮⑭, 6, 5,Ｆボンジュｰルココロ, 75,田中勝, 0.3, 75,   4,   4, 7, 11.1, ⑨⑨
 7,13,Ｆアルマニンファ, 44,田中勝, 1.5, 43,   4, -18, 4, 11.0, ⑧⑧, 7, 1, マキオボｰラｰ,,平沢健,188.6,,,, 1,  2.8,⑦⑤⑥, 7,12,Ｎロイヤルグラッセ, 47,石川裕, 0.9, 56,* 10, -30,11, 57.6, ①①, 7, 1,Ａコレクタｰアイテム, 79,田辺裕, 0.5, 72,   6,  -3, 4,  8.2, ⑤③
 8,11,Ｈバイレ, 41,石橋脩, 1.5, 41,  -3,  -9, 8, 25.1, ⑭⑭, 8, 6, シンボリボルドｰ,,金子光,189.4,,,, 2,  4.0,⑪⑩⑨, 8,13,Ｊマイネソルプレｰザ, 53,柴田大, 1.0, 58,*  8, -25, 8, 40.3, ②②, 8, 3,Ｃロノ, 78,内田博, 0.6, 72,  -4,*  9, 5,  9.5, ⑮⑮
