14年 4月12日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 4月12日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2750m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ひめさゆり賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｆフロｰルシｰタ, 53,吉田隼,, 61,  -4,*  5, 9, 61.5,⑨⑦④, 1,13, スカイアクセス,,草野太,,,,,11, 60.9,④②②, 1, 6,Ａスマｰトエビデンス, 65,城戸義,, 66,*  5,  -2, 3,  4.7, ②①, 1, 9,Ｆオｰルステイ, 64,中谷雄,, 69,* 14,  -5, 6, 10.0,①①①
 2, 7,Ｇトｰセンパピｰ, 52,宮崎北, 0.3, 59,* -1,  -1,12,175.0,⑪③②, 2,12, ニシノメイゲツ,,大江原,185.3,,,, 2,  3.2,⑤⑤⑤, 2, 8,Ｆキョウワメロディｰ, 59,吉田隼, 0.1, 66,  -6,*  7, 4,  8.2, ⑦⑥, 2, 8,Ｉホルボッシュ, 62,柴田善, 0.2, 72,   7,   9, 2,  3.5,②②②
 3, 8,Ａハタノエンジェル, 63,柴田善, 0.4, 56,* -1,  -2, 1,  1.3,①①①, 3, 8, セクシイサウンド,,五十嵐,185.7,,,, 3,  5.3,①①①, 3, 5,Ｃリストワｰル, 64,松田大, 0.2, 64,  -4,*  4, 6, 12.2, ⑤④, 3, 5,Ｃトップアｰト, 68,吉田隼, 0.4, 70,   6,   9, 5,  9.4,④⑤④
 4,11,Ｄクラシックセｰラ, 55,伊藤工, 1.0, 51,  -4,  -3, 7, 42.4,⑥⑥⑤, 4, 5, エリタｰジュ,,難波剛,185.8,,,, 6, 16.0,⑨⑦⑥, 4, 2,Ｅアイノデンドウシ, 59,松若風, 0.5, 63,  -6,*  5, 5,  9.0, ⑧⑧, 4, 2,Ｄコスモレヴァｰタ, 68,丹内祐, 0.5, 70,   7,   6, 8, 16.0,⑤③③
 5,12,Ｃタガノラプランセス, 57,中井裕, 1.2, 53,  -2,  -7, 2,  6.8,⑦⑤⑥, 5,10, ルｰベル,,林満明,185.8,,,,13,143.6,②③④, 5, 1,Ｂサンレイクウッド, 65,菱田裕, 1.0, 56,  -5,  -2, 1,  3.7, ⑥⑦, 5, 1,Ｈクインズチャイルド, 62,勝浦正, 0.7, 69,   4,   9, 7, 14.2,⑥⑥⑥
 6,10,Ｅピュアエクセル, 54,松若風, 1.5, 50,  -5,  -6, 3,  8.4,⑧⑨⑨, 6, 1, タカラプリンス,,横山義,185.9,,,, 8, 29.6,⑥④③, 6, 9,Ｋウｰルｰシュヴァル, 47,丸山元, 1.2, 56,*  2,  -9,11, 62.2, ③③, 6,10,Ｂストｰリｰセラｰ, 69,津村明, 0.8, 68,   3,* 11, 1,  3.3,⑧⑦⑦
 7, 2,Ｏデザイアドライブ, 32,五十嵐, 1.5, 50,  -4,  -7,13,250.7,⑭⑩⑦, 7, 7, ベロセットレコｰド,,石神深,187.3,,,, 7, 21.2,⑫⑫⑩, 7,12,Ｉピュアモトヒメ, 53,長岡禎, 1.4, 53,  -1,  -9,10, 42.5, ④⑤, 7, 4,Ｅリバｰソウル, 66,高倉稜, 1.2, 61,   6,  -2, 3,  6.2,③④⑤
 8, 9,Ｋイトハユリ, 43,石川裕, 1.8, 49,  -7,  -3,10, 83.0,⑤⑬⑬, 8, 3, ノエルキャロル,,金子光,187.9,,,, 4, 12.0,⑦⑧⑧, 8,13,Ｈマコトヴィガラス, 55,川須栄, 1.5, 53, -11,  -1, 8, 16.7, ⑩⑨, 8, 7,Ｇワｰルドダンス, 63,丸山元, 1.6, 60,   0,   4, 9, 21.9,⑨⑨⑧
 9, 3,Ｉピンクプリンセス, 47,大下智, 1.9, 48,  -8,  -3, 5, 25.9,⑩⑫⑫, 9,14, テｰオｰゼウス,,黒岩悠,187.9,,,,12, 72.0,⑬⑨⑨, 9,10,Ｊサリｰナ, 47,宮崎北, 1.6, 52, -11,  -1,12, 95.5, ⑪⑩, 9, 3,Ａネオヴァロン, 70,中舘英, 1.9, 58,   0,   3, 4,  9.2,⑩⑩⑨
10,13,Ｂポルテシャンス, 61,村田一, 2.0, 46,* -1, -15, 4, 20.3,②②③,10, 2, スズカホｰプ,,山本康,188.8,,,, 5, 13.9,⑩⑪⑫,10, 4,Ｇアミフジテンショウ, 55,柴田善, 2.8, 39,  -9, -15, 7, 14.9, ⑨⑪,10, 6,Ｊゼンノジェネラル, 46,松田大, 4.1, 36,   1, -30,10, 88.8,⑦⑧⑩
11, 6,Ｌカガフロｰライト, 42,長岡禎, 2.0, 49,  -9,   0,15,468.2,⑮⑮⑮,11, 4, トモロポケット,,江田勇,189.1,,,, 9, 31.4,③⑥⑦,11,14,Ｄハイリｰカズマ, 63,勝浦正, 3.2, 37,*  6, -30, 2,  4.2, ①②,,,,,,,,,,,,
12, 4,Ｈシャンパンビｰチ, 50,勝浦正, 2.6, 42,  -3, -15, 6, 40.1,④⑧⑩,12, 9, ビックケン,,平沢健,189.2,,,,10, 55.2,⑧⑩⑪,12, 7, ティｰエスブラック,---,中舘英, 3.4, 35, -20, -10, 9, 33.5, ⑫⑫,,,,,,,,,,,,
13, 1,Ｍニシノクラｰケン, 42,岩部純, 2.8, 42,  -8, -11,11,134.0,⑫⑭⑭,13, 6, タイキサクセション,,蓑島靖,189.4,,,,14,175.7,⑪⑬⑬,13,15,Ｌイチザダイオウ, 16,原田和, 3.8, 31, -22, -12,15,277.6, ⑬⑭,,,,,,,,,,,,
14,15,Ｊベルモントビｰナス, 43,黛弘人, 3.5, 37,  -2, -26,14,292.6,③④⑧,,,,,,,,,,,,,14,11, ナイキブレイヴ,---,伴啓太, 3.8, 30, -24, -10,13,159.1, ⑮⑬,,,,,,,,,,,,
15, 5,Ｎパｰプルシャドウ, 41,松田大, 4.3, 31,  -6, -27, 8, 50.9,⑬⑪⑪,,,,,,,,,,,,,15, 3, クリノジパング,---,嘉藤貴, 4.0, 29, -24, -12,14,257.3, ⑭⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:3),,,,,,,,,,,
"単勝:6,150円 複勝:14=660円 07=1,670円 08=110円 枠連:27,670円",,,,,,,,,,,,"単勝:6,090円 複勝:13=720円 12=150円 08=170円 枠連:2,100円",,,,,,,,,,,,"単勝:470円 複勝:06=180円 08=230円 05=320円 枠連:1,590円",,,,,,,,,,,,"単勝:1,000円 複勝:09=240円 08=170円 05=270円 枠連:350円",,,,,,,,,,,
"馬連:155,920円 ワイド:07-14=20,580円 08-14=740円 07-08=2,470円",,,,,,,,,,,,"馬連:7,800円 ワイド:12-13=3,020円 08-13=3,340円 08-12=410円",,,,,,,,,,,,"馬連:2,140円 ワイド:06-08=620円 05-06=810円 05-08=1,060円",,,,,,,,,,,,"馬連:1,610円 ワイド:08-09=700円 05-09=1,180円 05-08=810円",,,,,,,,,,,
"馬単:390,240円 3連複:56,430円 3連単:965,440円",,,,,,,,,,,,"馬単:28,660円 3連複:21,350円 3連単:255,000円",,,,,,,,,,,,"馬単:3,710円 3連複:5,230円 3連単:25,910円",,,,,,,,,,,,"馬単:3,800円 3連複:5,280円 3連単:32,460円",,,,,,,,,,,
■ 2R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝2750m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 8R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝1200m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吾妻小富士賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2, ステイインシアトル,---,菱田裕,, 66,*  6,*  4, 1,  2.2,①①①, 1,13, メジロサンノウ,,原田和,,,,,11, 44.9,⑩④④, 1, 2,Ｂインスペｰド, 68,中舘英,, 72,* -2,*  6, 2,  3.4, ①①, 1,11,Ａカハラビスティｰ, 78,勝浦正,, 74,   1,   6, 1,  3.2, ⑤⑤
 2, 9,Ｃドルチェレガｰト, 56,黛弘人, 0.8, 59,   3,*  0, 4, 14.6,⑦⑦⑤, 2, 2, シシャモフレンド,,白浜雄,182.0,,,,10, 38.8,⑥⑧⑤, 2, 9,Ｎショウナンバグｰス, 52,柴田善, 0.6, 65,  -8,   5, 9, 25.4, ⑨⑨, 2, 5,Ｏレッドガルシア, 67,松田大, 0.1, 72,   0,   6,13, 97.4, ⑥⑥
 3, 7,Ｂダイナソア, 59,中谷雄, 0.9, 58,*  4,  -3, 7, 32.7,④④③, 3,10, ヤマカツハクリュウ,,高田潤,182.6,,,, 1,  2.6,⑦③③, 3, 5,Ｃトランドネｰジュ, 68,勝浦正, 0.8, 62,  -6,  -1, 1,  3.3, ⑥④, 3,12,Ｅシンジュボシ, 75,柴田善, 0.2, 71,*  2,   2, 2,  3.5, ③③
 4, 8,Ｄマｰシャルシップ, 55,吉田隼, 1.0, 57,   2,*  2, 2,  3.2,⑩⑫⑧, 4, 1, ボストンプラチナ,,高野和,182.7,,,,14, 65.2,⑤⑥⑦, 4, 3,Ｇクレムリンシチｰ, 63,柴田未, 1.0, 60, -16,*  7,12, 68.3, ⑫⑪, 4, 8,Ｇケイアイユニコｰン, 75,高倉稜, 0.3, 69,  -4,   7, 3,  7.5, ⑨⑧
 5,13,Ｇサマｰブリｰズ, 53,松田大, 1.3, 54,   3,  -7, 5, 15.4,⑨⑧⑨, 5,12, レッドアｰヴィング,,西谷誠,182.7,,,, 4, 10.1,①①①, 5,13,Ａサンライズマｰチ, 72,松若風, 1.1, 57,* -3,  -7, 3,  5.5, ③③, 5, 2,Ｄボンジュｰルココロ, 75,木幡初, 0.3, 70,  -3,   6, 5, 11.9, ⑦⑦
