14年 7月 6日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 7月 6日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2750m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,さくらんぼ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｄサンタレジｰナ, 58,北村宏,, 52,  -4,  -2, 3,  7.8, ⑥⑤, 1, 4, ショウナンバｰズ,,横山義,,,,, 2,  3.5,⑥③①, 1,14,Ａサｰストンコラルド, 63,北村宏,, 61, -12,*  7, 1,  2.3,⑧⑦⑦, 1, 6,Ａシゲルカガ, 80,戸崎圭,, 73,*  7,   6, 1,  1.7, ①①
 2,11,Ｅツリｰチャイム, 56,石橋脩, 0.1, 49, -11,*  3, 6, 22.9, ⑪⑩, 2,12, シンボリボルドｰ,,金子光,182.1,,,, 8, 30.4,⑧⑦③, 2,12,Ｋマルケットリｰ, 47,的場勇, 0.0, 55,* -8,  -3, 6, 19.2,①①①, 2, 2,Ｂシｰブリｰズライフ, 72,田中勝, 0.0, 74,   3,* 10, 3, 10.6, ③②
 3, 6,Ａサウスセレクト, 66,柴田善, 0.1, 49,   0,  -6, 1,  2.3, ④④, 3,13, オベレック,,高野和,183.0,,,, 6, 16.9,⑩⑩⑧, 3,11,Ｂレッドボルゲｰゼ, 63,蛯名正, 0.1, 58, -11,   2, 2,  4.5,⑥⑥④, 3, 1,Ｅストロングロビン, 70,松岡正, 0.4, 68,  -2,* 10, 6, 17.5, ⑥⑥
 4, 4,Ｃノスタルジック, 60,木幡初, 0.2, 50,*  4, -11, 4,  9.5, ①①, 4, 9, マイネルミランダス,,山本康,183.2,,,, 5, 12.7,⑤⑤④, 4, 7,Ｊマイネルエルピス, 50,柴田大, 0.1, 60,* -8,   1,12, 76.4,④③③, 4, 4,Ｃファンデルワｰルス, 71,田辺裕, 0.5, 66,   2,   5, 2,  4.2, ⑤④
 5, 7,Ｇスリｰパイン, 55,二本柳, 0.3, 49,  -4,  -4, 7, 27.9, ⑦⑦, 5, 8, レッドティムｰル,,五十嵐,183.3,,,, 3,  5.2,⑨⑧⑦, 5,10,Ｍヒトシレズ, 39,石川裕, 0.3, 52,*-10,  -4,16,292.7,②②②, 5, 3, デイジｰギャル,---,伊藤工, 0.7, 65,  -7,* 12,10, 58.5, ⑨⑧
 6, 5,Ｂダイワナッティｰ, 60,柴田大, 0.5, 47,  -6,  -4, 2,  2.7, ⑧⑥, 6, 5, プラチナディスク,,蓑島靖,184.3,,,,14,164.7,⑬⑫⑫, 6, 6,Ｃブラックエミオ, 62,原田和, 0.3, 54, -11,   0, 3,  6.3,⑤⑤⑤, 6,10,Ｇダイワインスパイア, 68,北村宏, 0.7, 64,   3,   1, 7, 23.2, ④⑤
 7, 2,Ｆリトルスカッシュ, 55,平野優, 0.5, 47,*  1, -10,15,148.3, ③③, 7, 3, グラスリｰド,,石神深,184.5,,,,10, 72.5,⑪⑪⑪, 7, 3,Ｄジェイケイカルミア, 57,柴田善, 0.3, 56, -10,   1, 5, 13.1,③④⑥, 7, 7,Ｈレモンチャン, 65,江田照, 1.0, 59,*  6,  -6, 4, 10.9, ②③
 8, 1, リネンハピネス,---,西田雄, 0.6, 46, -10,  -1,12,114.2, ⑩⑨, 8, 1, エムエムベレッタ,,浜野谷,184.5,,,, 4,  8.5,②②⑤, 8, 2,Ｈサプライズレナ, 53,田中勝, 0.5, 57, -15,*  6, 7, 28.9,⑪⑬⑪, 8, 8,Ｄドリｰムフォワｰド, 70,横山典, 1.2, 57,  -1,  -1, 9, 48.0, ⑦⑦
 9,12,Ｊデザイアドライブ, 48,五十嵐, 0.6, 46,*  2, -12, 8, 52.3, ②②, 9,11, ビレッジトレンディ,,原田和,185.0,,,, 7, 18.0,③①②, 9, 1,Ｌプロテクション, 47,大野拓, 0.6, 53, -14,   0,11, 66.8,⑨⑨⑧, 9, 5,Ｉキｰパップ, 62,吉田豊, 1.2, 59, -10,   8, 8, 44.6, ⑩⑩
10,14,Ｋシャイニｰピュｰマ, 48,伴啓太, 1.1, 41, -14,  -2,13,119.3, ⑭⑭,10, 6, ネフライト,,江田勇,185.3,,,, 9, 36.4,⑦⑥⑥,10, 9,Ｇニシノカザブエ, 54,江田照, 0.7, 52, -13,  -1,10, 40.4,⑦⑩⑨,10, 9,Ｆスタｰマイン, 69,蛯名正, 1.3, 57,  -5,   1, 5, 11.7, ⑧⑨
