14年 3月15日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月15日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  芝1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾛｰﾗﾙｳｫｰｸ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂヴォルスング, 61,後藤浩,, 56,*  2,* -9, 1,  1.3,⑩④③, 1, 3,Ｋミュｰラルクラウン, 41,後藤浩,, 62,* 12, -13, 5, 21.0,①①①, 1, 6,Ｄロノ, 70,ペドロ,, 72,   3,*  8, 6, 13.9, ⑦⑤, 1, 4,Ｋサングラス, 63,後藤浩,, 71,*  8,   2, 5, 11.3,③④④
 2, 4,Ｃディアヴォｰグ, 56,藤岡康, 0.4, 56,   0,* -8, 7, 33.9,⑪⑨⑨, 2, 9,Ｃレッドメイヴ, 57,内田博, 0.0, 64,   7,* -3, 1,  1.9,⑥⑦⑥, 2, 2,Ａシルクフラッシュ, 75,伊藤工, 0.2, 69,   1,*  6, 2,  4.9, ⑥⑦, 2, 9,Ｉアルテ, 63,松田大, 0.1, 71,   7,   5,10, 46.8,⑨⑦⑦
 3,15,Ｄヘクタｰザグレｰト, 55,松田大, 0.5, 55,  -3,* -4, 5, 21.0,⑫⑩⑩, 3,16,Ｈヤマカツゴｰゴｰ, 53,太宰啓, 0.4, 58,* 12, -18, 4, 12.4,④②②, 3, 7,Ｋエポワス, 66,柴田善, 0.2, 70,   4,   4, 5, 13.9, ④③, 3, 3,Ｈダノンマッキンレｰ, 65,北村友, 0.2, 71,   5,   4, 3,  5.9,⑩⑨⑧
 4,16,Ｊエスケイキング, 50,丸山元, 1.1, 50,*  3, -20,11,132.9,③③②, 4, 8,Ｂサンジェナｰロ, 63,川田将, 0.4, 59,   2,* -1, 2,  4.6,⑪⑪⑨, 4, 5,Ｈキタサンエピソｰド, 68,太宰啓, 0.4, 66,*  7,  -4, 3,  5.8, ②②, 4,12,Ｂワｰドイズボンド, 71,高倉稜, 0.3, 66,*  9,  -4, 2,  4.6,②②②
 5, 7,Ｎエフティマルス, 42,丹内祐, 2.0, 44,   1, -24,13,209.0,⑥⑥④, 5,12,Ａワクワクカンヲ, 66,松若風, 0.5, 59,  -2,*  6, 3,  4.8,⑬⑫⑫, 5, 1,Ｇメイショウライナｰ, 68,勝浦正, 0.4, 68,   1,   5, 1,  3.6, ⑨⑧, 5, 7,Ｅシｰロア, 68,柴山雄, 0.3, 67,   7,   0, 8, 28.9,⑦⑥⑤
 6,14,Ｈカイザｰヴァルツァ, 53,松若風, 2.0, 46,  -6, -11, 8, 46.2,⑭⑭⑭, 6, 1,Ｌアズマムｰン, 41,岩崎翼, 0.7, 54,   7, -13,11, 84.7,⑤③⑤, 6,14,Ｆヤマニンカヴァリエ, 69,松田大, 0.5, 65,   2,   1, 7, 17.5, ⑤⑥, 6,15,Ｇコウエイタケル, 66,松山弘, 0.3, 69,   4,   6, 6, 13.0,⑤⑫⑪
 7, 2,Ｅカンスタントリｰ, 55,内田博, 2.1, 46,  -5, -13, 3, 11.5,⑤⑪⑪, 7, 7,Ｊヤマニンブロケｰド, 43,柴山雄, 0.9, 52,* 10, -19, 9, 60.9,③④③, 7, 8,Ｐムｰンベックカフェ, 61,田中勝, 0.5, 66,  -3,*  9,15, 56.4, ⑱⑱, 7,14,Ｄサトノフェラｰリ, 68,柴田善, 0.3, 70,   4,   6, 1,  2.8,⑫⑩⑫
 8, 5,Ｆスズカアポロ, 55,バルジ, 2.1, 44,  -1, -23, 2,  6.3,⑧⑧⑦, 8,13,Ｉマイネルティエラ, 45,中井裕, 1.1, 51,   3, -11,13,153.1,⑨⑨⑧, 8,11,Ｅクリアモｰメント, 70,藤岡佑, 0.6, 66,  -2,*  7,13, 40.4, ⑬⑬, 8,13,Ａリタｰンラルク, 71,丸田恭, 0.3, 68,   0,* 12, 4,  6.6,⑭⑭⑯
