14年 5月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 5月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-19,,,,,■ 4R  芝2890m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早苗賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａサンエルピス, 67,高倉稜,, 64,   2,* -2, 3,  4.6,⑭⑫⑧, 1, 7, ダノンゴｰルド,,横山義,,,,, 1,  3.8,③①①, 1, 3,Ｇティアップレｰヴ, 68,黛弘人,, 73,   6,*  5, 4,  7.2,③③④, 1, 1,Ｆリリコイパイ, 64,吉田隼,, 77, -13,  20, 3,  8.4, ④④
 2, 3,Ｄレイズアセイル, 59,吉田隼, 0.4, 61,   5,*-11, 1,  3.4,⑦⑥④, 2,12, タイセイジｰニアス,,白浜雄,189.3,,,, 6,  9.7,①③③, 2, 5,Ｂシンワウォッカ, 75,川島信, 0.7, 69,   5,   3, 1,  2.8,⑦⑧⑦, 2, 3,Ａエイシンエルヴィン, 81,秋山真, 0.1, 78, -14,* 23, 1,  1.5, ⑧⑧
 3,14,Ｃパイストロピカル, 60,柴山雄, 1.1, 54,*  6, -18, 5, 10.3,⑥③②, 3, 3, ロｰドシュプリｰム,,石神深,189.5,,,, 5,  9.7,⑩⑦⑥, 3,15,Ｉレッドフォｰチュン, 66,川須栄, 0.8, 71,*  7,  -2, 8, 21.0,④④③, 3, 7,Ｃアカノジュウハチ, 69,勝浦正, 0.2, 79, -14,* 22, 4, 11.6, ⑦⑦
 4,12,Ｊアルプサロン, 49,城戸義, 1.7, 50,   4, -22,14,148.4,③④⑥, 4, 9, オマモリ,,浜野谷,189.8,,,,12, 57.3,⑨⑤⑦, 4, 9,Ｃサンレイフロｰラ, 74,小崎綾, 0.9, 69,   2,*  7, 6, 12.1,⑬⑬⑭, 4, 4,Ｂフロリダパンサｰ, 70,高倉稜, 0.5, 71,*-11,  11, 2,  4.8, ①①
 5, 6,Ｉドルチェメンテ, 49,伊藤工, 1.8, 49,   5, -23, 7, 22.7,⑤⑤③, 5, 1, ワンダｰバライル,,黒岩悠,190.3,,,, 8, 26.9,⑧⑥⑤, 5, 2,Ｅマルシアｰノ, 73,津村明, 0.9, 68,   5,   1, 2,  5.1,⑧⑥⑥, 5, 8,Ｄウインミラグロス, 66,丸田恭, 0.7, 66,*-11,   9, 5, 15.7, ②②
 6, 2,Ｌリｰブイットゥミｰ, 47,藤懸貴, 1.8, 51,   1, -17,15,384.4,⑮⑬⑨, 6, 8, エクレウス,,上野翔,190.5,,,, 2,  3.8,⑦④④, 6,12,Ｄグレｰトエンジェル, 74,高倉稜, 0.9, 70,   1,*  8, 7, 13.4,⑭⑮⑫, 6, 5,Ｅウインステｰジ, 66,黛弘人, 0.8, 71, -11,  12, 7, 33.7, ⑤⑤
 7,11,Ｅピアノコンクｰル, 58,小崎綾, 2.0, 49,   2, -20, 2,  3.4,⑫⑪⑪, 7, 6, マキオボｰラｰ,,熊沢重,191.0,,,, 7, 13.4,⑥②②, 7,10,Ａエｰシンウェンディ, 75,柴山雄, 0.9, 66,   5,  -1, 5, 11.9,⑥⑤⑤, 7, 2,Ｇウルパラクア, 61,菱田裕, 1.0, 67, -12,   8, 6, 32.0, ③③
 8,10,Ｆウインサラ, 56,中井裕, 2.3, 49,   3, -24,13,139.9,⑪⑨⑦, 8, 2, ニシノファブレッド,,大江原,192.6,,,, 9, 35.9,⑬⑫⑫, 8,13,Ｈヤマトダイアンサス, 68,丸田恭, 1.0, 64,*  8,  -6, 3,  5.5,②②②, 8, 6,Ｈテイエムゲッタドン, 55,川島信, 1.8, 57, -16,   0, 8, 37.4, ⑥⑥
 9, 9,Ｇリクエストアワｰ, 51,丸田恭, 3.8, 36,   3, -36, 4,  7.2,⑧⑧⑩, 9,13, オベレック,,高野和,193.9,,,,10, 37.9,⑪⑨⑧, 9,14,Ｆコｰディリア, 70,吉田隼, 1.8, 64,   3,  -2, 9, 26.8,⑫⑪⑩,,,,,,,,,,,,
