14年 9月28日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 9月28日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,寺泊特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,14,Ｉナンゴクオｰジ, 37,伴啓太, 4.0, 28,   0, -24,13,107.5,⑭⑮⑭,12,12, ミュｰズデュナミス,---,村田一, 1.4, 39, -13, -17,14, 71.9, ⑥⑦,12,17,Ｂマクベスバロｰズ, 73,勝浦正, 1.4, 67,  18, -13,11, 27.7,⑯⑭⑩,12,13,Ｅコスモミレネｰル, 74,丹内祐, 0.9, 61,* 19, -24,12, 79.7, ③③
13, 9,Ｂカスクストレングス, 57,蛯名正, 4.0, 29,   2, -27, 7, 17.5,⑨⑩⑪,13, 1, オｰゴンカガヤキ,---,吉田豊, 1.5, 38, -14, -17,13, 49.4, ⑧⑧,13, 6,Ｎフィｰルフリｰリｰ, 68,原田和, 1.7, 62,  18, -25,12, 36.8,⑤⑦⑦,13,15,Ｆキネオピュｰマ, 73,北村宏, 0.9, 61,  11,  -9, 8, 37.1, ⑭⑬
14,10,Ｊサリｰシャッセ, 36,津村明, 4.7, 25,   2, -33,15,244.0,⑫⑪⑬,14,16, ケｰジｰマドンナ,---,津村明, 1.5, 36, -18, -13,17,166.9, ⑬⑩,14,12,Ｍステラストリｰム, 70,三浦皇, 1.9, 61,  17, -23, 5,  9.9,⑨⑪⑫,14, 7,Ｇテラノイロハ, 71,和田竜, 2.1, 48,  15, -34, 9, 52.9, ④④
15, 2,Ｋフクノドｰビル, 36,丸山元, 4.8, 25,   1, -32,10, 58.9,⑮⑬⑮,15, 2, トドロキキシボジン,---,勝浦正, 1.6, 35, -19, -15,11, 33.0, ⑪⑮,15, 4,Ｑユｰルドゥｰ, 56,伴啓太, 2.0, 60,  17, -25,18,455.4,⑧⑩⑬,15,14,Ｏエレガンテココ, 62,宮崎北, 2.8, 40,* 25, -62,15,500.3, ①①
,,,,,,,,,,,,16, 7, ディスティンダリア,---,エスポ, 2.1, 28, -23, -17, 4,  8.3, ⑮⑭,16,14,Ｒトミケンブリランテ, 53,西田雄, 2.1, 59,  16, -22,17,324.5,⑬⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,17, 8, カンタベリｰマミｰ,---,伴啓太, 2.3, 27, -25, -17,16,138.9, ⑯⑰,17,13,Ｆジャングルパサｰ, 71,江田照, 2.3, 58,  14, -18, 6, 12.5,⑱⑱⑱,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 1,Ｄコスモナｰダム, 72,蛯名正, 7.6, -2,* 20, ---,10, 22.4,①③⑯,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:3),,,,,,,,,,,
"単勝:3,220円 複勝:06=630円 05=170円 07=120円 枠連:640円",,,,,,,,,,,,"単勝:1,510円 複勝:10=380円 11=190円 06=480円 枠連:3,440円",,,,,,,,,,,,"単勝:2,120円 複勝:02=680円 05=450円 15=160円 枠連:5,850円",,,,,,,,,,,,"単勝:29,430円 複勝:11=5,720円 03=210円 06=300円 枠連:5,010円",,,,,,,,,,,
"馬連:12,090円 ワイド:05-06=2,030円 06-07=1,270円 05-07=310円",,,,,,,,,,,,"馬連:3,470円 ワイド:10-11=1,150円 06-10=2,660円 06-11=1,370円",,,,,,,,,,,,"馬連:17,690円 ワイド:02-05=5,110円 02-15=2,330円 05-15=1,170円",,,,,,,,,,,,"馬連:94,410円 ワイド:03-11=22,440円 06-11=25,290円 03-06=700円",,,,,,,,,,,
"馬単:25,300円 3連複:5,870円 3連単:70,940円",,,,,,,,,,,,"馬単:7,880円 3連複:16,210円 3連単:106,950円",,,,,,,,,,,,"馬単:32,810円 3連複:25,100円 3連単:258,460円",,,,,,,,,,,,"馬単:315,000円 3連複:212,200円 3連単:2,779,220円",,,,,,,,,,,
■ 2R  芝1000m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■11R  芝2200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,産経賞ｵｰﾙｶﾏｰ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｑキャプレット,  6,戸崎圭,, 57,*  0,*  0, 6, 11.6,   , 1, 8, ルｰジュバック,---,戸崎圭,, 46, -60,* 27, 2,  3.8, ⑥⑦, 1,14,Ｈショウナンアポロン, 69,井上敏,, 78,* 12,   1, 9, 62.7,③③③, 1,11,Ｆマイネルラクリマ, 89,戸崎圭,, 88,* 15,  15, 2,  7.2,③②②
 2,16,Ｍプリンセスケイ, 30,石橋脩, 0.5, 49,  -5,  -3, 3,  5.5,   , 2, 3, アンバｰグリスキｰ,---,蛯名正, 0.2, 42, -59,  21, 1,  1.7, ⑨⑧, 2,11,Ｂメイスンウォｰ, 77,長岡禎, 0.4, 77,  10,*  3, 5, 11.5,⑤⑤⑤, 2, 6,Ｅラキシス, 89,川田将, 0.1, 89,* 14,  17, 7, 17.5,④⑥⑥
 3,10,Ａヒノキノカホリ, 51,石川裕, 0.5, 49,  -5,  -3, 1,  3.2,   , 3, 5, バルビエｰル,---,北村宏, 0.3, 39, -59,  19, 3,  4.2, ⑤⑤, 3, 2,Ｊメガオパｰルカフェ, 69,田中勝, 0.7, 74,   6,*  7, 7, 43.1,⑭⑬⑬, 3, 5,Ｉクリｰルカイザｰ, 87,吉田豊, 0.1, 91,  12,  20,12, 44.2,⑫⑩⑩
 4, 4,Ｅオルフィｰク, 47,武士沢, 0.7, 46,*  0, -10, 2,  4.3,   , 4, 6, パルパルパピヨン,---,吉田隼, 0.7, 19,*-58,  10, 6, 25.5, ①①, 4, 8,Ｋデグニティクロｰズ, 67,江田照, 0.8, 72,  10,   0,13,115.6,⑦⑦⑥, 4,13,Ｋフラガラッハ, 85,高倉稜, 0.1, 93,  10,* 29,14, 52.7,⑱⑱⑰
 5,18, カガテディ,---,井上敏, 0.7, 46, -16,*  1,13, 84.8,   , 5, 7, ビッグチャンピオン,---,松岡正, 1.1, 15,*-58,   5, 7, 31.1, ②②, 5, 7,Ｌトミケンスラｰヴァ, 66,北村宏, 1.2, 71,   9,  -2,10, 63.7,⑨⑧⑨, 5,17,Ｃアロマティコ, 91,三浦皇, 0.1, 92,  10,* 27, 6, 15.1,⑰⑯⑮
 6, 6,Ｉレミネンス, 36,黛弘人, 0.8, 44,  -8,  -6,15,148.5,   , 6, 4, コスモエルドｰル,---,丹内祐, 1.2, 17, -58,   7, 5, 22.6, ④④, 6, 4,Ｉアサクサニッポン, 69,丸田恭, 1.2, 69,   8,   1,12, 70.7,⑪⑩⑧, 6,16,Ａフェイムゲｰム, 91,北村宏, 0.2, 89,  11,  20, 4, 10.0,⑪⑫⑫
 7, 2,Ｄリベルテラミュｰズ, 48,田辺裕, 0.8, 45,  -7,  -5, 5,  9.3,   , 7, 1, ケンベストカフェ,---,柴山雄, 1.4, 13, -60,   6, 4, 17.4, ⑦⑥, 7,15,Ｄポッドスタｰ, 75,大野拓, 1.3, 71,   8,   0, 3,  8.5,⑩⑪⑪, 7, 4,Ｑカレンブラックヒル, 82,秋山真, 0.2, 85,* 15,   9, 5, 14.5,①①①
