14年 2月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 2月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■10R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,乙訓特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｇパｰティｰドレス, 52,デムｰ,, 68,  -2,*  7, 2,  7.3, ④④, 1, 2,Ａエイシンライアン, 79,岩田康,, 68,  -4,* 13, 1,  1.5, ⑥⑥, 1, 1,Ｄタイガｰシｰド, 76,熊沢重,, 84,   6,* 12, 5, 13.1,⑤⑤⑤, 1, 6,Ｅルナフォンタｰナ, 74,岩田康,, 80,* -7,  18, 1,  1.5, ②②
 2,11,Ａワディ, 72,浜中俊, 0.1, 68,* -1,*  6, 1,  1.4, ③③, 2, 7,Ｂサトノユニコｰン, 77,小牧太, 0.1, 67,  -5,* 13, 2,  4.4, ⑨⑦, 2, 6,Ｈサンライズワｰルド, 69,浜中俊, 0.2, 79,*  8,   7, 7, 24.4,②②②, 2, 9,Ｄトキノゲンジ, 74,小牧太, 0.1, 80, -12,* 22, 5, 13.6, ⑦⑦
 3,14,Ｈサカジロヴィグラス, 52,高倉稜, 0.6, 63,* -2,   1, 4, 13.9, ②②, 3,12,Ｆナリタロック, 66,デムｰ, 0.3, 64,  -2,   8, 3,  9.9, ⑤⑤, 3, 7,Ｂサカジロスイセイ, 79,国分優, 0.2, 78,*  7,   8, 3,  5.2,④④④, 3, 5,Ｂニコｰルバロｰズ, 76,浜中俊, 0.1, 80, -11,* 21, 4,  8.9, ⑤⑤
 4, 5,Ｂショウナンランパダ, 62,バルジ, 0.7, 62,  -5,   4, 3, 11.4, ⑦⑦, 4, 9,Ｅエイユｰラピス, 68,藤田伸, 0.4, 64,*  0,   4, 6, 33.3, ①①, 4,10,Ｃナリタポセイドン, 76,和田竜, 0.3, 80,   5,* 11, 4,  6.3,⑨⑧⑦, 4, 3,Ｆメロｰト, 72,太宰啓, 0.4, 73,* -6,  12, 7, 39.2, ①①
 5, 3,Ｃカネツスペシャル, 58,菱田裕, 0.7, 62,  -3,   2, 7, 30.8, ⑤⑤, 5,15,Ｇメイショウムロト, 65,浜中俊, 0.5, 64,  -7,  12, 7, 35.0, ⑪⑪, 5, 4,Ａデオヴォレンテ, 80,池添謙, 0.3, 76,*  8,   4, 1,  2.4,①①①, 5, 7,Ｈケントヒｰロｰ, 65,酒井学, 0.5, 73, -10,  14, 9,113.3, ④④
 6, 9,Ｆテイエムリヴィエラ, 52,小牧太, 1.0, 61, -10,*  7, 8, 47.5, ⑬⑩, 6, 1,Ｃジョｰラプタｰ, 75,藤懸貴, 0.5, 62,  -6,  11, 5, 18.0, ⑩⑨, 6, 9,Ｆシンワウォッカ, 75,川島信, 0.3, 78,   6,   9, 6, 17.9,⑦⑦⑥, 6, 4,Ｉキネオリュウセイ, 62,松山弘, 0.7, 72, -16,  18, 8, 62.9, ⑧⑧
 7,10,Ｋシャインプレイン, 45,松山弘, 1.1, 58,  -6,   1, 5, 14.9, ⑧⑧, 7, 3,Ｊロｰズミラクル, 61,高倉稜, 0.6, 61,  -3,   4, 8, 60.6, ④④, 7, 5,Ｇマンハッタンコｰド, 74,デムｰ, 0.5, 76,   5,   9, 2,  4.0,⑧⑨⑧, 7, 8,Ｇエイシンキンチェム, 69,藤岡康, 0.7, 72, -16,  18, 3,  7.3, ⑨⑨
 8,15,Ｅイイチョ, 54,岩田康, 2.0, 51,  -7,  -5, 6, 21.2, ⑨⑨, 8, 5,Ｄトウカイインパルス, 70,北村友, 0.6, 63, -12,* 17, 4, 16.0, ⑮⑭, 8, 2,Ｊリッシュレｰヴ, 65,北村友, 0.8, 74,*  8,   2, 8, 34.6,③③③, 8, 1,Ｃメイショウヒデタダ, 75,池添謙, 0.7, 70, -10,  12, 2,  7.0, ③③
 9,12,Ｉケイウンヘブンズ, 50,森一馬, 2.1, 51, -13,   0,14,404.6, ⑮⑬, 9,14,Ｉセフティオリビエト, 62,太宰啓, 1.0, 61,  -8,   9, 9,104.3, ⑬⑬, 9, 8,Ｅトゥルｰフレンド, 76,秋山真, 0.9, 74,   4,   8, 9, 43.2,⑩⑩⑩, 9, 2,Ａスリｰアルテミス, 78,デムｰ, 0.8, 69, -12,  13, 6, 14.3, ⑥⑥
10,13,Ｄアイズユｰニン, 55,酒井学, 2.1, 49,  -3, -11,10,142.3, ⑥⑥,10, 6,Ｋサクセスカｰチス, 61,松田大, 1.3, 57,  -8,   6,11,154.1, ⑫⑫,10, 3,Ｉアｰセナルゴｰル, 67,小牧太, 2.9, 61,   6, -13,10,154.9,⑥⑥⑨,,,,,,,,,,,,
11, 7,Ｎシゲルシリベシ, 42,国分優, 2.3, 47,  -9,  -7,13,269.5, ⑪⑪,11, 4,Ｎアジャストメント, 56,松山弘, 1.9, 51,* -2,  -8,10,118.1, ②②,,,,,,,,,,,,,,,,,,,,,,,,
12, 8,Ｊケレス, 47,城戸義, 2.3, 48, -13,  -2,12,208.4, ⑭⑭,12,13,Ｈミニ, 64,森一馬, 1.9, 51,* -1,  -9,12,305.7, ③③,,,,,,,,,,,,,,,,,,,,,,,,
13, 6,Ｍティエスアｰク, 43,原田敬, 3.0, 42, -11, -11,16,590.3, ⑫⑫,13, 8,Ｍウォｰタｰシュｰト, 56,小林徹, 2.2, 52,  -3,  -5,15,562.1, ⑦⑧,,,,,,,,,,,,,,,,,,,,,,,,
14, 4,Ｌラダムドｰ, 45,和田竜, 3.3, 40,*  0, -23, 9, 82.8, ①①,14,11,Ｏエスケイタイガｰ, 47,佐藤友, 2.2, 51, -10,   2,14,536.4, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
15, 2,Ｐサンレイルｰニク, 26,藤懸貴, 4.0, 33, -19, -10,11,183.4, ⑯⑯,15,10,Ｌカシノオｰブ, 59,国分優, 2.2, 49,  -5,  -6,13,460.7, ⑧⑩,,,,,,,,,,,,,,,,,,,,,,,,
16,16,Ｏウｰヴァ, 28,水口優, 4.3, 34,  -8, -24,15,432.3, ⑩⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:0),,,,,,,,,,,
単勝:730円 複勝:01=160円 11=100円 14=230円 枠連:450円,,,,,,,,,,,,単勝:150円 複勝:02=100円 07=120円 12=190円 枠連:190円,,,,,,,,,,,,"単勝:1,310円 複勝:01=320円 06=560円 07=200円 枠連:13,910円",,,,,,,,,,,,単勝:150円 複勝:06=110円 09=240円 05=190円 枠連:330円,,,,,,,,,,,
馬連:420円 ワイド:01-11=210円 01-14=710円 11-14=280円,,,,,,,,,,,,馬連:200円 ワイド:02-07=130円 02-12=260円 07-12=400円,,,,,,,,,,,,"馬連:12,580円 ワイド:01-06=3,180円 01-07=1,080円 06-07=1,690円",,,,,,,,,,,,"馬連:770円 ワイド:06-09=330円 05-06=260円 05-09=1,060円",,,,,,,,,,,
"馬単:1,440円 3連複:930円 3連単:6,800円",,,,,,,,,,,,"馬単:270円 3連複:570円 3連単:1,350円",,,,,,,,,,,,"馬単:27,780円 3連複:17,900円 3連単:166,660円",,,,,,,,,,,,"馬単:1,070円 3連複:1,520円 3連単:5,270円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  芝3170m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,牛若丸ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,北山ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａレデントｰレ, 71,岩田康,, 61,* -3,*  0, 1,  2.9,④②②, 1,13,Ｅウェｰブゴｰルド, 55,菱田裕,, 63,   0,*  0, 2,  3.6,⑧⑧⑦, 1,11, トウショウデザイア,,白浜雄,,,,, 5, 15.5,①③④, 1, 3,Ｃマイネルクロップ, 87,デムｰ,, 88,*  8,* 19, 1,  1.8,③②②
 2,16,Ｊスカイゴｰルド, 46,デムｰ, 0.6, 55,  -4,* -3, 4,  8.9,⑩⑥⑦, 2, 1,Ｋメイショウラリマｰ, 47,国分優, 0.0, 65,  -3,*  6,12, 84.9,⑬⑫⑫, 2, 8, アシュヴィン,,林満明,214.6,,,, 1,  1.7,②①①, 2, 2,Ｆワンダｰアシャｰド, 85,浜中俊, 0.6, 85,*  8,  14, 3,  6.6,④④④
 3, 8,Ｂリスペクトリス, 62,小林徹, 0.6, 56,  -4,  -4, 5,  9.2,③④③, 3,14,Ｃロｰレルトルネｰド, 57,松山弘, 0.3, 58,*  2, -10, 3,  6.6,③③③, 3, 5, マンノプロジェクト,,北沢伸,215.2,,,,11,201.9,⑤⑥⑥, 3, 1,Ａバンブｰリバプｰル, 90,バルジ, 0.6, 85,*  8,  15, 2,  6.5,②③③
 4,14,Ｇランドスタｰ, 48,北村友, 0.7, 54,* -3,  -7,13,136.5,①①①, 4, 8,Ｄマイネボニｰタ, 56,和田竜, 0.3, 61,*  2,  -7, 6, 10.7,④④④, 4, 9, シゲルキョクチョウ,,草野太,215.2,,,, 2,  4.7,⑥⑤③, 4, 4,Ｇドレミファドン, 84,松山弘, 0.7, 85,   7,* 17, 7, 17.0,⑨⑦⑦
 5,12,Ｆシゲルワカサ, 54,国分優, 0.7, 54,  -4,  -4,11,118.2,②⑤④, 5, 2,Ａアドマイヤシｰマ, 61,デムｰ, 0.4, 60,  -1,  -2, 1,  3.3,⑪⑨⑨, 5, 2, ハｰドダダンダン,,森一馬,215.6,,,, 3,  7.3,③②②, 5, 7,Ｄシンゼンレンジャｰ, 86,川島信, 0.9, 84,   7,  15, 5, 10.8,⑤⑧⑧
 6, 6,Ｄゴッドエンペラｰ, 59,小牧太, 1.1, 55,  -6,  -4, 7, 28.3,⑪⑪⑨, 6,15,Ｊモウイイデショウ, 50,森一馬, 0.4, 58,   0,  -8,10, 30.4,⑥⑥⑤, 6, 1, カネスラファｰル,,横山義,215.6,,,, 9, 95.2,⑦④⑤, 6, 6,Ｂキングヒｰロｰ, 90,小牧太, 1.1, 82,   7,  11, 4,  8.0,⑥⑥⑤
 7, 5,Ｃペプチドキングモア, 61,浜中俊, 1.1, 52,  -5,  -6, 3,  4.9,⑥⑦⑥, 7,12,Ｆクｰルジョｰカｰ, 52,荻野琢, 0.5, 59,  -1,  -4, 7, 23.4,⑩⑩⑩, 7, 7, オンワｰドデュｰク,,熊沢重,216.2,,,, 7, 18.5,⑨⑦⑦, 7, 9,Ｅスタｰバリオン, 86,藤岡康, 1.6, 78,   7,   7, 6, 12.2,⑧⑤⑥
 8,15,Ｌレッドフォｰス, 45,菱田裕, 1.2, 51,  -6,  -4, 6, 14.4,⑧⑨⑩, 8, 6,Ｂジャストヴィｰクル, 61,池添謙, 0.5, 60,  -4,*  3, 4,  7.9,⑯⑭⑬, 8,10, ビコｰピリラニ,,田村太,216.5,,,,10,123.9,⑪⑧⑧, 8,10,Ｊワｰルドブルｰ, 72,岩田康, 1.8, 76,*  9,   2, 8, 97.2,①①①
 9, 7,Ｅゼンノブロｰアップ, 56,秋山真, 1.3, 51,  -6,  -6, 8, 30.7,⑦⑧⑪, 9, 4,Ｉロｰレルストｰム, 52,藤岡康, 0.6, 55,*  2, -14, 5, 10.1,②②②, 9, 3, ビｰビｰラッシュ,,山本康,219.2,,,, 8, 31.6,⑧⑨⑨, 9, 8,Ｈシルクシンフォニｰ, 77,松田大, 2.5, 73,   6,   3, 9,220.2,⑦⑨⑨
10, 9,Ｎタイマツリ, 39,熊沢重, 1.5, 55,  -7,  -6,10, 80.2,⑬⑫⑫,10, 3,Ｇメイショウダンロ, 52,岩田康, 0.9, 56,   1, -12, 8, 24.7,⑦⑦⑧,,,,,,,,,,,,,10, 5,Ｉクレバｰサンデｰ, 77,高倉稜, 3.4, 66,   5,  -3,10,256.9,⑩⑩⑩
11, 4,Ｏサウンドシャカラカ, 37,川須栄, 1.5, 50,* -4, -12, 2,  3.7,⑤③⑤,11, 9,Ｈスズカシャトル, 52,太宰啓, 1.1, 52,  -3, -10,13,101.8,⑨⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
12,13,Ｍフルアヘッド, 42,高倉稜, 1.8, 48,  -8,  -6,12,118.5,⑮⑭⑭,12,16,Ｎアイハヴアドリｰム, 44,浜中俊, 1.3, 48,*  3, -27, 9, 26.8,①①①,,,,,,,,,,,,,,,,,,,,,,,,
13, 3,Ｉテイエムスラッガｰ, 47,松田大, 2.2, 46,  -6, -14, 9, 42.7,⑨⑩⑧,13,10,Ｍユウキファイタｰ, 47,秋山真, 1.6, 46,   1, -25,11, 57.8,⑤⑤⑥,,,,,,,,,,,,,,,,,,,,,,,,
14,10,Ｋナリタレッカｰ, 45,川島信, 3.0, 40,  -8, -18,16,316.3,⑫⑬⑬,14,11,Ｐカウガｰルブルｰス, 41,藤懸貴, 2.0, 43,  -5, -17,16,337.2,⑮⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,
15, 1,Ｈバム, 48,森一馬, 3.6, 37, -11, -17,15,310.7,⑯⑮⑮,15, 5,Ｏシゲルノト, 43,古川吉, 2.2, 42,  -3, -24,15,295.1,⑭⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,
16, 2,Ｐビッププリマステラ, 28,黒岩悠, 5.5, 26, -12, -30,14,210.2,⑭⑯⑯,16, 7,Ｌテイエムゴｰジャス, 47,城戸義, 2.6, 38,  -7, -22,14,227.7,⑫⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,
単勝:290円 複勝:11=140円 16=210円 08=210円 枠連:610円,,,,,,,,,,,,"単勝:360円 複勝:13=160円 01=1,720円 14=270円 枠連:450円",,,,,,,,,,,,"単勝:1,550円 複勝:11=330円 08=120円 05=1,820円 枠連:880円",,,,,,,,,,,,単勝:180円 複勝:03=110円 02=150円 01=160円 枠連:520円,,,,,,,,,,,
"馬連:1,070円 ワイド:11-16=430円 08-11=280円 08-16=830円",,,,,,,,,,,,"馬連:18,450円 ワイド:01-13=4,870円 13-14=530円 01-14=10,680円",,,,,,,,,,,,"馬連:1,610円 ワイド:08-11=660円 05-11=15,940円 05-08=3,610円",,,,,,,,,,,,馬連:530円 ワイド:02-03=220円 01-03=200円 01-02=440円,,,,,,,,,,,
"馬単:1,870円 3連複:2,090円 3連単:9,850円",,,,,,,,,,,,"馬単:25,100円 3連複:40,990円 3連単:239,190円",,,,,,,,,,,,"馬単:4,800円 3連複:60,640円 3連単:341,780円",,,,,,,,,,,,"馬単:770円 3連複:610円 3連単:2,000円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,梅花賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2, ウォｰタｰフレアｰ,---,武幸四,, 63,*  0,  -5, 3,  8.5,①①①, 1,10,Ａベルルミエｰル, 69,川島信,, 69,*-17,* 12, 3,  5.2, ③②, 1,10,Ｈヤマノウィザｰド, 59,松山弘,, 81,   3,* 20, 2,  4.5,⑪⑪⑨, 1, 7,Ｇメイショウゾンビ, 76,岩田康,, 78,   3,  12, 3,  9.8, ③③
 2,11, ワｰズオデッセイ,---,鮫島良, 0.1, 64,  -6,*  7,11, 63.9,⑨⑬⑩, 2, 9,Ｇダイヤモンドハイ, 59,武幸四, 0.4, 64,*-16,   6, 2,  5.1, ①①, 2, 2,Ｊワｰルドインパクト, 56,岩田康, 0.0, 80,   3,* 17, 1,  2.2,⑤⑦⑦, 2, 1,Ａアｰスゼウス, 82,デムｰ, 0.0, 77,* 10,   6, 1,  2.6, ①①
 3, 4, オンワｰドハンタｰ,---,秋山真, 0.2, 60,  -5,*  4, 9, 47.5,⑮⑫⑨, 3, 2,Ｄホッコｰサラスタｰ, 63,池添謙, 0.6, 62,*-17,   6, 1,  1.8, ②③, 3, 9,Ｄアドマイヤデウス, 67,和田竜, 0.1, 77,   5,  12, 4,  9.0,⑩⑥④, 3, 3,Ｊゴｰインググレｰト, 73,和田竜, 0.2, 77,   1,  13, 9, 26.7, ⑤⑤
 4, 6, アグネスハピネス,---,菱田裕, 0.8, 53,  -2,  -9, 4,  8.8,⑤④④, 4, 5,Ｃカシノヒカル, 65,小坂忠, 0.7, 62, -21,* 10, 5, 14.2, ⑦⑧, 4, 8,Ａシャンパｰニュ, 71,バルジ, 0.1, 78,   4,  13, 5, 12.3,④⑤⑥, 4,12,Ｆグランプリブルｰ, 76,浜中俊, 0.3, 76,  -3,  16, 2,  4.4, ⑦⑧
 5, 7, マジックホｰガン,---,川須栄, 1.3, 53,  -4,  -9, 5, 12.2,⑪⑧⑥, 5, 1,Ｅナムラアッパｰ, 62,秋山真, 1.0, 59, -20,   5, 4,  8.6, ⑤⑥, 5,11,Ｅグッドスピリッツ, 64,池添謙, 0.2, 80,   3,* 18, 3,  8.0,⑦⑩⑩, 5,15,Ｃキクノグラｰド, 79,秋山真, 0.4, 74,  -3,  15, 4,  9.8, ⑨⑦
 6, 3, クレイジｰジョｰ,---,藤岡康, 1.6, 49,* -1, -18, 1,  2.4,②②②, 6, 3,Ｈクリノジュロウジン, 53,藤懸貴, 1.1, 55, -20,   2,10,252.8, ④④, 6, 5,Ｋオｰルステイ, 55,松田大, 0.4, 72,*  8,  -4,11, 85.0,①①①, 6,10,Ｄアスタｰストｰム, 77,古川吉, 0.4, 74,   3,   8, 5, 10.8, ④④
 7,10, ナムラサウザｰ,---,太宰啓, 1.7, 50,* -1, -18,16,126.1,③③③, 7, 7,Ｉウィットウォｰタｰ, 51,国分優, 1.1, 56, -21,   3, 8, 36.7, ⑥⑤, 7,12,Ｂアグネスミニッツ, 68,菱田裕, 1.2, 67,   3,   0, 6, 12.7,⑥⑧⑧, 7, 4,Ｂカシノインカロｰズ, 80,酒井学, 0.5, 74, -15,* 25, 6, 11.4, ⑭⑭
 8,16, フミノオオゾラ,---,池添謙, 1.7, 49,  -3, -12, 8, 27.6,⑧⑦⑦, 8, 4,Ｆナムラユキヒメ, 59,太宰啓, 1.4, 55, -24,   6, 7, 34.8, ⑩⑩, 8, 6,Ｃハッピｰメモリｰズ, 67,太宰啓, 1.2, 66,   5,  -4,12,201.1,③④⑤, 8,13,Ｍサンライズネガノ, 72,池添謙, 0.5, 73,*  8,   3,11, 30.0, ②②
 9,13, エルモリヤ,---,浜中俊, 2.3, 44,  -2, -21, 2,  3.7,⑥⑤⑤, 9, 8,Ｂテイエムナデュｰラ, 67,酒井学, 1.6, 50, -22,  -1, 6, 23.5, ⑧⑦, 9,13,Ｇディルガ, 59,浜中俊, 2.1, 58,*  6, -19, 7, 15.4,⑨③③, 9,16,Ｅシゲルシゲザネ, 76,藤懸貴, 0.5, 72,  -6,  16,14,161.1, ⑩⑩
10,12, ホットスル,---,城戸義, 2.4, 45,  -5, -15,14, 93.8,⑩⑪⑫,10, 6, パドドゥ,---,佐藤友, 2.6, 37, -25, -11, 9,205.7, ⑨⑨,10, 7,Ｆゴットロブロイ, 60,古川吉, 2.2, 56,*  6, -22, 9, 33.2,②②②,10, 9,Ｉメイショウアキシノ, 74,城戸義, 0.6, 73,  -9,* 18,10, 29.8, ⑪⑪
