14年10月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,清滝特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｌトウケイファルコン, 43,池添謙,, 64,*  6,  -7, 9, 23.9, ③③, 1, 8, スタンドバイミｰ,,林満明,,,,, 1,  1.3,②②①, 1, 6,Ｏタガノスカイ, 64,和田竜,, 81,* 14,*  0, 7, 16.7, ②②, 1,11,Ｂアルバタックス, 80,岩田康,, 80,*  7,*  4, 1,  2.4, ③②
 2,11,Ｂアカリアイドル, 59,岩田康, 0.1, 64,*  8, -10, 2,  4.1, ①①, 2, 7, ダイコウキ,,熊沢重,198.6,,,, 2,  4.0,①①②, 2,13,Ｆベアトリッツ, 71,福永祐, 0.2, 79,   9,*  8, 1,  3.5, ⑮⑯, 2,10,Ａタブレット, 82,福永祐, 0.2, 77,   6,   3, 2,  2.8, ⑤④
 3, 7,Ｃサカジロビュｰティ, 56,小崎綾, 0.5, 59,   2,  -7, 1,  3.8, ⑧⑥, 3, 2, メイショウライウン,,田村太,199.5,,,, 6, 41.5,⑤⑤⑤, 3,16,Ｉダノンルｰジュ, 67,岩田康, 0.4, 76,* 14,  -4, 4,  9.9, ④④, 3, 8,Ｇエタンダｰル, 75,松若風, 0.4, 77,   6,   2, 5, 10.5, ④⑤
 4,16,Ｇモントルルシュマン, 49,和田竜, 0.8, 57,   5, -12, 6, 12.0, ⑤④, 4, 1, リッシュレｰヴ,,金子光,199.7,,,, 3,  9.6,⑥④③, 4,14,Ｊリヴィエｰル, 66,菱田裕, 0.5, 75,  10,*  0,11, 26.8, ⑩⑪, 4, 4,Ｉタマモトッププレイ, 74,藤岡康, 0.6, 73,*  7,  -6, 4, 10.4, ①①
 5, 9,Ａスピｰルダンジュ, 61,義英真, 1.0, 51,  -5,* -4, 4,  6.0, ⑬⑬, 5, 5, シゲルビゼン,,植野貴,201.8,,,, 4, 15.8,④③④, 5,11,Ｂラブラバｰド, 76,川田将, 0.5, 74,  13,  -3, 2,  5.3, ⑨⑧, 5, 1,Ｆアルテ, 75,松田大, 0.6, 74,   6,  -3, 3, 10.1, ②③
 6,10,Ｆメザニン, 50,菱田裕, 1.0, 50, -10,*  0,12, 90.8, ⑮⑮, 6, 6, テイエムマッチョ,,佐久間,203.9,,,, 7, 58.3,⑧⑦⑦, 6,17,Ｇジョｰウォルタｰ, 69,藤田伸, 0.7, 73,  12,  -4,12, 40.7, ⑪⑩, 6, 5,Ｄスズカアンペｰル, 76,藤岡佑, 0.6, 74,   3,*  5,10, 44.7, ⑧⑧
 7, 5,Ｄミツバ, 54,福永祐, 1.0, 53,  -1,  -8, 3,  6.0, ⑩⑦, 7, 3, ブラックエレメント,,石神深,204.0,,,, 8, 74.7,③⑥⑥, 7, 1,Ａサイモンラムセス, 79,松山弘, 0.8, 74,   9,*  1, 3,  6.0, ⑭⑮, 7, 3,Ｅアドマイヤカｰリン, 75,川田将, 0.6, 74,   5,   2, 6, 16.1, ⑦⑦
 8, 4,Ｋアクアブルｰパサｰ, 43,幸英明, 1.1, 51,  -5,  -5, 5,  9.2, ⑭⑧, 8, 4, ロｰオブネイチャｰ,,五十嵐,205.6,,,, 5, 21.2,⑦⑧⑧, 8, 8,Ｈサンライズバｰド, 67,岩崎翼, 0.8, 71,   9,  -1,18,162.2, ⑯⑭, 8, 9,Ｊストロベリｰキング, 73,ペロヴ, 0.6, 75,   3,*  5, 7, 20.9, ⑨⑨
