14年12月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年12月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,妙見山ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａトｰホウレゼルヴ, 72,浜中俊,, 63,* -2,   6, 1,  1.3,①①①, 1,12,Ａアンドリエッテ, 70,川田将,, 66,  -7,* 12, 4,  6.8, ⑪⑫, 1, 9,Ｅファシｰノ, 76,岩田康,, 82,  11,  10, 1,  2.9,⑦⑦⑥, 1,11,Ｂグレイスフルリｰプ, 86,小牧太,, 81,*  4,  15, 2,  4.5, ①①
 2, 6,Ｃココ, 61,戸崎圭, 0.1, 61,* -2,   6, 2,  8.0,③③②, 2, 8,Ｃウェｰブキング, 62,岩田康, 0.3, 61,  -5,*  5, 2,  3.7, ⑨⑨, 2,10,Ｎラルプデュエズ, 71,ビュイ, 0.0, 80,* 13,   1, 8, 19.7,④④②, 2,15,Ｇキングズガｰド, 82,田辺裕, 0.0, 82,   0,* 22, 3,  5.8, ⑩⑩
 3,11,Ｄソウルヴァルキリｰ, 53,和田竜, 0.5, 61,* -3,   4, 5, 15.7,⑤⑤④, 3, 7,Ｌブライトボイス, 52,北村友, 0.5, 57,*  1,  -8, 9, 41.1, ②①, 3, 3,Ｂペンタトニック, 77,藤岡康, 0.1, 82,   7,* 18, 5, 13.4,⑫⑫⑫, 3, 3,Ａワンダｰコロアｰル, 88,川田将, 0.0, 82,   2,  18, 1,  3.3, ⑤⑥
 4,10,Ｂルナツｰ, 62,太宰啓, 0.6, 62,  -5,*  8, 3, 12.8,⑧⑧⑧, 4, 6,Ｎアグネスリュシアン, 49,藤田伸, 0.5, 58,* -1,  -7,17,324.3, ①②, 4,13,Ｆモンテエクリプス, 76,戸崎圭, 0.3, 78,  12,   2, 7, 18.4,⑤⑤④, 4, 4,Ｍアメｰジングタクト, 79,岩田康, 0.2, 80,   1,  18, 4,  7.2, ⑧⑨
 5,12,Ｅタイキアデリナ, 53,国分恭, 0.7, 59,  -6,*  9, 8, 39.8,⑭⑪⑨, 5, 9,Ｆパラダイスリッジ, 56,ビュイ, 0.5, 59,  -6,   3, 1,  2.5, ⑩⑩, 5, 7,Ｑロｰザズカレッジ, 69,デムｰ, 0.3, 76,  12,   0,14, 58.8,③③③, 5,13,Ｃグランプリナイト, 84,戸崎圭, 0.3, 78,   1,  17, 7, 15.5, ⑨⑧
 6, 7,Ｌブリｰズヴェｰル, 45,小崎綾, 1.3, 55,  -6,   3,13,322.7,⑦⑩⑩, 6,11,Ｅピｰスオブジャパン, 58,藤岡康, 0.6, 59,  -8,*  5, 3,  6.8, ⑯⑭, 6, 6,Ａリノリオ, 78,酒井学, 0.3, 79,   8,  11, 6, 14.7,⑪⑪⑪, 6, 2,Ｆアルボナンザ, 82,四位洋, 0.3, 82,  -3,* 22, 5, 11.4, ⑮⑫
 7, 3,Ｇアムｰルサンライズ, 51,川田将, 1.4, 54,* -2,  -4, 6, 24.5,②②③, 7,16,Ｍタイキラトナンジュ, 50,菱田裕, 0.8, 55,  -3,  -5,12, 74.5, ⑧⑧, 7, 4,Ｊエｰデルグランツ, 74,福永祐, 0.5, 77,   9,   6, 3,  6.1,⑧⑨⑧, 7,16,Ｎキョウエイバサラ, 79,ブノワ, 0.3, 76,   3,  15,12, 46.4, ④③
 8,14,Ｊマイティｰフライ, 45,鮫島良, 1.9, 53,  -4,  -5, 7, 27.1,⑥⑦⑥, 8, 5,Ｄテイエムクロタカ, 58,川須栄, 0.8, 57, -10,*  6,10, 41.2, ⑱⑯, 8, 5,Ｄビップレボルシオン, 77,武豊  , 0.6, 78,   4,* 19, 2,  5.7,⑰⑰⑮, 8,10,Ｏシンゼンレンジャｰ, 78,川島信, 0.5, 80,  -8,* 27,16,310.9, ⑯⑯
 9,15,Ｆメイショウアルパ, 53,蛯名正, 2.7, 44,  -4, -14, 4, 13.0,⑨④⑤, 9, 3,Ｊサンライズステラ, 54,和田竜, 1.0, 54,  -7,  -2,15,173.6, ⑮⑪, 9, 2,Ｍベネフィットユｰ, 71,幸英明, 0.7, 77,   8,   7,15,144.6,⑩⑩⑩, 9, 9,Ｅカｰティスバロｰズ, 84,デムｰ, 0.6, 75,*  4,  11,10, 31.3, ②②
10, 5,Ｐヴェンティミリア, 32,岩崎翼, 2.8, 45,  -8,  -6,15,435.1,⑩⑬⑫,10,10,Ｒジニアスミノル, 41,武豊  , 1.3, 50,  -4, -11, 5, 13.4, ⑦⑦,10,15,Ｇアドマイヤウイング, 75,四位洋, 0.7, 75,   9,   3,11, 40.7,⑨⑧⑦, 9,14,Ｐナリタハリケｰン, 77,北村友, 0.6, 77,  -4,  20,14, 84.5, ⑭⑭
11,13,Ｈメイショウワゴコロ, 50,田辺裕, 3.0, 44,  -8,  -7, 9, 49.1,⑮⑭⑪,11,17,Ｏエンパイアライン, 48,四位洋, 1.3, 48,* -1, -19,13, 80.1, ③③,11,17,Ｋマイネルプレッジ, 72,ブノワ, 0.8, 73,* 15, -11,13, 46.4,②②①,11, 5,Ｈタイセイシュバリエ, 81,浜中俊, 0.6, 76,   3,  12, 6, 15.4, ③④
12,16,Ｉアルボルデヴィダ, 46,川島信, 3.3, 42,  -7, -12,14,368.5,⑫⑫⑭,12, 2,Ｑハッピｰキャップ, 44,浜中俊, 1.5, 45,  -2, -19,14,164.0, ④④,12,11,Ｈトウキョウタフガイ, 75,川田将, 0.8, 76,   4,* 15, 9, 23.9,⑮⑯⑯,12, 7,Ｌダノンハラショｰ, 79,川須栄, 0.8, 77,  -4,  19,15,127.6, ⑬⑮
13, 8,Ｍエルフベレｰザ, 42,義英真, 3.4, 40, -10,  -8,12,243.4,⑬⑮⑮,13,13,Ｐノンリケット, 45,小崎綾, 1.6, 47,  -9,  -7,18,411.9, ⑭⑮,13, 1,Ｏトｰホウスマｰト, 71,藤岡佑, 1.2, 71,   7,   6, 4,  7.6,⑭⑮⑭,13, 6,Ｊハｰロンベイ, 80,菱田裕, 0.9, 74,  -2,  16,11, 43.0, ⑪⑬
14, 9,Ｏプリュクベル, 39,松若風, 3.7, 38,  -5, -20,10,119.2,④⑥⑦,14,15,Ｋブルｰスブレイカｰ, 54,デムｰ, 1.8, 43, -12,  -7, 7, 26.6, ⑰⑱,14, 8,Ｌチェイスザゴｰルド, 72,佐久間, 1.4, 69,   6,   1,16,146.8,⑯⑭⑬,14, 1,Ｉオソレイユ, 80,太宰啓, 1.2, 72,   1,   9,13, 60.7, ⑦⑦
15, 1,Ｋチェイスザチャンス, 45,城戸義, 3.9, 42, -16,   0,11,189.2,⑯⑯⑯,15,18,Ｂアルマアネラ, 64,藤岡佑, 1.8, 42,  -1, -22,16,182.3, ⑥⑥,15,16,Ｃクリｰルハヤテ, 77,松若風, 1.5, 65,  12, -16,10, 24.5,⑥⑥⑤,15, 8,Ｄダノンミル, 84,藤岡佑, 1.3, 70,  -2,  12, 9, 23.6, ⑫⑪
16, 4,Ｎスキュラ, 41,藤岡佑, 5.6, 24,  -6, -34,16,451.9,⑪⑨⑬,16, 1,Ｈエルラディユｰ, 56,内田博, 2.2, 40,  -7, -18, 8, 38.9, ⑫⑬,16,12,Ｐクリノダイコクテン, 70,小牧太, 1.7, 67,   5,   0,17,152.1,⑬⑬⑰,16,12,Ｋクラウンロゼ, 79,蛯名正, 1.8, 67,   3,   2, 8, 22.4, ⑥⑤
,,,,,,,,,,,,17,14,Ｇセイウンデライラ, 56,中井裕, 2.2, 40, -10, -14,11, 58.4, ⑬⑰,17,14,Ｒキングデザイヤｰ, 59,和田竜, 8.8,-13,  12, ---,12, 41.8,①①⑨,,,,,,,,,,,,
,,,,,,,,,,,,18, 4,Ｉノミネｰション, 55,戸崎圭, 2.3, 37,  -2, -30, 6, 20.7, ⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,
単勝:130円 複勝:02=110円 06=170円 11=200円 枠連:430円,,,,,,,,,,,,単勝:680円 複勝:12=220円 08=160円 07=820円 枠連:600円,,,,,,,,,,,,"単勝:290円 複勝:09=140円 10=420円 03=320円 枠連:2,890円",,,,,,,,,,,,"単勝:450円 複勝:11=160円 15=150円 03=140円 枠連:1,240円",,,,,,,,,,,
"馬連:490円 ワイド:02-06=240円 02-11=340円 06-11=1,060円",,,,,,,,,,,,"馬連:1,310円 ワイド:08-12=480円 07-12=3,170円 07-08=2,010円",,,,,,,,,,,,"馬連:2,950円 ワイド:09-10=1,120円 03-09=660円 03-10=2,740円",,,,,,,,,,,,"馬連:1,500円 ワイド:11-15=510円 03-11=330円 03-15=400円",,,,,,,,,,,
"馬単:550円 3連複:1,610円 3連単:3,630円",,,,,,,,,,,,"馬単:3,040円 3連複:12,200円 3連単:65,850円",,,,,,,,,,,,"馬単:3,780円 3連複:9,080円 3連単:39,130円",,,,,,,,,,,,"馬単:2,790円 3連複:1,650円 3連単:9,890円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,阪神ｶｯﾌﾟ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｐブルｰムｰン, 31,小崎綾,, 67, -12,* 21, 6, 15.5, ⑫⑫, 1, 4, リアルスティｰル,---,福永祐,, 72, -24,* 26, 1,  1.2, ⑥④, 1,12,Ｇナンヨｰマｰク, 80,岩田康,, 86,*  7,* 18, 5, 10.7,⑤⑥②, 1, 8,Ｐリアルインパクト, 79,ビュイ,, 89,  14,  12, 8, 14.4, ⑦⑥
 2,12,Ｅワンラヴワンハｰト, 53,田辺裕, 0.4, 63,*  3,   3, 9, 27.5, ③③, 2, 6, リベレｰタｰ,---,四位洋, 0.6, 66, -25,* 20, 2,  6.5, ⑨⑦, 2, 3,Ｆディアブルｰダｰ, 81,幸英明, 0.0, 86,*  7,* 18, 2,  3.8,④④①, 2,18,Ｅコパノリチャｰド, 86,武豊  , 0.0, 89,* 16,  11, 3,  7.5, ④④
 3,10,Ｇレンズフルパワｰ, 52,小坂忠, 0.6, 62,  -7,* 10, 4, 11.3, ⑪⑧, 3, 2, メイショウリンクス,---,幸英明, 1.0, 60, -25,  15, 5, 22.9, ⑦⑥, 3, 6,Ｂマルケサス, 83,戸崎圭, 0.6, 83,   5,* 19, 3,  4.8,⑬⑭⑧, 3, 3,Ａダイワマッジョｰレ, 90,デムｰ, 0.0, 89,  14,  14, 5, 11.2, ⑥⑦
 4, 2,Ｉバリキ, 48,松山弘, 0.7, 61,   0,   3, 3,  7.4, ⑤④, 4, 5, ペプチドホｰプフル,---,ビュイ, 1.3, 52,*-23,   4, 6, 34.5, ②②, 4, 4,Ａシュミット, 83,川田将, 0.7, 83,   6,  16, 1,  3.6,⑥⑧⑦, 4, 1,Ｈウリウリ, 84,福永祐, 0.2, 87,  12,  13, 6, 12.6, ⑧⑧
 5, 4,Ｈテイエムマンキチ, 51,国分恭, 1.3, 56,  -7,   5,11, 64.3, ⑩⑩, 5, 3, ゴｰオンハｰト,---,酒井学, 1.5, 53, -24,   6, 9,106.0, ③⑤, 5, 2,Ｈセレッソレアル, 80,国分優, 0.9, 79,   6,  12,10, 30.4,⑦⑦④, 5, 9,Ｆホエｰルキャプチャ, 86,蛯名正, 0.3, 87,   8,* 16, 9, 15.3, ⑮⑮
