14年 5月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 5月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ2100m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 7R  ダ1300m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,緑風ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄヒラリアス, 59,柴田大,, 61,* -2,   0, 4, 10.7, ①①, 1,13,Ｂキネオフォルツァ, 71,北村宏,, 69,   4,*  6, 1,  2.5,⑧⑧⑥, 1, 1,Ｄカワキタシャウト, 71,横山典,, 69,  -8,* 16, 2,  3.4, ⑪⑪, 1, 4,Ｂビｰビｰトレイタｰ, 86,田辺裕,, 88,* -1,* 24, 2,  5.6,③③③
 2, 7,Ｃハビタブルゾｰン, 61,吉田豊, 0.1, 59,  -6,   3, 3,  7.8, ⑤④, 2, 2,Ｅウェルヴァｰスト, 63,吉田豊, 0.1, 70,*  6,   2, 4,  7.4,①①①, 2, 5,Ｊラヴィｰズバｰド, 68,三浦皇, 0.0, 69,  -4,  11,11, 45.3, ④④, 2,10,Ｎスｰサングレｰト, 69,横山和, 0.0, 83,*  0,  18, 8, 21.0,①①①
 3,12,Ｋビオレント, 49,大野拓, 0.1, 60,  -8,*  6,15,183.5, ⑧⑩, 3, 5,Ａオペラハット, 71,横山典, 0.1, 71,*  6,*  5, 2,  4.2,④④④, 3,15,Ｋニュアｰジゲラン, 68,吉田豊, 0.2, 68, -10,* 16, 8, 31.7, ⑭⑮, 3, 8,Ｆアウォｰディｰ, 82,横山典, 0.0, 90,  -2,* 30, 3,  5.7,⑪⑪⑪
 4, 2,Ａデルマアラレチャン, 64,戸崎圭, 0.2, 58,  -8,*  4, 1,  1.7, ⑥⑥, 4,15,Ｍトリレンマ, 54,横山和, 0.6, 66,*  6,  -2,11, 71.5,②②②, 4,10,Ｃセイントチャンス, 72,横山和, 0.2, 67,  -6,  11,10, 45.3, ⑦⑦, 4,12,Ｄステラウインド, 83,北村宏, 0.2, 85,* -1,  20, 4,  5.9,⑦⑥⑤
 4,16,Ｅアインクラング, 58,蛯名正, 0.2, 58,* -4,   0, 2,  5.5, ②②, 5,10,Ｄシゲルヒュウガ, 63,柴田大, 0.7, 66,   3,*  4, 5, 14.7,⑫⑫⑨, 5,16,Ｂタイキグラミｰ, 72,石橋脩, 0.3, 66,* -3,   7, 9, 33.1, ③③, 5, 6,Ｅレコンダイト, 82,蛯名正, 0.4, 85,* -1,  20, 5,  7.2,⑤⑤⑦
 6, 4,Ｇシュメリア, 55,内田博, 0.2, 59,  -8,*  5, 6, 15.6, ⑦⑨, 6, 7,Ｆレオウィッシュ, 62,江田照, 1.3, 62,   4,  -3,10, 54.8,⑦⑦⑦, 6, 9,Ｇマイネルブルズアイ, 69,柴田大, 0.3, 68,* -3,   7, 4, 11.0, ②②, 6,11,Ｍアップルジャック, 71,江田照, 0.4, 80,*  0,  15,15,232.4,②②②
 7, 5,Ｈナイスエモｰション, 54,田中勝, 0.7, 56, -10,   4, 9, 47.6, ⑫⑫, 7, 3,Ｇヴァｰルハイト, 59,石橋脩, 1.3, 62,*  5,  -6, 9, 32.5,⑤⑤⑤, 7,11,Ｌハイフロンティア, 67,内田博, 0.4, 66,  -6,  10, 7, 20.2, ⑩⑨, 7, 3,Ｃシャドウパｰティｰ, 84,戸崎圭, 0.4, 83,  -2,  21, 1,  3.6,⑥⑦⑧
 8, 6,Ｊドナカンパニュラ, 51,井上敏, 0.8, 54,  -5,  -4, 7, 33.1, ③③, 8,12,Ｃデルマコテツ, 65,戸崎圭, 1.6, 61,   4,  -4, 3,  5.0,⑪⑨⑩, 8,13,Ｆフランチャイズ, 70,田辺裕, 0.6, 64, -11,* 14, 6, 17.9, ⑯⑯, 8,14,Ｈメイショウタマカゼ, 81,大野拓, 0.5, 81,* -1,  16,11, 33.4,④④④
