14年 4月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 4月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陽春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂブロンクスシルバｰ, 62,国分恭,, 52,  -2,   1, 1,  2.9,⑥④③, 1, 1,Ｃデンコウセキトバ, 61,太宰啓,, 65,* -3,  -2, 5,  8.5, ①①, 1,16,Ｂネオアレクサンドラ, 73,秋山真,, 66,  -3,* 11, 6, 25.6, ⑮⑬, 1, 2,Ｆメイショウノｰベル, 80,幸英明,, 81,   8,   9, 5,  7.6, ⑤④
 2,15,Ｃウィアｰワン, 59,池添謙, 0.0, 51,* -1,  -1, 3,  4.2,②②②, 2,13,Ａハイベストバイオ, 64,酒井学, 0.0, 66,* -5,   1, 2,  5.1, ②②, 2,12,Ｅキングベイビｰ, 70,松若風, 0.1, 67,   0,*  7, 3,  5.0, ⑪⑪, 2,12,Ｊドリｰムコンサｰト, 79,小牧太, 0.0, 82,* 11,   7, 2,  5.9, ③③
 3, 1,Ｆウインクルミラクル, 56,武幸四, 0.2, 58,  -4,*  6,11, 38.4,⑫⑫⑩, 3,15,Ｂファイアｰシチｰ, 62,岩崎翼, 0.4, 66, -13,*  8, 6, 10.9, ⑮⑭, 3, 3,Ｄビリオネア, 71,太宰啓, 0.3, 67,   4,   0, 4, 13.7, ⑦④, 3, 6,Ｂフルヒロボｰイ, 84,藤岡佑, 0.1, 79,   3,  13, 1,  2.5, ⑨⑧
 4,13,Ｇコウエイテンペスタ, 55,北村友, 0.4, 50,*  0,  -5, 8, 25.9,①①①, 4, 4,Ｍマイネルサルト, 45,和田竜, 0.6, 61,  -7,  -5,11, 34.4, ④④, 4, 5,Ｌメイショウヒメユリ, 64,武幸四, 0.6, 66,   0,   4, 8, 30.6, ⑫⑩, 4, 7,Ｇアマノレインジャｰ, 80,国分優, 0.6, 75,  -1,  13,16,152.0, ⑫⑫
 5, 3,Ｉピアノコンクｰル, 53,松若風, 0.8, 48,  -2,  -5,10, 27.5,③⑤④, 5,16,Ｊキネオソレイユ, 50,三浦皇, 0.7, 61, -10,  -1, 9, 21.4, ⑨⑨, 5,14,Ｃセトノミッシｰ, 72,幸英明, 0.7, 65,   5,  -4, 2,  3.5, ⑥⑤, 5, 9,Ｎクランチタイム, 77,高田潤, 0.6, 75,   1,  11,15,143.2, ⑪⑨
 6,11,Ｌパラディドル, 50,太宰啓, 0.8, 50,* -1,  -6, 9, 27.0,④③⑤, 6, 7,Ｄフォルシャｰ, 60,小牧太, 0.8, 61, -13,*  2, 1,  4.7, ⑭⑬, 6, 6,Ｇウインドクラスト, 68,三浦皇, 0.8, 62,*  6,  -6, 5, 14.4, ③③, 6, 3,Ｈレギス, 79,松山弘, 0.7, 75,   8,   3, 3,  6.2, ⑥⑥
 7, 9,Ｊタガノホｰネット, 51,藤岡佑, 0.8, 51,  -4,   2,14,113.5,⑨⑬⑬, 7, 9,Ｋモウイイデショウ, 47,松若風, 0.9, 57,  -9,  -5,14, 85.5, ⑥⑧, 7, 7,Ｆアルティメイト, 68,鮫島良, 0.8, 63,   1,  -1,11, 72.5, ⑩⑧, 7,13,Ｋヤマノサファイア, 79,義英真, 0.8, 75,  -7,* 18,11, 58.3, ⑯⑯
 8, 4,Ｏララエクレリゼ, 39,和田竜, 0.8, 50,  -2,  -3, 5, 17.3,⑧⑧⑦, 8,10,Ｆアズマムｰン, 53,北村友, 0.9, 59, -12,  -2,10, 22.1, ⑫⑩, 8,11,Ｉテイエムオデッセイ, 67,国分優, 0.9, 60,  -3,   4,15,295.1, ⑭⑮, 8, 5,Ｉアルベルティ, 79,田中健, 0.8, 73,  -5,* 15,12, 88.0, ⑭⑭
 9, 8,Ｋメイショウマツシマ, 51,幸英明, 0.9, 50,  -3,  -3,13, 69.8,⑩⑩⑧, 9, 6,Ｇユウキファイタｰ, 53,秋山真, 0.9, 57,  -9,  -6, 7, 18.8, ⑤⑤, 9, 4,Ｐオリエンタルリリｰ, 54,小牧太, 1.2, 59,   4,  -8, 9, 31.9, ④⑥, 9,10,Ａメイショウロフウ, 88,武幸四, 0.8, 76,* 11,   0, 4,  6.8, ②②
10, 5,Ａシゲルサヌキ, 64,義英真, 0.9, 51,  -7,*  6, 4, 12.6,⑯⑯⑮,10,14, エイシンツバメ,---,藤田伸, 1.0, 55,  -9,  -8, 3,  5.2, ⑦⑥,10,10,Ｊディレットリｰチェ, 65,松山弘, 1.2, 57,  -3,   0,10, 32.6, ⑯⑭,10,11,Ｌミッキｰホワイト, 78,北村友, 0.9, 72,  -3,  12, 9, 37.0, ⑬⑬
