14年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ2100m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深秋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａアグスタ, 73,戸崎圭,, 63,   1,* -1, 1,  1.4, ⑪⑨, 1, 6, ドリｰムヒｰロｰ,,北沢伸,,,,, 1,  1.9,④⑤④, 1,10,Ｂマイネオレンジ, 74,柴田大,, 72,*  4,   6, 1,  1.9, ③③, 1,12,Ｅドラゴンピｰス, 81,伊藤工,, 84,   7,* 21,11, 34.2,⑯⑮⑬
 2,12,Ｃポルトボナｰル, 65,木幡初, 0.2, 62,   1,* -3, 3,  8.3, ⑩⑧, 2, 4, ジオメトリｰ,,横山義,203.4,,,, 3,  8.5,⑥⑥③, 2,11,Ｃダブルファンタジｰ, 74,吉田豊, 0.1, 70,   3,   7, 5,  9.8, ⑦⑤, 2, 3,Ａエルマンボ, 84,石橋脩, 0.4, 80,*  8,  12, 3,  5.4,③③③
 3,16,Ｂスルｰプオブウォｰ, 67,後藤浩, 0.4, 59,   2,  -6, 2,  5.5, ⑦④, 3, 1, マイネルミランダス,,山本康,203.8,,,, 4,  9.6,①①①, 3,13,Ｅエドノプリンセス, 70,石川裕, 0.3, 70,   1,*  8, 4,  9.2, ⑩⑩, 3, 6,Ｆヴィッセン, 81,戸崎圭, 0.6, 79,*  9,   9, 5,  8.8,②②②
 4,14,Ｅドラゴンパイロ, 57,吉田豊, 0.7, 57,   1,  -7, 7, 22.1, ⑨⑦, 4,14, シップウハヤト,,小坂忠,204.2,,,, 5, 11.1,⑤③②, 4, 4,Ｇフレンドスイｰト, 69,柴田善, 0.4, 68,   4,   5, 9, 43.4, ⑥④, 4, 1,Ｂサンライズウェイ, 84,松岡正, 0.6, 80,   8,  13, 2,  4.7,⑥⑥⑤
 5, 2,Ｇビレッジカリビアン, 56,丸山元, 1.0, 57,  -1,  -7, 9, 80.9, ⑧⑩, 5, 8, オリオンザアルファ,,蓑島靖,204.7,,,, 2,  4.4,⑦⑦⑥, 5, 6,Ｄクレバｰパルマ, 71,丸山元, 0.5, 70,  -4,* 13, 8, 36.0, ⑯⑯, 5,13,Ｃクラｰロデルナ, 82,横山典, 0.7, 77,*  9,   9, 1,  4.3,④④④
 6,15,Ｌコスモムルジム, 40,柴田大, 1.0, 58,   2, -11,10,119.9, ③③, 6, 3, リバｰタイキ,,植野貴,205.6,,,, 6, 13.4,②④⑦, 6, 9,Ｆファンディｰタ, 70,松岡正, 0.9, 67,  -1,   7, 7, 35.4, ⑫⑬, 6, 2,Ｉアドマイヤイバマ, 79,内田博, 1.0, 78,   8,  10, 7, 16.0,⑤⑤⑧
 7,13,Ｆレベニュｰ, 57,嘉藤貴, 1.1, 53,   1, -10, 4, 16.4, ⑥⑥, 7,12, リネンハウス,,原田和,205.7,,,, 7, 17.3,⑨⑧⑤, 7, 5,Ａサクラフロｰラ, 75,大野拓, 1.1, 63,*  5,  -4, 2,  4.7, ①①, 7,15,Ｇマトリョｰシカ, 79,高倉稜, 1.3, 75,*  9,   3, 6, 14.1,①①①
 8, 3,Ｈセイカアヴァンサ, 52,石橋脩, 1.1, 57,  -4,* -1,14,267.1, ⑫⑬, 8, 7, スタｰファンタジア,,浜野谷,208.3,,,,12,167.6,⑧⑨⑧, 8,15,Ｈパッシオｰネラヴィ, 65,北村宏, 1.2, 62,   1,  -1, 6, 14.3, ⑨⑧, 8,16,Ｐデグニティクロｰズ, 74,江田照, 1.3, 75,   8,   7,12, 42.8,⑦⑨⑨
 9, 9,Ｍモエレプロシｰド, 39,北村宏, 1.7, 52,*  4, -19, 5, 19.3, ②②, 9, 2, タイヨウロマン,,金子光,209.3,,,,11,166.4,⑪⑩⑪, 9, 8,Ｍジャストフレンズ, 59,黛弘人, 1.5, 63,  -2,   2,16,286.9, ⑭⑮, 9,11,Ｊロゼッタストｰン, 78,中谷雄, 1.4, 75,   7,   7,13, 59.2,⑪⑫⑪
10, 5,Ｉアルテエゴ, 47,伴啓太, 2.4, 46,*  4, -26,13,251.4, ①①,10, 9, タカラキャメロン,,石神深,209.4,,,,13,179.0,⑫⑬⑫,10,12,Ｌモントボｰゲン, 61,戸崎圭, 1.6, 59,   0,  -1, 3,  9.0, ⑪⑪,10, 7,Ｍマキノクィｰン, 75,吉田豊, 1.5, 74,   7,   8, 9, 32.8,⑩⑪⑫
11, 1,Ｄナスノセイカン, 61,横山典, 2.4, 45,   1, -22, 6, 20.0, ④⑤,11, 5, プリティピンク,,田村太,209.7,,,,14,254.6,⑩⑪⑨,11,14,Ｐノンブルドｰル, 25,長岡禎, 1.9, 58,*  4,  -9,10, 70.5, ④⑥,11, 4,Ｄゲルマンシチｰ, 81,後藤浩, 1.5, 74,   7,   6, 4,  5.6,⑧⑧⑩
12, 6,Ｎマンオブラマンチャ, 38,横山和, 2.4, 47,  -9,  -6,16,334.9, ⑯⑯,12,10, タイキサクセション,,五十嵐,210.8,,,, 9, 53.6,⑬⑫⑩,12, 2,Ｋマカゼコイカゼ, 63,横山和, 2.1, 57,   2,  -7,11, 87.5, ⑧⑨,12,10,Ｋワンダフルニュｰス, 76,北村宏, 1.6, 73,   8,   4, 8, 18.2,⑬⑩⑦
13, 4,Ｋダイメイエンパイア, 42,高倉稜, 2.4, 48,  -6, -10,12,215.2, ⑮⑭,13,11, コスモラヴコｰル,,鈴木慶,217.0,,,,10,111.1,⑭⑭⑬,13, 7,Ｉスピｰディｰドｰタ, 65,伴啓太, 2.4, 52,*  4, -15,14,105.7, ②②,13, 9,Ｌブルｰボサノヴァ, 75,丸田恭, 1.7, 73,   6,   7,10, 33.2,⑫⑭⑮
14,10, スギノクレステｰジ,---,大野拓, 2.9, 44,  -6, -15,11,152.6, ⑭⑮,,,,,,,,,,,,,14, 1,Ｊハルコマチ, 65,西田雄, 2.6, 52,   2, -14,13, 96.2, ⑤⑦,14, 5,Ｈネオヴェリｰブル, 79,柴田善, 1.8, 73,   5,   9,14,104.2,⑮⑯⑯
15, 7,Ｏミキノブシドウ, 22,西田雄, 3.2, 43,  -3, -22,15,309.2, ⑤⑫,,,,,,,,,,,,,15, 3,Ｎユキノビリｰブ, 58,嶋田純, 2.6, 52,  -1,  -8,15,114.2, ⑮⑭,15,14,Ｏフォンテｰヌブロｰ, 74,木幡初, 1.9, 71,*  8,   0,16,206.4,⑨⑦⑥
16, 8,Ｊトｰセンビｰライン, 45,武士沢, 3.4, 39,  -1, -26, 8, 75.3, ⑬⑪,,,,,,,,,,,,,16,16,Ｏマイカｰニバル, 55,柴山雄, 3.3, 45,   0, -16,12, 93.4, ⑬⑫,16, 8,Ｎマイネルティンラン, 74,柴田大, 2.2, 71,   6,   3,15,162.5,⑭⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,
単勝:140円 複勝:11=110円 12=150円 16=120円 枠連:560円,,,,,,,,,,,,単勝:190円 複勝:06=120円 04=170円 01=200円 枠連:520円,,,,,,,,,,,,単勝:190円 複勝:10=110円 11=210円 13=210円 枠連:430円,,,,,,,,,,,,"単勝:3,420円 複勝:12=900円 03=260円 06=400円 枠連:4,590円",,,,,,,,,,,
馬連:550円 ワイド:11-12=220円 11-16=180円 12-16=390円,,,,,,,,,,,,馬連:710円 ワイド:04-06=300円 01-06=510円 01-04=850円,,,,,,,,,,,,馬連:700円 ワイド:10-11=290円 10-13=380円 11-13=880円,,,,,,,,,,,,"馬連:8,770円 ワイド:03-12=2,850円 06-12=6,820円 03-06=1,410円",,,,,,,,,,,
"馬単:730円 3連複:730円 3連単:2,210円",,,,,,,,,,,,"馬単:940円 3連複:1,880円 3連単:4,460円",,,,,,,,,,,,"馬単:960円 3連複:1,640円 3連単:5,030円",,,,,,,,,,,,"馬単:21,730円 3連複:34,140円 3連単:260,210円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,霜月ｽﾃｰｸｽ,,,,,,,,,,
