14年 4月26日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 4月26日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝2770m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伏拝特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃサンレイクウッド, 62,菱田裕,, 61,* -1,   0, 3,  5.5, ②②, 1,11, ソンブレロ,,高田潤,,,,, 2,  3.7,⑥⑤③, 1, 6,Ｂマダムジルウェット, 60,吉田隼,, 67,* -3,   6, 2,  3.4,②②②, 1,16,Ａサンライズポパイ, 69,川須栄,, 67,* -5,  14, 2,  6.8, ①①
 2, 4,Ｂアイノデンドウシ, 66,後藤浩, 0.0, 63,  -6,*  8, 2,  4.7, ⑦⑦, 2,14, トｰセンレインボｰ,,浜野谷,183.1,,,, 4,  9.4,①①①, 2, 5,Ｈサンアグライア, 52,勝浦正, 0.0, 69,* -3,   5, 5, 16.3,①①①, 2,15,Ｇショウナンバグｰス, 63,柴田善, 0.4, 63,* -8,  11, 4,  8.5, ③③
 3,15,Ｆラヴァｰサクラ, 57,柴山雄, 0.1, 60,  -3,   1, 5,  9.5, ④④, 3, 4, ドリｰムピｰス,,草野太,183.7,,,, 5, 10.9,⑤④④, 3, 7,Ｅロッカバラｰド, 56,柴田善, 0.1, 73,  -7,* 14, 3,  6.4,⑤⑥⑤, 3, 5,Ｎアラカメジョウ, 60,和田竜, 0.4, 63,* -9,  13, 6,  8.7, ②②
 4,11,Ｈミスズモンブラン, 56,国分恭, 0.4, 57, -13,*  7, 9, 20.8, ⑪⑨, 4, 7, プロジェクトブルｰ,,石神深,183.8,,,, 8, 20.3,⑦⑥⑥, 4,12,Ａブラウ, 61,木幡初, 0.5, 63,* -5,   2, 4, 11.7,③③④, 4, 2,Ｏタツフラッシュ, 59,丸山元, 0.5, 61, -12,  14,16,154.3, ④⑥
 5, 7,Ｇキｰアイテム, 57,戸崎圭, 0.6, 55, -10,   3, 4,  6.2, ⑩⑧, 5,10, キｰプトライン,,横山義,184.5,,,, 1,  3.4,④②②, 5,11,Ｃデュアルインパクト, 58,戸崎圭, 0.6, 66, -10,* 11, 1,  2.2,⑬⑪⑧, 5, 4,Ｍフィｰルドメジャｰ, 61,松山弘, 0.5, 62, -10,  13, 9, 23.4, ⑤④
 6, 2,Ａウェイトアンドシｰ, 69,黛弘人, 0.6, 56,  -4,  -2, 1,  3.7, ⑤⑤, 6, 1, カワキタバルク,,小野寺,186.3,,,,13, 88.5,⑩⑧⑧, 6, 8,Ｄユズノカオリ, 57,津村明, 0.7, 61,  -7,   4, 6, 17.6,⑧④③, 6, 1,Ｂユキノラムセス, 68,木幡初, 0.5, 63, -14,* 16, 5,  8.5, ⑦⑪
 7, 1,Ｊセイスナッピｰ, 51,川須栄, 0.7, 57,* -1,  -6, 7, 16.1, ①①, 7, 8, メイショウタｰビン,,難波剛,187.2,,,, 3,  4.4,③⑦⑦, 7, 9,Ｊカンタベリｰラウス, 49,西田雄, 1.8, 49,  -9,  -9,15,309.8,⑥⑨⑦, 7, 9,Ｊクレムリンシチｰ, 61,柴田未, 0.7, 59, -17,* 16,11, 48.8, ⑭⑯
 8, 5,Ｌヒシイパネマ, 40,岩崎翼, 0.7, 54,  -5,  -3,12,103.8, ⑥⑥, 8, 3, ジｰブラック,,黒岩悠,187.4,,,, 6, 17.3,②③⑤, 8, 2, プラウドウルフ,---,木幡初, 1.8, 59, -18,* 11, 9, 60.5,⑯⑯⑯, 8, 8,Ｋチェリｰペトルズ, 61,吉田隼, 0.8, 59, -21,* 19, 8, 22.2, ⑯⑮
