14年 4月26日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 4月26日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝2770m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
 9, 6,Ｄワンダｰライツ, 59,藤岡康, 1.1, 52,* -1,  -9, 8, 16.9, ③③, 9, 2, ダムｰルフォンテン,,蓑島靖,188.8,,,,14,105.1,⑫⑪⑪, 9,13,Ｇカワキタアロｰ, 56,丸山元, 1.9, 47,  -7, -12, 7, 19.5,⑨⑦⑨, 9, 7,Ｄクリアモｰメント, 66,浜中俊, 0.8, 58, -14,  13, 3,  7.2, ⑨⑧
10,13,Ｅコウヨウシャトｰ, 58,柴田善, 1.2, 50, -16,   4, 6, 12.4, ⑭⑪,10, 9, ヴァリュｰビジョン,,五十嵐,189.6,,,, 9, 30.9,⑧⑨⑨,10,16,Ｆドリｰムジュエリｰ, 56,中井裕, 2.0, 48, -10,  -9, 8, 25.6,⑫⑫⑩,10,10,Ｃドラゴンサクラ, 66,戸崎圭, 0.9, 57, -17,  14, 7,  9.3, ⑮⑭
11,14,Ｋファイナルダンサｰ, 44,松田大, 1.9, 44, -20,   0,14,186.0, ⑮⑮,11, 5, ミニ,,植野貴,190.6,,,,10, 42.6,⑨⑩⑩,11, 4, マイネルボランタス,---,丹内祐, 2.0, 49,  -9,  -8,13,255.5,⑩⑩⑪,11,13,Ｈサマニトップレディ, 62,池添謙, 0.9, 55, -12,   9,13, 74.1, ⑥⑤
12,10,Ｎハクユウジャック, 39,中舘英, 2.0, 45, -15,  -4,11, 98.0, ⑫⑬,12,12, ティリアンパｰプル,,金子光,197.8,,,,12, 81.9,⑬⑫⑫,12,10,Ｋブラックグランデ, 33,江田照, 2.1, 45,  -9, -13,16,312.2,⑪⑧⑥,12, 3,Ｐリメンバｰメジロ, 55,吉田豊, 0.9, 58, -13,  10,14, 75.2, ⑧⑦
13, 9,Ｉアルレジェンヌ, 55,小崎綾, 2.1, 42, -10, -11,10, 28.5, ⑨⑫,13, 6, サニｰロック,,高野和,201.2,,,,11, 52.4,⑪⑬⑬,13, 1, ノｰブルキャロル,---,吉田豊, 2.6, 46, -14,  -7,11,196.7,⑮⑮⑭,13,11,Ｌヤサカオディｰル, 61,的場勇, 1.0, 55, -13,   9,15, 84.6, ⑪⑨
14,12,Ｍエランバイタル, 39,宮崎北, 2.5, 39,  -9, -15,16,224.0, ⑧⑩,,,,,,,,,,,,,14,14,Ｉユｰガッタフレンド, 51,中舘英, 2.8, 35,  -6, -28,10, 99.8,④⑤⑫,14,12,Ｆサチノリｰダｰス, 66,菱田裕, 1.1, 54, -14,   9, 1,  3.2, ⑩⑬
15, 8, タｰンザタッセル,---,木幡初, 3.4, 29, -30,  -5,13,104.3, ⑯⑯,,,,,,,,,,,,,15,15, ハヤブサキセキ,---,岩崎翼, 2.9, 36, -12, -19,14,297.0,⑭⑬⑬,15, 6,Ｅデンコウスカイ, 66,田中博, 1.1, 53, -17,  11,10, 31.9, ⑬⑫
16,16,Ｏレッドアンコｰル,  8,石川裕, 4.0, 25, -15, -22,15,220.8, ⑬⑭,,,,,,,,,,,,,16, 3, リゼコｰフィｰ,---,小崎綾, 3.2, 33, -13, -21,12,204.8,⑦⑭⑮,16,14,Ｉトｰホウジュリア, 61,江田照, 1.7, 44, -14,   1,12, 50.3, ⑫⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:2),,,,,,,,,,,
"単勝:550円 複勝:03=180円 04=160円 15=310円 枠連:1,290円",,,,,,,,,,,,"単勝:370円 複勝:11=150円 14=220円 04=300円 枠連:1,550円",,,,,,,,,,,,"単勝:340円 複勝:06=150円 05=440円 07=210円 枠連:3,140円",,,,,,,,,,,,"単勝:680円 複勝:16=220円 15=250円 05=280円 枠連:1,730円",,,,,,,,,,,
"馬連:1,080円 ワイド:03-04=450円 03-15=870円 04-15=970円",,,,,,,,,,,,"馬連:2,280円 ワイド:11-14=830円 04-11=740円 04-14=940円",,,,,,,,,,,,"馬連:3,240円 ワイド:05-06=1,020円 06-07=430円 05-07=1,510円",,,,,,,,,,,,"馬連:1,860円 ワイド:15-16=670円 05-16=1,050円 05-15=930円",,,,,,,,,,,
"馬単:2,390円 3連複:4,620円 3連単:21,320円",,,,,,,,,,,,"馬単:3,870円 3連複:5,320円 3連単:24,930円",,,,,,,,,,,,"馬単:5,780円 3連複:4,590円 3連単:29,720円",,,,,,,,,,,,"馬単:3,830円 3連複:5,240円 3連単:27,680円",,,,,,,,,,,
■ 2R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝3380m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 8R  芝1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1800m 4歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福島牝馬ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂホワイトマニキュア, 62,木幡初,, 65,  -4,*  7, 5, 10.5,⑫⑦⑧, 1,11, ビｰビｰラッシュ,,五十嵐,,,,,10, 46.6,⑩⑩④, 1,11,Ｏリバティｰホｰル, 56,西田雄,, 73,   6,   1,16,569.4, ⑥③, 1, 6,Ｂケイアイエレガント, 88,吉田豊,, 83,* 12,  10, 5,  9.0,①①①
 2, 8,Ｄマイネボニｰタ, 61,和田竜, 0.0, 67,  -3,*  6, 1,  3.1,⑧⑥⑥, 2, 9, カシマシンセイ,,山本康,225.6,,,, 4,  8.0,③②②, 2,15,Ｅプリンセスムｰン, 67,勝浦正, 0.0, 73,   7,  -1, 2,  3.5, ④④, 2, 7,Ｅキャトルフィｰユ, 87,後藤浩, 0.0, 83,*  9,  15, 2,  4.7,④④④
 3,16,Ｅアンナミルト, 57,石橋脩, 0.5, 59,* -2,  -4, 2,  3.5,③③④, 3, 4, ニジブルｰム,,小坂忠,225.8,,,, 1,  2.8,④①①, 3, 4,Ｇカシノワルツ, 66,二本柳, 0.4, 66,  -5,*  6, 7, 21.5, ⑫⑬, 3,14,Ｎフィロパトｰル, 76,津村明, 0.2, 79,* 10,   9,16,123.9,②②②
 4, 3,Ｃヒルデガルト, 61,吉田隼, 0.7, 57,  -3,  -4, 3,  5.9,⑭⑧⑤, 4, 5, アドマイヤツバサ,,高田潤,226.3,,,, 2,  3.8,⑦⑦⑤, 4,13,Ｌネオヴィクトリア, 59,松山弘, 0.5, 66,   1,  -2,10, 37.5, ⑧⑦, 4, 1,Ｐウインプリメｰラ, 73,和田竜, 0.2, 84,   7,* 19,10, 36.1,⑨⑩⑨
 5,15,Ｊマイネソルプレｰザ, 46,津村明, 0.8, 56,  -4,  -5,12,163.8,④⑤③, 5, 2, リリｰスバｰジョン,,横山義,226.4,,,,13, 80.4,⑪⑪⑨, 5,14,Ｂダイワカリエンテ, 71,丸田恭, 0.5, 65,  -1,   1, 8, 29.2, ⑪⑨, 5,10,Ｈトｰセンアルニカ, 84,池添謙, 0.2, 83,   4,* 25, 7, 13.0,⑭⑯⑯
 6, 4,Ｎトｰセンプリエｰル, 37,柴田善, 0.8, 59,  -8,*  4, 9, 27.5,⑨⑩⑩, 6, 3, ミヤコデラックス,,上野翔,227.7,,,,12, 78.4,⑨⑤③, 6, 7,Ｍコウジンコラボ, 57,丸山元, 0.6, 64,   1,  -3,15,431.7, ⑦⑧, 6, 8,Ｇトｰセンベニザクラ, 85,江田照, 0.3, 81,   5,* 19,11, 39.1,⑫⑫⑪
 7, 6,Ｉロセウス, 47,吉田豊, 0.9, 61,  -9,*  6,13,177.4,⑪⑫⑪, 7, 7, テイエムブユウデン,,林満明,227.9,,,, 7, 19.0,⑬⑫⑩, 7, 6,Ｊロマネクイｰン, 63,中舘英, 0.6, 65,*  8,  -9, 4, 11.1, ②②, 7, 4,Ｆレイカｰラ, 85,石橋脩, 0.4, 80,   8,  12, 3,  6.5,⑦⑤⑤
 8, 1, キクノブランカ,---,藤岡康, 1.5, 54,  -9,   0,10, 45.0,⑬⑮⑬, 8, 6, テンジンキヨモリ,,江田勇,227.9,,,, 9, 32.1,⑤⑥⑧, 8,10,Ｋトウシンヴィｰナス, 63,高倉稜, 0.7, 63,  -1,  -1,12, 64.8, ⑩⑩, 8, 5,Ｏセキショウ, 74,勝浦正, 0.5, 78,*  9,   8,14, 95.2,③③③
 9,13,Ｈマロンブｰケ, 49,丸田恭, 1.5, 46,* -1, -20, 7, 13.0,①①①, 9,13, フリｰダムシチｰ,,草野太,227.9,,,, 8, 21.5,⑧⑨⑦, 9,16,Ｄグラントリノ, 68,宮崎北, 0.7, 62,  -5,   2,13,165.9, ⑭⑪, 9,11,Ｊフロアクラフト, 82,松山弘, 0.6, 78,   6,  13, 8, 16.6,⑩⑪⑩
10, 2,Ｋトゥｰレドゥｰ, 45,西村太, 1.5, 50,  -5, -10,14,210.0,⑦⑨⑨,10, 8, オウケンウッド,,エノン,228.2,,,, 5,  9.4,②④⑥,10, 5,Ｈレッドムｰヴ, 64,藤岡康, 0.8, 60,  -8,*  3, 6, 20.4, ⑮⑮,10, 2,Ａアロマティコ, 89,浜中俊, 0.6, 77,   5,  15, 1,  3.6,⑮⑬⑬
11,14,Ｍモンシェル, 39,黛弘人, 1.9, 51,  -7,  -5,15,335.5,⑮⑭⑫,,,,,,,,,,,,,11,12,Ｆファインスマッシュ, 66,荻野琢, 0.8, 61,  -8,*  4, 5, 19.4, ⑯⑭,11, 3,Ｄクラウンロゼ, 87,丸田恭, 0.8, 73,   8,   8,12, 44.9,⑤⑧⑧
12,12,Ａミヤビソｰダライト, 73,後藤浩, 2.0, 44,* -1, -27, 4,  9.6,②②②,,,,,,,,,,,,,12, 3,Ｐクリノモンテロｰザ, 56,柴山雄, 0.9, 60,  -2,  -3,14,317.1, ⑨⑫,12,12,Ｋサトノジュピタｰ, 81,戸崎圭, 0.9, 74,   5,  12, 4,  8.8,⑬⑭⑮
13,11,Ｇヘヴンリｰシチｰ, 51,嶋田純, 3.2, 35,  -7, -29, 8, 27.0,⑥⑪⑭,,,,,,,,,,,,,13, 2,Ａエｰシンエムディｰ, 73,松田大, 1.0, 61,* 11, -17, 1,  2.2, ①①,13, 9,Ｌミヤコマンハッタン, 80,柴山雄, 0.9, 75,   3,  15,15, 97.6,⑯⑮⑭
14, 7,Ｌキスカラハジメヨウ, 42,浜中俊, 3.3, 34,* -1, -42, 6, 12.9,⑤④⑦,,,,,,,,,,,,,14, 1,Ｃトランドネｰジュ, 70,木幡初, 1.3, 55,   4, -15, 3,  6.9, ⑤⑤,14,15,Ｉミッドサマｰフェア, 84,柴田善, 1.3, 70,   6,   2, 6, 10.8,⑪⑨⑦
15, 5,Ｏアキノムｰン, 22,城戸義, 3.5, 32,  -9, -30,16,379.1,⑩⑬⑮,,,,,,,,,,,,,15, 8,Ｎツクバエトワｰル, 57,黛弘人, 1.6, 51,  -5,  -9,11, 61.5, ⑬⑯,15,16,Ｍサンシャイン, 79,藤岡康, 1.3, 69,   8,   0,13, 65.4,⑥⑥⑥
16,10,Ｆノアポルテ, 51,中舘英, 5.2, 21,  -9, -52,11,113.2,⑯⑯⑯,,,,,,,,,,,,,16, 9,Ｉロンギングトゥユｰ, 64,後藤浩, 2.2, 45,   7, -29, 9, 33.3, ③⑥,16,13,Ｃアグネスワルツ, 88,国分恭, 1.6, 64,   8,  -5, 9, 23.9,⑧⑦⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:2),,,,,,,,,,,
"単勝:1,050円 複勝:09=240円 08=150円 16=160円 枠連:1,520円",,,,,,,,,,,,"単勝:4,660円 複勝:11=980円 09=220円 04=130円 枠連:1,190円",,,,,,,,,,,,"単勝:56,940円 複勝:11=11,120円 15=200円 04=570円 枠連:4,290円",,,,,,,,,,,,"単勝:900円 複勝:06=290円 07=180円 14=2,660円 枠連:1,430円",,,,,,,,,,,
"馬連:1,780円 ワイド:08-09=570円 09-16=660円 08-16=290円",,,,,,,,,,,,"馬連:9,530円 ワイド:09-11=2,930円 04-11=2,150円 04-09=400円",,,,,,,,,,,,"馬連:72,580円 ワイド:11-15=19,750円 04-11=30,180円 04-15=1,360円",,,,,,,,,,,,"馬連:1,440円 ワイド:06-07=520円 06-14=9,610円 07-14=6,970円",,,,,,,,,,,
"馬単:4,630円 3連複:2,090円 3連単:19,550円",,,,,,,,,,,,"馬単:28,590円 3連複:12,100円 3連単:140,810円",,,,,,,,,,,,"馬単:208,010円 3連複:471,240円 3連単:6,917,120円",,,,,,,,,,,,"馬単:3,470円 3連複:45,330円 3連単:238,230円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 6R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  ダ1150m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1150m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,米沢特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃメリｰウィドウ, 60,吉田豊,, 62,   0,*  1, 2,  3.6,④⑤④, 1, 4,Ａコスモソｰク, 76,丹内祐,, 70,  -2,* 20, 3,  7.8,⑥⑨⑧, 1,11,Ｌキクノラフィカ, 58,菱田裕,, 69,*  4,   8, 4, 11.0, ③③, 1,11,Ａイエスイットイズ, 85,西田雄,, 72,*  3,   6, 1,  2.6, ③③
 2, 1,Ａサウザンドエｰス, 67,戸崎圭, 0.6, 56,*  2,  -8, 1,  2.7,①①①, 2, 8,Ｅマヤノカデンツァ, 70,柴山雄, 0.2, 67,*  2,  12,10, 30.2,⑮③③, 2, 7,Ｂヒカルソラフネ, 74,後藤浩, 0.3, 66,*  6,   4, 3,  5.3, ②①, 2, 5,Ｏナリタシｰズン, 73,松山弘, 0.2, 70, -15,* 20,14, 76.7, ⑯⑯
 3,10,Ｈジェイケイニュｰス, 54,丸田恭, 0.8, 55,   0,* -4, 8, 27.6,⑩⑧⑦, 3, 2,Ｂエルヘイロｰ, 74,戸崎圭, 0.6, 66,  -2,* 17, 4,  9.8,⑪⑭⑨, 3, 3,Ｈシゲルリョウケンザ, 68,戸崎圭, 0.5, 65,   0,   8, 5, 21.2, ⑤④, 3, 9,Ｍヒラボクダッシュ, 74,川須栄, 0.3, 71, -11,* 16,12, 40.6, ⑮⑭
 4,15,Ｂゼンノブショウ, 62,川須栄, 1.1, 57,*  3, -12, 4,  8.3,③②②, 4, 6,Ｃファイブタブレット, 73,中井裕, 0.6, 67,*  2,   8, 1,  2.4,⑤②②, 4, 1,Ａコランダム, 75,浜中俊, 0.6, 64,  -3,* 10, 1,  2.1, ⑧⑦, 4, 4,Ｎヤマノグラス, 74,西村太, 0.4, 69,   0,   5,15, 99.5, ④④
 5,13,Ｆジャマスルナ, 56,後藤浩, 1.2, 51,   0,  -9, 5, 12.5,⑦⑥⑤, 5, 1,Ｆカリスマアキラ, 69,丸山元, 0.7, 65,   0,  11, 6, 11.8,③⑥⑥, 5, 8,Ｅシャトルアップ, 69,小崎綾, 0.7, 64,*  7,   0, 9, 34.1, ①②, 5, 2,Ｌゴｰルドディガｰ, 74,高倉稜, 0.4, 69,  -1,   6,16,209.3, ⑤⑥
 6, 7,Ｄフクノゲイボルグ, 60,丹内祐, 1.4, 52,*  1, -13, 7, 19.9,②④⑥, 6, 5,Ｇリキサンイレブン, 69,江田照, 0.8, 66,  -2,  14, 7, 14.1,⑫⑫⑫, 6, 6,Ｆロｰズミラクル, 68,高倉稜, 1.2, 58,  -4,   4, 6, 21.8, ⑩⑩, 6,10,Ｉダｰクシｰカｰ, 75,吉田豊, 0.4, 68,  -5,  10, 7, 13.4, ⑩⑩
 7, 2,Ｍスリｰケｰザル, 52,小崎綾, 1.7, 52,  -6,* -3,14,138.6,⑫⑮⑮, 7, 9,Ｈゼンノコンゴウ, 68,浜中俊, 1.0, 64,   1,   8, 8, 14.9,④⑤⑤, 7, 5,Ｉスズカアｰサｰ, 67,丸田恭, 1.3, 56, -11,* 10,11, 52.6, ⑬⑬, 7,14,Ｈモオプナツヨシ, 75,菱田裕, 0.4, 67,  -9,  13, 9, 18.9, ⑭⑫
 8, 8,Ｊピュアエクセル, 53,松田大, 2.1, 48,  -3, -11, 6, 19.3,⑭⑫⑨, 8, 3,Ｉトウカイビジョン, 68,藤岡康, 1.2, 62,   0,   7, 2,  7.1,⑨⑦⑦, 8,13,Ｄヒカリユニキャスト, 69,国分恭, 1.4, 56,  -1,   0, 8, 26.0, ⑦⑥, 8,16,Ｆゴｰインググレｰト, 78,和田竜, 0.4, 70,  -3,   9, 5, 10.5, ⑨⑨
 9,12,Ｇタｰゲットバスタｰ, 55,伴啓太, 2.2, 47,*  2, -22,10, 56.9,⑪③③, 9,14,Ｍキｰコレクション, 61,津村明, 1.5, 60,*  2,   1,12, 71.9,①①①, 9,10,Ｃマサノボラｰレビア, 70,川須栄, 1.5, 57,  -4,   2, 2,  4.1, ⑪⑪, 9, 6,Ｅアスコットシチｰ, 79,藤岡康, 0.5, 68,  -3,   8, 8, 18.7, ⑧⑧
10, 9,Ｏガラハッド, 43,黛弘人, 2.4, 48,  -1, -15,11, 61.9,⑥⑩⑩,10,13,Ｊサクラビクトワｰル, 65,吉田豊, 1.8, 56,   1,   0, 5, 11.4,②④④,10, 4,Ｍヒラボクロマンス, 54,池添謙, 1.5, 55,  -1,  -1,10, 49.4, ④⑤,10, 3,Ｐタマノエスペランサ, 71,中谷雄, 0.7, 66,  -1,   3,13, 59.6, ⑥⑦
11, 3,Ｉデイライト, 54,中舘英, 2.5, 48,  -4, -14,13, 84.9,⑮⑬⑭,11,10,Ｄタマノペルセウス, 71,伴啓太, 1.9, 58,  -3,   7, 9, 15.9,⑬⑮⑮,11, 2,Ｇエッフェル, 68,城戸義, 1.6, 55,  -4,   1, 7, 24.0, ⑨⑨,11, 7,Ｋピｰスオブアイ, 74,嶋田純, 1.0, 62,  -5,   5,11, 32.9, ⑪⑪
12,14,Ｎラララ, 44,柴田未, 2.8, 44,  -4, -15,15,386.7,⑬⑭⑫,12,11,Ｋセカイノカナ, 64,高倉稜, 2.1, 56,  -1,   3,15,224.4,⑦⑩⑬,12, 9,Ｊオリエンタルエジル, 64,草野太, 1.7, 54,  -7,   3,12, 89.1, ⑫⑫,12,13,Ｂマッシヴヒｰロｰ, 81,岩崎翼, 1.2, 61,  -8,   5, 6, 11.2, ⑬⑮
13, 6,Ｋレオパイレｰツ, 53,吉田隼, 2.9, 44,  -2, -19, 9, 28.6,⑧⑪⑪,13,15,Ｌフュｰチャステップ, 64,川須栄, 2.3, 57,  -1,   1,13, 85.4,⑭⑪⑪,13,12,Ｋハヴアグッドデイ, 61,江田照, 1.8, 53,  -1,  -3,13,185.6, ⑥⑧,13, 1,Ｊヤマニンブルジョン, 75,浜中俊, 1.3, 61,  -2,   0, 4,  9.9, ⑦⑤
14,11,Ｌモントランブラン, 52,城戸義, 3.0, 42,  -1, -23,12, 75.8,⑤⑦⑧,14,12,Ｎバンブｰバッジョ, 61,和田竜, 2.5, 53,  -3,   0,14,201.7,⑩⑬⑭,,,,,,,,,,,,,14,15,Ｇアイアンテｰル, 77,中舘英, 1.8, 57,  -5,  -2, 3,  9.8, ⑫⑬
15, 5,Ｅダンツトｰラス, 60,岩崎翼, 3.4, 37,  -2, -26, 3,  5.8,⑨⑨⑬,15, 7,Ｏオウエイバスタｰ, 20,黛弘人, 2.6, 52,   0,  -3,11, 44.5,⑧⑧⑩,,,,,,,,,,,,,15, 8,Ｃセイウンチカラ, 80,後藤浩, 1.8, 54,*  4, -11,10, 21.9, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,Ｄランドクイｰン, 80,戸崎圭, 2.0, 54,*  4, -12, 2,  6.4, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
