14年 6月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 6月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,舞子特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｅウインクルミラクル, 58,北村友,, 63,   0,*  2, 4,  6.7,⑤③③, 1, 7, ニライジンク,,熊沢重,,,,, 1,  3.1,①①①, 1, 9,Ａアｰバンレジェンド, 82,川田将,, 73,   4,*  8, 1,  1.6,⑨⑤⑥, 1,10,Ａエイシンスパルタン, 88,藤岡佑,, 85,*  4,  13, 1,  1.7, ①①
 2,12,Ａエイシンノア, 67,酒井学, 0.4, 60,*  2,  -4, 1,  2.9,①①①, 2, 6, アラタマユニバｰス,,中村将,210.1,,,, 3,  3.8,②②②, 2, 7,Ｆシンワウォッカ, 74,浜中俊, 0.1, 71,*  5,   5, 2,  6.7,⑤④③, 2, 2,Ｆコレクタｰアイテム, 77,浜中俊, 0.4, 81,   0,  12, 4, 12.3, ③③
 3, 6,Ｂストライキングアイ, 67,川田将, 0.5, 62,  -1,*  2, 2,  4.0,⑥⑨⑥, 3, 3, トウシンボルト,,難波剛,210.1,,,, 2,  3.2,④③③, 3, 8,Ｉサンレイフロｰラ, 71,酒井学, 0.4, 70,   2,* 10, 7, 28.3,⑭⑭⑩, 3, 6,Ｌアスタｰピｰス, 65,国分恭, 0.5, 83,  -5,* 19,12,162.6, ⑪⑪
 4, 9,Ｄシゲルサヌキ, 61,国分恭, 0.9, 59,  -3,*  4,10, 45.7,⑭⑬⑬, 4, 1, カゼカオル,,北沢伸,211.1,,,, 4,  7.5,⑤⑤④, 4,15,Ｇクリノアマダブラム, 72,小牧太, 0.4, 71,   4,   4, 9, 39.9,⑦⑥④, 4, 8,Ｇロノ, 75,川田将, 0.6, 80,   0,  11, 5, 17.0, ⑤⑤
 5, 8,Ｃフォｰルスクリｰク, 63,藤岡佑, 0.9, 57,  -1,  -2, 3,  5.7,⑧⑦⑦, 5, 2, ウォンテッド,,高田潤,212.1,,,, 6, 10.2,③④⑤, 5, 2,Ｃロゼラニ, 76,義英真, 0.5, 68,   3,   6, 3,  8.4,⑧⑧⑨, 5, 4,Ｃタガノザイオン, 80,太宰啓, 0.7, 80,  -4,* 15, 9, 46.5, ⑩⑩
 6, 7,Ｊアルプサロン, 53,岩崎翼, 1.2, 54,   0,  -7,12, 76.1,④⑤⑤, 6, 5, コブラボｰル,,金子光,213.3,,,, 7, 56.2,⑥⑥⑥, 6,14,Ｌフォロｰハｰト, 69,武豊  , 0.6, 68,*  6,   0, 5, 17.3,③②②, 6, 1,Ｄタマモトッププレイ, 78,ウィリ, 0.7, 79,  -1,  11, 3,  7.3, ⑦⑧
 7, 5,Ｆタムロイレｰネ, 58,松若風, 1.3, 55,   0,  -8, 9, 38.6,③④④, 7, 4, ヤマニンメダイユ,,白浜雄,222.3,,,, 5,  8.7,⑦⑦⑦, 7,10,Ｂストレｰトラブ, 78,松山弘, 0.6, 70,   1,* 10, 8, 28.7,⑯⑯⑮, 7, 3,Ｉカピオラニパレス, 72,北村友, 1.0, 75,  -1,   7,10, 47.6, ⑧⑦
 8,11,Ｉアグネスハピネス, 54,川須栄, 1.5, 57,  -3,  -3,13, 98.6,⑦⑫⑫,,,,,,,,,,,,, 8, 4,Ｋニｰレンベルギア, 70,北村友, 0.9, 66,   3,   4,12, 64.5,⑫⑪⑪, 8, 5,Ｊスタｰマイン, 70,小牧太, 1.1, 71,*  1,   2, 8, 44.3, ②②
 9, 1,Ｋトｰワクリステル, 51,武豊  , 1.6, 55,  -1,  -7, 5, 11.6,⑨⑧⑨,,,,,,,,,,,,, 9,12,Ｈエｰシンウェンディ, 71,ウィリ, 1.1, 64,   3,   0,10, 44.8,⑩⑨⑦, 9,11,Ｈラインアンジュ, 74,武豊  , 1.4, 69,  -3,   3, 7, 33.1, ⑨⑨
10, 4,Ｌクニサキオペラ, 48,畑端省, 1.8, 52,  -2,  -7,15,303.4,⑪⑪⑪,,,,,,,,,,,,,10, 6,Ｊレッドフォｰチュン, 71,川須栄, 1.8, 61,   4,  -7,11, 47.0,④⑦⑧,10, 9,Ｂカシノピカチュウ, 82,松山弘, 1.4, 73,  -8,  11, 2,  4.2, ⑬⑫
11,14,Ｇベルテンポ, 57,幸英明, 1.9, 52,  -2,  -8,11, 71.2,⑩⑩⑩,,,,,,,,,,,,,11,13,Ｅパｰティブロッサム, 75,松若風, 1.9, 58,*  5, -10, 6, 18.0,②③⑤,11, 7,Ｅタマラマ, 77,和田竜, 1.5, 67,   0,  -2, 6, 18.5, ④④
12,13,Ｈピアノコンクｰル, 56,国分優, 2.0, 48,*  1, -17, 8, 22.8,②②②,,,,,,,,,,,,,12, 3,Ｍテイエムレオネッサ, 60,岩崎翼, 1.9, 58,   1,  -3,15,262.7,⑬⑬⑫,12,12,Ｋウエスタンムサシ, 66,義英真, 1.7, 67,  -8,   6,11, 56.4, ⑫⑬
13,10,Ｍキンレンカ, 44,藤懸貴, 3.3, 44,  -7, -10,16,364.4,⑯⑯⑯,,,,,,,,,,,,,13,11,Ｎメイショウブリエ, 58,太宰啓, 2.5, 58,   2,  -8,14,255.7,⑥⑩⑬,13,13,Ｍアグネスピンキｰ, 63,幸英明, 2.1, 61,   0,  -8,13,354.5, ⑥⑥
14,15,Ｏキョウワマジック, 37,松山弘, 3.8, 40,  -6, -17,14,281.9,⑬⑮⑮,,,,,,,,,,,,,14, 5,Ｏカシノソラｰレ, 54,国分恭, 2.6, 53,  -1,  -5,13,217.9,⑮⑮⑯,,,,,,,,,,,,
15, 2,Ｎオリエンタルポピｰ, 40,和田竜, 4.0, 38,  -5, -20, 7, 16.8,⑫⑭⑭,,,,,,,,,,,,,15,16,Ｄシャスタｰデイジｰ, 76,和田竜, 2.6, 53,*  7, -19, 4,  9.7,①①①,,,,,,,,,,,,
16, 3, ハッピｰヴァリュｰ,---,浜中俊, 4.4, 35,  -1, -33, 6, 15.6,⑮⑥⑧,,,,,,,,,,,,,16, 1,Ｐメイライト, 46,中井裕, 3.8, 48,   1, -19,16,385.5,⑪⑫⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-4),,,,,,,,,,,
"単勝:670円 複勝:16=150円 12=130円 06=130円 枠連:1,200円",,,,,,,,,,,,単勝:310円 複勝:07=170円 06=180円 枠連:0円,,,,,,,,,,,,単勝:160円 複勝:09=110円 07=140円 08=320円 枠連:440円,,,,,,,,,,,,"単勝:170円 複勝:10=130円 02=320円 06=2,180円 枠連:1,420円",,,,,,,,,,,
"馬連:1,280円 ワイド:12-16=420円 06-16=390円 06-12=260円",,,,,,,,,,,,馬連:550円 ワイド:06-07=230円 03-07=210円 03-06=190円,,,,,,,,,,,,"馬連:600円 ワイド:07-09=210円 08-09=600円 07-08=1,080円",,,,,,,,,,,,"馬連:1,420円 ワイド:02-10=670円 06-10=5,040円 02-06=11,520円",,,,,,,,,,,
"馬単:2,900円 3連複:1,170円 3連単:7,920円",,,,,,,,,,,,"馬単:990円 3連複:440円 3連単:2,130円",,,,,,,,,,,,"馬単:780円 3連複:2,110円 3連単:6,260円",,,,,,,,,,,,"馬単:2,060円 3連複:38,020円 3連単:103,790円",,,,,,,,,,,
