14年10月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,平城京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａライドオンウインド, 66,古川吉,, 54,* -2,   4, 1,  2.4,②②②, 1,11, グレイスフルワｰド,---,岩田康,, 55,  -6,* -7, 4,  7.8, ⑤⑤, 1, 9,Ｐティップトップ, 58,藤岡康,, 72,  -1,* 12, 7, 20.5, ⑭⑭, 1,12,Ｉカシュカシュ, 83,藤懸貴,, 83,   5,* 14,10, 20.2,⑮⑪⑨
 2,13,Ｂシンゼンガンプ, 64,秋山真, 0.0, 53,* -1,   3, 3,  6.6,⑯①①, 2,14, ダンシング,---,ペロヴ, 0.3, 49,*  0, -23,13, 52.0, ②②, 2,13,Ｋエイシンパラダイス, 64,藤田伸, 0.2, 76,  11,  -1, 2, 10.1, ④③, 2, 4,Ａドコフクカゼ, 91,竹之下, 0.0, 82,   6,* 13, 2,  4.8,⑥⑦⑧
 3, 9,Ｄバンペイユ, 55,川田将, 0.5, 52,  -5,*  5, 7, 14.2,⑧⑧⑦, 3, 7, スキｰスクｰル,---,北村友, 1.0, 42, -10, -17, 8, 28.0, ⑧⑧, 3,16,Ｈチェリｰミルズ, 67,松山弘, 0.4, 71,   7,   2, 9, 21.8, ⑧⑥, 3,11,Ｂマイネルクロップ, 85,川田将, 0.0, 82,*  8,   9, 1,  3.9,②②②
 4, 5,Ｍルナマジック, 32,幸英明, 0.7, 51,  -6,*  6,11, 45.6,⑩⑪⑧, 4, 5, グロッシュラｰ,---,松若風, 1.0, 41,  -7, -23,17,119.4, ③③, 4,12,Ｌトｰコｰヴィオラ, 64,福永祐, 0.5, 69,   3,   5, 6, 20.4, ⑪⑪, 4,14,Ｄランドマｰキュリｰ, 84,藤岡康, 0.4, 78,   7,   7, 3,  5.2,⑦④⑤
 5,12,Ｆセルリアンコスモ, 51,和田竜, 0.8, 49,  -5,   3, 5, 11.3,⑨⑨⑤, 5,17, クライミングロｰズ,---,武豊  , 1.1, 41, -15,*-10, 1,  3.8, ⑮⑱, 5,14,Ｆマウントフジ, 68,浜中俊, 0.7, 68,   2,   5, 4, 11.8, ⑬⑬, 5,13,Ｃハスラｰ, 85,福永祐, 0.4, 78,*  8,   6, 8, 17.3,③③③
 6, 8,Ｃコンコｰド, 55,福永祐, 1.0, 46,  -4,  -2, 2,  5.4,⑤⑤④, 6, 4, ゴｰルデンボｰダｰ,---,川須栄, 1.1, 41,  -8, -20,11, 38.7, ⑦⑦, 6, 8,Ｂアルティメイト, 71,菱田裕, 0.8, 65,  -1,   6,13, 46.6, ⑮⑮, 6,10,Ｌステキナシャチョウ, 81,高倉稜, 0.5, 80,   5,  11,11, 38.4,⑧⑩⑪
 7,16,Ｋダンカン, 36,菱田裕, 1.2, 45,* -2,  -4,14,181.7,④③③, 7, 3, トラストニｰケｰ,---,川田将, 1.1, 39,*  0, -35, 2,  4.1, ①①, 7, 7,Ｄボストンビリｰヴ, 69,和田竜, 0.8, 65,  -3,*  7, 8, 21.2, ⑯⑯, 7,16,Ｎマヤノクレド, 77,川須栄, 0.7, 78,   6,   6,14, 74.7,⑩⑧⑦
 8,15,Ｉメイショウクオン, 45,岩崎翼, 1.3, 44,  -4,  -3,10, 37.4,⑥⑥⑥, 8, 8, ロイヤルヴォルト,---,福永祐, 1.3, 39, -17,*-10, 3,  5.4, ⑯⑰, 8, 4,Ａキュｰクッキング, 79,酒井学, 0.9, 69,  12,  -8, 1,  1.7, ③④, 8, 3,Ｅノボリドリｰム, 84,幸英明, 0.8, 77,   7,   4, 4,  6.9,④⑤④
 9,14,Ｎワンダｰショット, 32,小崎綾, 1.9, 43,  -6,  -4,12, 53.8,⑮⑫⑨, 9, 2, ボｰベルレｰヌ,---,酒井学, 1.4, 38, -11, -20, 6, 15.3, ⑪⑨, 9, 5,Ｊイルｰシヴキャット, 65,小崎綾, 1.1, 66,   9,  -7, 5, 16.8, ⑥⑤, 9, 5,Ｇライジングサン, 84,松山弘, 0.9, 77,   3,  11,12, 57.4,⑬⑬⑬
10, 1,Ｈカラｰラビアンコ, 46,松若風, 1.9, 43,  -7,  -2, 6, 12.9,⑬⑭⑩,10, 1, ツァリｰツァ,---,菱田裕, 1.5, 37,  -8, -26,10, 29.9, ⑥⑥,10,10,Ｉマリナｰズコンパス, 66,義英真, 1.2, 63,   5,  -3,14,114.6, ⑩⑩,10, 7,Ｊキタサンシンガｰ, 83,酒井学, 1.3, 72,   7,   0, 6, 13.6,⑤⑥⑥
11, 2,Ｅメイショウカシュウ, 51,武幸四, 2.2, 42,  -8,  -3, 8, 22.2,⑪⑬⑭,11,10, ウインカルミナ,---,松山弘, 1.6, 36,  -6, -32, 7, 24.4, ④④,11, 3,Ｍヴァイセフラウ, 62,小牧太, 1.3, 68,* 17, -16,10, 29.7, ①①,11, 8,Ｋスズカルｰセント, 82,岩田康, 1.6, 70,   5,   0, 5, 13.1,⑨⑨⑩
12,10,Ｐミスタｰビッグ, 21,中井裕, 2.4, 42,  -8,  -2,15,236.2,⑭⑯⑮,12,15, ナムラクロワッサン,---,幸英明, 1.6, 36, -15, -17, 9, 29.1, ⑰⑬,12, 6,Ｇタイセイクインス, 67,岩崎翼, 1.3, 63,   8,  -8,15,115.7, ⑦⑧,12,15,Ｆブルｰタンザナイト, 84,北村友, 1.8, 68,   4,   0,13, 60.4,⑪⑫⑫
13, 4,Ｇデンコウコハク, 46,小林徹, 3.8, 29,  -6, -20,13,129.3,⑦⑩⑬,13,12, アイノフシギ,---,高倉稜, 1.6, 36, -14, -19,14, 67.3, ⑭⑮,13,15,Ｃエゴイスト, 69,松若風, 1.9, 62,* 16, -21, 3, 10.5, ②②,13, 6,Ｍゴｰルデンヒｰロｰ, 79,浜中俊, 2.0, 70,   3,   1, 7, 15.3,⑭⑭⑭
14, 6,Ｌリベルタンゴ, 33,浜中俊, 5.0, 22,  -5, -33, 4,  9.3,③⑦⑫,14, 9, ラホｰヤビｰチ,---,森一馬, 1.7, 34, -11, -25,16,102.6, ⑨⑫,14, 1,Ｏピクニックソング, 60,幸英明, 2.0, 57,   7, -13,12, 36.1, ⑨⑨,14, 9,Ｐヒミノオオタカ, 70,小牧太, 2.2, 67,*  9, -11, 9, 18.3,①①①
15, 3,Ｊプリンセスロジカル, 43,国分恭, 7.4,  8,  -8, -48,16,313.8,⑫⑮⑯,15, 6, イエスマインド,---,義英真, 1.9, 32, -16, -21,15, 94.9, ⑱⑭,15,11,Ｅサクラドラジェ, 69,川須栄, 2.2, 54,   2, -10,11, 31.3, ⑫⑫,15, 2,Ｏリッカアリュｰル, 70,松若風, 6.9, 38,   1, -39,15, 99.3,⑫⑮⑮
16, 7,Ｏコンフェッシオン, 30,小牧太, 8.2, -4,  -4, -64, 9, 33.9,①④⑪,16,16, ジンダバイン,---,武幸四, 1.9, 33, -11, -29, 5,  9.3, ⑩⑩,16, 2,Ｎメイショウオハツ, 60,鮫島良, 2.9, 51,   9, -24,16,197.1, ⑤⑦,,,,,,,,,,,,
,,,,,,,,,,,,17,13, アグネスファイン,---,小林徹, 2.0, 31, -12, -26,12, 44.7, ⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,18, エイジヤ,---,田中博, 2.2, 30, -12, -29,18,130.4, ⑬⑯,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-5),,,,,,,,,,,
単勝:240円 複勝:11=120円 13=170円 09=240円 枠連:600円,,,,,,,,,,,,"単勝:780円 複勝:11=270円 14=1,580円 07=740円 枠連:4,600円",,,,,,,,,,,,"単勝:2,050円 複勝:09=540円 13=360円 16=610円 枠連:3,760円",,,,,,,,,,,,"単勝:2,020円 複勝:12=480円 04=200円 11=160円 枠連:560円",,,,,,,,,,,
馬連:710円 ワイド:11-13=290円 09-11=450円 09-13=830円,,,,,,,,,,,,"馬連:38,330円 ワイド:11-14=9,810円 07-11=3,050円 07-14=12,900円",,,,,,,,,,,,"馬連:9,320円 ワイド:09-13=3,100円 09-16=5,870円 13-16=2,280円",,,,,,,,,,,,"馬連:8,550円 ワイド:04-12=2,060円 11-12=1,610円 04-11=550円",,,,,,,,,,,
"馬単:1,170円 3連複:1,960円 3連単:6,810円",,,,,,,,,,,,"馬単:57,190円 3連複:191,100円 3連単:1,238,680円",,,,,,,,,,,,"馬単:18,410円 3連複:50,830円 3連単:306,000円",,,,,,,,,,,,"馬単:20,100円 3連複:11,290円 3連単:89,620円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,京都大賞典 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａタイセイラビッシュ, 63,岩田康,, 58,* -1,  -4, 2,  4.4, ③③, 1, 6, ベルｰフ,---,川田将,, 56, -37,  21, 2,  2.7,④④④, 1,11,Ｂセブンフォｰス, 76,川田将,, 81,*  8,*  6, 1,  3.4,③②①, 1, 7,Ｃラストインパクト, 91,川田将,, 86,  11,  17, 3,  5.2,③③③
 2, 3,Ｍプレシャスルｰジュ, 33,松若風, 0.0, 57,  -2,* -3, 3,  8.1, ④④, 2, 4, グリュイエｰル,---,福永祐, 0.0, 58, -38,* 24, 1,  1.8,③⑤⑤, 2, 1,Ｅワｰルドダンス, 75,横山典, 0.3, 77,   6,*  9, 6,  8.7,⑩⑧⑤, 2,10,Ｉタマモベストプレイ, 84,津村明, 0.0, 82,* 13,   7, 6, 13.1,②②②
 3,16,Ｃライムチェイサｰ, 49,藤岡康, 0.0, 57,  -3,* -2, 4, 18.6, ⑤⑤, 3, 1, チャリスウェル,---,小牧太, 0.6, 43,*-35,   6, 5, 17.2,②②②, 3, 3,Ｇガンジｰ, 72,幸英明, 0.7, 76,   8,   2, 4,  6.6,⑨④②, 3, 2,Ａトｰセンラｰ, 92,武豊  , 0.3, 85,   8,* 21, 1,  2.6,⑦⑦⑦
