14年 6月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 6月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加古川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃテイエムリヴィエラ, 64,中井裕,, 62,  -1,*  4, 3,  6.8, ⑩⑨, 1,10, ミルクディッパｰ,,中村将,,,,, 1,  2.2,②①①, 1, 5,Ｂロｰレルレジェンド, 79,太宰啓,, 71,  10,*  5, 2,  2.9,⑦⑦⑥, 1, 9,Ｆスピナッチ, 77,川須栄,, 80,   6,* 12, 1,  2.4,⑥⑤③
 2, 1,Ａサンレイフレンチ, 65,北村友, 0.0, 59,  -9,* 13, 4,  7.7, ⑬⑪, 2, 6, スリｰマｰゴｰン,,白浜雄,198.7,,,, 3,  9.3,⑥⑥⑥, 2, 2,Ａデモニオ, 86,藤岡康, 0.2, 68,  11,   0, 1,  2.4,⑤④④, 2, 2,Ｄタガノプリンス, 81,岩崎翼, 0.5, 75,   4,  12, 5,  7.7,⑤⑦⑦
 3, 3,Ｆビットアリエス, 51,小牧太, 0.1, 63,   5,  -2, 7, 27.2, ⑥⑥, 3, 9, アスタｰコリント,,林満明,199.9,,,, 2,  3.3,⑤④③, 3, 6,Ｅサトノシｰザｰ, 73,義英真, 0.4, 66,   8,*  3, 6, 16.0,⑧⑧⑦, 3, 1,Ａキングブレイク, 84,藤岡康, 0.5, 74,*  8,   5, 2,  5.5,②②②
 4, 5,Ｇアイズユｰニン, 49,鮫島良, 0.7, 61,* 10, -13, 8, 43.8, ①①, 4,11, マキオボｰラｰ,,佐久間,200.0,,,, 5,  9.9,④③②, 4, 3,Ｆノアオｰカン, 72,幸英明, 0.8, 66,   8,   2, 9, 59.5,⑨⑨⑧, 4, 7,Ｃスズカウラノス, 81,幸英明, 0.6, 75,   6,   7, 3,  5.9,⑨⑥⑤
 5, 6,Ｅウチノウマサイコｰ, 58,義英真, 1.0, 54,   5, -11, 5, 10.7, ⑤⑤, 5, 1, ニイハオジュウクン,,西谷誠,202.1,,,, 8, 29.7,③⑤⑤, 5, 7,Ｋトレｰドウィンド, 56,松田大, 0.8, 64,   6,*  5,10, 76.4,⑫⑫⑪, 5, 5,Ｉバサラヴォｰグ, 75,国分優, 0.7, 71,   6,   6, 7, 18.7,④④④
 6,12,Ｄエイシンノエル, 61,松山弘, 1.0, 56,*  8, -14, 1,  1.8, ②②, 6, 4, ダイコウキ,,熊沢重,203.0,,,, 6, 12.5,①②④, 6,11,Ｉレｰザｰビｰム, 61,池添謙, 1.4, 60,   7,  -1,11,115.7,⑪⑪⑨, 6,11,Ｅエクセルフラッグ, 78,松田大, 0.8, 72,   3,  10,11,167.8,⑪⑧⑧
 7, 4,Ｂシゲルオワリ, 64,太宰啓, 1.2, 55,   7, -13, 2,  6.4, ③③, 7, 8, シゲルカニザ,,黒岩悠,204.6,,,,11,169.7,⑩⑨⑧, 7, 9,Ｌスリｰキングス, 35,岩崎翼, 1.7, 57,   7,  -4,12,143.5,⑩⑩⑫, 7, 3,Ｇアグネスダリム, 76,藤田伸, 0.8, 75,   4,  11, 9, 38.4,⑦⑨⑨
 8, 9,Ｊカリスマベガ, 41,幸英明, 1.3, 52,   3, -11,12,193.2, ⑦⑦, 8, 3, メイショウヤギュウ,,難波剛,204.8,,,,10, 72.1,⑨⑦⑦, 8,10,Ｈヒミノオオタカ, 64,中谷雄, 2.1, 54,* 13, -20, 8, 47.5,④③③, 8, 8,Ｊホｰマンベルウィン, 74,酒井学, 1.0, 73,   2,* 12,10, 47.9,⑩⑪⑪
