14年 1月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 1月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｭﾆｱｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｅデルマオソマツ, 56,柴田善,, 67,   2,*  5, 2,  4.9, ⑥⑤, 1,16,Ｋペガサスジュニア, 64,吉田豊,, 72,  12,  -4, 3,  5.5, ④⑥, 1, 8,Ｃスノｰモンキｰ, 72,丸山元,, 78,*  2,* 15, 1,  3.9,①①①, 1, 9,Ａエスメラルディｰナ, 78,田辺裕,, 68,*-16,  14, 1,  3.1,③③②
 2, 6,Ｄオｰタムラヴ, 57,戸崎圭, 0.5, 62,   1,*  1, 4,  9.8, ④⑥, 2, 8,Ｂヒマラヤタカコ, 66,武士沢, 0.0, 69,   3,*  4, 8, 24.6, ⑪⑪, 2,13,Ａマルマロス, 76,柴山雄, 0.7, 73,   0,* 13, 2,  4.5,⑪⑧⑧, 2, 7,Ｄマイネルメリエンダ, 69,丹内祐, 0.0, 68,*-13,  10, 5,  7.4,②①①
 3,14,Ｃパッシオｰネラヴィ, 61,三浦皇, 0.5, 63,*  3,   0, 1,  2.0, ③③, 3,11,Ｃロマンシｰズ, 66,柴田善, 0.1, 66,   1,*  5, 5, 12.2, ⑬⑫, 3,12,Ｂヴィルトグラｰフ, 73,木幡初, 0.9, 72,*  2,   8, 5,  8.7,②②②, 3, 5,Ｆオメガヴェンデッタ, 65,北村宏, 0.1, 66, -18,  14, 3,  6.4,①②④
 4, 1,Ａブランドアオモリ, 65,藤岡佑, 0.9, 58,   0,  -1, 5, 12.2, ⑦⑦, 4,10,Ｊナモンレジェンド, 64,松岡正, 0.2, 65,  -1,*  5, 4,  9.2, ⑯⑯, 4, 9,Ｄロックシンガｰ, 72,津村明, 1.3, 69,  -1,   9, 4,  8.7,⑩⑨⑨, 4,11,Ｊライザン, 57,蛯名正, 0.4, 65, -17,  11, 4,  6.5,⑤④③
 5, 9,Ｉサクセスコｰド, 44,宮崎北, 1.1, 57,   0,  -3, 6, 17.4, ⑧⑧, 5, 2,Ｉニシノイナズマ, 64,内田博, 0.3, 69,  11,  -6, 9, 24.8, ⑤④, 5, 7,Ｅトキノユウ, 69,西田雄, 1.5, 70,  -2,  11,15,168.1,⑫⑬⑩, 5,10,Ｅマイネルアウラｰト, 65,津村明, 0.5, 67, -21,  17, 8, 16.3,⑪⑨⑩
 6, 2,Ｂヘルヴェティア, 62,田辺裕, 1.2, 57,*  4,  -7, 3,  9.2, ①①, 6, 9,Ａゴｰルドキセキ, 73,北村宏, 0.4, 66,  10,  -6, 1,  2.6, ⑥⑤, 6,14,Ｋロｰレルアルトス, 65,石橋脩, 1.5, 70,  -2,* 12,13, 54.3,⑭⑭⑭, 6, 4,Ｃランウェイワルツ, 71,戸崎圭, 0.6, 62, -20,  12, 6, 10.2,⑧⑥⑥
 7,10,Ｋオｰガンディｰ, 42,津村明, 1.4, 54,  -2,  -3, 8, 28.0, ⑫⑪, 7, 6,Ｏブルｰストｰン, 60,蛯名正, 0.4, 69,* 13,  -8, 2,  5.1, ③③, 7, 5,Ｉアルファメｰル, 66,四位洋, 1.6, 69,  -1,   7, 9, 24.3,⑬⑫⑫, 7, 3,Ｈツクバアズマオｰ, 61,吉田豊, 0.6, 67, -23,* 18, 2,  5.8,⑨⑪⑪
 8,15,Ｍハッツオフ, 38,武士沢, 1.6, 54,   2,  -9, 7, 20.5, ⑤④, 8,15,Ｌアポロオオジャ, 64,勝浦正, 0.7, 64,   9,  -7,10, 27.4, ⑦⑦, 8, 3,Ｏシゲルリョウケンザ, 46,江田照, 1.7, 67,*  1,   4, 8, 24.0,③⑤③, 8, 6,Ｌフレンチフェロｰ, 53,木幡初, 0.6, 70, -26,* 23,12,143.4,⑩⑬⑬
