14年 3月30日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月30日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝2200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝1400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心斎橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｆウォｰタｰワルツ, 54,高倉稜,, 60,*  5, -13, 7, 24.4,①①①, 1, 5,Ｃニシノマテンロウ, 60,北村宏,, 65,*  4,  -1, 7, 12.2, ①①, 1, 1,Ｄシゲルジョウム, 73,義英真,, 68,  18,*-24, 6,  8.0,⑥⑧⑧, 1,16,Ａオリｰビン, 85,小牧太,, 85,  26, -11, 2,  4.4, ⑩⑧
 2, 8,Ｂパフュｰムボム, 61,北村友, 0.0, 61,   5, -10, 2,  3.1,⑤⑤④, 2, 9,Ｌロｰドヴォルケｰノ, 49,国分優, 0.0, 65,   0,*  4, 3,  7.3, ⑨⑦, 2, 2,Ｃカｰバ, 73,城戸義, 0.2, 66,  19, -30, 2,  4.6,⑦⑦⑤, 2,12,Ｋサマｰルナ, 79,古川吉, 0.3, 82,  28, -19, 8, 28.7, ⑦⑥
 3, 7, フォｰルスクリｰク,---,藤岡佑, 0.2, 59,   3,  -9, 6, 16.3,⑧⑧⑦, 3,13,Ｇメイショウトキムネ, 56,古川吉, 0.4, 64,   2,  -1, 5, 10.5, ⑥④, 3, 4,Ｆミッキｰタイガｰ, 72,小牧太, 0.2, 67,* 20, -34, 1,  3.2,③⑥②, 3,14,Ｆニシノビｰクイック, 82,岩崎翼, 0.3, 80,  21,* -8, 5, 15.0, ⑰⑬
 4, 5,Ａブロンクスシルバｰ, 62,国分恭, 0.3, 58,   2,* -9, 3,  4.6,⑪⑩⑨, 3,15,Ａメイショウワッフル, 65,川島信, 0.4, 62,*  3,  -3, 2,  5.0, ③③, 4, 6,Ｅダンツフォワｰド, 73,藤岡佑, 0.6, 65,* 22, -42, 5,  6.1,①①①, 4,17,Ｍダロｰネガ, 78,北村友, 0.4, 79,  19,* -8, 6, 15.2, ⑱⑰
 5,10,Ｇシゲルサヌキ, 53,鮫島良, 0.4, 65,   2,* -6,11,114.0,⑮⑮⑩, 5, 1,Ｆライトニングロアｰ, 58,川須栄, 1.0, 58,   1,  -6, 9, 18.7, ⑤⑥, 5, 7,Ｈトレｰドウィンド, 56,松若風, 1.1, 61,* 20, -47, 8, 39.1,⑤④④, 5, 4,Ｅアルマリンピア, 83,川須栄, 0.4, 77,  19,* -8,10, 31.4, ⑮⑱
 6,11, エイシンノエル,---,北村宏, 0.6, 56,*  6, -17, 4, 10.9,③③③, 6, 8,Ｈナムラキッス, 55,小牧太, 1.1, 56,  -4,   0,10, 21.9, ⑫⑪, 6, 8,Ａナンヨｰユナ, 75,北村宏, 1.2, 60,* 20, -48, 3,  5.3,⑧⑤③, 6, 7,Ｈテイエムタイホｰ, 81,小坂忠, 0.5, 81,* 32, -25, 3,  7.9, ②②
 7, 6,Ｉテイエムゴｰジャス, 50,国分優, 0.6, 57,   1,* -9,12,121.9,⑬⑬⑬, 7, 3,Ｅシュンブレイン, 59,小林徹, 1.1, 54, -10,*  7,11, 33.1, ⑯⑮, 7, 5,Ｂスリｰヴェロｰチェ, 75,国分恭, 1.4, 59,  19, -48, 4,  5.4,②③⑥, 7, 8,Ｂガイヤｰスヴェルト, 85,ペドロ, 0.5, 79,  28, -21, 1,  3.0, ⑥⑦
 8, 9,Ｃオｰスミフブキ, 59,川島信, 1.2, 51,   3, -18, 1,  2.9,⑭⑨⑥, 8,10,Ｄプレフェリｰト, 60,ペドロ, 1.3, 55,*  3, -11, 1,  3.5, ②②, 8, 3,Ｇワイドワンダｰ, 64,ペドロ, 1.6, 59,  18, -48, 7, 26.6,④②⑦, 8,10,Ｏオｰシャンカレント, 78,荻野琢, 0.6, 76,  21, -13,18,102.9, ⑫⑭
