14年 5月10日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 5月10日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝3290m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 4R  芝2890m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二王子特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12, ヤマカツハクリュウ,,高田潤,,,,, 1,  3.3,⑥⑥⑥, 1,13, プレミアムパス,,五十嵐,,,,, 2,  4.3,③①①, 1,11,Ａゴｰイングストｰン, 74,岩崎翼,, 72,*  9,*  1, 2,  3.7,③④③, 1, 7,Ｇシルクブルックリン, 67,藤岡康,, 72,   1,* 12, 5, 12.1, ⑧⑧
 2,10, マサノブルｰス,,佐久間,217.0,,,, 5, 10.2,⑤③③, 2, 2, ナンデヤネン,,上野翔,191.4,,,, 3,  5.5,⑧⑤④, 2,15,Ｃステｰジジャンプ, 71,小崎綾, 0.0, 72,* 10,  -3, 1,  3.3,②①①, 2, 8,Ｃトルストイ, 73,丸山元, 0.0, 72,   3,   9, 1,  2.1, ⑤⑥
 3, 6, エｰシンイグアス,,黒岩悠,217.1,,,, 6, 11.6,④⑤⑤, 3,11, トラバント,,小坂忠,191.5,,,, 1,  3.3,⑫⑪⑨, 3, 3,Ｆリキサンイレブン, 69,西村太, 0.1, 73,   4,*  9, 5,  9.1,⑬⑩⑨, 3, 4,Ａロジメジャｰ, 80,丸田恭, 0.1, 68,   2,   9, 2,  4.5, ⑥⑤
 4, 3, ニジブルｰム,,小坂忠,217.4,,,, 3,  6.0,①①①, 4, 5, タイセイジｰニアス,,白浜雄,191.7,,,, 6, 13.5,①②③, 4, 6,Ｂミッキｰバルｰン, 72,城戸義, 1.2, 65,   7,  -7, 8, 22.6,⑧⑦⑤, 4, 3,Ｅマイネルイルミナル, 70,中井裕, 0.2, 69,*  5,   4, 4, 10.0, ②②
 5, 4, マサライト,,植野貴,217.7,,,, 2,  4.9,③④④, 5, 1, ロｰドシュプリｰム,,石神深,191.8,,,, 8, 26.6,②③②, 5, 8,Ｄシングンカイロス, 71,長岡禎, 2.0, 60,   7, -13, 3,  7.9,④⑥④, 5, 1,Ｄロンギングゴｰルド, 71,吉田隼, 0.2, 69,   0,* 11, 3,  5.1, ⑦⑦
 6, 1, トｰセンタイガｰ,,山本康,217.8,,,, 8, 16.9,⑦⑦⑧, 6,10, ディｰプスノｰ,,江田勇,192.0,,,, 4,  6.2,⑦⑥⑥, 6,13,Ｏグランプレｰジョ, 54,嶋田純, 2.0, 58,* 10, -18, 4,  8.1,⑤②②, 6, 9,Ｂダイシンハンタｰ, 75,津村明, 0.4, 66,   3,   2, 6, 12.4, ③④
 7, 5, ラッキｰバニラ,,浜野谷,217.8,,,, 4,  7.6,②②②, 7, 3, クレバｰベスト,,植野貴,192.7,,,, 5,  8.1,④④⑤, 7,12,Ｅルｰ, 70,杉原誠, 2.1, 60,   4,  -7, 9, 30.1,⑫⑪⑪, 7, 2,Ｉピタゴラスコンマ, 63,村田一, 0.5, 66,   3,   2, 8, 34.8, ④③
 8, 8, フリｰダムシチｰ,,石神深,217.9,,,,13, 59.3,⑧⑧⑦, 8, 9, シンコｰプリンス,,高田潤,194.0,,,, 7, 14.2,⑪⑫⑫, 8,14,Ｈロｰレルベロボｰグ, 66,藤懸貴, 2.6, 58,   2,  -8,10, 32.8,⑩⑬⑬, 8, 5,Ｈテイエムブシドｰ, 67,勝浦正, 0.7, 67,   1,   5, 9, 47.3, ⑨⑨
