14年 2月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 2月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,,,,,,,,,,,,,■ 7R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｄファンディｰタ, 58,北村宏,, 63,*  3,* -3, 4, 10.3, ②②,,,,,,,,,,,,, 1, 2,Ａレッドルｰファス, 77,ブノワ,, 75,   5,*  1, 1,  3.4,②④④, 1, 5,Ａプロモントｰリオ, 84,ベリｰ,, 81,   9,*  3, 1,  4.0,⑥⑥⑥
 2,15,Ｅフルオブプロミス, 56,三浦皇, 0.2, 61,   0,* -3, 3,  6.6, ⑦⑥,,,,,,,,,,,,, 2,11,Ｄマイネルミラノ, 73,柴田大, 0.0, 76,   5,   0, 9, 16.3,③③③, 2, 6,Ｃクイｰンオリｰブ, 82,後藤浩, 0.0, 81,* 10,  -1, 4,  6.3,②②②
 3,12,Ｋアインクラング, 44,デムｰ, 0.4, 59,   1,  -5, 6, 15.5, ⑤⑤,,,,,,,,,,,,, 3, 5,Ｊミラクルルｰジュ, 66,内田博, 0.3, 73,   3,   0, 8, 15.4,⑥⑥⑥, 3, 1,Ｄクリｰルカイザｰ, 81,吉田豊, 0.1, 82,   6,*  7, 3,  4.7,⑨⑨⑩
 4, 6,Ｂヒラリアス, 59,田辺裕, 0.7, 56,   0,  -8, 2,  4.0, ④④,,,,,,,,,,,,, 4,12,Ｅブライトボｰイ, 73,吉田豊, 0.3, 72,*  6,  -6, 2,  4.6,④②②, 4, 8,Ｈマイネルメダリスト, 79,蛯名正, 0.6, 75,   9,  -7, 6,  8.5,④⑤④
 5,16,Ｍデルマシズカチャン, 41,リスポ, 1.0, 55,*  1, -12, 9, 21.9, ③③,,,,,,,,,,,,, 5, 7,Ｂベルゲンクライ, 76,北村宏, 0.5, 69,   1,*  1, 6, 12.3,⑩⑨⑨, 5,10,Ｇレオプログレス, 80,北村宏, 0.8, 74,   8,  -5, 8, 24.8,⑧⑧⑦
 6,11,Ａヒメスズラン, 60,石橋脩, 1.1, 52,  -3,  -9, 1,  2.9, ⑧⑧,,,,,,,,,,,,, 6,14,Ｍティアップレｰヴ, 63,大野拓, 0.5, 69,*  7, -12, 7, 13.8,①①①, 6, 9,Ｅコスモユッカ, 81,柴田大, 0.9, 73,   9, -13, 5,  7.1,⑤④③
 7, 7,Ｆオクリモノ, 52,大庭和, 1.1, 52,  -4,  -6, 7, 16.9, ⑪⑪,,,,,,,,,,,,, 7, 8,Ｃチャペルプリンセス, 76,リスポ, 0.6, 69,   2,  -2, 4,  9.1,⑨⑦⑦, 7,11,Ｌネオブラックダイヤ, 75,三浦皇, 1.2, 70,   8, -11,11, 85.3,⑩⑩⑧
 8, 8,Ｉマユラウインド, 47,戸崎圭, 1.3, 50,  -5,  -7,12, 38.1, ⑭⑭,,,,,,,,,,,,, 8, 9,Ｈピタゴラスコンマ, 70,戸崎圭, 0.7, 67,   2,  -3, 5, 10.3,⑦⑧⑧, 8, 4,Ｋシンボリボルドｰ, 76,木幡初, 1.7, 69,   5,  -8,12,184.7,⑫⑫⑫
