14年 3月30日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月30日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,名古屋城ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａメイショウサルｰテ, 64,武幸四,, 68,* -8,* 11, 4,  8.7,⑫①①, 1,17,Ａメイクアップ, 67,酒井学,, 80,  -6,* 19, 3,  5.6,⑧⑤⑤, 1,10,Ｃグランスエルテ, 73,藤田伸,, 72,* 10, -13,11, 33.5,①①①, 1,11,Ｇアドマイヤブルｰ, 80,岩田康,, 85,  14,*  1, 4,  6.2,④④⑤
 2,16,Ｃクイｰンズシアタｰ, 62,川田将, 0.8, 61, -11,  11, 1,  2.4,④⑥⑥, 2, 3,Ｅキュｰルエラピス, 62,内田博, 0.2, 75,* -3,  10,10, 24.0,①①①, 2, 8,Ｂトｰホウスマｰト, 74,岩田康, 0.5, 69,   5,* -6, 1,  2.6,⑧⑨⑫, 2,12,Ｆアウォｰディｰ, 80,横山典, 0.2, 81,  13,*  2, 2,  4.3,⑪⑪⑧
 3,11,Ｆスプレンダｰ, 58,三浦皇, 0.9, 57,* -8,   5,10, 44.1,②②②, 3,16,Ｏデルママツタロウ, 45,吉田豊, 0.4, 76,* -4,  11,18,443.5,⑤③③, 3,11,Ｇユキノユウダン, 69,松山弘, 0.7, 68,   7, -14, 2,  5.2,⑤⑤⑤, 3, 9,Ａシャドウバンガｰド, 83,デムｰ, 0.2, 86,  16,  -2, 3,  6.1,⑩⑨④
 4, 4,Ｈイデアオブクィｰン, 53,中舘英, 1.0, 63, -10,  10, 9, 41.8,③④④, 4, 6,Ｃサンジェナｰロ, 62,川田将, 0.6, 72,  -6,   9, 4,  6.5,③④④, 4,16,Ｅスズカファイタｰ, 70,藤岡康, 0.8, 66,   5,*-10, 8, 18.2,⑪⑫⑪, 4, 2,Ｅメイショウタマカゼ, 81,大野拓, 0.2, 85,  15,*  0, 6, 13.5,⑤⑥⑥
 5,12,Ｂアガペｰ, 62,藤田伸, 1.0, 59,* -9,   6, 2,  4.8,①③③, 5,12,Ｉカレンヴィットリア, 56,松山弘, 0.7, 73,  -7,  12, 7, 13.6,⑦⑦⑥, 5, 5,Ｋプライドイズメシア, 67,戸崎圭, 1.0, 64,   3,*-11, 6, 14.4,⑮⑮⑭, 5, 3,Ｂマイネルアイザック, 82,戸崎圭, 0.5, 81,* 17, -12, 5,  6.6,②②②
 6, 1,Ｅダテノレスペデｰザ, 58,岩田康, 1.3, 60, -15,* 14, 3,  6.5,⑪⑫⑪, 6,10,Ｆジュエルプラネット, 61,四位洋, 0.8, 68,* -3,   3, 1,  3.2,②②②, 6, 7,Ｆメイショウテッサイ, 70,吉田隼, 1.4, 60,   3, -16, 3,  6.3,⑬⑬⑬, 6, 5,Ｄアドマイヤツヨシ, 82,川田将, 0.7, 80,  13,  -6, 1,  4.2,⑥⑤⑦
 7, 3,Ｉクインズアベハ, 53,吉田豊, 1.5, 57, -13,  10,13, 70.1,⑦⑩⑦, 7, 5,Ｂロブロイクリス, 67,大野拓, 1.0, 76, -11,* 19,11, 41.3,⑮⑭⑭, 7, 2,Ａエイダイポイント, 76,丸田恭, 1.4, 58,   5, -21, 4, 11.3,⑭⑪⑧, 7, 1,Ｌカネトシマｰシャル, 75,藤岡康, 1.4, 73,  12, -10, 8, 19.3,⑧⑩⑪
 8,13,Ｋロゴマｰク, 52,デムｰ, 1.9, 50, -11,   1, 7, 27.9,⑥⑤⑤, 8, 7, エｰデルグランツ,---,岩田康, 1.5, 67, -11,   9, 2,  5.0,⑨⑪⑪, 8, 6,Ｎテイエムブシドｰ, 61,勝浦正, 1.5, 61,   5, -21,14,106.9,⑫⑭⑩, 8, 4,Ｃスノｰドン, 82,松山弘, 1.4, 74,  13, -12, 7, 14.3,⑦⑦⑨
 9,14,Ｎパラプリュイ, 50,大野拓, 2.0, 53, -13,   6, 6, 11.7,⑭⑪⑩, 9, 9,Ｌダンディスタイル, 47,黛弘人, 1.6, 66,  -9,   7,17,401.4,⑬⑫⑫, 9, 4,Ｄグレｰトヴァリュｰ, 71,デムｰ, 1.5, 60,*  7, -28, 9, 20.3,④③③, 9, 8,Ｈトラストワン, 76,内田博, 1.7, 72,  13, -16, 9, 22.7,⑨⑧⑩
10,10,Ｌグレイスビクトリア, 51,石橋脩, 2.1, 55, -16,* 13,14, 74.8,⑮⑮⑯,10, 8,Ｄハッピｰセｰラｰ, 62,横山典, 1.8, 58,  -8,   0, 5, 12.9,⑥⑧⑦,10,13,Ｈプリフォンテイン, 68,松田大, 2.6, 49,*  8, -45, 5, 13.0,②②②,10, 6,Ｊネオブラックダイヤ, 75,三浦皇, 1.9, 69,* 17, -31,12, 73.4,③③③
11, 2,Ｊメイショウクロｰバ, 53,伴啓太, 2.1, 53, -16,  10,15,208.0,⑬⑭⑭,11, 2,Ｎレッドボルゲｰゼ, 45,三浦皇, 1.9, 61,  -8,   0, 9, 21.6,⑫⑨⑧,11,15,Ｐクリスマスマｰベル, 52,太宰啓, 2.7, 49,   6, -40,15,119.4,⑨⑦⑥,11, 7,Ｉメイショウドンタク, 76,菱田裕, 2.1, 68,* 17, -35,11, 61.2,①①①
12, 8,Ｇアルｰシュ, 53,菱田裕, 2.3, 49, -15,   4, 8, 37.6,⑧⑬⑬,12,14,Ｈケセラストｰン, 57,丸田恭, 2.8, 48,  -8, -13, 8, 21.1,⑩⑩⑨,12, 1,Ｍカウウェラ, 62,吉田豊, 2.9, 50,   5, -39,13, 70.8,⑩⑩⑨,12,10,Ｋトｰセンハルカゼ, 75,石橋脩, 3.6, 58,   9, -32,10, 24.2,⑫⑫⑫
13, 7,Ｄアグネスモバイル, 59,池添謙, 3.0, 45, -12,  -4, 5, 11.2,⑤⑨⑨,13,18,Ｊマホン, 49,藤岡康, 3.7, 47, -17,  -4,13,138.4,⑱⑰⑰,13,12,Ｊギリギリヒｰロｰ, 67,大野拓, 3.0, 49,   1, -32,12, 48.0,⑯⑯⑯,,,,,,,,,,,,
14, 6,Ｏルミノアルマｰス, 45,丸田恭, 3.2, 44, -19,   5,11, 56.3,⑯⑯⑮,14, 1,Ｐクリノベンザイテン, 43,花田大, 3.8, 45, -14, -10,16,371.4,⑭⑮⑮,14, 3,Ｌアイズオンリｰ, 62,内田博, 3.5, 45,   6, -52,10, 29.9,⑥④④,,,,,,,,,,,,
15, 5,Ｍエンジュ, 51,松山弘, 4.2, 37, -11, -16,12, 56.9,⑨⑧⑫,15, 4,Ｇクｰルオｰプニング, 60,太宰啓, 4.3, 36, -10, -25, 6, 13.6,⑪⑬⑬,15,14,Ｏクラウンアトラス, 54,菱田裕, 3.9, 43,   2, -47,16,175.4,⑦⑧⑮,,,,,,,,,,,,
