14年 4月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 4月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上賀茂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂメイショウキトラ, 63,武豊  ,, 65,  -2,* 11, 1,  2.4,⑩⑨⑦, 1,10,Ｃリヴィエｰル, 54,川田将,, 67,* -1,*  2, 2,  3.3,⑤④④, 1, 7,Ａジェラルド, 78,ペドロ,, 73,   8,  -7, 2,  3.6,⑦⑦⑥, 1,11,Ｆラガｰトモヒｰロ, 85,藤田伸,, 84,   6,  14, 7, 21.4,⑩⑧⑧
 2,15,Ｋフミノスナイパｰ, 47,太宰啓, 0.0, 64,  -3,* 11, 4,  7.7,⑪⑩⑧, 2, 4,Ａマイネルプレッジ, 62,シュタ, 0.2, 66,*  1,  -3, 3,  3.7,③③③, 2, 4,Ｃクリサンセマム, 76,武豊  , 0.1, 73,   8,* -5, 1,  2.0,⑨⑨⑧, 2, 2,Ｂドレミファドン, 88,吉田豊, 0.0, 82,   4,* 17, 3,  8.1,⑭⑬⑩
 3, 3,Ｄセントコロナ, 61,川島信, 0.1, 60,*  1,   3, 5,  8.2,①①①, 3, 3,Ｂクリノダイコクテン, 58,小牧太, 0.3, 63,*  0,  -6, 1,  3.0,②②②, 3, 1,Ｅキョウワレイ, 72,酒井学, 0.1, 72,   7,* -3, 7, 23.9,⑧⑧⑨, 3,16,Ｈコルｰジャ, 84,池添謙, 0.1, 82,   3,* 19,10, 31.6,⑬⑯⑯
 4,14,Ｆダテノハクトラ, 59,川田将, 0.3, 61,*  0,   3, 3,  7.6,②②②, 4,17,Ｋデクラレｰション, 43,藤岡佑, 0.8, 59,  -3,  -6,11,105.4,⑦⑤⑤, 4, 3,Ｈキワミ, 63,藤岡佑, 0.4, 70,   8, -11, 5, 13.8,④④⑦, 4,15,Ｄハスラｰ, 85,松山弘, 0.2, 81,   3,* 16, 6, 19.6,⑨⑭⑬
 5, 4,Ｅクイズリングテラス, 60,義英真, 0.4, 61,  -3,*  9,10, 41.1,⑫⑪⑪, 5, 6,Ｄクリノクレオパトラ, 51,武幸四, 1.2, 58,  -4,  -8,10, 94.3,⑨⑦⑧, 5, 2,Ｇマイネルアクロス, 67,和田竜, 0.4, 71,   8, -11, 6, 23.1,⑥⑥⑤, 5, 9,Ｊノボリドリｰム, 82,高倉稜, 0.3, 79,*  7,   9,11, 41.9,⑥④④
 6,16,Ｇモズノハナミチ, 58,北村友, 1.0, 57,  -5,   7,11,106.2,⑭⑭⑬, 6,11,Ｉトｰワクリステル, 44,武豊  , 1.2, 57,  -8,*  0, 5, 10.4,⑩⑩⑨, 6, 8,Ｂダイシンハンタｰ, 76,川田将, 0.5, 68,   9, -19, 3,  5.7,②②②, 6, 1,Ｌエｰシンスピｰダｰ, 81,酒井学, 0.3, 78,*  8,   7, 8, 25.1,②②①
 7, 8,Ａエｰデルグランツ, 68,池添謙, 1.4, 51,  -3,  -2, 2,  5.1,⑨⑦⑤, 7, 7,Ｊアドミッション, 44,鮫島良, 1.3, 56,  -4, -10, 8, 55.5,⑧⑨⑦, 7, 9,Ｆビックケン, 68,小坂忠, 0.7, 66,* 12, -29, 8, 33.6,①①①, 7,12,Ｇコウユｰヒｰロｰ, 84,国分恭, 0.4, 78,   3,  14,12, 92.4,⑮⑮⑮
 8, 2,Ｉテイエムゲッタドン, 55,和田竜, 1.6, 51,* -1,  -7, 7, 17.3,④④③, 8,13,Ｈコスモアイオライト, 47,和田竜, 1.5, 54,  -8,  -5, 7, 41.6,⑬⑪⑩, 8, 5,Ｄハギノウィッシュ, 72,義英真, 0.7, 66,   9, -19, 4, 10.4,⑤⑤④, 8,14,Ａギャザｰロｰジズ, 89,シュタ, 0.5, 78,   6,   9, 5, 19.4,⑤⑦⑦
