14年 8月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 8月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｉウィッシュハピネス, 38,松若風,, 63,* -3,*  5, 2,  4.9, ①①, 1, 4,Ｆイロリ, 55,岩崎翼,, 67,   4,  -1, 7, 14.8, ④⑤, 1,11,Ｄメイショウラバンド, 60,武幸四,, 77,  10,*  0, 3,  6.2,⑤④④, 1, 1,Ａバッドボｰイ, 81,幸英明,, 81,*  1,  17, 1,  1.9,①①①
 2, 9,Ｆアイファｰサラオｰ, 43,藤懸貴, 1.0, 53,  -8,  -1, 6, 19.7, ⑤⑤, 2, 8,Ｊモンスタｰバロｰズ, 52,松山弘, 0.0, 64,  -5,*  8,12, 41.9, ⑬④, 2, 2,Ｂプレスアテンション, 62,北村友, 0.0, 77,   5,*  7, 1,  4.6,⑫⑪⑥, 2, 7,Ｉケイティｰプライド, 72,浜中俊, 0.2, 79,  -1,  18, 3,  6.4,③③③
 3, 2,Ｄメイショウオオラカ, 46,酒井学, 1.1, 51, -10,   0, 7, 21.3, ⑥⑥, 3,18,Ｄシゲルリクチュウ, 57,国分恭, 0.2, 64,   0,*  1, 6, 12.3, ⑧⑨, 3,12,Ａアグネスジェシカ, 70,川須栄, 0.6, 69,   8,  -6, 6,  8.1,⑨⑦⑤, 3, 9,Ｅルファルシオン, 76,藤岡佑, 0.4, 74,*  0,  12, 6,  9.5,②②②
 4, 1,Ｈアサケカペラ, 41,岩崎翼, 1.1, 51,  -7,  -2, 8, 21.8, ③③, 4,13,Ｍメイショウブイダン, 46,国分優, 0.4, 60,  -3,*  1, 4,  8.8, ⑫⑪, 4,16,Ｊハッピｰエム, 50,小坂忠, 0.6, 68,* 11, -13,11, 40.2,④③③, 4, 6,Ｋゴットラウディｰ, 66,国分恭, 0.6, 77,  -3,  17, 8, 46.3,⑨⑥⑤
 5,10,Ａタマモイヤリング, 57,幸英明, 1.1, 53,* -5,  -4, 1,  1.6, ②②, 5,11,Ｃグッドウェｰブ, 59,浜中俊, 0.4, 64,*  7,  -8, 2,  6.3, ②②, 5,13,Ｃエクストレミティｰ, 60,幸英明, 0.9, 65,* 11, -18, 2,  4.7,③②②, 5,11,Ｄタマラマ, 76,松山弘, 0.7, 75,  -2,  12, 7, 30.5,⑤⑤④
 6, 8,Ｂサカジロビュｰティ, 48,藤岡佑, 1.3, 50,  -7,  -3, 4, 12.4, ④④, 6,16,Ａキングスバロｰズ, 64,川須栄, 0.6, 61,*  5, -10, 1,  2.6, ③③, 6, 6,Ｆファイアｰシチｰ, 59,岩崎翼, 1.3, 62,   4,  -9, 8, 19.1,⑯⑭⑪, 6, 3,Ｆカロッサル, 76,北村友, 0.8, 78,  -7,* 21, 2,  5.4,⑩⑩⑩
 7,12,Ｊシュンイキ, 32,高倉稜, 1.4, 49,  -9,  -4,11,103.6, ⑦⑦, 7, 7,Ｋプルメリアアスク, 48,川島信, 0.7, 59,   2,  -7,13,126.8, ⑦⑦, 7, 7,Ｇハワイアンロｰズ, 58,丸田恭, 1.6, 59,   6, -14, 5,  7.5,⑭⑫⑧, 7, 5,Ｂメイショウブシン, 80,丸田恭, 0.8, 76,  -6,* 20, 4,  8.3,⑪⑪⑪
 8, 5,Ｋキトラ, 30,義英真, 1.5, 46, -14,  -2,10, 65.1, ⑧⑧, 8, 3,Ｂヒロノメビウス, 59,義英真, 0.8, 55,   0,  -7, 3,  8.6, ⑥⑥, 8, 8,Ｍバレｰナボス, 49,柴田未, 1.9, 56,   7, -22,12,160.7,⑪⑩⑬, 8, 2,Ｇアドマイヤツヨシ, 75,小牧太, 0.8, 74,  -3,  14, 5,  9.4,⑥⑦⑦
 9, 3,Ｅタガノアルデ, 45,松山弘, 2.2, 39, -17,  -6, 3,  9.9, ⑪⑨, 9,12,Ｈイタダキマス, 54,小牧太, 0.8, 53,  -7,  -1,11, 29.2, ⑮⑬, 9, 3,Ｈティｰエスギムレ, 57,義英真, 1.9, 56,   5, -19, 9, 25.7,⑦⑬⑭, 9, 8,Ｈカｰマイン, 74,川須栄, 0.9, 72,  -1,  10, 9, 87.2,④④⑥
10, 6,Ｃタカノロンシャン, 47,国分優, 2.5, 35, -14, -10, 9, 53.1, ⑩⑪,10, 5,Ｅサヴィルロウ, 56,松若風, 0.9, 53,  -3,  -6, 9, 21.7, ⑪⑩,10,15,Ｋビバヤングメン, 50,国分恭, 2.0, 55,   2, -15,15,222.3,⑮⑮⑮,10, 4,Ｃスズカウラノス, 76,中井裕, 1.2, 71,  -5,  13,11,154.7,⑦⑧⑧
