14年12月 6日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年12月 6日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｱｸｱﾗｲﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｈモルジアナ, 47,北村宏,, 73,* 11,*  0, 2,  3.9, ④③, 1, 7, ホワイトフｰガ,---,大野拓,, 70,*  1,*  7, 1,  3.7,①①①, 1, 1,Ｂワディ, 78,藤岡佑,, 78,  11,   8, 1,  2.6, ④③, 1,10,Ｉミヤジエルビス, 79,戸崎圭,, 78,   2,  16, 1,  3.5, ⑧⑧
 2, 8,Ｅニシノバランス, 54,田辺裕, 1.0, 59,  -5,*  6, 4,  6.8, ⑫⑨, 2, 4, ラブオｰディｰン,---,田中勝, 1.2, 61,*  0,  -3, 9, 31.5,②②②, 2,14,Ｅデリケｰトアｰチ, 74,木幡初, 0.7, 70,   5,   8, 4,  9.0, ⑫⑫, 2, 8,Ｆアルベルティ, 80,後藤浩, 0.2, 75,   4,  12,13, 50.3, ⑥⑤
 3,15,Ｄカンタベリｰキッズ, 55,二本柳, 1.1, 61,   0,*  2, 7, 30.6, ⑨⑧, 3, 8, ピｰスワンポイント,---,三浦皇, 2.1, 55,  -1,  -8, 4,  5.1,③③③, 3, 8,Ｋサンマディソン, 67,松岡正, 0.8, 70,   5,   7, 7, 22.2, ⑪⑪, 3, 5,Ｃタマブラックホｰル, 82,石橋脩, 0.4, 74,  -7,* 20, 3,  4.2, ⑪⑪
 4, 4,Ｂオルフィｰク, 58,吉田豊, 1.1, 63,* 11, -10, 5,  8.3, ①①, 4, 2, ティティショウジュ,---,柴田善, 2.6, 50,   0, -12, 6, 12.4,④④④, 4, 9,Ｆファインスカイ, 74,北村宏, 0.9, 72,* 13,  -2, 2,  4.9, ②②, 4, 3,Ｈサウスビクトル, 79,田辺裕, 0.5, 74,*  8,   6,11, 46.6, ②②
 5, 5,Ｃポッドフィズ, 56,木幡初, 1.1, 61,   6,  -5, 3,  5.9, ⑦⑤, 5, 6, コパノチャｰリｰ,---,田辺裕, 2.6, 52,  -1, -12, 2,  3.8,⑦⑤⑤, 5, 7,Ａセイユウスマイル, 78,原田和, 0.9, 72,* 14,  -3, 3,  7.8, ①①, 5, 1,Ａアビリティラヴ, 84,柴田善, 0.5, 72,   6,   8, 2,  3.8, ④④
 6, 6,Ａクラウンシトラス, 64,柴田善, 2.0, 54,* 10, -16, 1,  2.7, ②④, 6, 9, トミケンチャダル,---,石川裕, 2.7, 52,  -4,  -7,10, 55.0,⑧⑦⑦, 6, 4,Ｎエンジェルビｰツ, 66,田辺裕, 1.0, 68,   3,   7,12, 49.3, ⑬⑩, 6, 6,Ｄクロタカ, 81,嶋田純, 0.7, 71,  -7,  18,10, 30.4, ⑫⑫
 7,13,Ｊデルマゴシンゾサン, 35,石川裕, 2.5, 47,  -3,  -8,16,336.3, ⑪⑫, 7, 3, ブラックバスタｰ,---,戸崎圭, 3.3, 48,  -5,  -9, 5, 10.2,⑥⑧⑨, 6, 2,Ｊオリアｰナ, 70,大野拓, 1.0, 69,   7,   3,11, 36.1, ⑧⑥, 7,15,Ｏゲンパチメジャｰ, 75,岩部純, 0.7, 71,  -9,* 19,14,122.1, ⑭⑬
 8,10,Ｐキンカチャ, 31,丹内祐, 2.7, 44,  -8,  -6,15,318.4, ⑬⑬, 8, 5, リザｰヴド,---,後藤浩, 3.4, 46,  -7,  -8, 8, 21.7,⑩⑩⑧, 8,13,Ｐキｰパップ, 61,西村太, 1.0, 66,  -4,* 13,16,184.8, ⑯⑯, 8,12,Ｐアポロスタｰズ, 65,北村宏, 0.7, 71,  -1,  12, 5, 13.2, ⑩⑩
 9,11,Ｏナンヨｰチｰク, 31,横山典, 3.4, 37,  -4, -16, 8, 32.4, ⑩⑪, 9,10, アメリカンマッスル,---,藤岡佑, 3.5, 44,  -2, -16, 3,  5.0,⑤⑥⑥, 9,11,Ｄヴァレンティｰネ, 74,戸崎圭, 1.1, 69,  11,  -1, 6, 11.8, ⑤⑤, 9,13,Ｇエリモフェザｰ, 80,江田照, 0.8, 71,*  7,   5, 9, 25.1, ③③
10,14,Ｉハジメノイッポ, 42,伊藤工, 3.5, 35,  -8, -14, 9, 78.7, ⑭⑭,10, 1, マイネルシュプレム,---,柴田大, 3.8, 47,  -6, -12, 7, 17.7,⑨⑨⑩,10,16,Ｉハニｰバニｰ, 71,横山典, 1.4, 62,   3,   4, 5, 10.9, ⑭⑮,10, 7,Ｍリックムファサ, 77,津村明, 0.9, 70,   1,   9, 8, 23.6, ⑨⑨
11,16,Ｋテンプルオブラブ, 34,小野寺, 3.6, 37,  -8, -13,13,215.9, ⑮⑮,,,,,,,,,,,,,11, 3,Ｇフェアリｰライン, 73,石川裕, 1.4, 62,   1,   5, 8, 23.4, ⑮⑬,11, 4,Ｂテムジン, 84,丸田恭, 0.9, 69, -13,* 22, 6, 16.3, ⑮⑮
12, 3,Ｍザキス, 32,嘉藤貴, 3.7, 35,   0, -22,12,205.0, ⑧⑩,,,,,,,,,,,,,12,10,Ｏウエスタンユｰノｰ, 65,柴田善, 1.9, 61,* 12,  -9,10, 28.2, ③④,12, 9,Ｌシゲルオオスミ, 77,田中勝, 1.0, 70,   5,   5, 4, 10.8, ⑤⑥
13, 1,Ｇナゲットレイツ, 48,丸田恭, 3.8, 36,   6, -28,10,110.9, ⑤⑥,,,,,,,,,,,,,13,15,Ｌビｰナストリック, 67,石橋脩, 1.9, 61,   9,  -6,13, 50.1, ⑦⑨,13, 2,Ｎデンコウヒノマル, 76,藤岡佑, 1.1, 67,*  8,   0, 7, 17.9, ①①
14, 9,Ｆヌｰベルバｰグパリ, 53,戸崎圭, 4.0, 36,*  9, -34, 6, 10.9, ③②,,,,,,,,,,,,,14, 6,Ｍヤサカシャイニｰ, 67,江田照, 2.2, 58,   8,  -8,15,150.9, ⑩⑦,14,16,Ｊロｰブドヴルｰル, 79,松岡正, 1.2, 67,   3,   4,12, 49.7, ⑦⑦
